,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,62.0
2020-12-16,0.0,309.85714285714283
2020-12-17,0.0,464.0
2020-12-18,434.0,625.1428571428571
2020-12-19,1735.0,1190.0
2020-12-20,1079.0,1747.4285714285713
2020-12-21,1128.0,2384.4285714285716
2020-12-22,3954.0,2531.5714285714284
2020-12-23,3902.0,2285.285714285714
2020-12-24,4459.0,2395.5714285714284
2020-12-25,1464.0,2426.5714285714284
2020-12-26,11.0,2756.0
2020-12-27,1851.0,3175.4285714285716
2020-12-28,1345.0,3577.1428571428573
2020-12-29,6260.0,4012.8571428571427
2020-12-30,6838.0,4084.0
2020-12-31,7271.0,4064.8571428571427
2021-01-01,4514.0,4237.0
2021-01-02,509.0,3909.0
2021-01-03,1717.0,3850.0
2021-01-04,2550.0,3562.5714285714284
2021-01-05,3964.0,4059.285714285714
2021-01-06,6425.0,5907.714285714285
2021-01-07,5259.0,6897.857142857143
2021-01-08,7991.0,6533.571428571428
2021-01-09,13448.0,8545.857142857143
2021-01-10,8648.0,9731.0
2021-01-11,0.0,8979.714285714286
2021-01-12,18050.0,10174.714285714286
2021-01-13,14721.0,14403.857142857143
2021-01-14,0.0,15423.285714285714
2021-01-15,16356.0,17130.571428571428
2021-01-16,43052.0,14552.0
2021-01-17,15784.0,13612.0
2021-01-18,11951.0,15568.285714285714
2021-01-19,0.0,15367.57142857143
2021-01-20,8141.0,11609.0
2021-01-21,13694.0,11561.857142857143
2021-01-22,14951.0,11962.285714285714
2021-01-23,16742.0,13018.0
2021-01-24,15454.0,14343.857142857143
2021-01-25,14754.0,14514.285714285714
2021-01-26,7390.0,15094.142857142857
2021-01-27,17422.0,15988.0
2021-01-28,14887.0,17422.714285714286
2021-01-29,19010.0,17563.428571428572
2021-01-30,22999.0,18603.85714285714
2021-01-31,25497.0,18396.0
2021-02-01,15739.0,18761.0
2021-02-02,14673.0,18212.428571428572
2021-02-03,15967.0,18172.85714285714
2021-02-04,17442.0,17797.714285714286
2021-02-05,15170.0,18648.428571428572
2021-02-06,22722.0,19160.14285714286
2021-02-07,22871.0,19213.428571428572
2021-02-08,21694.0,18932.285714285714
2021-02-09,18255.0,19578.714285714286
2021-02-10,16340.0,20003.14285714286
2021-02-11,15474.0,19648.14285714286
2021-02-12,19695.0,17578.428571428572
2021-02-13,25693.0,15926.714285714286
2021-02-14,20386.0,14673.42857142857
2021-02-15,7206.0,14718.42857142857
2021-02-16,6693.0,15130.57142857143
2021-02-17,7567.0,16862.428571428572
2021-02-18,15789.0,17827.571428571428
2021-02-19,22580.0,20646.85714285714
2021-02-20,37816.0,25867.85714285714
2021-02-21,27142.0,24786.85714285714
2021-02-22,26941.0,22644.14285714286
2021-02-23,43240.0,22815.714285714286
2021-02-24,0.0,22889.0
2021-02-25,790.0,23699.285714285714
2021-02-26,23781.0,24669.0
2021-02-27,38329.0,22727.85714285714
2021-02-28,32814.0,24768.85714285714
2021-03-01,33729.0,26330.0
2021-03-02,29652.0,26215.714285714286
2021-03-03,14287.0,24302.0
2021-03-04,11718.0,25312.85714285714
2021-03-05,22981.0,29325.571428571428
2021-03-06,24933.0,28275.14285714286
2021-03-07,39890.0,26234.14285714286
2021-03-08,61818.0,26967.85714285714
2021-03-09,22299.0,23822.714285714286
2021-03-10,0.0,24815.85714285714
2021-03-11,16854.0,32658.14285714286
2021-03-12,965.0,23827.0
2021-03-13,31885.0,23688.85714285714
2021-03-14,94786.0,27185.85714285714
2021-03-15,0.0,25039.714285714286
2021-03-16,21332.0,27615.0
2021-03-17,24479.0,30247.714285714286
2021-03-18,1831.0,22499.14285714286
2021-03-19,18992.0,27787.428571428572
2021-03-20,50314.0,28092.285714285714
2021-03-21,40546.0,27794.571428571428
2021-03-22,37018.0,30372.571428571428
2021-03-23,23466.0,31996.85714285714
2021-03-24,22395.0,30188.14285714286
2021-03-25,19877.0,30512.571428571428
2021-03-26,30362.0,30275.85714285714
2021-03-27,37653.0,31158.85714285714
2021-03-28,42817.0,30664.0
2021-03-29,35361.0,32486.428571428572
2021-03-30,29647.0,33798.42857142857
2021-03-31,18931.0,35201.57142857143
2021-04-01,32634.0,35845.71428571428
2021-04-02,39546.0,37298.28571428572
2021-04-03,47475.0,37733.28571428572
2021-04-04,47326.0,38254.57142857143
2021-04-05,45529.0,38471.57142857143
2021-04-06,32692.0,45466.57142857143
2021-04-07,22580.0,46440.42857142857
2021-04-08,34153.0,47624.71428571428
2021-04-09,88511.0,46027.71428571428
2021-04-10,54292.0,45377.42857142857
2021-04-11,55616.0,46596.28571428572
2021-04-12,34350.0,47481.42857142857
2021-04-13,28140.0,41370.42857142857
2021-04-14,31112.0,40483.57142857143
2021-04-15,40349.0,39078.57142857143
2021-04-16,45734.0,38857.0
2021-04-17,48084.0,38492.71428571428
2021-04-18,45781.0,37884.71428571428
2021-04-19,32799.0,32241.571428571428
2021-04-20,25590.0,38383.57142857143
2021-04-21,26856.0,38622.142857142855
2021-04-22,847.0,39864.42857142857
2021-04-23,88728.0,40041.28571428572
2021-04-24,49754.0,40358.0
2021-04-25,54477.0,40659.42857142857
2021-04-26,34037.0,46528.0
2021-04-27,27807.0,39543.0
2021-04-28,28966.0,32498.428571428572
2021-04-29,41927.0,37574.857142857145
2021-04-30,39833.0,35935.42857142857
2021-05-01,442.0,31963.0
2021-05-02,90012.0,34622.857142857145
2021-05-03,22561.0,33165.57142857143
2021-05-04,0.0,32705.285714285714
2021-05-05,47585.0,40516.57142857143
2021-05-06,31726.0,36800.857142857145
2021-05-07,36611.0,38971.42857142857
2021-05-08,55121.0,43066.857142857145
2021-05-09,64002.0,41257.71428571428
2021-05-10,37755.0,40936.71428571428
2021-05-11,28668.0,40035.42857142857
2021-05-12,34921.0,37516.42857142857
2021-05-13,29479.0,34409.857142857145
2021-05-14,30302.0,32329.571428571428
2021-05-15,37488.0,31668.14285714286
2021-05-16,42256.0,30535.285714285714
2021-05-17,23193.0,29893.0
2021-05-18,24038.0,30913.428571428572
2021-05-19,26991.0,32456.714285714286
2021-05-20,24983.0,31734.714285714286
2021-05-21,37445.0,32641.285714285714
2021-05-22,48291.0,32235.714285714286
2021-05-23,37202.0,32122.14285714286
2021-05-24,29539.0,32534.14285714286
2021-05-25,21199.0,31443.85714285714
2021-05-26,26196.0,28636.0
2021-05-27,27867.0,26922.8
2021-05-28,29813.0,26268.75
