,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.14285714285714285
2020-03-14,0.0,0.2857142857142857
2020-03-15,0.0,0.42857142857142855
2020-03-16,1.0,0.5714285714285714
2020-03-17,1.0,0.8571428571428571
2020-03-18,1.0,1.1428571428571428
2020-03-19,1.0,1.7142857142857142
2020-03-20,2.0,2.5714285714285716
2020-03-21,2.0,3.4285714285714284
2020-03-22,4.0,6.285714285714286
2020-03-23,7.0,10.142857142857142
2020-03-24,7.0,22.428571428571427
2020-03-25,21.0,46.714285714285715
2020-03-26,28.0,74.57142857142857
2020-03-27,88.0,139.0
2020-03-28,172.0,219.42857142857142
2020-03-29,199.0,386.14285714285717
2020-03-30,458.0,560.0
2020-03-31,570.0,758.4285714285714
2020-04-01,1188.0,955.1428571428571
2020-04-02,1245.0,1153.5714285714287
2020-04-03,1477.0,1336.142857142857
2020-04-04,1549.0,1517.4285714285713
2020-04-05,1588.0,1598.2857142857142
2020-04-06,1736.0,1668.5714285714287
2020-04-07,1839.0,1710.4285714285713
2020-04-08,1754.0,1728.142857142857
2020-04-09,1737.0,1758.7142857142858
2020-04-10,1770.0,1790.142857142857
2020-04-11,1673.0,1844.0
2020-04-12,1802.0,1918.7142857142858
2020-04-13,1956.0,2000.7142857142858
2020-04-14,2216.0,2082.4285714285716
2020-04-15,2277.0,2174.4285714285716
2020-04-16,2311.0,2266.5714285714284
2020-04-17,2342.0,2469.285714285714
2020-04-18,2317.0,2646.0
2020-04-19,2447.0,2800.5714285714284
2020-04-20,3375.0,2926.4285714285716
2020-04-21,3453.0,3047.714285714286
2020-04-22,3359.0,3153.4285714285716
2020-04-23,3192.0,3244.4285714285716
2020-04-24,3191.0,3222.1428571428573
2020-04-25,3057.0,3178.285714285714
2020-04-26,3084.0,3140.8571428571427
2020-04-27,3219.0,3117.5714285714284
2020-04-28,3146.0,3093.5714285714284
2020-04-29,3097.0,3091.8571428571427
2020-04-30,3029.0,3065.5714285714284
2020-05-01,3023.0,3022.714285714286
2020-05-02,3045.0,2999.714285714286
2020-05-03,2900.0,2966.4285714285716
2020-05-04,2919.0,2926.1428571428573
2020-05-05,2985.0,2925.285714285714
2020-05-06,2864.0,3686.8571428571427
2020-05-07,2747.0,3647.5714285714284
2020-05-08,3017.0,3600.8571428571427
2020-05-09,8376.0,3581.285714285714
2020-05-10,2625.0,3511.8571428571427
2020-05-11,2592.0,3445.8571428571427
2020-05-12,2848.0,3343.5714285714284
2020-05-13,2378.0,2460.0
2020-05-14,2285.0,2392.4285714285716
2020-05-15,2301.0,2330.285714285714
2020-05-16,2191.0,2225.4285714285716
2020-05-17,2152.0,2174.8571428571427
2020-05-18,2157.0,2118.1428571428573
2020-05-19,2114.0,2047.0
2020-05-20,2024.0,1986.857142857143
2020-05-21,1888.0,1927.5714285714287
2020-05-22,1803.0,1866.857142857143
2020-05-23,1770.0,1800.2857142857142
2020-05-24,1737.0,1770.142857142857
2020-05-25,1732.0,1740.4285714285713
2020-05-26,1648.0,1711.142857142857
2020-05-27,1813.0,1669.7142857142858
2020-05-28,1680.0,1633.142857142857
2020-05-29,1598.0,1615.142857142857
2020-05-30,1480.0,1597.7142857142858
2020-05-31,1481.0,1538.4285714285713
2020-06-01,1606.0,1489.7142857142858
2020-06-02,1526.0,1460.7142857142858
2020-06-03,1398.0,1424.142857142857
2020-06-04,1339.0,1385.2857142857142
2020-06-05,1395.0,1335.2857142857142
2020-06-06,1224.0,1291.0
2020-06-07,1209.0,1262.0
2020-06-08,1256.0,1251.5714285714287
2020-06-09,1216.0,1219.4285714285713
2020-06-10,1195.0,1201.5714285714287
2020-06-11,1266.0,1168.142857142857
2020-06-12,1170.0,1227.2857142857142
2020-06-13,1099.0,1235.4285714285713
2020-06-14,975.0,1244.2857142857142
2020-06-15,1670.0,1230.5714285714287
2020-06-16,1273.0,1227.5714285714287
2020-06-17,1257.0,1203.0
2020-06-18,1170.0,1190.4285714285713
2020-06-19,1149.0,1085.5714285714287
2020-06-20,927.0,1037.857142857143
2020-06-21,887.0,983.2857142857143
2020-06-22,936.0,938.7142857142857
2020-06-23,939.0,889.5714285714286
2020-06-24,875.0,855.8571428571429
2020-06-25,858.0,833.1428571428571
2020-06-26,805.0,816.5714285714286
2020-06-27,691.0,802.7142857142857
2020-06-28,728.0,799.2857142857143
2020-06-29,820.0,791.8571428571429
2020-06-30,842.0,782.4285714285714
2020-07-01,851.0,785.7142857142857
2020-07-02,806.0,786.0
2020-07-03,739.0,805.5714285714286
2020-07-04,714.0,811.0
2020-07-05,730.0,810.2857142857143
2020-07-06,957.0,810.8571428571429
2020-07-07,880.0,820.4285714285714
2020-07-08,846.0,828.8571428571429
2020-07-09,810.0,840.2857142857143
2020-07-10,806.0,819.8571428571429
2020-07-11,773.0,829.2857142857143
2020-07-12,810.0,869.2857142857143
2020-07-13,814.0,932.1428571428571
2020-07-14,946.0,986.7142857142857
2020-07-15,1126.0,1049.0
2020-07-16,1250.0,1103.0
2020-07-17,1188.0,1127.0
2020-07-18,1209.0,1163.7142857142858
2020-07-19,1188.0,1202.2857142857142
2020-07-20,982.0,1231.5714285714287
2020-07-21,1203.0,1260.7142857142858
2020-07-22,1396.0,1324.7142857142858
2020-07-23,1455.0,1364.5714285714287
2020-07-24,1392.0,1408.0
2020-07-25,1657.0,1472.142857142857
2020-07-26,1467.0,1506.142857142857
2020-07-27,1286.0,1475.857142857143
2020-07-28,1652.0,1459.4285714285713
2020-07-29,1634.0,1450.2857142857142
2020-07-30,1243.0,1470.4285714285713
2020-07-31,1277.0,1474.7142857142858
2020-08-01,1593.0,1430.2857142857142
2020-08-02,1608.0,1396.142857142857
2020-08-03,1316.0,1405.4285714285713
2020-08-04,1341.0,1408.4285714285713
2020-08-05,1395.0,1354.857142857143
2020-08-06,1308.0,1294.7142857142858
2020-08-07,1298.0,1273.7142857142858
2020-08-08,1218.0,1255.5714285714287
2020-08-09,1187.0,1236.7142857142858
2020-08-10,1169.0,1224.7142857142858
2020-08-11,1214.0,1213.4285714285713
2020-08-12,1263.0,1198.0
2020-08-13,1224.0,1176.5714285714287
2020-08-14,1219.0,1163.0
2020-08-15,1110.0,1146.2857142857142
2020-08-16,1037.0,1121.5714285714287
2020-08-17,1074.0,1106.7142857142858
2020-08-18,1097.0,1087.857142857143
2020-08-19,1090.0,1082.7142857142858
2020-08-20,1120.0,1085.0
2020-08-21,1087.0,1085.2857142857142
2020-08-22,1074.0,1085.142857142857
2020-08-23,1053.0,1092.0
2020-08-24,1076.0,1082.4285714285713
2020-08-25,1096.0,1080.5714285714287
2020-08-26,1138.0,1076.7142857142858
2020-08-27,1053.0,1075.142857142857
2020-08-28,1074.0,1085.4285714285713
2020-08-29,1047.0,1101.7142857142858
2020-08-30,1042.0,1103.857142857143
2020-08-31,1148.0,1114.7142857142858
2020-09-01,1210.0,1117.7142857142858
2020-09-02,1153.0,1116.857142857143
2020-09-03,1129.0,1108.7142857142858
2020-09-04,1095.0,1087.7142857142858
2020-09-05,1041.0,1068.142857142857
2020-09-06,985.0,1063.4285714285713
2020-09-07,1001.0,1053.7142857142858
2020-09-08,1073.0,1048.0
2020-09-09,1120.0,1048.7142857142858
2020-09-10,1061.0,1045.2857142857142
2020-09-11,1055.0,1052.7142857142858
2020-09-12,1046.0,1060.142857142857
