,inpatient_beds_used_covid,7_day_avg
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.14285714285714285
2020-03-12,0.0,0.42857142857142855
2020-03-13,0.0,0.7142857142857143
2020-03-14,1.0,0.7142857142857143
2020-03-15,2.0,0.7142857142857143
2020-03-16,2.0,0.8571428571428571
2020-03-17,0.0,0.8571428571428571
2020-03-18,0.0,0.8571428571428571
2020-03-19,1.0,0.7142857142857143
2020-03-20,0.0,1.2857142857142858
2020-03-21,1.0,1.4285714285714286
2020-03-22,1.0,2.2857142857142856
2020-03-23,6.0,3.2857142857142856
2020-03-24,1.0,4.714285714285714
2020-03-25,6.0,6.714285714285714
2020-03-26,8.0,10.714285714285714
2020-03-27,10.0,14.285714285714286
2020-03-28,15.0,18.0
2020-03-29,29.0,21.571428571428573
2020-03-30,31.0,25.714285714285715
2020-03-31,27.0,30.142857142857142
2020-04-01,31.0,33.57142857142857
2020-04-02,37.0,34.0
2020-04-03,41.0,35.57142857142857
2020-04-04,39.0,37.142857142857146
2020-04-05,32.0,38.285714285714285
2020-04-06,42.0,38.857142857142854
2020-04-07,38.0,75.42857142857143
2020-04-08,39.0,112.0
2020-04-09,41.0,148.71428571428572
2020-04-10,297.0,184.85714285714286
2020-04-11,295.0,222.28571428571428
2020-04-12,289.0,224.28571428571428
2020-04-13,295.0,226.71428571428572
2020-04-14,300.0,193.42857142857142
2020-04-15,53.0,160.71428571428572
2020-04-16,58.0,128.0
2020-04-17,64.0,94.57142857142857
2020-04-18,66.0,62.857142857142854
2020-04-19,60.0,65.71428571428571
2020-04-20,61.0,81.28571428571429
2020-04-21,78.0,105.0
2020-04-22,73.0,128.71428571428572
2020-04-23,167.0,150.14285714285714
2020-04-24,230.0,168.28571428571428
2020-04-25,232.0,183.28571428571428
2020-04-26,210.0,198.57142857142858
2020-04-27,188.0,198.14285714285714
2020-04-28,183.0,186.71428571428572
2020-04-29,180.0,174.42857142857142
2020-04-30,164.0,160.57142857142858
2020-05-01,150.0,149.71428571428572
2020-05-02,146.0,143.57142857142858
2020-05-03,113.0,138.28571428571428
2020-05-04,112.0,136.28571428571428
2020-05-05,140.0,138.28571428571428
2020-05-06,143.0,141.28571428571428
2020-05-07,150.0,143.14285714285714
2020-05-08,164.0,147.42857142857142
2020-05-09,167.0,157.28571428571428
2020-05-10,126.0,189.71428571428572
2020-05-11,142.0,221.42857142857142
2020-05-12,209.0,251.0
2020-05-13,370.0,275.42857142857144
2020-05-14,372.0,296.7142857142857
2020-05-15,371.0,292.7142857142857
2020-05-16,338.0,283.85714285714283
2020-05-17,275.0,246.85714285714286
2020-05-18,114.0,209.28571428571428
2020-05-19,147.0,172.42857142857142
2020-05-20,111.0,144.71428571428572
2020-05-21,109.0,121.0
2020-05-22,113.0,121.0
2020-05-23,144.0,115.85714285714286
2020-05-24,109.0,117.42857142857143
2020-05-25,114.0,122.71428571428571
2020-05-26,111.0,125.57142857142857
2020-05-27,122.0,126.71428571428571
2020-05-28,146.0,127.14285714285714
2020-05-29,133.0,129.42857142857142
2020-05-30,152.0,136.0
2020-05-31,112.0,148.42857142857142
2020-06-01,130.0,197.28571428571428
2020-06-02,157.0,246.14285714285714
2020-06-03,209.0,291.2857142857143
2020-06-04,488.0,337.57142857142856
2020-06-05,475.0,376.14285714285717
2020-06-06,468.0,368.85714285714283
2020-06-07,436.0,354.14285714285717
2020-06-08,400.0,298.85714285714283
2020-06-09,106.0,246.57142857142858
2020-06-10,106.0,198.71428571428572
2020-06-11,101.0,153.42857142857142
2020-06-12,109.0,165.14285714285714
2020-06-13,133.0,164.28571428571428
2020-06-14,119.0,161.42857142857142
2020-06-15,482.0,158.42857142857142
2020-06-16,100.0,154.57142857142858
2020-06-17,86.0,146.71428571428572
2020-06-18,80.0,138.85714285714286
2020-06-19,82.0,80.57142857142857
2020-06-20,78.0,78.42857142857143
2020-06-21,64.0,78.85714285714286
2020-06-22,74.0,80.42857142857143
2020-06-23,85.0,82.0
2020-06-24,89.0,85.14285714285714
2020-06-25,91.0,90.71428571428571
2020-06-26,93.0,96.42857142857143
2020-06-27,100.0,98.0
2020-06-28,103.0,103.0
2020-06-29,114.0,104.71428571428571
2020-06-30,96.0,107.28571428571429
2020-07-01,124.0,107.14285714285714
2020-07-02,103.0,108.42857142857143
2020-07-03,111.0,107.85714285714286
2020-07-04,99.0,112.0
2020-07-05,112.0,113.28571428571429
2020-07-06,110.0,120.28571428571429
2020-07-07,125.0,148.14285714285714
2020-07-08,133.0,160.14285714285714
2020-07-09,152.0,170.85714285714286
2020-07-10,306.0,179.57142857142858
2020-07-11,183.0,194.28571428571428
2020-07-12,187.0,176.14285714285714
2020-07-13,171.0,195.57142857142858
2020-07-14,228.0,216.14285714285714
2020-07-15,6.0,257.0
2020-07-16,288.0,297.0
2020-07-17,450.0,342.14285714285717
2020-07-18,469.0,384.85714285714283
2020-07-19,467.0,443.85714285714283
2020-07-20,487.0,466.7142857142857
2020-07-21,527.0,467.14285714285717
2020-07-22,419.0,481.7142857142857
2020-07-23,448.0,495.7142857142857
2020-07-24,453.0,499.57142857142856
2020-07-25,571.0,511.0
2020-07-26,565.0,522.0
2020-07-27,514.0,529.5714285714286
2020-07-28,607.0,535.1428571428571
2020-07-29,496.0,533.7142857142857
2020-07-30,501.0,532.8571428571429
2020-07-31,492.0,534.8571428571429
2020-08-01,561.0,520.7142857142857
2020-08-02,559.0,520.8571428571429
2020-08-03,528.0,513.0
2020-08-04,508.0,504.42857142857144
2020-08-05,497.0,480.7142857142857
2020-08-06,446.0,459.0
2020-08-07,432.0,435.7142857142857
2020-08-08,395.0,423.85714285714283
2020-08-09,407.0,416.7142857142857
2020-08-10,365.0,419.42857142857144
2020-08-11,425.0,419.2857142857143
2020-08-12,447.0,419.7142857142857
2020-08-13,465.0,416.0
2020-08-14,431.0,422.0
2020-08-15,398.0,419.7142857142857
2020-08-16,381.0,410.7142857142857
2020-08-17,407.0,403.14285714285717
2020-08-18,409.0,400.57142857142856
2020-08-19,384.0,402.14285714285717
2020-08-20,412.0,403.42857142857144
2020-08-21,413.0,399.57142857142856
2020-08-22,409.0,399.0
2020-08-23,390.0,402.7142857142857
2020-08-24,380.0,403.7142857142857
2020-08-25,405.0,405.2857142857143
2020-08-26,410.0,400.14285714285717
2020-08-27,419.0,398.0
2020-08-28,424.0,400.57142857142856
2020-08-29,373.0,401.14285714285717
2020-08-30,375.0,397.57142857142856
2020-08-31,398.0,390.7142857142857
2020-09-01,409.0,388.0
2020-09-02,385.0,390.2857142857143
2020-09-03,371.0,392.85714285714283
2020-09-04,405.0,391.2857142857143
2020-09-05,389.0,389.57142857142856
2020-09-06,393.0,394.42857142857144
2020-09-07,387.0,403.57142857142856
2020-09-08,397.0,405.0
2020-09-09,419.0,410.7142857142857
2020-09-10,435.0,412.42857142857144
2020-09-11,415.0,418.42857142857144
2020-09-12,429.0,422.14285714285717
2020-09-13,405.0,426.42857142857144
2020-09-14,429.0,430.2857142857143
2020-09-15,423.0,436.14285714285717
2020-09-16,449.0,435.7142857142857
2020-09-17,462.0,435.14285714285717
2020-09-18,456.0,431.85714285714283
2020-09-19,426.0,426.14285714285717
2020-09-20,401.0,418.0
2020-09-21,406.0,406.57142857142856
2020-09-22,383.0,397.57142857142856
2020-09-23,392.0,387.85714285714283
2020-09-24,382.0,381.85714285714283
2020-09-25,393.0,375.0
2020-09-26,358.0,373.2857142857143
2020-09-27,359.0,366.14285714285717
2020-09-28,358.0,359.57142857142856
2020-09-29,371.0,355.2857142857143
2020-09-30,342.0,356.42857142857144
2020-10-01,336.0,354.2857142857143
2020-10-02,363.0,352.2857142857143
2020-10-03,366.0,348.42857142857144
2020-10-04,344.0,390.85714285714283
2020-10-05,344.0,434.7142857142857
2020-10-06,344.0,436.2857142857143
2020-10-07,639.0,436.2857142857143
2020-10-08,643.0,437.85714285714283
2020-10-09,374.0,438.7142857142857
2020-10-10,366.0,437.57142857142856
2020-10-11,355.0,401.14285714285717
2020-10-12,350.0,366.2857142857143
2020-10-13,336.0,367.2857142857143
2020-10-14,384.0,365.42857142857144
2020-10-15,399.0,362.2857142857143
2020-10-16,381.0,370.0
2020-10-17,353.0,388.0
2020-10-18,333.0,399.57142857142856
2020-10-19,404.0,412.0
2020-10-20,462.0,424.14285714285717
2020-10-21,465.0,440.85714285714283
2020-10-22,486.0,456.42857142857144
2020-10-23,466.0,462.7142857142857
2020-10-24,470.0,463.57142857142856
2020-10-25,442.0,471.14285714285717
2020-10-26,448.0,476.0
2020-10-27,468.0,488.0
2020-10-28,518.0,492.14285714285717
2020-10-29,520.0,499.85714285714283
2020-10-30,550.0,512.2857142857143
2020-10-31,499.0,517.5714285714286
2020-11-01,496.0,523.4285714285714
2020-11-02,535.0,522.8571428571429
2020-11-03,505.0,522.0
2020-11-04,559.0,528.1428571428571
2020-11-05,516.0,532.5714285714286
2020-11-06,544.0,537.7142857142857
2020-11-07,542.0,549.1428571428571
2020-11-08,527.0,554.1428571428571
2020-11-09,571.0,567.7142857142857
2020-11-10,585.0,576.2857142857143
2020-11-11,594.0,580.2857142857143
2020-11-12,611.0,582.5714285714286
2020-11-13,604.0,584.0
2020-11-14,570.0,588.0
