,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.14285714285714285
2020-02-28,0.0,0.2857142857142857
2020-02-29,0.0,0.2857142857142857
2020-03-01,1.0,0.2857142857142857
2020-03-02,1.0,0.2857142857142857
2020-03-03,0.0,0.2857142857142857
2020-03-04,0.0,0.42857142857142855
2020-03-05,0.0,0.2857142857142857
2020-03-06,0.0,0.14285714285714285
2020-03-07,1.0,0.14285714285714285
2020-03-08,0.0,0.42857142857142855
2020-03-09,0.0,0.14285714285714285
2020-03-10,0.0,1.4285714285714286
2020-03-11,2.0,2.4285714285714284
2020-03-12,-2.0,2.4285714285714284
2020-03-13,9.0,2.5714285714285716
2020-03-14,8.0,2.857142857142857
2020-03-15,0.0,4.0
2020-03-16,1.0,5.857142857142857
2020-03-17,2.0,6.0
2020-03-18,10.0,6.571428571428571
2020-03-19,11.0,9.0
2020-03-20,10.0,12.142857142857142
2020-03-21,12.0,14.428571428571429
2020-03-22,17.0,14.142857142857142
2020-03-23,23.0,17.285714285714285
2020-03-24,18.0,21.285714285714285
2020-03-25,8.0,24.714285714285715
2020-03-26,33.0,30.142857142857142
