,inpatient_beds_used_covid,7_day_avg
2020-03-03,1.0,0.5
2020-03-04,1.0,0.4
2020-03-05,0.0,0.3333333333333333
2020-03-06,0.0,0.2857142857142857
2020-03-07,0.0,0.14285714285714285
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.2857142857142857
2020-03-12,0.0,0.42857142857142855
2020-03-13,0.0,0.8571428571428571
2020-03-14,2.0,1.4285714285714286
2020-03-15,1.0,2.0
2020-03-16,3.0,2.5714285714285716
2020-03-17,4.0,3.0
2020-03-18,4.0,3.2857142857142856
2020-03-19,4.0,3.2857142857142856
2020-03-20,3.0,3.0
2020-03-21,4.0,3.0
2020-03-22,1.0,2.7142857142857144
2020-03-23,1.0,2.5714285714285716
2020-03-24,4.0,2.7142857142857144
2020-03-25,2.0,3.142857142857143
2020-03-26,3.0,13.285714285714286
2020-03-27,4.0,26.571428571428573
2020-03-28,7.0,42.857142857142854
2020-03-29,72.0,57.57142857142857
2020-03-30,94.0,74.57142857142857
2020-03-31,118.0,95.71428571428571
2020-04-01,105.0,117.85714285714286
2020-04-02,122.0,132.42857142857142
2020-04-03,152.0,151.71428571428572
2020-04-04,162.0,167.42857142857142
2020-04-05,174.0,183.0
2020-04-06,229.0,197.85714285714286
2020-04-07,228.0,212.0
2020-04-08,214.0,230.85714285714286
2020-04-09,226.0,245.42857142857142
2020-04-10,251.0,267.0
2020-04-11,294.0,292.2857142857143
2020-04-12,276.0,315.14285714285717
2020-04-13,380.0,335.42857142857144
2020-04-14,405.0,353.57142857142856
2020-04-15,374.0,365.42857142857144
2020-04-16,368.0,382.85714285714283
2020-04-17,378.0,387.0
2020-04-18,377.0,391.7142857142857
2020-04-19,398.0,400.7142857142857
2020-04-20,409.0,402.14285714285717
2020-04-21,438.0,414.14285714285717
2020-04-22,437.0,421.2857142857143
2020-04-23,378.0,429.57142857142856
2020-04-24,462.0,440.14285714285717
2020-04-25,427.0,438.14285714285717
2020-04-26,456.0,397.0
2020-04-27,483.0,374.7142857142857
2020-04-28,424.0,349.85714285714283
2020-04-29,149.0,346.7142857142857
2020-04-30,222.0,316.57142857142856
2020-05-01,288.0,306.85714285714283
2020-05-02,405.0,304.0
2020-05-03,245.0,333.0
2020-05-04,415.0,351.85714285714283
2020-05-05,404.0,354.85714285714283
2020-05-06,352.0,343.2857142857143
2020-05-07,354.0,357.85714285714283
2020-05-08,309.0,341.85714285714283
2020-05-09,324.0,336.0
2020-05-10,347.0,335.85714285714283
2020-05-11,303.0,333.42857142857144
2020-05-12,363.0,335.0
2020-05-13,351.0,293.2857142857143
2020-05-14,337.0,290.2857142857143
2020-05-15,320.0,289.85714285714283
2020-05-16,32.0,243.0
2020-05-17,326.0,235.57142857142858
2020-05-18,300.0,191.0
2020-05-19,35.0,187.28571428571428
2020-05-20,299.0,212.28571428571428
2020-05-21,25.0,207.0
2020-05-22,294.0,203.71428571428572
2020-05-23,207.0,241.57142857142858
2020-05-24,289.0,237.0
2020-05-25,277.0,268.14285714285717
2020-05-26,300.0,259.14285714285717
2020-05-27,267.0,268.85714285714283
2020-05-28,243.0,261.57142857142856
2020-05-29,231.0,251.57142857142858
2020-05-30,275.0,242.57142857142858
2020-05-31,238.0,237.28571428571428
2020-06-01,207.0,204.28571428571428
2020-06-02,237.0,199.57142857142858
2020-06-03,230.0,188.71428571428572
2020-06-04,12.0,182.71428571428572
2020-06-05,198.0,181.14285714285714
2020-06-06,199.0,148.42857142857142
2020-06-07,196.0,142.57142857142858
2020-06-08,196.0,170.28571428571428
2020-06-09,8.0,166.0
2020-06-10,189.0,139.0
2020-06-11,206.0,133.42857142857142
2020-06-12,168.0,126.28571428571429
2020-06-13,10.0,125.85714285714286
2020-06-14,157.0,114.71428571428571
2020-06-15,146.0,101.85714285714286
2020-06-16,5.0,94.28571428571429
2020-06-17,111.0,94.14285714285714
2020-06-18,116.0,80.0
2020-06-19,115.0,69.57142857142857
2020-06-20,9.0,84.28571428571429
2020-06-21,58.0,82.85714285714286
2020-06-22,73.0,79.71428571428571
