,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0.14285714285714285,1,1,0,0,0
2020-03-02,0.2857142857142857,1,2,0,0,0
2020-03-03,0.2857142857142857,0,2,0,0,0
2020-03-04,0.2857142857142857,0,2,0,0,0
2020-03-05,0.2857142857142857,0,2,0,0,0
2020-03-06,0.2857142857142857,0,2,0,0,0
2020-03-07,0.42857142857142855,1,3,0,0,0
2020-03-08,0.2857142857142857,0,3,0,0,0
2020-03-09,0.14285714285714285,0,3,0,0,0
2020-03-10,0.14285714285714285,0,3,0,0,0
2020-03-11,0.42857142857142855,2,5,0,0,0
2020-03-12,0.14285714285714285,-2,3,0,0,0
2020-03-13,1.4285714285714286,9,12,0,0,0
2020-03-14,2.4285714285714284,8,20,0,0,0
2020-03-15,2.4285714285714284,0,20,0,0,0
2020-03-16,2.5714285714285716,1,21,0,0,0
2020-03-17,2.857142857142857,2,23,0,0,0
2020-03-18,4,10,33,0,0,0
2020-03-19,5.857142857142857,11,44,0.14285714285714285,1,1
2020-03-20,6,10,54,0.14285714285714285,0,1
2020-03-21,6.571428571428571,12,66,0.14285714285714285,0,1
2020-03-22,9,17,83,0.14285714285714285,0,1
2020-03-23,12.142857142857142,23,106,0.14285714285714285,0,1
2020-03-24,14.428571428571429,18,124,0.14285714285714285,0,1
2020-03-25,14.142857142857142,8,132,0.14285714285714285,0,1
2020-03-26,17.285714285714285,33,165,0,0,1
2020-03-27,21.285714285714285,38,203,0.2857142857142857,2,3
2020-03-28,24.714285714285715,36,239,0.42857142857142855,1,4
2020-03-29,30.142857142857142,55,294,0.7142857142857143,2,6
2020-03-30,43.142857142857146,114,408,1.1428571428571428,3,9
2020-03-31,52,80,488,1.4285714285714286,2,11
2020-04-01,62,78,566,1.5714285714285714,1,12
2020-04-02,68.57142857142857,79,645,2.142857142857143,4,16
2020-04-03,72.57142857142857,66,711,2.2857142857142856,3,19
2020-04-04,81,95,806,3.4285714285714284,9,28
2020-04-05,89.71428571428571,116,922,3.4285714285714284,2,30
2020-04-06,96.28571428571429,160,1082,4,7,37
2020-04-07,105.85714285714286,147,1229,4.428571428571429,5,42
2020-04-08,126.28571428571429,221,1450,5.714285714285714,10,52
2020-04-09,154.57142857142858,277,1727,6.142857142857143,7,59
2020-04-10,145.14285714285714,0,1727,7.285714285714286,11,70
2020-04-11,220.42857142857142,622,2349,7.714285714285714,12,82
2020-04-12,249,316,2665,8.714285714285714,9,91
2020-04-13,226.14285714285714,0,2665,9,9,100
2020-04-14,288.85714285714283,586,3251,9.428571428571429,8,108
2020-04-15,257.2857142857143,0,3251,10.428571428571429,17,125
2020-04-16,257.42857142857144,278,3529,11.428571428571429,14,139
2020-04-17,350,648,4177,12.857142857142858,21,160
2020-04-18,306,314,4491,13.285714285714286,15,175
2020-04-19,291.57142857142856,215,4706,13.571428571428571,11,186
2020-04-20,346.42857142857144,384,5090,13.714285714285714,10,196
2020-04-21,321.2857142857143,410,5500,15.142857142857142,18,214
2020-04-22,370,341,5841,15.285714285714286,18,232
2020-04-23,389.57142857142856,415,6256,15.428571428571429,15,247
2020-04-24,360.2857142857143,443,6699,14.571428571428571,15,262
2020-04-25,376.85714285714283,430,7129,14.428571428571429,14,276
2020-04-26,390.42857142857144,310,7439,14.857142857142858,14,290
2020-04-27,374,269,7708,14.857142857142858,10,300
2020-04-28,346.7142857142857,219,7927,15.428571428571429,22,322
2020-04-29,343.7142857142857,320,8247,15.428571428571429,18,340
2020-04-30,337.85714285714283,374,8621,16.714285714285715,24,364
2020-05-01,323.2857142857143,341,8962,16.571428571428573,14,378
2020-05-02,308.57142857142856,327,9289,18,24,402
2020-05-03,291.14285714285717,188,9477,19,21,423
2020-05-04,277.7142857142857,175,9652,20.142857142857142,18,441
2020-05-05,286.57142857142856,281,9933,19.285714285714285,16,457
2020-05-06,279.7142857142857,272,10205,19.714285714285715,21,478
2020-05-07,272.7142857142857,325,10530,19.285714285714285,21,499
2020-05-08,259.57142857142856,249,10779,20.428571428571427,22,521
2020-05-09,242.85714285714286,210,10989,19.142857142857142,15,536
2020-05-10,256.7142857142857,285,11274,18.142857142857142,14,550
2020-05-11,256.85714285714283,176,11450,17.714285714285715,15,565
2020-05-12,240.14285714285714,164,11614,18.571428571428573,22,587
2020-05-13,232.85714285714286,221,11835,17.428571428571427,13,600
2020-05-14,212.28571428571428,181,12016,16.571428571428573,15,615
2020-05-15,205.71428571428572,203,12219,15.428571428571429,14,629
2020-05-16,206.42857142857142,215,12434,15.428571428571429,15,644
2020-05-17,200,240,12674,14.857142857142858,10,654
2020-05-18,192.14285714285714,121,12795,15.285714285714286,18,672
2020-05-19,191,156,12951,13.714285714285714,11,683
2020-05-20,217.28571428571428,405,13356,15,22,705
2020-05-21,222.14285714285714,215,13571,15.714285714285714,20,725
2020-05-22,216.71428571428572,165,13736,15.285714285714286,11,736
2020-05-23,216.85714285714286,216,13952,15,13,749
2020-05-24,198.71428571428572,113,14065,14.714285714285714,8,757
2020-05-25,181.42857142857142,0,14065,13.571428571428571,10,767
2020-05-26,179.85714285714286,145,14210,14.142857142857142,15,782
2020-05-27,142.42857142857142,143,14353,12.428571428571429,10,792
2020-05-28,131.85714285714286,141,14494,10.714285714285714,8,800
2020-05-29,128.42857142857142,141,14635,10.857142857142858,12,812
2020-05-30,123.85714285714286,184,14819,10.714285714285714,12,824
2020-05-31,123.28571428571429,109,14928,10,3,827
2020-06-01,132.28571428571428,63,14991,9.285714285714286,5,832
2020-06-02,128.85714285714286,121,15112,8.571428571428571,10,842
2020-06-03,123.71428571428571,107,15219,8.714285714285714,11,853
2020-06-04,118.71428571428571,106,15325,9.285714285714286,12,865
2020-06-05,115.14285714285714,116,15441,9.142857142857142,11,876
2020-06-06,88.85714285714286,0,15441,8.285714285714286,6,882
2020-06-07,73.28571428571429,0,15441,8.428571428571429,4,886
2020-06-08,93,201,15642,8.285714285714286,4,890
2020-06-09,82.71428571428571,49,15691,7,1,891
2020-06-10,76.71428571428571,65,15756,6,4,895
2020-06-11,76.71428571428571,106,15862,5.142857142857143,6,901
2020-06-12,72.28571428571429,85,15947,3.857142857142857,2,903
2020-06-13,72.28571428571429,0,15947,3.4285714285714284,3,906
2020-06-14,72.28571428571429,0,15947,3.2857142857142856,3,909
2020-06-15,64.42857142857143,146,16093,3.4285714285714284,5,914
2020-06-16,67.57142857142857,71,16164,4.428571428571429,8,922
2020-06-17,65.28571428571429,49,16213,4.714285714285714,6,928
2020-06-18,58.142857142857146,56,16269,4.857142857142857,7,935
2020-06-19,55.714285714285715,68,16337,5,3,938
2020-06-20,55.714285714285715,0,16337,5.142857142857143,4,942
2020-06-21,55.714285714285715,0,16337,5,2,944
2020-06-22,52.285714285714285,122,16459,4.571428571428571,2,946
2020-06-23,52.714285714285715,74,16533,4.428571428571429,7,953
2020-06-24,56.142857142857146,73,16606,4.285714285714286,5,958
2020-06-25,53,34,16640,3.4285714285714284,1,959
2020-06-26,46.285714285714285,21,16661,3.142857142857143,1,960
2020-06-27,46.285714285714285,0,16661,3.2857142857142856,5,965
2020-06-28,46.285714285714285,0,16661,3.857142857142857,6,971
2020-06-29,43.57142857142857,103,16764,3.7142857142857144,1,972
2020-06-30,40,49,16813,3.4285714285714284,5,977
2020-07-01,35.285714285714285,40,16853,2.857142857142857,1,978
2020-07-02,43,88,16941,3.142857142857143,3,981
2020-07-03,47.142857142857146,50,16991,3.4285714285714284,3,984
2020-07-04,47.142857142857146,0,16991,3,2,986
2020-07-05,47.142857142857146,0,16991,2.4285714285714284,2,988
2020-07-06,32.42857142857143,0,16991,2.857142857142857,4,992
2020-07-07,48.714285714285715,163,17154,2.4285714285714284,2,994
2020-07-08,50.142857142857146,50,17204,2.2857142857142856,0,994
2020-07-09,43.142857142857146,39,17243,1.8571428571428572,0,994
2020-07-10,45.857142857142854,69,17312,1.8571428571428572,3,997
2020-07-11,45.857142857142854,0,17312,2,3,1000
2020-07-12,45.857142857142854,0,17312,2.142857142857143,3,1003
2020-07-13,70.85714285714286,175,17487,1.7142857142857142,1,1004
2020-07-14,62,101,17588,1.5714285714285714,1,1005
2020-07-15,62.285714285714285,52,17640,1.5714285714285714,0,1005
2020-07-16,66.85714285714286,71,17711,1.7142857142857142,1,1006
2020-07-17,68.71428571428571,82,17793,1.5714285714285714,2,1008
2020-07-18,68.71428571428571,0,17793,1.7142857142857142,4,1012
2020-07-19,68.71428571428571,0,17793,1.5714285714285714,2,1014
2020-07-20,59.57142857142857,111,17904,1.7142857142857142,2,1016
2020-07-21,56.857142857142854,82,17986,1.7142857142857142,1,1017
2020-07-22,60.285714285714285,76,18062,1.8571428571428572,1,1018
2020-07-23,62.42857142857143,86,18148,1.7142857142857142,0,1018
2020-07-24,61.57142857142857,76,18224,1.4285714285714286,0,1018
2020-07-25,61.57142857142857,0,18224,1.2857142857142858,3,1021
2020-07-26,61.57142857142857,0,18224,1.1428571428571428,1,1022
2020-07-27,87.28571428571429,291,18515,1,1,1023
2020-07-28,105.57142857142857,210,18725,1,1,1024
2020-07-29,105.42857142857143,75,18800,0.8571428571428571,0,1024
2020-07-30,114.57142857142857,150,18950,1,1,1025
2020-07-31,114,72,19022,1.1428571428571428,1,1026
2020-08-01,114,0,19022,0.8571428571428571,1,1027
2020-08-02,114,0,19022,1,2,1029
2020-08-03,104.42857142857143,224,19246,1,1,1030
2020-08-04,95,144,19390,1.1428571428571428,2,1032
2020-08-05,97.28571428571429,91,19481,1.4285714285714286,2,1034
2020-08-06,94.42857142857143,130,19611,1.2857142857142858,0,1034
2020-08-07,102.28571428571429,127,19738,1.4285714285714286,2,1036
2020-08-08,102.28571428571429,0,19738,1.4285714285714286,1,1037
2020-08-09,102.28571428571429,0,19738,1.1428571428571428,0,1037
2020-08-10,98.28571428571429,196,19934,1.1428571428571428,1,1038
2020-08-11,94.71428571428571,119,20053,1.2857142857142858,3,1041
2020-08-12,92.57142857142857,76,20129,1.1428571428571428,1,1042
2020-08-13,89.85714285714286,111,20240,1.1428571428571428,0,1042
2020-08-14,85.28571428571429,95,20335,1.2857142857142858,3,1045
