,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,514.4285714285714
2020-12-19,0.0,739.1428571428571
2020-12-20,0.0,835.1428571428571
2020-12-21,3601.0,835.1428571428571
2020-12-22,1573.0,835.1428571428571
2020-12-23,672.0,835.1428571428571
2020-12-24,0.0,835.1428571428571
2020-12-25,0.0,1015.4285714285714
2020-12-26,0.0,924.1428571428571
2020-12-27,0.0,1421.142857142857
2020-12-28,4863.0,1421.142857142857
2020-12-29,934.0,1421.142857142857
2020-12-30,4151.0,1421.142857142857
2020-12-31,0.0,1421.142857142857
2021-01-01,0.0,1761.5714285714287
2021-01-02,0.0,1956.2857142857142
2021-01-03,0.0,1655.5714285714287
2021-01-04,7246.0,1812.2857142857142
2021-01-05,2297.0,2074.4285714285716
2021-01-06,2046.0,2074.4285714285716
2021-01-07,1097.0,2074.4285714285716
2021-01-08,1835.0,1626.142857142857
2021-01-09,0.0,2308.5714285714284
2021-01-10,0.0,2433.4285714285716
2021-01-11,4108.0,2630.285714285714
2021-01-12,7074.0,2811.285714285714
2021-01-13,2920.0,2811.285714285714
2021-01-14,2475.0,2811.285714285714
2021-01-15,3102.0,2224.4285714285716
2021-01-16,0.0,1213.857142857143
2021-01-17,0.0,1746.142857142857
2021-01-18,0.0,1825.0
2021-01-19,0.0,1704.5714285714287
2021-01-20,6646.0,2121.4285714285716
2021-01-21,3027.0,2121.4285714285716
2021-01-22,2259.0,2121.4285714285716
2021-01-23,2918.0,3253.4285714285716
2021-01-24,0.0,2903.5714285714284
2021-01-25,0.0,3058.5714285714284
2021-01-26,7924.0,3309.0
2021-01-27,4197.0,3384.4285714285716
2021-01-28,4112.0,3384.4285714285716
2021-01-29,4012.0,4914.857142857143
2021-01-30,3446.0,4055.714285714286
2021-01-31,0.0,3837.1428571428573
2021-02-01,10713.0,3803.0
2021-02-02,1910.0,3905.8571428571427
2021-02-03,2667.0,3413.5714285714284
2021-02-04,3873.0,3413.5714285714284
2021-02-05,4732.0,3181.8571428571427
2021-02-06,0.0,3260.5714285714284
2021-02-07,0.0,3258.0
2021-02-08,9091.0,3560.0
2021-02-09,2461.0,3469.8571428571427
2021-02-10,2649.0,3469.8571428571427
2021-02-11,5987.0,3469.8571428571427
2021-02-12,4101.0,3655.4285714285716
2021-02-13,0.0,3708.8571428571427
2021-02-14,0.0,5375.857142857143
2021-02-15,10390.0,5684.285714285715
2021-02-16,2835.0,5098.428571428572
2021-02-17,14318.0,6552.714285714285
2021-02-18,8146.0,8786.285714285714
2021-02-19,0.0,7302.0
2021-02-20,10180.0,8641.42857142857
2021-02-21,15635.0,6596.0
2021-02-22,0.0,6409.285714285715
2021-02-23,12211.0,7580.0
2021-02-24,0.0,7481.714285714285
2021-02-25,6839.0,6658.0
2021-02-26,8195.0,8556.42857142857
2021-02-27,9492.0,8264.57142857143
2021-02-28,9869.0,9162.714285714286
2021-03-01,13289.0,9181.142857142857
2021-03-02,10168.0,9181.285714285714
2021-03-03,6287.0,9191.857142857143
2021-03-04,6968.0,9175.42857142857
2021-03-05,8196.0,9626.57142857143
2021-03-06,9566.0,8174.0
2021-03-07,9754.0,8258.285714285714
2021-03-08,16447.0,8318.57142857143
2021-03-09,0.0,8573.714285714286
2021-03-10,6877.0,8424.57142857143
2021-03-11,7390.0,10357.0
2021-03-12,9982.0,8007.428571428572
2021-03-13,8522.0,8812.857142857143
2021-03-14,23281.0,9033.714285714286
2021-03-15,0.0,9175.285714285714
2021-03-16,5638.0,9691.42857142857
2021-03-17,8423.0,10727.857142857143
2021-03-18,8381.0,9543.0
2021-03-19,13595.0,11492.42857142857
2021-03-20,15777.0,11911.42857142857
2021-03-21,14987.0,11886.0
2021-03-22,13646.0,12138.142857142857
2021-03-23,8571.0,11575.0
2021-03-24,8245.0,10823.714285714286
2021-03-25,10146.0,10091.857142857143
2021-03-26,9653.0,10277.57142857143
2021-03-27,10518.0,10294.857142857143
2021-03-28,9864.0,10386.857142857143
2021-03-29,14946.0,10041.0
2021-03-30,8692.0,10986.57142857143
2021-03-31,8889.0,11745.285714285714
2021-04-01,7725.0,12779.57142857143
2021-04-02,16272.0,12977.42857142857
2021-04-03,15829.0,12523.714285714286
2021-04-04,17104.0,12646.0
2021-04-05,16331.0,13333.285714285714
2021-04-06,5516.0,12927.714285714286
2021-04-07,9745.0,12563.714285714286
2021-04-08,12536.0,12418.0
2021-04-09,13433.0,11909.857142857143
2021-04-10,13281.0,13691.57142857143
2021-04-11,16084.0,13122.0
2021-04-12,12774.0,12636.714285714286
2021-04-13,17988.0,12604.57142857143
2021-04-14,5758.0,12016.57142857143
2021-04-15,9139.0,11353.285714285714
2021-04-16,13208.0,11190.57142857143
2021-04-17,9165.0,10559.714285714286
2021-04-18,11441.0,10643.0
2021-04-19,11635.0,10943.42857142857
2021-04-20,13572.0,10477.857142857143
2021-04-21,6341.0,11461.285714285714
2021-04-22,11242.0,11859.42857142857
2021-04-23,9949.0,12049.57142857143
2021-04-24,16049.0,12113.142857142857
2021-04-25,14228.0,12207.285714285714
2021-04-26,12966.0,11439.285714285714
2021-04-27,14017.0,12042.714285714286
2021-04-28,7000.0,11450.285714285714
2021-04-29,5866.0,10800.714285714286
2021-04-30,14173.0,9799.57142857143
2021-05-01,11902.0,7797.142857142857
2021-05-02,9681.0,8323.42857142857
2021-05-03,5958.0,10448.0
2021-05-04,0.0,9449.57142857143
2021-05-05,10684.0,7749.285714285715
2021-05-06,20738.0,7628.714285714285
2021-05-07,7184.0,7923.142857142857
2021-05-08,0.0,9929.714285714286
2021-05-09,8837.0,10383.142857142857
2021-05-10,8019.0,9539.142857142857
2021-05-11,14046.0,10418.42857142857
2021-05-12,13858.0,10418.42857142857
2021-05-13,14830.0,10734.285714285714
2021-05-14,13339.0,12242.857142857143
2021-05-15,0.0,11354.285714285714
2021-05-16,11048.0,9374.57142857143
2021-05-17,18579.0,9522.42857142857
2021-05-18,7826.0,8784.714285714286
2021-05-19,0.0,8990.0
2021-05-20,15865.0,8378.714285714286
2021-05-21,8175.0,6717.857142857143
2021-05-22,1437.0,6145.0
2021-05-23,6769.0,7193.714285714285
2021-05-24,6953.0,5772.571428571428
2021-05-25,3816.0,5530.0
2021-05-26,7341.0,6212.166666666667
2021-05-27,5917.0,6100.8
2021-05-28,6477.0,5887.75
