,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,563.1428571428571
2020-12-29,0.0,563.1428571428571
2020-12-30,0.0,563.1428571428571
2020-12-31,3942.0,563.1428571428571
2021-01-01,0.0,563.1428571428571
2021-01-02,0.0,563.1428571428571
2021-01-03,0.0,563.1428571428571
2021-01-04,0.0,0.0
2021-01-05,0.0,5637.428571428572
2021-01-06,0.0,7512.714285714285
2021-01-07,0.0,8608.285714285714
2021-01-08,39462.0,9536.57142857143
2021-01-09,13127.0,10838.57142857143
2021-01-10,7669.0,11817.0
2021-01-11,6498.0,14087.42857142857
2021-01-12,9114.0,9665.285714285714
2021-01-13,6849.0,9043.714285714286
2021-01-14,15893.0,8410.57142857143
2021-01-15,8507.0,8277.714285714286
2021-01-16,8776.0,6975.714285714285
2021-01-17,3237.0,7308.0
2021-01-18,5568.0,7497.0
2021-01-19,0.0,9367.142857142857
2021-01-20,9175.0,12413.285714285714
2021-01-21,17216.0,15664.57142857143
2021-01-22,21598.0,16208.285714285714
2021-01-23,30099.0,16782.428571428572
2021-01-24,25996.0,17782.571428571428
2021-01-25,9374.0,19801.428571428572
2021-01-26,4019.0,21571.0
2021-01-27,16176.0,18572.285714285714
2021-01-28,31348.0,18849.428571428572
2021-01-29,33985.0,20201.714285714286
2021-01-30,9108.0,19955.285714285714
2021-01-31,27936.0,24749.0
2021-02-01,18840.0,21485.85714285714
2021-02-02,2294.0,19235.285714285714
2021-02-03,49732.0,20999.714285714286
2021-02-04,8506.0,20435.571428571428
2021-02-05,18231.0,21463.85714285714
2021-02-06,21459.0,23532.571428571428
2021-02-07,23987.0,16428.0
2021-02-08,26038.0,18408.571428571428
2021-02-09,16775.0,18723.285714285714
2021-02-10,0.0,18640.428571428572
2021-02-11,22370.0,18852.0
2021-02-12,20434.0,19324.14285714286
2021-02-13,20879.0,16927.714285714286
2021-02-14,25468.0,21826.285714285714
2021-02-15,29343.0,21051.428571428572
2021-02-16,0.0,21373.85714285714
2021-02-17,34290.0,28382.714285714286
2021-02-18,16946.0,29276.14285714286
2021-02-19,22691.0,29497.571428571428
2021-02-20,69941.0,33850.0
2021-02-21,31722.0,28951.428571428572
2021-02-22,30893.0,31183.0
2021-02-23,30467.0,31394.428571428572
2021-02-24,0.0,25323.14285714286
2021-02-25,32567.0,25456.14285714286
2021-02-26,24171.0,25125.85714285714
2021-02-27,27442.0,25096.428571428572
2021-02-28,32653.0,25987.571428571428
2021-03-01,28581.0,25213.714285714286
2021-03-02,30261.0,29268.428571428572
2021-03-03,6238.0,29580.14285714286
2021-03-04,27150.0,32372.285714285714
2021-03-05,52554.0,41994.28571428572
2021-03-06,29624.0,37671.28571428572
2021-03-07,52198.0,39187.57142857143
2021-03-08,95935.0,38973.857142857145
2021-03-09,0.0,36988.42857142857
2021-03-10,16852.0,37285.57142857143
2021-03-11,25654.0,42703.57142857143
2021-03-12,38656.0,28998.571428571428
2021-03-13,31704.0,34049.142857142855
2021-03-14,90124.0,32823.28571428572
2021-03-15,0.0,32286.714285714286
2021-03-16,35354.0,32076.85714285714
2021-03-17,8271.0,32889.71428571428
2021-03-18,21898.0,23144.428571428572
2021-03-19,37187.0,29971.0
2021-03-20,37394.0,30873.0
2021-03-21,21907.0,31570.285714285714
2021-03-22,47786.0,34353.57142857143
2021-03-23,41668.0,34307.57142857143
2021-03-24,13152.0,35166.0
2021-03-25,41381.0,38867.28571428572
2021-03-26,36865.0,39025.857142857145
2021-03-27,43403.0,39172.28571428572
2021-03-28,47816.0,39475.142857142855
2021-03-29,48896.0,37280.57142857143
2021-03-30,42693.0,37872.857142857145
2021-03-31,15272.0,39066.28571428572
2021-04-01,26019.0,32412.14285714286
2021-04-02,41011.0,34131.142857142855
2021-04-03,51757.0,31362.714285714286
2021-04-04,1237.0,31075.14285714286
2021-04-05,60929.0,33071.142857142855
2021-04-06,23314.0,49720.857142857145
2021-04-07,13259.0,49741.42857142857
2021-04-08,39991.0,58461.57142857143
2021-04-09,157559.0,55577.142857142855
2021-04-10,51901.0,54150.28571428572
2021-04-11,62278.0,56117.0
2021-04-12,40738.0,56202.0
2021-04-13,13326.0,40023.142857142855
2021-04-14,27026.0,39251.57142857143
2021-04-15,40586.0,36420.28571428572
2021-04-16,44307.0,36181.142857142855
2021-04-17,46500.0,36470.857142857145
2021-04-18,42459.0,35665.71428571428
2021-04-19,39064.0,30059.571428571428
2021-04-20,15354.0,28852.285714285714
2021-04-21,21390.0,27458.0
2021-04-22,1343.0,26556.571428571428
2021-04-23,35856.0,23346.14285714286
2021-04-24,36740.0,28592.714285714286
2021-04-25,36149.0,28360.285714285714
2021-04-26,16591.0,31860.85714285714
2021-04-27,52080.0,31444.14285714286
2021-04-28,19763.0,30716.571428571428
2021-04-29,25847.0,29209.285714285714
2021-04-30,32939.0,29125.14285714286
2021-05-01,31647.0,21685.14285714286
2021-05-02,25598.0,20894.714285714286
2021-05-03,16002.0,21308.0
2021-05-04,0.0,21131.0
2021-05-05,14230.0,20035.428571428572
2021-05-06,28740.0,20029.85714285714
2021-05-07,31700.0,21293.85714285714
2021-05-08,23978.0,23252.85714285714
2021-05-09,25559.0,23034.571428571428
2021-05-10,24850.0,21407.428571428572
2021-05-11,13713.0,19040.0
2021-05-12,12702.0,18506.428571428572
2021-05-13,17350.0,18049.285714285714
2021-05-14,15128.0,16573.714285714286
2021-05-15,20243.0,16029.714285714286
2021-05-16,22359.0,15364.142857142857
2021-05-17,14521.0,15913.57142857143
2021-05-18,9905.0,16402.14285714286
2021-05-19,8043.0,17172.285714285714
2021-05-20,21196.0,16199.0
2021-05-21,18548.0,15968.42857142857
2021-05-22,25634.0,15290.0
2021-05-23,15546.0,15400.42857142857
2021-05-24,12907.0,14910.57142857143
2021-05-25,5156.0,14345.857142857143
2021-05-26,8816.0,12464.5
2021-05-27,17767.0,11848.2
2021-05-28,14595.0,11583.5
