,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,1.1428571428571428,8,8,0.14285714285714285,1,1
2020-03-12,1,-1,7,0.14285714285714285,0,1
2020-03-13,1.1428571428571428,1,8,0.14285714285714285,0,1
2020-03-14,1.1428571428571428,0,8,0.14285714285714285,0,1
2020-03-15,1.1428571428571428,0,8,0.14285714285714285,0,1
2020-03-16,1.4285714285714286,2,10,0.14285714285714285,0,1
2020-03-17,1.5714285714285714,1,11,0.14285714285714285,0,1
2020-03-18,0.42857142857142855,0,11,0,0,1
2020-03-19,1,3,14,0,0,1
2020-03-20,0.8571428571428571,0,14,0,0,1
2020-03-21,0.8571428571428571,0,14,0,0,1
2020-03-22,1.8571428571428572,7,21,0,0,1
2020-03-23,2.5714285714285716,7,28,0,0,1
2020-03-24,2.7142857142857144,2,30,0,0,1
2020-03-25,4.285714285714286,11,41,0,0,1
2020-03-26,4.571428571428571,5,46,0,0,1
2020-03-27,6.285714285714286,12,58,0,0,1
2020-03-28,7.714285714285714,10,68,0,0,1
2020-03-29,9.857142857142858,22,90,0,0,1
2020-03-30,10.428571428571429,11,101,0,0,1
2020-03-31,11.142857142857142,7,108,0,0,1
2020-04-01,12.571428571428571,21,129,0.14285714285714285,1,2
2020-04-02,17,36,165,0.14285714285714285,0,2
2020-04-03,18.428571428571427,22,187,0.14285714285714285,0,2
2020-04-04,20.571428571428573,25,212,0.14285714285714285,0,2
2020-04-05,21.428571428571427,28,240,0.14285714285714285,0,2
2020-04-06,26.714285714285715,48,288,0.42857142857142855,2,4
2020-04-07,30.285714285714285,32,320,0.7142857142857143,2,6
2020-04-08,37.714285714285715,73,393,0.5714285714285714,0,6
2020-04-09,40.285714285714285,54,447,0.5714285714285714,0,6
2020-04-10,49.857142857142854,89,536,0.5714285714285714,0,6
2020-04-11,59.142857142857146,90,626,0.5714285714285714,0,6
2020-04-12,70,104,730,0.5714285714285714,0,6
2020-04-13,82.85714285714286,138,868,0.2857142857142857,0,6
2020-04-14,95.42857142857143,120,988,0,0,6
2020-04-15,110.71428571428571,180,1168,0,0,6
2020-04-16,123.42857142857143,143,1311,0.14285714285714285,1,7
2020-04-17,125,100,1411,0.14285714285714285,0,7
2020-04-18,130.85714285714286,131,1542,0.14285714285714285,0,7
2020-04-19,129.28571428571428,93,1635,0.14285714285714285,0,7
2020-04-20,116.71428571428571,50,1685,0.14285714285714285,0,7
2020-04-21,109.57142857142857,70,1755,0.2857142857142857,1,8
2020-04-22,98.57142857142857,103,1858,0.42857142857142855,1,9
2020-04-23,92.14285714285714,98,1956,0.2857142857142857,0,9
2020-04-24,89.85714285714286,84,2040,0.42857142857142855,1,10
2020-04-25,86.42857142857143,107,2147,0.42857142857142855,0,10
2020-04-26,82.42857142857143,65,2212,0.5714285714285714,1,11
2020-04-27,79.85714285714286,32,2244,0.5714285714285714,0,11
2020-04-28,79.71428571428571,69,2313,0.42857142857142855,0,11
2020-04-29,73.57142857142857,60,2373,0.5714285714285714,2,13
2020-04-30,70.42857142857143,76,2449,1.1428571428571428,4,17
2020-05-01,69.28571428571429,76,2525,1.5714285714285714,4,21
2020-05-02,63,63,2588,1.5714285714285714,0,21
2020-05-03,59.857142857142854,43,2631,1.4285714285714286,0,21
2020-05-04,60.57142857142857,37,2668,1.4285714285714286,0,21
2020-05-05,58.285714285714285,53,2721,1.8571428571428572,3,24
2020-05-06,58.142857142857146,59,2780,2.2857142857142856,5,29
2020-05-07,65.28571428571429,126,2906,2,2,31
2020-05-08,88.57142857142857,239,3145,1.4285714285714286,0,31
2020-05-09,115,248,3393,1.8571428571428572,3,34
2020-05-10,126.57142857142857,124,3517,1.8571428571428572,0,34
2020-05-11,135.14285714285714,97,3614,1.8571428571428572,0,34
2020-05-12,134.57142857142858,49,3663,2.142857142857143,5,39
2020-05-13,136,69,3732,1.4285714285714286,0,39
2020-05-14,126.57142857142857,60,3792,1.7142857142857142,4,43
2020-05-15,106,95,3887,1.8571428571428572,1,44
2020-05-16,80.85714285714286,72,3959,1.4285714285714286,0,44
2020-05-17,67.14285714285714,28,3987,1.4285714285714286,0,44
2020-05-18,59,40,4027,1.4285714285714286,0,44
2020-05-19,60.285714285714285,58,4085,1,2,46
2020-05-20,63.57142857142857,92,4177,1,0,46
2020-05-21,55,0,4177,0.7142857142857143,2,48
2020-05-22,67,179,4356,0.8571428571428571,2,50
2020-05-23,72.14285714285714,108,4464,0.8571428571428571,0,50
2020-05-24,82.28571428571429,99,4563,0.8571428571428571,0,50
2020-05-25,79.85714285714286,23,4586,0.8571428571428571,0,50
2020-05-26,81.14285714285714,67,4653,0.5714285714285714,0,50
2020-05-27,76.14285714285714,57,4710,1.1428571428571428,4,54
2020-05-28,88,83,4793,0.8571428571428571,0,54
2020-05-29,72.85714285714286,73,4866,1.2857142857142858,5,59
2020-05-30,70.85714285714286,94,4960,1.7142857142857142,3,62
2020-05-31,61.42857142857143,33,4993,1.7142857142857142,0,62
2020-06-01,64,41,5034,1.7142857142857142,0,62
2020-06-02,59.142857142857146,33,5067,1.7142857142857142,0,62
2020-06-03,64.57142857142857,95,5162,1.1428571428571428,0,62
2020-06-04,64.85714285714286,85,5247,1.4285714285714286,2,64
2020-06-05,58.714285714285715,30,5277,0.7142857142857143,0,64
2020-06-06,58.142857142857146,90,5367,0.42857142857142855,1,65
2020-06-07,63.57142857142857,71,5438,0.42857142857142855,0,65
2020-06-08,62.42857142857143,33,5471,0.42857142857142855,0,65
2020-06-09,65.14285714285714,52,5523,0.8571428571428571,3,68
2020-06-10,63.142857142857146,81,5604,1,1,69
2020-06-11,59.714285714285715,61,5665,1.2857142857142858,4,73
2020-06-12,66.42857142857143,77,5742,1.4285714285714286,1,74
2020-06-13,66.57142857142857,91,5833,1.4285714285714286,1,75
2020-06-14,65.71428571428571,65,5898,1.4285714285714286,0,75
2020-06-15,65.28571428571429,30,5928,1.4285714285714286,0,75
2020-06-16,63.285714285714285,38,5966,1.2857142857142858,2,77
2020-06-17,63.714285714285715,84,6050,1.2857142857142858,1,78
2020-06-18,63.42857142857143,59,6109,0.7142857142857143,0,78
2020-06-19,59.42857142857143,49,6158,1,3,81
2020-06-20,56,67,6225,0.8571428571428571,0,81
2020-06-21,57,72,6297,0.8571428571428571,0,81
2020-06-22,56.857142857142854,29,6326,0.8571428571428571,0,81
2020-06-23,55.285714285714285,27,6353,0.8571428571428571,2,83
2020-06-24,52.714285714285715,66,6419,0.8571428571428571,1,84
2020-06-25,52.857142857142854,60,6479,1.2857142857142858,3,87
2020-06-26,53.857142857142854,56,6535,1,1,88
2020-06-27,57.285714285714285,91,6626,1.4285714285714286,3,91
2020-06-28,54.857142857142854,55,6681,1.4285714285714286,0,91
2020-06-29,55.714285714285715,35,6716,1.4285714285714286,0,91
2020-06-30,58.714285714285715,48,6764,1.1428571428571428,0,91
2020-07-01,58.142857142857146,62,6826,1.2857142857142858,2,93
2020-07-02,59.142857142857146,67,6893,1.4285714285714286,4,97
2020-07-03,63.285714285714285,85,6978,1.2857142857142858,0,97
2020-07-04,57.42857142857143,50,7028,0.8571428571428571,0,97
2020-07-05,54.57142857142857,35,7063,0.8571428571428571,0,97
2020-07-06,55.57142857142857,42,7105,0.8571428571428571,0,97
2020-07-07,57,58,7163,1,1,98
2020-07-08,59.42857142857143,79,7242,0.7142857142857143,0,98
2020-07-09,63.285714285714285,94,7336,0.5714285714285714,3,101
2020-07-10,60.42857142857143,65,7401,1.4285714285714286,6,107
2020-07-11,60.857142857142854,53,7454,1.7142857142857142,2,109
2020-07-12,62.285714285714285,45,7499,1.7142857142857142,0,109
2020-07-13,59.857142857142854,25,7524,1.7142857142857142,0,109
2020-07-14,58.42857142857143,48,7572,1.5714285714285714,0,109
2020-07-15,58.57142857142857,80,7652,1.8571428571428572,2,111
2020-07-16,51.142857142857146,42,7694,2,4,115
2020-07-17,55.42857142857143,95,7789,1.2857142857142858,1,116
2020-07-18,58.285714285714285,73,7862,1,0,116
2020-07-19,58.142857142857146,44,7906,1.2857142857142858,2,118
2020-07-20,59.857142857142854,37,7943,1.2857142857142858,0,118
2020-07-21,63.857142857142854,76,8019,1.2857142857142858,0,118
2020-07-22,60.714285714285715,58,8077,1.1428571428571428,1,119
2020-07-23,64.14285714285714,66,8143,0.8571428571428571,2,121
2020-07-24,58.714285714285715,57,8200,0.8571428571428571,1,122
2020-07-25,63.285714285714285,105,8305,0.8571428571428571,0,122
2020-07-26,69.85714285714286,90,8395,0.7142857142857143,1,123
2020-07-27,71.57142857142857,49,8444,0.7142857142857143,0,123
2020-07-28,67.57142857142857,48,8492,0.7142857142857143,0,123
2020-07-29,80.57142857142857,149,8641,1.4285714285714286,6,129
2020-07-30,77.42857142857143,44,8685,1.1428571428571428,0,129
2020-07-31,80.57142857142857,79,8764,1.1428571428571428,1,130
2020-08-01,80.28571428571429,103,8867,1.7142857142857142,4,134
2020-08-02,80,88,8955,1.7142857142857142,1,135
2020-08-03,82.28571428571429,65,9020,1.7142857142857142,0,135
2020-08-04,83.85714285714286,59,9079,1.8571428571428572,1,136
2020-08-05,75.28571428571429,89,9168,1.1428571428571428,1,137
2020-08-06,84,105,9273,1.7142857142857142,4,141
2020-08-07,86.71428571428571,98,9371,2,3,144
2020-08-08,87.14285714285714,106,9477,1.7142857142857142,2,146
2020-08-09,92.85714285714286,128,9605,1.5714285714285714,0,146
2020-08-10,91.85714285714286,58,9663,1.5714285714285714,0,146
2020-08-11,90.57142857142857,50,9713,1.4285714285714286,0,146
2020-08-12,92.42857142857143,102,9815,1.4285714285714286,1,147
2020-08-13,89.14285714285714,82,9897,1,1,148
2020-08-14,93.28571428571429,127,10024,0.8571428571428571,2,150
