,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,669.0
2020-12-17,0.0,685.1428571428571
2020-12-18,0.0,857.2857142857143
2020-12-19,4683.0,904.1428571428571
2020-12-20,113.0,983.2857142857143
2020-12-21,1205.0,1179.2857142857142
2020-12-22,328.0,1627.857142857143
2020-12-23,554.0,1073.142857142857
2020-12-24,1372.0,1212.5714285714287
2020-12-25,3140.0,1187.7142857142858
2020-12-26,800.0,1588.0
2020-12-27,1089.0,1440.7142857142858
2020-12-28,1031.0,1624.857142857143
2020-12-29,3130.0,1176.2857142857142
2020-12-30,-477.0,1814.142857142857
2020-12-31,2661.0,1724.4285714285713
2021-01-01,0.0,1583.2857142857142
2021-01-02,5265.0,1374.4285714285713
2021-01-03,461.0,1826.2857142857142
2021-01-04,43.0,1749.2857142857142
2021-01-05,1668.0,2249.4285714285716
2021-01-06,2686.0,1982.142857142857
2021-01-07,2122.0,2457.5714285714284
2021-01-08,3501.0,3044.5714285714284
2021-01-09,3394.0,2873.8571428571427
2021-01-10,3789.0,2777.8571428571427
2021-01-11,4152.0,2985.0
2021-01-12,473.0,2887.5714285714284
2021-01-13,2014.0,2178.1428571428573
2021-01-14,3572.0,1793.142857142857
2021-01-15,2819.0,1270.857142857143
2021-01-16,-1572.0,1773.5714285714287
2021-01-17,1094.0,1686.5714285714287
2021-01-18,496.0,1584.7142857142858
2021-01-19,3992.0,1934.2857142857142
2021-01-20,1405.0,3095.5714285714284
2021-01-21,2859.0,3402.285714285714
2021-01-22,5266.0,3627.285714285714
2021-01-23,6557.0,3101.4285714285716
2021-01-24,3241.0,3495.4285714285716
2021-01-25,2071.0,3771.285714285714
2021-01-26,311.0,3798.285714285714
2021-01-27,4163.0,3663.8571428571427
2021-01-28,4790.0,3645.714285714286
2021-01-29,5455.0,3596.1428571428573
2021-01-30,5616.0,3597.285714285714
2021-01-31,3114.0,3425.8571428571427
2021-02-01,1724.0,3414.285714285714
2021-02-02,319.0,3480.285714285714
2021-02-03,2963.0,3535.0
2021-02-04,4709.0,3639.714285714286
2021-02-05,5917.0,3626.1428571428573
2021-02-06,5999.0,3603.8571428571427
2021-02-07,3847.0,3638.714285714286
2021-02-08,1629.0,3722.4285714285716
2021-02-09,163.0,3868.1428571428573
2021-02-10,3207.0,3919.1428571428573
2021-02-11,5295.0,4112.0
2021-02-12,6937.0,3879.285714285714
2021-02-13,6356.0,4236.285714285715
2021-02-14,5197.0,4203.857142857143
2021-02-15,0.0,4206.0
2021-02-16,2662.0,9932.57142857143
2021-02-17,2980.0,10117.42857142857
2021-02-18,5310.0,10357.42857142857
2021-02-19,47023.0,10820.142857142857
2021-02-20,7650.0,10620.714285714286
2021-02-21,6877.0,10977.857142857143
2021-02-22,3239.0,11291.57142857143
2021-02-23,1266.0,5907.857142857143
2021-02-24,5480.0,6205.857142857143
2021-02-25,7506.0,6508.571428571428
2021-02-26,9337.0,6587.285714285715
2021-02-27,9736.0,6477.857142857143
2021-02-28,8996.0,6421.0
2021-03-01,3790.0,6364.142857142857
2021-03-02,500.0,6404.142857142857
2021-03-03,5082.0,6469.714285714285
2021-03-04,7108.0,6382.0
2021-03-05,9617.0,6313.857142857143
2021-03-06,10195.0,6312.571428571428
2021-03-07,8382.0,6343.142857142857
2021-03-08,3313.0,6399.857142857143
2021-03-09,491.0,6376.285714285715
2021-03-10,5296.0,6584.285714285715
2021-03-11,7505.0,7158.0
2021-03-12,9452.0,7461.857142857143
2021-03-13,11651.0,7592.571428571428
2021-03-14,12398.0,7561.142857142857
2021-03-15,5440.0,7632.857142857143
2021-03-16,1406.0,7770.714285714285
2021-03-17,5076.0,7684.428571428572
2021-03-18,8007.0,7391.571428571428
2021-03-19,10417.0,7081.571428571428
2021-03-20,11047.0,7015.857142857143
2021-03-21,10348.0,7329.0
2021-03-22,3270.0,7449.714285714285
2021-03-23,946.0,7666.285714285715
2021-03-24,7268.0,8172.285714285715
2021-03-25,8852.0,8244.285714285714
2021-03-26,11933.0,8567.142857142857
2021-03-27,14589.0,8643.285714285714
2021-03-28,10852.0,8615.857142857143
2021-03-29,5530.0,8562.714285714286
2021-03-30,1479.0,8333.857142857143
2021-03-31,7076.0,8319.0
2021-04-01,8480.0,8199.857142857143
2021-04-02,10331.0,7912.142857142857
2021-04-03,14485.0,7811.571428571428
2021-04-04,10018.0,7690.428571428572
2021-04-05,3516.0,7883.142857142857
2021-04-06,775.0,7960.857142857143
2021-04-07,6228.0,7761.0
2021-04-08,9829.0,7788.0
2021-04-09,10875.0,7782.857142857143
2021-04-10,13086.0,7829.428571428572
2021-04-11,10207.0,7642.285714285715
2021-04-12,3480.0,7354.285714285715
2021-04-13,1101.0,6959.857142857143
2021-04-14,4918.0,6213.857142857143
2021-04-15,7813.0,5887.857142857143
2021-04-16,8114.0,5851.142857142857
2021-04-17,7864.0,5826.714285714285
2021-04-18,7925.0,5687.714285714285
2021-04-19,3223.0,5552.142857142857
2021-04-20,930.0,5842.0
2021-04-21,3945.0,5939.0
2021-04-22,6864.0,5888.142857142857
2021-04-23,10143.0,5879.571428571428
2021-04-24,8543.0,5866.714285714285
2021-04-25,7569.0,5901.714285714285
2021-04-26,3163.0,5899.428571428572
2021-04-27,840.0,5490.857142857143
2021-04-28,4190.0,5923.285714285715
2021-04-29,6848.0,4912.857142857143
2021-04-30,7283.0,4493.285714285715
2021-05-01,11570.0,4373.285714285715
2021-05-02,496.0,4448.571428571428
2021-05-03,226.0,4059.0
2021-05-04,0.0,3613.5714285714284
2021-05-05,4717.0,2942.0
2021-05-06,4121.0,2962.1428571428573
2021-05-07,4165.0,2956.285714285714
2021-05-08,6869.0,3369.5714285714284
2021-05-09,637.0,2898.0
2021-05-10,185.0,2726.1428571428573
2021-05-11,2893.0,2532.0
2021-05-12,1416.0,2487.1428571428573
2021-05-13,2918.0,2483.1428571428573
2021-05-14,2806.0,2500.5714285714284
2021-05-15,6555.0,2392.285714285714
2021-05-16,609.0,2442.1428571428573
2021-05-17,307.0,2474.4285714285716
2021-05-18,2135.0,2409.5714285714284
2021-05-19,1765.0,2226.285714285714
2021-05-20,3144.0,2197.285714285714
2021-05-21,2352.0,2183.285714285714
2021-05-22,5272.0,2132.0
2021-05-23,406.0,2099.5714285714284
2021-05-24,209.0,1942.857142857143
2021-05-25,1776.0,1929.142857142857
2021-05-26,1538.0,1372.0
2021-05-27,2047.0,1565.2
2021-05-28,2256.0,1904.25
