,inpatient_beds_used_covid,7_day_avg
2020-03-14,1.0,0.5
2020-03-15,1.0,0.4
2020-03-16,0.0,0.3333333333333333
2020-03-17,0.0,0.2857142857142857
2020-03-18,0.0,0.14285714285714285
2020-03-19,0.0,0.0
2020-03-20,0.0,0.0
2020-03-27,0.0,0.0
2020-03-28,0.0,0.14285714285714285
2020-03-29,0.0,3.5714285714285716
2020-03-30,0.0,23.571428571428573
2020-03-31,1.0,46.42857142857143
2020-04-01,24.0,61.857142857142854
2020-04-02,140.0,74.85714285714286
2020-04-03,160.0,89.57142857142857
2020-04-04,108.0,110.28571428571429
2020-04-05,91.0,123.28571428571429
2020-04-06,103.0,120.14285714285714
2020-04-07,146.0,112.57142857142857
2020-04-08,115.0,111.85714285714286
2020-04-09,118.0,113.14285714285714
2020-04-10,107.0,112.57142857142857
2020-04-11,103.0,115.57142857142857
2020-04-12,100.0,119.71428571428571
2020-04-13,99.0,128.85714285714286
2020-04-14,167.0,139.57142857142858
2020-04-15,144.0,147.0
2020-04-16,182.0,151.0
2020-04-17,182.0,162.85714285714286
2020-04-18,155.0,168.14285714285714
2020-04-19,128.0,175.42857142857142
2020-04-20,182.0,181.57142857142858
2020-04-21,204.0,182.14285714285714
2020-04-22,195.0,180.42857142857142
2020-04-23,225.0,187.28571428571428
2020-04-24,186.0,192.0
2020-04-25,143.0,195.14285714285714
2020-04-26,176.0,198.42857142857142
2020-04-27,215.0,194.57142857142858
2020-04-28,226.0,198.28571428571428
2020-04-29,218.0,204.57142857142858
2020-04-30,198.0,202.57142857142858
2020-05-01,212.0,204.57142857142858
2020-05-02,187.0,207.57142857142858
2020-05-03,162.0,211.42857142857142
2020-05-04,229.0,218.42857142857142
2020-05-05,247.0,222.0
2020-05-06,245.0,217.0
2020-05-07,247.0,221.85714285714286
2020-05-08,237.0,215.28571428571428
2020-05-09,152.0,211.28571428571428
2020-05-10,196.0,209.0
2020-05-11,183.0,201.71428571428572
2020-05-12,219.0,201.71428571428572
2020-05-13,229.0,209.57142857142858
2020-05-14,196.0,205.85714285714286
2020-05-15,237.0,209.0
2020-05-16,207.0,204.0
2020-05-17,170.0,195.0
2020-05-18,205.0,191.57142857142858
2020-05-19,184.0,179.57142857142858
2020-05-20,166.0,172.0
2020-05-21,172.0,169.57142857142858
2020-05-22,153.0,160.85714285714286
2020-05-23,154.0,164.85714285714286
2020-05-24,153.0,167.71428571428572
2020-05-25,144.0,167.85714285714286
2020-05-26,212.0,170.57142857142858
