,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0.14285714285714285,1,1,0,0,0
2020-03-08,0.14285714285714285,0,1,0,0,0
2020-03-09,0.14285714285714285,0,1,0,0,0
2020-03-10,0.2857142857142857,1,2,0,0,0
2020-03-11,0.42857142857142855,1,3,0,0,0
2020-03-12,0.42857142857142855,0,3,0,0,0
2020-03-13,1.2857142857142858,6,9,0,0,0
2020-03-14,1.2857142857142858,1,10,0,0,0
2020-03-15,2.4285714285714284,8,18,0,0,0
2020-03-16,3.857142857142857,10,28,0,0,0
2020-03-17,5.285714285714286,11,39,0,0,0
2020-03-18,6.285714285714286,8,47,0,0,0
2020-03-19,8.428571428571429,15,62,0,0,0
2020-03-20,12.285714285714286,33,95,0,0,0
2020-03-21,15.428571428571429,23,118,0,0,0
2020-03-22,20.571428571428573,44,162,0.14285714285714285,1,1
2020-03-23,32.714285714285715,95,257,0.14285714285714285,0,1
2020-03-24,37,41,298,0.14285714285714285,0,1
2020-03-25,41.857142857142854,42,340,0.14285714285714285,0,1
2020-03-26,47.714285714285715,56,396,0.14285714285714285,0,1
2020-03-27,53.857142857142854,76,472,0.14285714285714285,0,1
2020-03-28,69.14285714285714,130,602,0.14285714285714285,0,1
2020-03-29,79.71428571428571,118,720,0.14285714285714285,1,2
2020-03-30,77.28571428571429,78,798,0.42857142857142855,2,4
2020-03-31,84.28571428571429,90,888,0.5714285714285714,1,5
2020-04-01,78.28571428571429,0,888,0.5714285714285714,0,5
2020-04-02,98.57142857142857,198,1086,0.8571428571428571,2,7
2020-04-03,110.85714285714286,162,1248,0.8571428571428571,0,7
2020-04-04,118,180,1428,1,1,8
2020-04-05,125.85714285714286,173,1601,0.8571428571428571,0,8
2020-04-06,125.71428571428571,77,1678,1.2857142857142858,5,13
2020-04-07,121.57142857142857,61,1739,1.1428571428571428,0,13
2020-04-08,137.14285714285714,109,1848,1.1428571428571428,0,13
2020-04-09,110,8,1856,0.8571428571428571,0,13
2020-04-10,122.14285714285714,247,2103,1.4285714285714286,4,17
2020-04-11,111.28571428571429,104,2207,1.4285714285714286,1,18
2020-04-12,100.28571428571429,96,2303,1.4285714285714286,0,18
2020-04-13,97.85714285714286,60,2363,0,-5,13
2020-04-14,96.85714285714286,54,2417,0.7142857142857143,5,18
2020-04-15,100,131,2548,1,2,20
2020-04-16,118.14285714285714,135,2683,1,0,20
2020-04-17,98.57142857142857,110,2793,0.8571428571428571,3,23
2020-04-18,101.42857142857143,124,2917,1,2,25
2020-04-19,109.42857142857143,152,3069,1.2857142857142858,2,27
2020-04-20,121.42857142857143,144,3213,2.142857142857143,1,28
2020-04-21,125.71428571428571,84,3297,2,4,32
2020-04-22,128.14285714285714,148,3445,1.7142857142857142,0,32
2020-04-23,132.71428571428572,167,3612,2.142857142857143,3,35
2020-04-24,141.28571428571428,170,3782,2.2857142857142856,4,39
2020-04-25,147.28571428571428,166,3948,2.2857142857142856,2,41
2020-04-26,150.57142857142858,175,4123,2,0,41
2020-04-27,146.14285714285714,113,4236,1.8571428571428572,0,41
2020-04-28,149.71428571428572,109,4345,1.2857142857142858,0,41
2020-04-29,150.28571428571428,152,4497,1.8571428571428572,4,45
2020-04-30,151.42857142857142,175,4672,1.5714285714285714,1,46
2020-05-01,149.42857142857142,156,4828,1,0,46
2020-05-02,148.14285714285714,157,4985,1.1428571428571428,3,49
2020-05-03,150.28571428571428,190,5175,1.2857142857142858,1,50
2020-05-04,154.42857142857142,142,5317,1.2857142857142858,0,50
2020-05-05,157.71428571428572,132,5449,2.142857142857143,6,56
2020-05-06,156.85714285714286,146,5595,1.8571428571428572,2,58
2020-05-07,150.28571428571428,129,5724,2.142857142857143,3,61
2020-05-08,155.85714285714286,195,5919,2.142857142857143,0,61
2020-05-09,159.71428571428572,184,6103,2.4285714285714284,5,66
2020-05-10,153.71428571428572,148,6251,2.4285714285714284,1,67
2020-05-11,149.28571428571428,111,6362,2.5714285714285716,1,68
2020-05-12,140.42857142857142,70,6432,2.4285714285714284,5,73
2020-05-13,146.42857142857142,188,6620,2.4285714285714284,2,75
2020-05-14,146.42857142857142,129,6749,2,0,75
2020-05-15,142,164,6913,2.2857142857142856,2,77
2020-05-16,137.85714285714286,155,7068,1.7142857142857142,1,78
2020-05-17,141,170,7238,1.8571428571428572,2,80
2020-05-18,146,146,7384,1.7142857142857142,0,80
2020-05-19,155.14285714285714,134,7518,2.142857142857143,8,88
2020-05-20,155.71428571428572,192,7710,2.142857142857143,2,90
2020-05-21,160.71428571428572,164,7874,2.4285714285714284,2,92
2020-05-22,163.42857142857142,183,8057,2.2857142857142856,1,93
2020-05-23,170.28571428571428,203,8260,2.7142857142857144,4,97
2020-05-24,164.85714285714286,132,8392,2.4285714285714284,0,97
2020-05-25,162.42857142857142,129,8521,2.5714285714285716,1,98
2020-05-26,157.42857142857142,99,8620,1.8571428571428572,3,101
2020-05-27,142.28571428571428,86,8706,2.142857142857143,4,105
2020-05-28,149.57142857142858,215,8921,2,1,106
2020-05-29,172.42857142857142,343,9264,2,1,107
2020-05-30,181.85714285714286,269,9533,2.142857142857143,5,112
2020-05-31,200.71428571428572,264,9797,2.2857142857142856,1,113
2020-06-01,211.14285714285714,202,9999,2.142857142857143,0,113
2020-06-02,226,203,10202,1.7142857142857142,0,113
2020-06-03,255.85714285714286,295,10497,1.7142857142857142,4,117
2020-06-04,270.2857142857143,316,10813,1.5714285714285714,0,117
2020-06-05,284,439,11252,1.8571428571428572,3,120
2020-06-06,323.57142857142856,546,11798,1.2857142857142858,1,121
2020-06-07,324.14285714285717,268,12066,1.1428571428571428,0,121
2020-06-08,331.85714285714283,256,12322,1.5714285714285714,3,124
2020-06-09,336.7142857142857,237,12559,2,3,127
2020-06-10,338.14285714285717,305,12864,1.5714285714285714,1,128
2020-06-11,348.42857142857144,388,13252,2,3,131
2020-06-12,332.14285714285717,325,13577,2.7142857142857144,8,139
2020-06-13,311.85714285714283,404,13981,2.5714285714285716,0,139
2020-06-14,321,332,14313,2.5714285714285716,0,139
2020-06-15,326.57142857142856,295,14608,2.7142857142857144,4,143
2020-06-16,339.7142857142857,329,14937,2.5714285714285716,2,145
2020-06-17,354.2857142857143,407,15344,3,4,149
2020-06-18,369.57142857142856,495,15839,3,3,152
2020-06-19,406.85714285714283,586,16425,2.2857142857142856,3,155
2020-06-20,441,643,17068,2.2857142857142856,0,155
2020-06-21,449.85714285714283,394,17462,2.7142857142857144,3,158
2020-06-22,471.14285714285717,444,17906,2.142857142857143,0,158
2020-06-23,480.42857142857144,394,18300,2.5714285714285716,5,163
2020-06-24,491.42857142857144,484,18784,2,0,163
2020-06-25,505,590,19374,1.7142857142857142,1,164
2020-06-26,517.8571428571429,676,20050,1.5714285714285714,2,166
2020-06-27,508.57142857142856,578,20628,1.7142857142857142,1,167
2020-06-28,519.7142857142857,472,21100,1.2857142857142858,0,167
2020-06-29,536.8571428571429,564,21664,1.4285714285714286,1,168
2020-06-30,559.5714285714286,553,22217,1.2857142857142858,4,172
2020-07-01,561.7142857142857,499,22716,1.4285714285714286,1,173
2020-07-02,556.5714285714286,554,23270,1.7142857142857142,3,176
2020-07-03,545.1428571428571,596,23866,2.142857142857143,5,181
2020-07-04,559.1428571428571,676,24542,2,0,181
2020-07-05,550.2857142857143,410,24952,2.4285714285714284,3,184
2020-07-06,543.5714285714286,517,25469,3.142857142857143,6,190
2020-07-07,545.1428571428571,564,26033,3.142857142857143,4,194
2020-07-08,577,722,26755,4,7,201
2020-07-09,583.7142857142857,601,27356,4.142857142857143,4,205
2020-07-10,622.4285714285714,867,28223,3.7142857142857144,2,207
2020-07-11,616.1428571428571,632,28855,4.428571428571429,5,212
2020-07-12,647.4285714285714,629,29484,4.428571428571429,3,215
2020-07-13,651.5714285714286,546,30030,3.7142857142857144,1,216
2020-07-14,635,448,30478,4.571428571428571,10,226
2020-07-15,590.8571428571429,413,30891,4.571428571428571,7,233
2020-07-16,641.2857142857143,954,31845,4.142857142857143,1,234
2020-07-17,621.2857142857143,727,32572,4,1,235
2020-07-18,639.5714285714286,760,33332,4.428571428571429,8,243
2020-07-19,661.8571428571429,785,34117,4,0,243
2020-07-20,642.2857142857143,409,34526,4.428571428571429,4,247
2020-07-21,647.7142857142857,486,35012,3.5714285714285716,4,251
2020-07-22,669.5714285714286,566,35578,3.857142857142857,9,260
2020-07-23,607.7142857142857,521,36099,4.714285714285714,7,267
2020-07-24,627.1428571428571,863,36962,5.428571428571429,6,273
2020-07-25,613,661,37623,4.428571428571429,1,274
2020-07-26,550.8571428571429,350,37973,4.428571428571429,0,274
2020-07-27,554.7142857142857,436,38409,4.857142857142857,7,281
2020-07-28,549,446,38855,5,5,286
2020-07-29,516.5714285714286,339,39194,4.571428571428571,6,292
2020-07-30,513.8571428571429,502,39696,4.714285714285714,8,300
2020-07-31,462,500,40196,4.428571428571429,4,304
2020-08-01,439.85714285714283,506,40702,5.142857142857143,6,310
2020-08-02,457.42857142857144,473,41175,5.285714285714286,1,311
2020-08-03,445.7142857142857,354,41529,4.714285714285714,3,314
2020-08-04,436,378,41907,5,7,321
2020-08-05,447.7142857142857,421,42328,5,6,327
2020-08-06,459.85714285714283,587,42915,4.285714285714286,3,330
2020-08-07,454.14285714285717,460,43375,4.428571428571429,5,335
2020-08-08,435.57142857142856,376,43751,3.5714285714285716,0,335
2020-08-09,421.7142857142857,376,44127,3.5714285714285716,1,336
2020-08-10,408.7142857142857,263,44390,4.428571428571429,9,345
2020-08-11,406.42857142857144,362,44752,4,4,349
2020-08-12,394.57142857142856,338,45090,3.4285714285714284,2,351
2020-08-13,358.42857142857144,334,45424,3.2857142857142856,2,353
2020-08-14,371.57142857142856,552,45976,3.5714285714285716,7,360
2020-08-15,367.14285714285717,345,46321,4,3,363
2020-08-16,360.7142857142857,331,46652,3.857142857142857,0,363
