,inpatient_beds_used_covid,7_day_avg
2020-03-17,0.0,0.0
2020-03-18,0.0,0.0
2020-03-19,0.0,0.0
2020-03-20,0.0,0.0
2020-03-21,,1.8
2020-03-22,,3.4
2020-03-23,0.0,5.4
2020-03-24,9.0,12.8
2020-03-25,8.0,17.333333333333332
2020-03-26,10.0,19.285714285714285
2020-03-27,37.0,22.142857142857142
2020-03-28,40.0,24.285714285714285
2020-03-29,31.0,27.0
2020-03-30,20.0,29.285714285714285
2020-03-31,24.0,28.571428571428573
2020-04-01,27.0,26.714285714285715
2020-04-02,26.0,25.571428571428573
2020-04-03,32.0,26.0
2020-04-04,27.0,30.0
2020-04-05,23.0,33.714285714285715
2020-04-06,23.0,38.0
2020-04-07,52.0,41.857142857142854
2020-04-08,53.0,45.857142857142854
2020-04-09,56.0,49.57142857142857
2020-04-10,59.0,53.0
2020-04-11,55.0,53.285714285714285
2020-04-12,49.0,52.714285714285715
2020-04-13,47.0,50.857142857142854
2020-04-14,54.0,48.714285714285715
2020-04-15,49.0,45.285714285714285
2020-04-16,43.0,42.714285714285715
2020-04-17,44.0,40.714285714285715
2020-04-18,31.0,37.714285714285715
2020-04-19,31.0,35.57142857142857
2020-04-20,33.0,34.57142857142857
2020-04-21,33.0,31.571428571428573
2020-04-22,34.0,30.714285714285715
2020-04-23,36.0,29.285714285714285
2020-04-24,23.0,28.142857142857142
2020-04-25,25.0,27.142857142857142
2020-04-26,21.0,25.142857142857142
2020-04-27,25.0,23.0
2020-04-28,26.0,22.428571428571427
2020-04-29,20.0,21.428571428571427
2020-04-30,21.0,20.714285714285715
2020-05-01,19.0,19.428571428571427
2020-05-02,18.0,18.714285714285715
2020-05-03,16.0,17.571428571428573
2020-05-04,16.0,16.285714285714285
2020-05-05,21.0,15.428571428571429
2020-05-06,12.0,15.428571428571429
2020-05-07,12.0,15.714285714285714
2020-05-08,13.0,15.714285714285714
2020-05-09,18.0,15.571428571428571
2020-05-10,18.0,16.0
2020-05-11,16.0,16.142857142857142
2020-05-12,20.0,16.285714285714285
2020-05-13,15.0,16.142857142857142
2020-05-14,13.0,15.428571428571429
2020-05-15,14.0,15.285714285714286
2020-05-16,17.0,14.428571428571429
2020-05-17,13.0,13.428571428571429
2020-05-18,15.0,13.285714285714286
2020-05-19,14.0,13.142857142857142
2020-05-20,8.0,13.142857142857142
2020-05-21,12.0,12.714285714285714
2020-05-22,13.0,11.571428571428571
2020-05-23,17.0,11.857142857142858
2020-05-24,10.0,13.0
2020-05-25,7.0,12.571428571428571
2020-05-26,16.0,12.0
2020-05-27,16.0,10.285714285714286
2020-05-28,9.0,9.857142857142858
2020-05-29,9.0,10.285714285714286
2020-05-30,5.0,9.428571428571429
2020-05-31,7.0,9.428571428571429
2020-06-01,10.0,9.714285714285714
2020-06-02,10.0,10.571428571428571
2020-06-03,16.0,11.428571428571429
2020-06-04,11.0,12.428571428571429
2020-06-05,15.0,12.571428571428571
2020-06-06,11.0,12.857142857142858
2020-06-07,14.0,11.571428571428571
2020-06-08,11.0,11.142857142857142
2020-06-09,12.0,10.142857142857142
2020-06-10,7.0,10.0
2020-06-11,8.0,9.285714285714286
2020-06-12,8.0,9.571428571428571
2020-06-13,10.0,9.0
2020-06-14,9.0,9.285714285714286
2020-06-15,13.0,10.285714285714286
2020-06-16,8.0,10.142857142857142
2020-06-17,9.0,9.714285714285714
2020-06-18,15.0,9.142857142857142
2020-06-19,7.0,8.0
2020-06-20,7.0,8.285714285714286
2020-06-21,5.0,7.571428571428571
2020-06-22,5.0,6.714285714285714
2020-06-23,10.0,7.0
2020-06-24,4.0,7.714285714285714
2020-06-25,9.0,8.0
2020-06-26,9.0,8.428571428571429
2020-06-27,12.0,8.428571428571429
2020-06-28,7.0,9.571428571428571
2020-06-29,8.0,10.0
2020-06-30,10.0,10.571428571428571
2020-07-01,12.0,10.428571428571429
2020-07-02,12.0,11.428571428571429
2020-07-03,13.0,11.142857142857142
2020-07-04,11.0,11.142857142857142
2020-07-05,14.0,11.285714285714286
2020-07-06,6.0,10.428571428571429
2020-07-07,10.0,10.0
2020-07-08,13.0,10.142857142857142
2020-07-09,6.0,8.571428571428571
2020-07-10,10.0,8.857142857142858
2020-07-11,12.0,8.428571428571429
2020-07-12,3.0,9.142857142857142
2020-07-13,8.0,11.0
2020-07-14,7.0,11.571428571428571
2020-07-15,18.0,11.857142857142858
2020-07-16,19.0,13.0
2020-07-17,14.0,13.428571428571429
2020-07-18,14.0,13.857142857142858
2020-07-19,11.0,12.857142857142858
2020-07-20,11.0,12.857142857142858
2020-07-21,10.0,13.285714285714286
2020-07-22,11.0,13.142857142857142
2020-07-23,19.0,13.857142857142858
2020-07-24,17.0,13.428571428571429
2020-07-25,13.0,13.714285714285714
2020-07-26,16.0,13.428571428571429
2020-07-27,8.0,11.571428571428571
2020-07-28,12.0,10.0
2020-07-29,9.0,9.571428571428571
2020-07-30,6.0,8.571428571428571
2020-07-31,6.0,8.714285714285714
2020-08-01,10.0,7.714285714285714
2020-08-02,9.0,7.0
2020-08-03,9.0,7.571428571428571
2020-08-04,5.0,8.0
2020-08-05,4.0,7.714285714285714
2020-08-06,10.0,8.0
2020-08-07,9.0,8.714285714285714
2020-08-08,8.0,10.142857142857142
2020-08-09,11.0,10.857142857142858
2020-08-10,14.0,11.285714285714286
2020-08-11,15.0,11.857142857142858
2020-08-12,9.0,12.428571428571429
2020-08-13,13.0,13.428571428571429
2020-08-14,13.0,13.0
2020-08-15,12.0,12.428571428571429
2020-08-16,18.0,12.428571428571429
2020-08-17,11.0,11.714285714285714
2020-08-18,11.0,10.857142857142858
2020-08-19,9.0,10.857142857142858
2020-08-20,8.0,9.428571428571429
2020-08-21,7.0,8.714285714285714
2020-08-22,12.0,8.428571428571429
2020-08-23,8.0,8.0
2020-08-24,6.0,8.857142857142858
2020-08-25,9.0,8.285714285714286
2020-08-26,6.0,8.142857142857142
2020-08-27,14.0,8.857142857142858
2020-08-28,3.0,8.142857142857142
2020-08-29,11.0,7.285714285714286
2020-08-30,13.0,6.714285714285714
2020-08-31,1.0,5.0
2020-09-01,3.0,5.0
2020-09-02,2.0,3.857142857142857
2020-09-03,2.0,2.4285714285714284
2020-09-04,3.0,2.4285714285714284
2020-09-05,3.0,2.4285714285714284
