,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,54.142857142857146
2020-12-14,0.0,162.85714285714286
2020-12-15,0.0,347.57142857142856
2020-12-16,379.0,402.14285714285717
2020-12-17,761.0,435.7142857142857
2020-12-18,1293.0,528.0
2020-12-19,382.0,622.0
2020-12-20,235.0,701.1428571428571
2020-12-21,646.0,897.7142857142857
2020-12-22,658.0,800.5714285714286
2020-12-23,933.0,770.5714285714286
2020-12-24,2137.0,867.0
2020-12-25,613.0,887.7142857142857
2020-12-26,172.0,969.0
2020-12-27,910.0,835.7142857142857
2020-12-28,791.0,530.4285714285714
2020-12-29,1227.0,442.85714285714283
2020-12-30,0.0,418.2857142857143
2020-12-31,0.0,288.2857142857143
2021-01-01,0.0,175.28571428571428
2021-01-02,0.0,928.5714285714286
2021-01-03,0.0,928.5714285714286
2021-01-04,0.0,928.5714285714286
2021-01-05,6500.0,1456.4285714285713
2021-01-06,0.0,1456.4285714285713
2021-01-07,0.0,1456.4285714285713
2021-01-08,3695.0,1456.4285714285713
2021-01-09,0.0,1274.0
2021-01-10,0.0,1686.857142857143
2021-01-11,0.0,2100.285714285714
2021-01-12,5223.0,1906.857142857143
2021-01-13,2890.0,1906.857142857143
2021-01-14,2894.0,1906.857142857143
2021-01-15,2341.0,1906.857142857143
2021-01-16,0.0,1160.7142857142858
2021-01-17,0.0,1600.7142857142858
2021-01-18,0.0,1474.857142857143
2021-01-19,0.0,1656.0
2021-01-20,5970.0,2430.1428571428573
2021-01-21,2013.0,2430.1428571428573
2021-01-22,3609.0,2430.1428571428573
2021-01-23,5419.0,2430.1428571428573
2021-01-24,0.0,2077.285714285714
2021-01-25,0.0,2286.1428571428573
2021-01-26,0.0,2179.1428571428573
2021-01-27,3500.0,2181.1428571428573
2021-01-28,3475.0,2181.1428571428573
2021-01-29,2860.0,2181.1428571428573
2021-01-30,5433.0,2181.1428571428573
2021-01-31,0.0,2757.5714285714284
2021-02-01,0.0,2614.285714285714
2021-02-02,0.0,2611.4285714285716
2021-02-03,7535.0,2254.1428571428573
2021-02-04,2472.0,2850.8571428571427
2021-02-05,2840.0,2885.8571428571427
2021-02-06,2932.0,3335.5714285714284
2021-02-07,4177.0,2726.714285714286
2021-02-08,245.0,2807.0
2021-02-09,3148.0,2847.285714285714
2021-02-10,3273.0,2809.8571428571427
2021-02-11,3034.0,2793.5714285714284
2021-02-12,3122.0,2801.0
2021-02-13,2670.0,2351.285714285714
2021-02-14,4063.0,3151.0
2021-02-15,297.0,3033.285714285714
2021-02-16,0.0,3003.4285714285716
2021-02-17,8871.0,3598.8571428571427
2021-02-18,2210.0,3660.285714285714
2021-02-19,2913.0,4336.714285714285
2021-02-20,6838.0,5328.285714285715
2021-02-21,4493.0,4061.0
2021-02-22,5032.0,3871.714285714286
2021-02-23,6941.0,3863.8571428571427
2021-02-24,0.0,3417.0
2021-02-25,885.0,3545.285714285714
2021-02-26,2858.0,3630.5714285714284
2021-02-27,3710.0,3423.5714285714284
2021-02-28,5391.0,3924.5714285714284
2021-03-01,5629.0,4029.8571428571427
2021-03-02,5492.0,3991.285714285714
2021-03-03,3507.0,4006.0
2021-03-04,1622.0,3914.0
2021-03-05,2588.0,5169.0
2021-03-06,3813.0,4384.428571428572
2021-03-07,4747.0,4620.428571428572
2021-03-08,14414.0,4847.285714285715
2021-03-09,0.0,5185.0
2021-03-10,5159.0,5416.428571428572
2021-03-11,3210.0,6754.714285714285
2021-03-12,4952.0,4695.571428571428
2021-03-13,5433.0,5770.714285714285
2021-03-14,14115.0,5696.714285714285
2021-03-15,0.0,5828.857142857143
2021-03-16,7526.0,5768.142857142857
2021-03-17,4641.0,6482.571428571428
2021-03-18,4135.0,4930.0
2021-03-19,4527.0,6082.428571428572
2021-03-20,10434.0,5469.142857142857
2021-03-21,3247.0,5610.714285714285
2021-03-22,8067.0,5550.571428571428
2021-03-23,3233.0,5827.714285714285
2021-03-24,5632.0,4829.857142857143
2021-03-25,3714.0,5303.142857142857
2021-03-26,6467.0,5116.571428571428
2021-03-27,3449.0,5532.142857142857
2021-03-28,6560.0,5762.285714285715
2021-03-29,6761.0,5955.0
2021-03-30,6142.0,5777.571428571428
2021-03-31,7243.0,6412.285714285715
2021-04-01,5063.0,8112.571428571428
2021-04-02,5225.0,7248.857142857143
2021-04-03,7892.0,7726.714285714285
2021-04-04,18462.0,7553.0
2021-04-05,715.0,7317.428571428572
2021-04-06,9487.0,9575.42857142857
2021-04-07,6027.0,9903.285714285714
2021-04-08,3414.0,8098.285714285715
2021-04-09,21031.0,9601.857142857143
2021-04-10,10187.0,10163.285714285714
2021-04-11,5827.0,10107.142857142857
2021-04-12,11240.0,11030.0
2021-04-13,13417.0,9318.42857142857
2021-04-14,5634.0,9174.42857142857
2021-04-15,9874.0,8342.0
2021-04-16,9050.0,7833.714285714285
2021-04-17,9179.0,7875.857142857143
2021-04-18,0.0,7918.142857142857
2021-04-19,7682.0,7109.857142857143
2021-04-20,13712.0,7063.714285714285
2021-04-21,5930.0,5810.857142857143
2021-04-22,4216.0,7218.428571428572
2021-04-23,8727.0,7817.285714285715
2021-04-24,409.0,7371.714285714285
2021-04-25,9853.0,7481.857142857143
2021-04-26,11874.0,7897.0
2021-04-27,10593.0,7692.714285714285
2021-04-28,6701.0,9098.714285714286
2021-04-29,7122.0,7899.285714285715
2021-04-30,7297.0,7450.0
2021-05-01,10251.0,7228.142857142857
2021-05-02,1457.0,7146.571428571428
2021-05-03,8729.0,6903.571428571428
2021-05-04,9040.0,6595.857142857143
2021-05-05,6130.0,7429.142857142857
2021-05-06,5421.0,7351.285714285715
2021-05-07,5143.0,7166.857142857143
2021-05-08,16084.0,7464.714285714285
2021-05-09,912.0,7215.285714285715
2021-05-10,7438.0,7262.0
2021-05-11,11125.0,7515.142857142857
2021-05-12,4384.0,6499.571428571428
2021-05-13,5748.0,6369.285714285715
2021-05-14,6915.0,6235.857142857143
2021-05-15,8975.0,5982.857142857143
2021-05-16,0.0,6097.142857142857
2021-05-17,6504.0,8257.142857142857
2021-05-18,9354.0,8352.42857142857
2021-05-19,5184.0,8475.142857142857
2021-05-20,20868.0,8475.142857142857
2021-05-21,7582.0,9021.714285714286
2021-05-22,9834.0,8987.42857142857
2021-05-23,0.0,8927.142857142857
2021-05-24,10330.0,6790.142857142857
2021-05-25,9114.0,6493.571428571428
2021-05-26,4762.0,5936.833333333333
2021-05-27,5909.0,7124.2
2021-05-28,5506.0,6322.75
