,inpatient_beds_used_covid,7_day_avg
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.14285714285714285
2020-03-16,0.0,0.2857142857142857
2020-03-17,0.0,0.2857142857142857
2020-03-18,1.0,0.2857142857142857
2020-03-19,1.0,0.2857142857142857
2020-03-20,0.0,0.2857142857142857
2020-03-21,0.0,0.2857142857142857
2020-03-22,0.0,0.2857142857142857
2020-03-23,0.0,0.42857142857142855
2020-03-24,0.0,1.0
2020-03-25,1.0,1.5714285714285714
2020-03-26,2.0,2.2857142857142856
2020-03-27,4.0,10.714285714285714
2020-03-28,4.0,27.857142857142858
2020-03-29,5.0,53.0
2020-03-30,59.0,79.71428571428571
2020-03-31,120.0,107.71428571428571
2020-04-01,177.0,126.14285714285714
2020-04-02,189.0,144.0
2020-04-03,200.0,165.85714285714286
2020-04-04,133.0,180.42857142857142
2020-04-05,130.0,186.42857142857142
2020-04-06,212.0,188.14285714285714
2020-04-07,222.0,190.0
2020-04-08,219.0,188.71428571428572
2020-04-09,201.0,194.71428571428572
2020-04-10,213.0,203.85714285714286
2020-04-11,124.0,238.71428571428572
2020-04-12,172.0,270.7142857142857
2020-04-13,276.0,311.14285714285717
2020-04-14,466.0,347.42857142857144
2020-04-15,443.0,374.57142857142856
2020-04-16,484.0,395.0
2020-04-17,467.0,410.7142857142857
2020-04-18,314.0,408.0
2020-04-19,315.0,422.14285714285717
2020-04-20,386.0,433.7142857142857
2020-04-21,447.0,446.57142857142856
2020-04-22,542.0,469.0
2020-04-23,565.0,492.42857142857144
2020-04-24,557.0,521.5714285714286
2020-04-25,471.0,540.0
2020-04-26,479.0,541.7142857142857
2020-04-27,590.0,575.1428571428571
2020-04-28,576.0,608.5714285714286
2020-04-29,554.0,638.4285714285714
2020-04-30,799.0,668.8571428571429
2020-05-01,791.0,701.8571428571429
2020-05-02,680.0,744.1428571428571
2020-05-03,692.0,790.2857142857143
2020-05-04,821.0,798.7142857142857
