,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.8571428571428571
2020-02-27,0.0,1.4285714285714286
2020-02-28,0.0,2.4285714285714284
2020-02-29,6.0,3.7142857142857144
2020-03-01,4.0,5.428571428571429
2020-03-02,7.0,9.857142857142858
2020-03-03,9.0,11.0
2020-03-04,12.0,13.571428571428571
2020-03-05,31.0,15.857142857142858
2020-03-06,8.0,14.857142857142858
2020-03-07,24.0,20.0
2020-03-08,20.0,34.714285714285715
2020-03-09,0.0,53.142857142857146
2020-03-10,45.0,70.0
2020-03-11,115.0,77.14285714285714
2020-03-12,160.0,68.71428571428571
2020-03-13,126.0,93.85714285714286
2020-03-14,74.0,112.57142857142857
2020-03-15,-39.0,105.71428571428571
2020-03-16,176.0,133.14285714285714
2020-03-17,176.0,136.57142857142858
2020-03-18,67.0,164.42857142857142
2020-03-19,352.0,199.14285714285714
2020-03-20,150.0,206.0
2020-03-21,269.0,196.14285714285714
2020-03-22,204.0,224.14285714285714
2020-03-23,224.0,261.85714285714283
2020-03-24,107.0,279.0
2020-03-25,263.0,319.57142857142856
2020-03-26,616.0,352.57142857142856
2020-03-27,270.0,386.0
