,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,224.71428571428572
2020-12-14,0.0,613.0
2020-12-15,0.0,1738.2857142857142
2020-12-16,1573.0,2565.1428571428573
2020-12-17,2718.0,3118.285714285714
2020-12-18,7877.0,4096.285714285715
2020-12-19,5788.0,5019.0
2020-12-20,3872.0,5917.857142857143
2020-12-21,6846.0,6301.285714285715
2020-12-22,6459.0,5216.142857142857
2020-12-23,7865.0,5303.571428571428
2020-12-24,5402.0,5422.714285714285
2020-12-25,281.0,5771.142857142857
2020-12-26,6400.0,6596.0
2020-12-27,4706.0,7183.714285714285
2020-12-28,9285.0,7658.714285714285
2020-12-29,12233.0,7821.714285714285
2020-12-30,11979.0,8107.0
2020-12-31,8727.0,8132.428571428572
2021-01-01,1422.0,8092.0
2021-01-02,8397.0,7778.285714285715
2021-01-03,4884.0,7851.857142857143
2021-01-04,9002.0,8639.714285714286
2021-01-05,10037.0,10813.142857142857
2021-01-06,12494.0,11327.857142857143
2021-01-07,14242.0,11636.857142857143
2021-01-08,16636.0,12190.0
2021-01-09,12000.0,12714.142857142857
2021-01-10,7047.0,12495.714285714286
2021-01-11,12874.0,10461.142857142857
2021-01-12,13706.0,8084.571428571428
2021-01-13,10965.0,6370.285714285715
2021-01-14,0.0,5363.571428571428
2021-01-15,0.0,3524.4285714285716
2021-01-16,0.0,1566.4285714285713
2021-01-17,0.0,8377.42857142857
2021-01-18,0.0,14298.857142857143
2021-01-19,0.0,14298.857142857143
2021-01-20,58642.0,22207.285714285714
2021-01-21,41450.0,22207.285714285714
2021-01-22,0.0,22207.285714285714
2021-01-23,55359.0,37765.857142857145
2021-01-24,0.0,29388.428571428572
2021-01-25,0.0,29912.85714285714
2021-01-26,108910.0,29912.85714285714
2021-01-27,0.0,32199.14285714286
2021-01-28,45121.0,32199.14285714286
2021-01-29,0.0,32199.14285714286
2021-01-30,71363.0,32647.285714285714
2021-01-31,0.0,34523.42857142857
2021-02-01,0.0,32588.571428571428
2021-02-02,112047.0,36018.857142857145
2021-02-03,13133.0,31049.428571428572
2021-02-04,31577.0,35883.42857142857
2021-02-05,24012.0,41218.42857142857
2021-02-06,36577.0,30504.285714285714
2021-02-07,33838.0,29919.285714285714
2021-02-08,37345.0,33657.142857142855
2021-02-09,37048.0,34669.42857142857
2021-02-10,9038.0,35225.0
2021-02-11,57742.0,36286.57142857143
2021-02-12,31098.0,37336.142857142855
2021-02-13,40466.0,32043.571428571428
2021-02-14,41269.0,35725.71428571428
2021-02-15,44692.0,30996.285714285714
2021-02-16,0.0,30817.14285714286
2021-02-17,34813.0,40241.0
2021-02-18,24636.0,40778.57142857143
2021-02-19,29844.0,39719.42857142857
2021-02-20,106433.0,46728.71428571428
2021-02-21,45032.0,41755.42857142857
2021-02-22,37278.0,41213.71428571428
2021-02-23,49065.0,43808.71428571428
2021-02-24,0.0,35284.71428571428
2021-02-25,20844.0,37087.142857142855
2021-02-26,48009.0,40671.57142857143
2021-02-27,46765.0,43779.71428571428
2021-02-28,57649.0,49655.42857142857
2021-03-01,62369.0,53397.42857142857
2021-03-02,70822.0,54350.28571428572
2021-03-03,41130.0,55977.42857142857
2021-03-04,47038.0,57804.0
2021-03-05,54679.0,69153.71428571429
2021-03-06,58155.0,59036.28571428572
2021-03-07,70435.0,59146.0
2021-03-08,141817.0,59317.42857142857
2021-03-09,0.0,62656.28571428572
2021-03-10,41898.0,62963.57142857143
2021-03-11,48238.0,70151.71428571429
2021-03-12,78051.0,49892.142857142855
2021-03-13,60306.0,58966.28571428572
2021-03-14,120752.0,58643.71428571428
2021-03-15,0.0,57488.42857142857
2021-03-16,63519.0,54519.142857142855
2021-03-17,39640.0,54524.142857142855
2021-03-18,40151.0,46707.28571428572
2021-03-19,57266.0,58575.857142857145
2021-03-20,60341.0,59935.57142857143
2021-03-21,66034.0,57612.57142857143
2021-03-22,83080.0,57496.57142857143
2021-03-23,73037.0,58220.71428571428
2021-03-24,23379.0,61141.57142857143
2021-03-25,39339.0,63056.71428571428
2021-03-26,62335.0,63858.28571428572
2021-03-27,80787.0,65149.142857142855
2021-03-28,79440.0,66889.57142857143
2021-03-29,88691.0,68345.85714285714
2021-03-30,82073.0,69890.85714285714
2021-03-31,35562.0,70564.85714285714
2021-04-01,49533.0,71928.71428571429
2021-04-02,73150.0,72707.28571428571
2021-04-03,85505.0,73347.14285714286
2021-04-04,88987.0,72041.57142857143
2021-04-05,94141.0,72823.0
2021-04-06,86552.0,85237.14285714286
2021-04-07,26423.0,85508.42857142857
2021-04-08,55003.0,85894.71428571429
2021-04-09,160049.0,85492.14285714286
2021-04-10,87404.0,80440.71428571429
2021-04-11,91691.0,85700.71428571429
2021-04-12,91323.0,88065.0
2021-04-13,51192.0,75733.14285714286
2021-04-14,63243.0,75801.85714285714
2021-04-15,71553.0,75686.0
2021-04-16,73726.0,74746.85714285714
2021-04-17,87885.0,72820.0
2021-04-18,90880.0,72640.57142857143
2021-04-19,84749.0,73032.28571428571
2021-04-20,37704.0,75676.85714285714
2021-04-21,61987.0,74651.14285714286
2021-04-22,74295.0,74379.28571428571
2021-04-23,92238.0,74835.85714285714
2021-04-24,80705.0,75085.0
2021-04-25,88977.0,74033.57142857143
2021-04-26,87945.0,74713.28571428571
2021-04-27,39448.0,73135.28571428571
2021-04-28,54627.0,72914.42857142857
2021-04-29,79053.0,71088.14285714286
2021-04-30,81192.0,66756.28571428571
2021-05-01,79159.0,61120.857142857145
2021-05-02,76193.0,61576.42857142857
2021-05-03,57622.0,59266.142857142855
2021-05-04,0.0,56477.42857142857
2021-05-05,57816.0,55180.28571428572
2021-05-06,62881.0,54772.71428571428
2021-05-07,61671.0,59190.57142857143
2021-05-08,70079.0,66014.42857142857
2021-05-09,73340.0,63706.142857142855
2021-05-10,88547.0,63130.42857142857
2021-05-11,47767.0,62881.57142857143
2021-05-12,41658.0,62495.857142857145
2021-05-13,58851.0,63750.42857142857
2021-05-14,59929.0,59437.57142857143
2021-05-15,67379.0,58117.0
2021-05-16,82122.0,59488.0
2021-05-17,58357.0,60773.0
2021-05-18,38523.0,61881.28571428572
2021-05-19,51255.0,65455.0
2021-05-20,67846.0,64039.857142857145
2021-05-21,67687.0,65011.0
2021-05-22,92395.0,63346.57142857143
2021-05-23,72216.0,61953.28571428572
2021-05-24,65155.0,59579.142857142855
2021-05-25,26872.0,50790.57142857143
2021-05-26,41502.0,43856.5
2021-05-27,51227.0,38184.6
2021-05-28,6167.0,31442.0
