,inpatient_beds_used_covid,7_day_avg
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,0.0,0.0
2020-03-18,0.0,0.0
2020-03-19,0.0,0.0
2020-03-20,0.0,0.0
2020-03-21,0.0,0.2857142857142857
2020-03-22,0.0,0.7142857142857143
2020-03-23,0.0,1.4285714285714286
2020-03-24,2.0,2.5714285714285716
2020-03-25,3.0,4.0
2020-03-26,5.0,6.142857142857143
2020-03-27,8.0,12.428571428571429
2020-03-28,10.0,19.0
2020-03-29,15.0,42.142857142857146
2020-03-30,44.0,64.42857142857143
2020-03-31,48.0,87.71428571428571
2020-04-01,165.0,111.28571428571429
2020-04-02,161.0,129.0
2020-04-03,171.0,146.0
2020-04-04,175.0,158.28571428571428
2020-04-05,139.0,157.85714285714286
2020-04-06,163.0,157.42857142857142
2020-04-07,134.0,152.0
2020-04-08,162.0,144.14285714285714
2020-04-09,158.0,144.0
2020-04-10,133.0,148.0
2020-04-11,120.0,160.57142857142858
2020-04-12,138.0,166.0
2020-04-13,191.0,171.57142857142858
2020-04-14,222.0,182.42857142857142
2020-04-15,200.0,200.42857142857142
2020-04-16,197.0,213.28571428571428
2020-04-17,209.0,227.14285714285714
2020-04-18,246.0,232.28571428571428
2020-04-19,228.0,216.85714285714286
2020-04-20,288.0,219.42857142857142
2020-04-21,258.0,221.71428571428572
2020-04-22,92.0,213.57142857142858
2020-04-23,215.0,209.85714285714286
2020-04-24,225.0,196.28571428571428
2020-04-25,189.0,194.42857142857142
2020-04-26,202.0,204.85714285714286
2020-04-27,193.0,200.85714285714286
2020-04-28,245.0,193.71428571428572
2020-04-29,165.0,194.42857142857142
2020-04-30,187.0,190.85714285714286
2020-05-01,175.0,188.28571428571428
2020-05-02,194.0,173.85714285714286
2020-05-03,177.0,173.14285714285714
2020-05-04,175.0,168.85714285714286
2020-05-05,144.0,168.0
2020-05-06,160.0,162.42857142857142
2020-05-07,157.0,155.42857142857142
2020-05-08,169.0,152.57142857142858
2020-05-09,155.0,153.14285714285714
2020-05-10,128.0,151.28571428571428
2020-05-11,155.0,147.71428571428572
2020-05-12,148.0,145.0
2020-05-13,147.0,146.57142857142858
2020-05-14,132.0,151.28571428571428
2020-05-15,150.0,153.71428571428572
2020-05-16,166.0,159.0
2020-05-17,161.0,159.28571428571428
2020-05-18,172.0,164.28571428571428
2020-05-19,185.0,161.28571428571428
2020-05-20,149.0,156.42857142857142
2020-05-21,167.0,152.71428571428572
2020-05-22,129.0,149.42857142857142
2020-05-23,132.0,142.57142857142858
2020-05-24,135.0,146.28571428571428
2020-05-25,149.0,145.28571428571428
2020-05-26,137.0,148.42857142857142
2020-05-27,175.0,149.71428571428572
2020-05-28,160.0,147.85714285714286
2020-05-29,151.0,141.42857142857142
2020-05-30,141.0,139.42857142857142
2020-05-31,122.0,133.42857142857142
2020-06-01,104.0,126.71428571428571
2020-06-02,123.0,117.85714285714286
2020-06-03,133.0,112.71428571428571
2020-06-04,113.0,107.57142857142857
2020-06-05,89.0,108.42857142857143
2020-06-06,105.0,104.14285714285714
2020-06-07,86.0,97.85714285714286
2020-06-08,110.0,94.85714285714286
2020-06-09,93.0,96.0
2020-06-10,89.0,94.28571428571429
2020-06-11,92.0,92.85714285714286
2020-06-12,97.0,86.85714285714286
2020-06-13,93.0,83.57142857142857
2020-06-14,76.0,80.14285714285714
2020-06-15,68.0,78.42857142857143
2020-06-16,70.0,76.0
2020-06-17,65.0,72.42857142857143
2020-06-18,80.0,72.0
2020-06-19,80.0,72.57142857142857
2020-06-20,68.0,75.42857142857143
2020-06-21,73.0,83.42857142857143
2020-06-22,72.0,86.85714285714286
2020-06-23,90.0,91.85714285714286
2020-06-24,121.0,94.85714285714286
2020-06-25,104.0,94.85714285714286
2020-06-26,115.0,97.28571428571429
2020-06-27,89.0,97.42857142857143
2020-06-28,73.0,92.57142857142857
2020-06-29,89.0,89.0
2020-06-30,91.0,83.57142857142857
2020-07-01,87.0,82.0
2020-07-02,79.0,84.57142857142857
2020-07-03,77.0,249.85714285714286
2020-07-04,78.0,253.28571428571428
2020-07-05,91.0,258.57142857142856
2020-07-06,1246.0,265.2857142857143
2020-07-07,115.0,273.85714285714283
2020-07-08,124.0,282.2857142857143
2020-07-09,126.0,289.14285714285717
2020-07-10,137.0,133.85714285714286
2020-07-11,137.0,140.57142857142858
2020-07-12,139.0,160.57142857142858
2020-07-13,159.0,176.57142857142858
2020-07-14,162.0,195.42857142857142
2020-07-15,264.0,209.42857142857142
2020-07-16,238.0,223.14285714285714
2020-07-17,269.0,222.57142857142858
2020-07-18,235.0,224.28571428571428
2020-07-19,235.0,212.57142857142858
2020-07-20,155.0,204.85714285714286
2020-07-21,174.0,189.42857142857142
2020-07-22,182.0,209.0
2020-07-23,184.0,206.42857142857142
2020-07-24,161.0,206.42857142857142
2020-07-25,372.0,201.85714285714286
2020-07-26,217.0,197.85714285714286
2020-07-27,155.0,197.28571428571428
2020-07-28,142.0,201.57142857142858
2020-07-29,154.0,209.0
2020-07-30,180.0,237.71428571428572
2020-07-31,191.0,244.14285714285714
2020-08-01,424.0,257.0
2020-08-02,418.0,266.57142857142856
2020-08-03,200.0,273.2857142857143
2020-08-04,232.0,276.7142857142857
2020-08-05,221.0,243.42857142857142
2020-08-06,227.0,212.42857142857142
2020-08-07,215.0,212.71428571428572
2020-08-08,191.0,209.42857142857142
2020-08-09,201.0,208.0
2020-08-10,202.0,206.0
2020-08-11,209.0,203.57142857142858
2020-08-12,211.0,203.85714285714286
2020-08-13,213.0,204.0
2020-08-14,198.0,205.28571428571428
2020-08-15,193.0,205.42857142857142
2020-08-16,202.0,206.85714285714286
