,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0.14285714285714285,1,1,0,0,0
2020-03-19,0.2857142857142857,1,2,0,0,0
2020-03-20,1.1428571428571428,6,8,0,0,0
2020-03-21,1.7142857142857142,4,12,0,0,0
2020-03-22,2.2857142857142856,4,16,0,0,0
2020-03-23,2.2857142857142856,0,16,0,0,0
2020-03-24,3.142857142857143,6,22,0,0,0
2020-03-25,5.428571428571429,17,39,0,0,0
2020-03-26,7.142857142857143,13,52,0,0,0
2020-03-27,9.714285714285714,24,76,0,0,0
2020-03-28,12,20,96,0,0,0
2020-03-29,13.857142857142858,17,113,0,0,0
2020-03-30,18.428571428571427,32,145,0.14285714285714285,1,1
2020-03-31,20,17,162,0.14285714285714285,0,1
2020-04-01,21.714285714285715,29,191,0.14285714285714285,0,1
2020-04-02,23.428571428571427,25,216,0.2857142857142857,1,2
2020-04-03,23,21,237,0.2857142857142857,0,2
2020-04-04,26.571428571428573,45,282,0.2857142857142857,0,2
2020-04-05,30.142857142857142,42,324,0.42857142857142855,1,3
2020-04-06,28.571428571428573,21,345,0.42857142857142855,1,4
2020-04-07,35.714285714285715,67,412,0.42857142857142855,0,4
2020-04-08,41.714285714285715,71,483,0.42857142857142855,0,4
2020-04-09,42.57142857142857,31,514,0.42857142857142855,1,5
2020-04-10,48.142857142857146,60,574,0.42857142857142855,0,5
2020-04-11,42.142857142857146,3,577,0.42857142857142855,0,5
2020-04-12,38.42857142857143,16,593,0.42857142857142855,1,6
2020-04-13,38,18,611,0.5714285714285714,2,8
2020-04-14,32.57142857142857,29,640,0.7142857142857143,1,9
2020-04-15,31.285714285714285,62,702,0.8571428571428571,1,10
2020-04-16,30.571428571428573,26,728,1,2,12
2020-04-17,28.714285714285715,47,775,1.5714285714285714,4,16
2020-04-18,29.714285714285715,10,785,1.5714285714285714,0,16
2020-04-19,42.42857142857143,105,890,1.7142857142857142,2,18
2020-04-20,41.57142857142857,12,902,2.2857142857142856,6,24
2020-04-21,38.285714285714285,6,908,2.4285714285714284,2,26
2020-04-22,33.857142857142854,31,939,2.4285714285714284,1,27
2020-04-23,36.142857142857146,42,981,2.7142857142857144,4,31
2020-04-24,33.57142857142857,29,1010,2.2857142857142856,1,32
2020-04-25,32.142857142857146,0,1010,2.2857142857142856,0,32
2020-04-26,23.571428571428573,45,1055,2.2857142857142856,2,34
2020-04-27,23,8,1063,1.4285714285714286,0,34
2020-04-28,26.714285714285715,32,1095,1.7142857142857142,4,38
2020-04-29,24.428571428571427,15,1110,1.5714285714285714,0,38
2020-04-30,20.571428571428573,15,1125,1.4285714285714286,3,41
2020-05-01,20.285714285714285,27,1152,2,5,46
2020-05-02,25,33,1185,2.2857142857142856,2,48
2020-05-03,20,10,1195,2,0,48
2020-05-04,23,29,1224,2,0,48
2020-05-05,21.571428571428573,22,1246,1.4285714285714286,0,48
2020-05-06,18.857142857142858,-4,1242,1.7142857142857142,2,50
2020-05-07,23.142857142857142,45,1287,1.4285714285714286,1,51
2020-05-08,24.428571428571427,36,1323,0.8571428571428571,1,52
2020-05-09,19.714285714285715,0,1323,0.5714285714285714,0,52
2020-05-10,23.571428571428573,37,1360,0.8571428571428571,2,54
2020-05-11,20.285714285714285,6,1366,0.8571428571428571,0,54
2020-05-12,18.857142857142858,12,1378,1.4285714285714286,4,58
2020-05-13,22.285714285714285,20,1398,1.1428571428571428,0,58
2020-05-14,20,29,1427,1.2857142857142858,2,60
2020-05-15,17.714285714285715,20,1447,1.7142857142857142,4,64
2020-05-16,21,23,1470,1.7142857142857142,0,64
2020-05-17,18.857142857142858,22,1492,1.8571428571428572,3,67
2020-05-18,19.428571428571427,10,1502,2,1,68
2020-05-19,17.714285714285715,0,1502,1.4285714285714286,0,68
2020-05-20,24.142857142857142,65,1567,1.5714285714285714,1,69
2020-05-21,23.714285714285715,26,1593,1.4285714285714286,1,70
2020-05-22,36.857142857142854,112,1705,1.1428571428571428,2,72
2020-05-23,33.57142857142857,0,1705,1.1428571428571428,0,72
2020-05-24,38.142857142857146,54,1759,0.7142857142857143,0,72
2020-05-25,38.857142857142854,15,1774,0.5714285714285714,0,72
2020-05-26,38.857142857142854,0,1774,0.5714285714285714,0,72
2020-05-27,47.42857142857143,125,1899,0.7142857142857143,2,74
2020-05-28,48.857142857142854,36,1935,0.5714285714285714,0,74
2020-05-29,35.142857142857146,16,1951,0.2857142857142857,0,74
2020-05-30,40.57142857142857,38,1989,0.42857142857142855,1,75
2020-05-31,35.857142857142854,21,2010,0.42857142857142855,0,75
2020-06-01,36.285714285714285,18,2028,0.5714285714285714,1,76
2020-06-02,40.285714285714285,28,2056,0.8571428571428571,2,78
2020-06-03,25.428571428571427,21,2077,0.5714285714285714,0,78
2020-06-04,23.857142857142858,25,2102,0.7142857142857143,1,79
2020-06-05,24,17,2119,1.4285714285714286,5,84
2020-06-06,21,17,2136,1.2857142857142858,0,84
2020-06-07,19.142857142857142,8,2144,1.2857142857142858,0,84
2020-06-08,19,17,2161,1.1428571428571428,0,84
2020-06-09,16.142857142857142,8,2169,0.8571428571428571,0,84
2020-06-10,16.714285714285715,25,2194,1,1,85
2020-06-11,16.428571428571427,23,2217,1,1,86
2020-06-12,18.571428571428573,32,2249,0.5714285714285714,2,88
2020-06-13,19.714285714285715,25,2274,0.5714285714285714,0,88
2020-06-14,20.857142857142858,16,2290,0.5714285714285714,0,88
2020-06-15,23,32,2322,0.5714285714285714,0,88
2020-06-16,24.571428571428573,19,2341,0.5714285714285714,0,88
2020-06-17,26,35,2376,0.42857142857142855,0,88
2020-06-18,28.714285714285715,42,2418,0.2857142857142857,0,88
2020-06-19,31.285714285714285,50,2468,0,0,88
2020-06-20,32.285714285714285,32,2500,0,0,88
2020-06-21,34.714285714285715,33,2533,0.14285714285714285,1,89
2020-06-22,32.857142857142854,19,2552,0.14285714285714285,0,89
2020-06-23,36,41,2593,0.5714285714285714,3,92
2020-06-24,36.42857142857143,38,2631,0.5714285714285714,0,92
2020-06-25,39.42857142857143,63,2694,0.5714285714285714,0,92
2020-06-26,37.42857142857143,36,2730,0.5714285714285714,0,92
2020-06-27,40.285714285714285,52,2782,0.7142857142857143,1,93
2020-06-28,42.714285714285715,50,2832,0.5714285714285714,0,93
2020-06-29,45.42857142857143,38,2870,0.5714285714285714,0,93
2020-06-30,44.57142857142857,35,2905,0.14285714285714285,0,93
2020-07-01,49.714285714285715,74,2979,0.14285714285714285,0,93
2020-07-02,51.285714285714285,74,3053,0.14285714285714285,0,93
2020-07-03,56.57142857142857,73,3126,0.14285714285714285,0,93
2020-07-04,60.42857142857143,79,3205,0.14285714285714285,1,94
2020-07-05,61.42857142857143,57,3262,0.14285714285714285,0,94
2020-07-06,81.71428571428571,180,3442,0.2857142857142857,1,95
2020-07-07,85.71428571428571,63,3505,0.2857142857142857,0,95
2020-07-08,104,202,3707,0.2857142857142857,0,95
2020-07-09,110.42857142857143,119,3826,0.2857142857142857,0,95
2020-07-10,122.42857142857143,157,3983,0.2857142857142857,0,95
2020-07-11,134.42857142857142,163,4146,0.2857142857142857,1,96
2020-07-12,140.28571428571428,98,4244,0.2857142857142857,0,96
2020-07-13,124.42857142857143,69,4313,0.2857142857142857,1,97
2020-07-14,128.85714285714286,94,4407,0.2857142857142857,0,97
2020-07-15,121.42857142857143,150,4557,0.42857142857142855,1,98
2020-07-16,118.71428571428571,100,4657,0.5714285714285714,1,99
2020-07-17,114.28571428571429,126,4783,0.7142857142857143,1,100
2020-07-18,106.85714285714286,111,4894,0.5714285714285714,0,100
2020-07-19,106.57142857142857,96,4990,0.5714285714285714,0,100
2020-07-20,110.14285714285714,94,5084,0.42857142857142855,0,100
2020-07-21,109.28571428571429,88,5172,0.5714285714285714,1,101
2020-07-22,93.57142857142857,40,5212,0.42857142857142855,0,101
2020-07-23,113.57142857142857,240,5452,0.42857142857142855,1,102
2020-07-24,124.28571428571429,201,5653,0.42857142857142855,1,103
2020-07-25,125.85714285714286,122,5775,0.42857142857142855,0,103
2020-07-26,128.42857142857142,114,5889,0.42857142857142855,0,103
2020-07-27,130.71428571428572,110,5999,0.5714285714285714,1,104
2020-07-28,135.42857142857142,121,6120,1,4,108
2020-07-29,152.14285714285714,157,6277,1.4285714285714286,3,111
2020-07-30,131.85714285714286,98,6375,1.4285714285714286,1,112
2020-07-31,132.28571428571428,204,6579,1.8571428571428572,4,116
2020-08-01,137.57142857142858,159,6738,1.8571428571428572,0,116
2020-08-02,138.42857142857142,120,6858,2,1,117
2020-08-03,139.85714285714286,120,6978,1.8571428571428572,0,117
2020-08-04,134.14285714285714,81,7059,2.2857142857142856,7,124
2020-08-05,126.42857142857143,103,7162,1.8571428571428572,0,124
2020-08-06,129,116,7278,1.7142857142857142,0,124
2020-08-07,124.71428571428571,174,7452,1.5714285714285714,3,127
2020-08-08,117.85714285714286,111,7563,2.142857142857143,4,131
2020-08-09,119.57142857142857,132,7695,3.142857142857143,8,139
2020-08-10,111.28571428571429,62,7757,3.4285714285714284,2,141
2020-08-11,117.14285714285714,122,7879,3.2857142857142856,6,147
2020-08-12,122.28571428571429,139,8018,4.142857142857143,6,153
2020-08-13,126.42857142857143,145,8163,4.142857142857143,0,153
2020-08-14,117.85714285714286,114,8277,4.285714285714286,4,157
2020-08-15,128.42857142857142,185,8462,4.142857142857143,3,160
2020-08-16,124.57142857142857,105,8567,3,0,160
2020-08-17,126.28571428571429,74,8641,2.7142857142857144,0,160
