,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0.14285714285714285,1,1,0,0,0
2020-03-13,0.14285714285714285,0,1,0,0,0
2020-03-14,0.2857142857142857,1,2,0,0,0
2020-03-15,0.2857142857142857,0,2,0,0,0
2020-03-16,0.2857142857142857,0,2,0,0,0
2020-03-17,1.5714285714285714,9,11,0,0,0
2020-03-18,2.2857142857142856,5,16,0,0,0
2020-03-19,2.4285714285714284,2,18,0,0,0
2020-03-20,2.857142857142857,3,21,0,0,0
2020-03-21,3,2,23,0,0,0
2020-03-22,3.4285714285714284,3,26,0,0,0
2020-03-23,3.4285714285714284,0,26,0,0,0
2020-03-24,2.5714285714285716,3,29,0,0,0
2020-03-25,4,15,44,0,0,0
2020-03-26,5,9,53,0,0,0
2020-03-27,7,17,70,0,0,0
2020-03-28,8.428571428571429,12,82,0,0,0
2020-03-29,8.571428571428571,4,86,0,0,0
2020-03-30,9.714285714285714,8,94,0,0,0
2020-03-31,11.428571428571429,15,109,0,0,0
2020-04-01,12.285714285714286,21,130,0,0,0
2020-04-02,13.857142857142858,20,150,0,0,0
2020-04-03,13.142857142857142,12,162,0,0,0
2020-04-04,15,25,187,0,0,0
2020-04-05,15.857142857142858,10,197,0,0,0
2020-04-06,16.571428571428573,13,210,0,0,0
2020-04-07,15.285714285714286,6,216,0,0,0
2020-04-08,13,5,221,0,0,0
2020-04-09,11.428571428571429,9,230,0,0,0
2020-04-10,11,9,239,0,0,0
2020-04-11,10.571428571428571,22,261,0,0,0
2020-04-12,10.428571428571429,9,270,0,0,0
2020-04-13,9.285714285714286,5,275,0.14285714285714285,1,1
2020-04-14,9.428571428571429,7,282,0.14285714285714285,0,1
2020-04-15,9.428571428571429,5,287,0.14285714285714285,0,1
2020-04-16,9.428571428571429,9,296,0.2857142857142857,1,2
2020-04-17,9.428571428571429,9,305,0.2857142857142857,0,2
2020-04-18,6.857142857142857,4,309,0.2857142857142857,0,2
2020-04-19,6.142857142857143,4,313,0.2857142857142857,0,2
2020-04-20,6,4,317,0.14285714285714285,0,2
2020-04-21,23,126,443,0.14285714285714285,0,2
2020-04-22,22.857142857142858,4,447,0.7142857142857143,4,6
2020-04-23,22.428571428571427,6,453,0.7142857142857143,1,7
2020-04-24,24,20,473,0.7142857142857143,0,7
2020-04-25,26,18,491,0.7142857142857143,0,7
2020-04-26,27,11,502,0.7142857142857143,0,7
2020-04-27,29,18,520,0.7142857142857143,0,7
2020-04-28,13.285714285714286,16,536,0.7142857142857143,0,7
2020-04-29,14,9,545,0.14285714285714285,0,7
2020-04-30,15.142857142857142,14,559,0,0,7
2020-05-01,13.285714285714286,7,566,0,0,7
2020-05-02,12.571428571428571,13,579,0,0,7
2020-05-03,12,7,586,0,0,7
2020-05-04,10.857142857142858,10,596,0,0,7
2020-05-05,9.714285714285714,8,604,0,0,7
2020-05-06,12.285714285714286,27,631,0,0,7
2020-05-07,10.857142857142858,4,635,0,0,7
2020-05-08,11.142857142857142,9,644,0,0,7
2020-05-09,10.571428571428571,9,653,0,0,7
2020-05-10,10.857142857142858,9,662,0,0,7
2020-05-11,10.428571428571429,7,669,0,0,7
2020-05-12,10.142857142857142,6,675,0,0,7
2020-05-13,8.142857142857142,13,688,0,0,7
2020-05-14,9.428571428571429,13,701,0,0,7
2020-05-15,10.285714285714286,15,716,0,0,7
2020-05-16,12.571428571428571,25,741,0,0,7
2020-05-17,13.142857142857142,13,754,0.14285714285714285,1,8
2020-05-18,13.857142857142858,12,766,0.42857142857142855,2,10
2020-05-19,14.428571428571429,10,776,0.42857142857142855,0,10
2020-05-20,14.142857142857142,11,787,0.5714285714285714,1,11
2020-05-21,14.285714285714286,14,801,0.7142857142857143,1,12
2020-05-22,12.428571428571429,2,803,0.7142857142857143,0,12
2020-05-23,10.285714285714286,10,813,0.7142857142857143,0,12
2020-05-24,12,25,838,0.5714285714285714,0,12
2020-05-25,11,5,843,0.2857142857142857,0,12
2020-05-26,10.571428571428571,7,850,0.42857142857142855,1,13
2020-05-27,10.428571428571429,10,860,0.42857142857142855,1,14
2020-05-28,10.714285714285714,16,876,0.42857142857142855,1,15
2020-05-29,12.571428571428571,15,891,0.42857142857142855,0,15
2020-05-30,12.142857142857142,7,898,0.5714285714285714,1,16
2020-05-31,9.285714285714286,5,903,0.5714285714285714,0,16
2020-06-01,9.571428571428571,7,910,0.7142857142857143,1,17
2020-06-02,8.857142857142858,2,912,0.5714285714285714,0,17
2020-06-03,7.857142857142857,3,915,0.42857142857142855,0,17
2020-06-04,6.428571428571429,6,921,0.2857142857142857,0,17
2020-06-05,6,12,933,0.2857142857142857,0,17
2020-06-06,5.857142857142857,6,939,0.14285714285714285,0,17
2020-06-07,6.285714285714286,8,947,0.14285714285714285,0,17
2020-06-08,7.142857142857143,13,960,0,0,17
2020-06-09,8.285714285714286,10,970,0,0,17
2020-06-10,9.285714285714286,10,980,0.14285714285714285,1,18
2020-06-11,12.571428571428571,29,1009,0.14285714285714285,0,18
2020-06-12,13.428571428571429,18,1027,0.14285714285714285,0,18
2020-06-13,15.857142857142858,23,1050,0.14285714285714285,0,18
2020-06-14,16.142857142857142,10,1060,0.14285714285714285,0,18
2020-06-15,17,19,1079,0.14285714285714285,0,18
2020-06-16,17,10,1089,0.14285714285714285,0,18
2020-06-17,19.142857142857142,25,1114,0,0,18
2020-06-18,19.285714285714285,30,1144,0,0,18
2020-06-19,20.857142857142858,29,1173,0.2857142857142857,2,20
2020-06-20,18.428571428571427,6,1179,0.2857142857142857,0,20
2020-06-21,19.571428571428573,18,1197,0.2857142857142857,0,20
2020-06-22,21.571428571428573,33,1230,0.2857142857142857,0,20
2020-06-23,23.571428571428573,24,1254,0.2857142857142857,0,20
2020-06-24,24,28,1282,0.2857142857142857,0,20
2020-06-25,26,44,1326,0.2857142857142857,0,20
2020-06-26,27.857142857142858,42,1368,0,0,20
2020-06-27,30.428571428571427,24,1392,0,0,20
2020-06-28,31.428571428571427,25,1417,0,0,20
2020-06-29,31.428571428571427,33,1450,0,0,20
2020-06-30,33.285714285714285,37,1487,0,0,20
2020-07-01,33.142857142857146,27,1514,0,0,20
2020-07-02,32,36,1550,0,0,20
2020-07-03,30.571428571428573,32,1582,0,0,20
2020-07-04,30.571428571428573,24,1606,0,0,20
2020-07-05,31,28,1634,0,0,20
2020-07-06,32.142857142857146,41,1675,0,0,20
2020-07-07,31.714285714285715,34,1709,0.14285714285714285,1,21
2020-07-08,32.285714285714285,31,1740,0.14285714285714285,0,21
2020-07-09,31.285714285714285,29,1769,0.14285714285714285,0,21
2020-07-10,29.714285714285715,21,1790,0.14285714285714285,0,21
2020-07-11,33.285714285714285,49,1839,0.14285714285714285,0,21
2020-07-12,32.57142857142857,23,1862,0.14285714285714285,0,21
2020-07-13,32.57142857142857,41,1903,0.14285714285714285,0,21
2020-07-14,34.42857142857143,47,1950,0.14285714285714285,1,22
2020-07-15,35,35,1985,0.14285714285714285,0,22
2020-07-16,36.714285714285715,41,2026,0.42857142857142855,2,24
2020-07-17,39.857142857142854,43,2069,0.42857142857142855,0,24
2020-07-18,38.42857142857143,39,2108,0.42857142857142855,0,24
2020-07-19,37.714285714285715,18,2126,0.5714285714285714,1,25
2020-07-20,40.57142857142857,61,2187,0.42857142857142855,-1,24
2020-07-21,41.142857142857146,51,2238,0.42857142857142855,1,25
2020-07-22,43.285714285714285,50,2288,0.42857142857142855,0,25
2020-07-23,45.857142857142854,59,2347,0.14285714285714285,0,25
2020-07-24,48,58,2405,0.14285714285714285,0,25
2020-07-25,48.285714285714285,41,2446,0.14285714285714285,0,25
2020-07-26,49.857142857142854,29,2475,0,0,25
2020-07-27,47.57142857142857,45,2520,0.14285714285714285,0,25
2020-07-28,50.142857142857146,69,2589,0.14285714285714285,1,26
2020-07-29,48.57142857142857,39,2628,0.14285714285714285,0,26
2020-07-30,48.42857142857143,58,2686,0.14285714285714285,0,26
2020-07-31,45.857142857142854,40,2726,0.14285714285714285,0,26
2020-08-01,46.142857142857146,43,2769,0.14285714285714285,0,26
2020-08-02,47.57142857142857,39,2808,0.14285714285714285,0,26
2020-08-03,46.857142857142854,40,2848,0.2857142857142857,1,27
2020-08-04,42.142857142857146,36,2884,0.14285714285714285,0,27
2020-08-05,42.142857142857146,39,2923,0.14285714285714285,0,27
2020-08-06,38.142857142857146,30,2953,0.14285714285714285,0,27
2020-08-07,39.142857142857146,47,3000,0.2857142857142857,1,28
2020-08-08,35.142857142857146,15,3015,0.2857142857142857,0,28
2020-08-09,34.57142857142857,35,3050,0.2857142857142857,0,28
2020-08-10,27.714285714285715,-8,3042,0.14285714285714285,0,28
2020-08-11,27,31,3073,0.2857142857142857,1,29
2020-08-12,23.285714285714285,13,3086,0.2857142857142857,0,29
2020-08-13,23.714285714285715,33,3119,0.42857142857142855,1,30
2020-08-14,26.142857142857142,64,3183,0.2857142857142857,0,30
2020-08-15,30.285714285714285,44,3227,0.2857142857142857,0,30
2020-08-16,33.714285714285715,59,3286,0.2857142857142857,0,30
2020-08-17,41.285714285714285,45,3331,0.2857142857142857,0,30
2020-08-18,41,29,3360,0.14285714285714285,0,30
2020-08-19,49.285714285714285,71,3431,0.7142857142857143,4,34
2020-08-20,48.285714285714285,26,3457,0.5714285714285714,0,34
2020-08-21,48.714285714285715,67,3524,1,3,37
2020-08-22,45.142857142857146,19,3543,1,0,37
2020-08-23,41.714285714285715,35,3578,1,0,37
2020-08-24,38.857142857142854,25,3603,1,0,37
2020-08-25,38.857142857142854,29,3632,1,0,37
2020-08-26,35.57142857142857,48,3680,0.42857142857142855,0,37
2020-08-27,39.42857142857143,53,3733,0.42857142857142855,0,37
