State,Date,raw_positives,7-day_avg,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative,doses_admin_daily,7_day_avg,inpatient_beds_used_covid
AK,2020-01-22,,,,,,,,,,,
AK,2020-01-23,,,,,,,,,,,
AK,2020-01-24,,,,,,,,,,,
AK,2020-01-25,,,,,,,,,,,
AK,2020-01-26,,,,,,,,,,,
AK,2020-01-27,,,,,,,,,,,
AK,2020-01-28,,,,,,,,,,,
AK,2020-01-29,,,,,,,,,,,
AK,2020-01-30,,,,,,,,,,,
AK,2020-01-31,,,,,,,,,,,
AK,2020-02-01,,,,,,,,,,,
AK,2020-02-02,,,,,,,,,,,
AK,2020-02-03,,,,,,,,,,,
AK,2020-02-04,,,,,,,,,,,
AK,2020-02-05,,,,,,,,,,,
AK,2020-02-06,,,,,,,,,,,
AK,2020-02-07,,,,,,,,,,,
AK,2020-02-08,,,,,,,,,,,
AK,2020-02-09,,,,,,,,,,,
AK,2020-02-10,,,,,,,,,,,
AK,2020-02-11,,,,,,,,,,,
AK,2020-02-12,,,,,,,,,,,
AK,2020-02-13,,,,,,,,,,,
AK,2020-02-14,,,,,,,,,,,
AK,2020-02-15,,,,,,,,,,,
AK,2020-02-16,,,,,,,,,,,
AK,2020-02-17,,,,,,,,,,,
AK,2020-02-18,,,,,,,,,,,
AK,2020-02-19,,,,,,,,,,,
AK,2020-02-20,,,,,,,,,,,
AK,2020-02-21,,,,,,,,,,,
AK,2020-02-22,,,,,,,,,,,
AK,2020-02-23,,,,,,,,,,,
AK,2020-02-24,,,,,,,,,,,
AK,2020-02-25,,,,,,,,,,,
AK,2020-02-26,,,,,,,,,,,
AK,2020-02-27,,,,,,,,,,,
AK,2020-02-28,,,,,,,,,,,
AK,2020-02-29,,,,,,,,,,,
AK,2020-03-01,,,,,,,,,,,
AK,2020-03-02,,,,,,,,,,,
AK,2020-03-03,,,,,,,,,,,
AK,2020-03-04,,,,,,,,,,,
AK,2020-03-05,,,,,,,,,,,
AK,2020-03-06,,,,,,,,,,,
AK,2020-03-07,,,,,,,,,,,
AK,2020-03-08,,,,,,,,,,,
AK,2020-03-09,,,,,,,,,,,
AK,2020-03-10,,,,,,,,,,,
AK,2020-03-11,,,,,,,,,,,
AK,2020-03-12,,,,,,,,,,,
AK,2020-03-13,,,,,,,,,,,
AK,2020-03-14,,,,,,,,,,,
AK,2020-03-15,,,,,,,,,,,
AK,2020-03-16,,,,,,,,,,,
AK,2020-03-17,,,,,,,,,,,
AK,2020-03-18,,,,,,,,,,,
AK,2020-03-19,,,,,,,,,,,
AK,2020-03-20,,,,,,,,,,,
AK,2020-03-21,,,,,,,,,,,
AK,2020-03-22,,,,,,,,,,,
AK,2020-03-23,,,,,,,,,,,
AK,2020-03-24,,,,,,,,,,,
AK,2020-03-25,,,,,,,,,,,
AK,2020-03-26,,,,,,,,,,,
AK,2020-03-27,,,,,,,,,,,
AK,2020-03-28,,,,,,,,,,,
AK,2020-03-29,,,,,,,,,,,
AK,2020-03-30,,,,,,,,,,,
AK,2020-03-31,,,,,,,,,,,
AK,2020-04-01,,,,,,,,,,,
AK,2020-04-02,,,,,,,,,,,
AK,2020-04-03,,,,,,,,,,,
AK,2020-04-04,,,,,,,,,,,
AK,2020-04-05,,,,,,,,,,,
AK,2020-04-06,,,,,,,,,,,
AK,2020-04-07,,,,,,,,,,,
AK,2020-04-08,,,,,,,,,,,
AK,2020-04-09,,,,,,,,,,,
AK,2020-04-10,,,,,,,,,,,
AK,2020-04-11,,,,,,,,,,,
AK,2020-04-12,,,,,,,,,,,
AK,2020-04-13,,,,,,,,,,,
AK,2020-04-14,,,,,,,,,,,
AK,2020-04-15,,,,,,,,,,,
AK,2020-04-16,,,,,,,,,,,
AK,2020-04-17,,,,,,,,,,,
AK,2020-04-18,,,,,,,,,,,
AK,2020-04-19,,,,,,,,,,,
AK,2020-04-20,,,,,,,,,,,
AK,2020-04-21,,,,,,,,,,,
AK,2020-04-22,,,,,,,,,,,
AK,2020-04-23,,,,,,,,,,,
AK,2020-04-24,,,,,,,,,,,
AK,2020-04-25,,,,,,,,,,,
AK,2020-04-26,,,,,,,,,,,
AK,2020-04-27,,,,,,,,,,,
AK,2020-04-28,,,,,,,,,,,
AK,2020-04-29,,,,,,,,,,,
AK,2020-04-30,,,,,,,,,,,
AK,2020-05-01,,,,,,,,,,,
AK,2020-05-02,,,,,,,,,,,
AK,2020-05-03,,,,,,,,,,,
AK,2020-05-04,,,,,,,,,,,
AK,2020-05-05,,,,,,,,,,,
AK,2020-05-06,,,,,,,,,,,
AK,2020-05-07,,,,,,,,,,,
AK,2020-05-08,,,,,,,,,,,
AK,2020-05-09,,,,,,,,,,,
AK,2020-05-10,,,,,,,,,,,
AK,2020-05-11,,,,,,,,,,,
AK,2020-05-12,,,,,,,,,,,
AK,2020-05-13,,,,,,,,,,,
AK,2020-05-14,,,,,,,,,,,
AK,2020-05-15,,,,,,,,,,,
AK,2020-05-16,,,,,,,,,,,
AK,2020-05-17,,,,,,,,,,,
AK,2020-05-18,,,,,,,,,,,
AK,2020-05-19,,,,,,,,,,,
AK,2020-05-20,,,,,,,,,,,
AK,2020-05-21,,,,,,,,,,,
AK,2020-05-22,,,,,,,,,,,
AK,2020-05-23,,,,,,,,,,,
AK,2020-05-24,,,,,,,,,,,
AK,2020-05-25,,,,,,,,,,,
AK,2020-05-26,,,,,,,,,,,
AK,2020-05-27,,,,,,,,,,,
AK,2020-05-28,,,,,,,,,,,
AK,2020-05-29,,,,,,,,,,,
AK,2020-05-30,,,,,,,,,,,
AK,2020-05-31,,,,,,,,,,,
AK,2020-06-01,,,,,,,,,,,
AK,2020-06-02,,,,,,,,,,,
AK,2020-06-03,,,,,,,,,,,
AK,2020-06-04,,,,,,,,,,,
AK,2020-06-05,,,,,,,,,,,
AK,2020-06-06,,,,,,,,,,,
AK,2020-06-07,,,,,,,,,,,
AK,2020-06-08,,,,,,,,,,,
AK,2020-06-09,,,,,,,,,,,
AK,2020-06-10,,,,,,,,,,,
AK,2020-06-11,,,,,,,,,,,
AK,2020-06-12,,,,,,,,,,,
AK,2020-06-13,,,,,,,,,,,
AK,2020-06-14,,,,,,,,,,,
AK,2020-06-15,,,,,,,,,,,
AK,2020-06-16,,,,,,,,,,,
AK,2020-06-17,,,,,,,,,,,
AK,2020-06-18,,,,,,,,,,,
AK,2020-06-19,,,,,,,,,,,
AK,2020-06-20,,,,,,,,,,,
AK,2020-06-21,,,,,,,,,,,
AK,2020-06-22,,,,,,,,,,,
AK,2020-06-23,,,,,,,,,,,
AK,2020-06-24,,,,,,,,,,,
AK,2020-06-25,,,,,,,,,,,
AK,2020-06-26,,,,,,,,,,,
AK,2020-06-27,,,,,,,,,,,
AK,2020-06-28,,,,,,,,,,,
AK,2020-06-29,,,,,,,,,,,
AK,2020-06-30,,,,,,,,,,,
AK,2020-07-01,,,,,,,,,,,
AK,2020-07-02,,,,,,,,,,,
AK,2020-07-03,,,,,,,,,,,
AK,2020-07-04,,,,,,,,,,,
AK,2020-07-05,,,,,,,,,,,
AK,2020-07-06,,,,,,,,,,,
AK,2020-07-07,,,,,,,,,,,
AK,2020-07-08,,,,,,,,,,,
AK,2020-07-09,,,,,,,,,,,
AK,2020-07-10,,,,,,,,,,,
AK,2020-07-11,,,,,,,,,,,
AK,2020-07-12,,,,,,,,,,,
AK,2020-07-13,,,,,,,,,,,
AK,2020-07-14,,,,,,,,,,,
AK,2020-07-15,,,,,,,,,,,
AK,2020-07-16,,,,,,,,,,,
AK,2020-07-17,,,,,,,,,,,
AK,2020-07-18,,,,,,,,,,,
AK,2020-07-19,,,,,,,,,,,
AK,2020-07-20,,,,,,,,,,,
AK,2020-07-21,,,,,,,,,,,
AK,2020-07-22,,,,,,,,,,,
AK,2020-07-23,,,,,,,,,,,
AK,2020-07-24,,,,,,,,,,,
AK,2020-07-25,,,,,,,,,,,
AK,2020-07-26,,,,,,,,,,,
AK,2020-07-27,,,,,,,,,,,
AK,2020-07-28,,,,,,,,,,,
AK,2020-07-29,,,,,,,,,,,
AK,2020-07-30,,,,,,,,,,,
AK,2020-07-31,,,,,,,,,,,
AK,2020-08-01,,,,,,,,,,,
AK,2020-08-02,,,,,,,,,,,
AK,2020-08-03,,,,,,,,,,,
AK,2020-08-04,,,,,,,,,,,
AK,2020-08-05,,,,,,,,,,,
AK,2020-08-06,,,,,,,,,,,
AK,2020-08-07,,,,,,,,,,,
AK,2020-08-08,,,,,,,,,,,
AK,2020-08-09,,,,,,,,,,,
AK,2020-08-10,,,,,,,,,,,
AK,2020-08-11,,,,,,,,,,,
AK,2020-08-12,,,,,,,,,,,
AK,2020-08-13,,,,,,,,,,,
AK,2020-08-14,,,,,,,,,,,
AK,2020-08-15,,,,,,,,,,,
AK,2020-08-16,,,,,,,,,,,
AK,2020-08-17,,,,,,,,,,,
AK,2020-08-18,,,,,,,,,,,
AK,2020-08-19,,,,,,,,,,,
AK,2020-08-20,,,,,,,,,,,
AK,2020-08-21,,,,,,,,,,,
AK,2020-08-22,,,,,,,,,,,
AK,2020-08-23,,,,,,,,,,,
AK,2020-08-24,,,,,,,,,,,
AK,2020-08-25,,,,,,,,,,,
AK,2020-08-26,,,,,,,,,,,
AK,2020-08-27,,,,,,,,,,,
AK,2020-08-28,,,,,,,,,,,
AK,2020-08-29,,,,,,,,,,,
AK,2020-08-30,,,,,,,,,,,
AK,2020-08-31,,,,,,,,,,,
AK,2020-09-01,,,,,,,,,,,
AK,2020-09-02,,,,,,,,,,,
AK,2020-09-03,,,,,,,,,,,
AK,2020-09-04,,,,,,,,,,,
AK,2020-09-05,,,,,,,,,,,
AK,2020-09-06,,,,,,,,,,,
AK,2020-09-07,,,,,,,,,,,
AK,2020-09-08,,,,,,,,,,,
AK,2020-09-09,,,,,,,,,,,
AK,2020-09-10,,,,,,,,,,,
AK,2020-09-11,,,,,,,,,,,
AK,2020-09-12,,,,,,,,,,,
AK,2020-09-13,,,,,,,,,,,
AK,2020-09-14,,,,,,,,,,,
AK,2020-09-15,,,,,,,,,,,
AK,2020-09-16,,,,,,,,,,,
AK,2020-09-17,,,,,,,,,,,
AK,2020-09-18,,,,,,,,,,,
AK,2020-09-19,,,,,,,,,,,
AK,2020-09-20,,,,,,,,,,,
AK,2020-09-21,,,,,,,,,,,
AK,2020-09-22,,,,,,,,,,,
AK,2020-09-23,,,,,,,,,,,
AK,2020-09-24,,,,,,,,,,,
AK,2020-09-25,,,,,,,,,,,
AK,2020-09-26,,,,,,,,,,,
AK,2020-09-27,,,,,,,,,,,
AK,2020-09-28,,,,,,,,,,,
AK,2020-09-29,,,,,,,,,,,
AK,2020-09-30,,,,,,,,,,,
AK,2020-10-01,,,,,,,,,,,
