,population
AK,
AL,
AR,
AZ,
CA,
CO,
CT,
DC,
DE,
FL,
GA,
HI,
IA,
ID,
IL,
IN,
KS,
KY,
LA,
MA,
MD,
ME,
MI,
MN,
MO,
MS,
MT,
NC,
ND,
NE,
NH,
NJ,
NM,
NV,
NY,
OH,
OK,
OR,
PA,
PR,
RI,
SC,
SD,
TN,
TX,
UT,
VA,
VT,
WA,
WI,
WV,
WY,
Alabama,4876250.0
Alaska,737067.0
Arizona,7050299.0
Arkansas,2999370.0
California,39283497.0
Colorado,5610349.0
Connecticut,3575074.0
Delaware,957247.0
District of Columbia,692683.0
Florida,20901636.0
Georgia,10403847.0
Hawaii,1422093.0
Idaho,1717750.0
Illinois,12770631.0
Indiana,6665702.0
Iowa,3139508.0
Kansas,2910652.0
Kentucky,4449052.0
Louisiana,4664362.0
Maine,1335492.0
Maryland,6018848.0
Massachusetts,6850553.0
Michigan,9965265.0
Minnesota,5563378.0
Mississippi,2984418.0
Missouri,6104910.0
Montana,1050649.0
Nebraska,1914570.0
Nevada,2972382.0
New Hampshire,1348124.0
New Jersey,8878503.0
New Mexico,2092454.0
New York,19572319.0
North Carolina,10264876.0
North Dakota,756717.0
Ohio,11655397.0
Oklahoma,3932870.0
Oregon,4129803.0
Pennsylvania,12791529.0
Rhode Island,1057231.0
South Carolina,5020806.0
South Dakota,870638.0
Tennessee,6709356.0
Texas,28260856.0
Utah,3096848.0
Vermont,624312.0
Virginia,8454463.0
Washington,7404107.0
West Virginia,1817305.0
Wisconsin,5790715.0
Wyoming,581023.0
