,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0.42857142857142855,3,3,0,0,0
2020-03-12,0.5714285714285714,1,4,0,0,0
2020-03-13,1.1428571428571428,4,8,0,0,0
2020-03-14,2.142857142857143,7,15,0,0,0
2020-03-15,4,13,28,0,0,0
2020-03-16,5.142857142857143,8,36,0,0,0
2020-03-17,7.285714285714286,15,51,0,0,0
2020-03-18,8.285714285714286,10,61,0,0,0
2020-03-19,12,27,88,0,0,0
2020-03-20,15.285714285714286,27,115,0,0,0
2020-03-21,19.142857142857142,34,149,0,0,0
2020-03-22,21.714285714285715,31,180,0,0,0
2020-03-23,26.857142857142858,44,224,0,0,0
2020-03-24,35.285714285714285,74,298,0,0,0
2020-03-25,58.714285714285715,174,472,0.14285714285714285,1,1
2020-03-26,69.42857142857143,102,574,0.14285714285714285,0,1
2020-03-27,81.28571428571429,110,684,0.5714285714285714,3,4
2020-03-28,93.14285714285714,117,801,0.5714285714285714,0,4
2020-03-29,100,79,880,1.4285714285714286,6,10
2020-03-30,111,121,1001,1.4285714285714286,0,10
2020-03-31,109.28571428571429,62,1063,3.2857142857142856,13,23
2020-04-01,100.42857142857143,112,1175,3.7142857142857144,4,27
2020-04-02,113.85714285714286,196,1371,4.428571428571429,5,32
2020-04-03,131.71428571428572,235,1606,4.857142857142857,6,38
2020-04-04,132.28571428571428,121,1727,5.714285714285714,6,44
2020-04-05,146.42857142857142,178,1905,5,1,45
2020-04-06,154,174,2079,5.571428571428571,4,49
2020-04-07,177.85714285714286,229,2308,5.857142857142857,15,64
2020-04-08,205.57142857142858,306,2614,5.571428571428571,2,66
2020-04-09,226.14285714285714,340,2954,5.428571428571429,4,70
2020-04-10,215.14285714285714,158,3112,6,10,80
2020-04-11,231.28571428571428,234,3346,6.857142857142857,12,92
2020-04-12,251.71428571428572,321,3667,6.857142857142857,1,93
2020-04-13,255.85714285714286,203,3870,7.142857142857143,6,99
2020-04-14,247.57142857142858,171,4041,7.142857142857143,15,114
2020-04-15,241.85714285714286,266,4307,7.428571428571429,4,118
2020-04-16,215.85714285714286,158,4465,9,15,133
2020-04-17,206.42857142857142,92,4557,9.714285714285714,15,148
2020-04-18,206,231,4788,8.714285714285714,5,153
2020-04-19,187.28571428571428,190,4978,9.142857142857142,4,157
2020-04-20,184.71428571428572,185,5163,9.142857142857142,6,163
2020-04-21,194.71428571428572,241,5404,9.857142857142858,20,183
2020-04-22,197.85714285714286,288,5692,11.142857142857142,13,196
2020-04-23,204.85714285714286,207,5899,9.857142857142858,6,202
2020-04-24,219.28571428571428,193,6092,8.714285714285714,7,209
2020-04-25,212.28571428571428,182,6274,8,0,209
2020-04-26,213.85714285714286,201,6475,8.857142857142858,10,219
2020-04-27,208.28571428571428,146,6621,9.285714285714286,9,228
2020-04-28,202.28571428571428,199,6820,8.428571428571429,14,242
2020-04-29,183.85714285714286,159,6979,8.571428571428571,14,256
2020-04-30,184,208,7187,10,16,272
2020-05-01,192.57142857142858,253,7440,11.428571428571429,17,289
2020-05-02,203.71428571428572,260,7700,11.285714285714286,-1,288
2020-05-03,214.57142857142858,277,7977,10.142857142857142,2,290
2020-05-04,226,226,8203,10,8,298
2020-05-05,242.85714285714286,317,8520,10.428571428571429,17,315
2020-05-06,255.71428571428572,249,8769,12.428571428571429,28,343
2020-05-07,275.42857142857144,346,9115,13.857142857142858,26,369
2020-05-08,285.2857142857143,322,9437,13.428571428571429,14,383
2020-05-09,288.57142857142856,283,9720,14.571428571428571,7,390
2020-05-10,286.42857142857144,262,9982,14.714285714285714,3,393
2020-05-11,294.14285714285717,280,10262,15,10,403
2020-05-12,292.2857142857143,304,10566,17.142857142857142,32,435
2020-05-13,293.2857142857143,256,10822,15.285714285714286,15,450
2020-05-14,292.2857142857143,339,11161,14.857142857142858,23,473
2020-05-15,293.85714285714283,333,11494,14.285714285714286,10,483
2020-05-16,301.14285714285717,334,11828,13.571428571428571,2,485
2020-05-17,307.85714285714283,309,12137,13.571428571428571,3,488
2020-05-18,310.85714285714283,301,12438,12.285714285714286,1,489
2020-05-19,322.7142857142857,387,12825,9.857142857142858,15,504
2020-05-20,337.7142857142857,361,13186,10.285714285714286,18,522
2020-05-21,347,404,13590,8,7,529
2020-05-22,351.42857142857144,364,13954,8.285714285714286,12,541
2020-05-23,357.14285714285717,374,14328,9.142857142857142,8,549
2020-05-24,362.7142857142857,348,14676,9,2,551
2020-05-25,410.14285714285717,633,15309,11,15,566
2020-05-26,439.14285714285717,590,15899,10.857142857142858,14,580
2020-05-27,439.57142857142856,364,16263,8.714285714285714,3,583
2020-05-28,451.2857142857143,486,16749,8.857142857142858,8,591
2020-05-29,472.57142857142856,513,17262,9.857142857142858,19,610
2020-05-30,480.14285714285717,427,17689,9.857142857142858,8,618
2020-05-31,503.42857142857144,511,18200,11.285714285714286,12,630
2020-06-01,459.42857142857144,325,18525,11.428571428571429,16,646
2020-06-02,405,209,18734,10.428571428571429,7,653
2020-06-03,384.42857142857144,220,18954,10,0,653
2020-06-04,359,308,19262,8.857142857142858,0,653
2020-06-05,378.2857142857143,648,19910,9.428571428571429,23,676
2020-06-06,380.85714285714283,445,20355,10.142857142857142,13,689
2020-06-07,368.14285714285717,422,20777,8.857142857142858,3,692
2020-06-08,391.85714285714283,491,21268,10.285714285714286,26,718
2020-06-09,442.85714285714283,566,21834,10.857142857142858,11,729
2020-06-10,529.2857142857143,825,22659,13,15,744
2020-06-11,586.8571428571429,711,23370,14.571428571428571,11,755
2020-06-12,642.1428571428571,1035,24405,13.285714285714286,14,769
2020-06-13,715.5714285714286,959,25364,12,4,773
2020-06-14,772.1428571428571,818,26182,11.571428571428571,0,773
2020-06-15,745.2857142857143,303,26485,8,1,774
2020-06-16,742.8571428571429,549,27034,8,11,785
2020-06-17,754.5714285714286,907,27941,6.571428571428571,5,790
2020-06-18,758,735,28676,7.857142857142857,20,810
2020-06-19,688.5714285714286,549,29225,7.571428571428571,12,822
2020-06-20,617,458,29683,9.285714285714286,16,838
2020-06-21,562.8571428571429,439,30122,9.428571428571429,1,839
2020-06-22,612.2857142857143,649,30771,9.571428571428571,2,841
2020-06-23,693.5714285714286,1118,31889,11.285714285714286,23,864
2020-06-24,705.2857142857143,989,32878,14.428571428571429,27,891
2020-06-25,743.4285714285714,1002,33880,12.285714285714286,5,896
2020-06-26,811.1428571428571,1023,34903,12.142857142857142,11,907
2020-06-27,771.4285714285714,180,35083,11.571428571428571,12,919
2020-06-28,911.5714285714286,1420,36503,11.428571428571429,0,919
2020-06-29,974,1086,37589,12.571428571428571,10,929
2020-06-30,941.1428571428571,888,38477,12.285714285714286,21,950
2020-07-01,967,1170,39647,11.571428571428571,22,972
2020-07-02,1065.7142857142858,1693,41340,12.714285714285714,13,985
2020-07-03,1050.2857142857142,915,42255,14.142857142857142,21,1006
2020-07-04,1161.857142857143,961,43216,12.571428571428571,1,1007
2020-07-05,1074.142857142857,806,44022,12.571428571428571,0,1007
2020-07-06,1049,910,44932,11.142857142857142,0,1007
2020-07-07,1124.4285714285713,1416,46348,11.857142857142858,26,1033
2020-07-08,1214.5714285714287,1801,48149,12.285714285714286,25,1058
2020-07-09,1193.5714285714287,1546,49695,11.857142857142858,10,1068
2020-07-10,1296.2857142857142,1634,51329,14,36,1104
2020-07-11,1369.4285714285713,1473,52802,15.285714285714286,10,1114
2020-07-12,1537,1979,54781,16.285714285714285,7,1121
2020-07-13,1605.142857142857,1387,56168,16.714285714285715,3,1124
2020-07-14,1705.142857142857,2116,58284,18.714285714285715,40,1164
2020-07-15,1720.7142857142858,1910,60194,21.857142857142858,47,1211
2020-07-16,1776.142857142857,1934,62128,23.142857142857142,19,1230
2020-07-17,1831.857142857143,2024,64152,23,35,1265
2020-07-18,1911.2857142857142,2029,66181,24.571428571428573,21,1286
2020-07-19,1850.2857142857142,1552,67733,23.714285714285715,1,1287
2020-07-20,1866.857142857143,1503,69236,23.857142857142858,4,1291
2020-07-21,1759.4285714285713,1364,70600,19.857142857142858,12,1303
2020-07-22,1771.4285714285713,1994,72594,21.857142857142858,61,1364
2020-07-23,1793.857142857143,2091,74685,23.857142857142858,33,1397
2020-07-24,1806.142857142857,2110,76795,24.714285714285715,41,1438
2020-07-25,1715.2857142857142,1393,78188,24.285714285714285,18,1456
2020-07-26,1745,1760,79948,26.571428571428573,17,1473
2020-07-27,1717.142857142857,1308,81256,28.571428571428573,18,1491
2020-07-28,1728.2857142857142,1442,82698,26.857142857142858,0,1491
2020-07-29,1722.5714285714287,1954,84652,24.857142857142858,47,1538
2020-07-30,1711.2857142857142,2012,86664,24,27,1565
2020-07-31,1638.7142857142858,1602,88266,20.285714285714285,15,1580
2020-08-01,1730.142857142857,2033,90299,21,23,1603
2020-08-02,1644.2857142857142,1159,91458,22,24,1627
2020-08-03,1606.5714285714287,1044,92502,20.285714285714285,6,1633
2020-08-04,1537,955,93457,25,33,1666
2020-08-05,1524.4285714285713,1866,95323,22.428571428571427,29,1695
2020-08-06,1482.857142857143,1721,97044,21.285714285714285,19,1714
2020-08-07,1518.4285714285713,1851,98895,22.142857142857142,21,1735
2020-08-08,1365,959,99854,21.714285714285715,20,1755
2020-08-09,1429.7142857142858,1612,101466,20.142857142857142,13,1768
2020-08-10,1412.7142857142858,925,102391,23.428571428571427,29,1797
2020-08-11,1432.5714285714287,1094,103485,25.857142857142858,50,1847
2020-08-12,1270.857142857143,734,104219,26.714285714285715,35,1882
2020-08-13,1133.142857142857,757,104976,25.142857142857142,8,1890
2020-08-14,1028.7142857142858,1120,106096,22.571428571428573,3,1893
2020-08-15,1010.2857142857143,830,106926,20.142857142857142,3,1896
2020-08-16,885.8571428571429,741,107667,18.571428571428573,2,1898
