,inpatient_beds_used_covid,7_day_avg
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,0.0,0.0
2020-03-18,0.0,0.0
2020-03-19,0.0,0.0
2020-03-20,0.0,0.0
2020-03-21,0.0,0.0
2020-03-22,0.0,0.0
2020-03-23,0.0,0.0
2020-03-24,0.0,0.0
2020-03-25,0.0,0.0
2020-03-26,0.0,10.714285714285714
2020-03-27,0.0,28.142857142857142
2020-03-28,0.0,54.714285714285715
2020-03-29,75.0,89.57142857142857
2020-03-30,122.0,133.28571428571428
2020-03-31,186.0,175.28571428571428
2020-04-01,244.0,223.71428571428572
2020-04-02,306.0,262.85714285714283
2020-04-03,294.0,297.85714285714283
2020-04-04,339.0,323.2857142857143
2020-04-05,349.0,340.2857142857143
2020-04-06,367.0,349.85714285714283
2020-04-07,364.0,359.2857142857143
2020-04-08,363.0,364.14285714285717
2020-04-09,373.0,367.0
2020-04-10,360.0,387.85714285714283
2020-04-11,373.0,411.2857142857143
2020-04-12,369.0,431.7142857142857
2020-04-13,513.0,452.2857142857143
2020-04-14,528.0,471.2857142857143
2020-04-15,506.0,493.85714285714283
2020-04-16,517.0,520.4285714285714
2020-04-17,493.0,530.2857142857143
2020-04-18,531.0,544.7142857142857
2020-04-19,555.0,558.7142857142857
2020-04-20,582.0,580.2857142857143
2020-04-21,629.0,604.8571428571429
2020-04-22,604.0,622.7142857142857
2020-04-23,668.0,636.8571428571429
2020-04-24,665.0,652.8571428571429
2020-04-25,656.0,664.7142857142857
2020-04-26,654.0,690.8571428571429
2020-04-27,694.0,698.5714285714286
2020-04-28,712.0,711.5714285714286
2020-04-29,787.0,728.4285714285714
2020-04-30,722.0,757.4285714285714
2020-05-01,756.0,757.8571428571429
2020-05-02,774.0,773.1428571428571
2020-05-03,857.0,782.2857142857143
2020-05-04,697.0,803.1428571428571
2020-05-05,819.0,803.1428571428571
