,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,1.2857142857142858,9,9,0,0,0
2020-03-14,1.7142857142857142,3,12,0,0,0
2020-03-15,0.42857142857142855,-9,3,0,0,0
2020-03-16,0.42857142857142855,0,3,0,0,0
2020-03-17,0.42857142857142855,0,3,0,0,0
2020-03-18,0.5714285714285714,1,4,0,0,0
2020-03-19,8.857142857142858,58,62,0,0,0
2020-03-20,13,38,100,0,0,0
2020-03-21,15.714285714285714,22,122,0,0,0
2020-03-22,23.142857142857142,43,165,0,0,0
2020-03-23,27,27,192,0,0,0
2020-03-24,30.857142857142858,27,219,0.2857142857142857,2,2
2020-03-25,39.42857142857143,61,280,0.2857142857142857,0,2
2020-03-26,39,55,335,0.2857142857142857,0,2
2020-03-27,40.142857142857146,46,381,0.42857142857142855,1,3
2020-03-28,41,28,409,0.7142857142857143,2,5
2020-03-29,37.285714285714285,17,426,0.8571428571428571,1,6
2020-03-30,40.142857142857146,47,473,1,1,7
2020-03-31,43.42857142857143,50,523,0.8571428571428571,1,8
2020-04-01,43.42857142857143,61,584,1.1428571428571428,2,10
2020-04-02,44,59,643,1.4285714285714286,2,12
2020-04-03,46.142857142857146,61,704,1.2857142857142858,0,12
2020-04-04,47.714285714285715,39,743,1.2857142857142858,2,14
2020-04-05,58.714285714285715,94,837,1.4285714285714286,2,16
2020-04-06,57.42857142857143,38,875,1.2857142857142858,0,16
2020-04-07,60.42857142857143,71,946,1.4285714285714286,2,18
2020-04-08,59.42857142857143,54,1000,1.1428571428571428,0,18
2020-04-09,68,119,1119,1.2857142857142858,3,21
2020-04-10,66.71428571428571,52,1171,1.2857142857142858,0,21
2020-04-11,69.28571428571429,57,1228,1.5714285714285714,4,25
2020-04-12,63.285714285714285,52,1280,1.5714285714285714,2,27
2020-04-13,76.42857142857143,130,1410,1.8571428571428572,2,29
2020-04-14,78.85714285714286,88,1498,2,3,32
2020-04-15,81.28571428571429,71,1569,2.142857142857143,1,33
2020-04-16,71.57142857142857,51,1620,2.2857142857142856,4,37
2020-04-17,74.85714285714286,75,1695,2.2857142857142856,0,37
2020-04-18,73.71428571428571,49,1744,1.8571428571428572,1,38
2020-04-19,71.57142857142857,37,1781,1.7142857142857142,1,39
2020-04-20,80.42857142857143,192,1973,1.7142857142857142,2,41
2020-04-21,70.28571428571429,17,1990,1.4285714285714286,1,42
2020-04-22,101,286,2276,1.2857142857142858,0,42
2020-04-23,139.85714285714286,323,2599,1.1428571428571428,3,45
2020-04-24,159.28571428571428,211,2810,1.4285714285714286,2,47
2020-04-25,166.71428571428572,101,2911,1.4285714285714286,1,48
2020-04-26,174.28571428571428,90,3001,1.7142857142857142,3,51
2020-04-27,156.57142857142858,68,3069,1.4285714285714286,0,51
2020-04-28,162.42857142857142,58,3127,2.142857142857143,6,57
2020-04-29,131,66,3193,2.142857142857143,0,57
2020-04-30,97.42857142857143,88,3281,2.2857142857142856,4,61
2020-05-01,75.28571428571429,56,3337,2.4285714285714284,3,64
2020-05-02,65.85714285714286,35,3372,3.4285714285714284,8,72
2020-05-03,62.285714285714285,65,3437,3.5714285714285716,4,76
2020-05-04,60.285714285714285,54,3491,4.142857142857143,4,80
2020-05-05,56.857142857142854,34,3525,3.7142857142857144,3,83
2020-05-06,59.714285714285715,86,3611,4.285714285714286,4,87
2020-05-07,60.285714285714285,92,3703,3.7142857142857144,0,87
2020-05-08,58.57142857142857,44,3747,3.4285714285714284,1,88
2020-05-09,53.57142857142857,0,3747,2.2857142857142856,0,88
2020-05-10,82.14285714285714,265,4012,2.142857142857143,3,91
2020-05-11,78.85714285714286,31,4043,2,3,94
2020-05-12,91.28571428571429,121,4164,1.7142857142857142,1,95
2020-05-13,89.28571428571429,72,4236,1.4285714285714286,2,97
2020-05-14,94.71428571428571,130,4366,1.5714285714285714,1,98
2020-05-15,102.28571428571429,97,4463,1.4285714285714286,0,98
2020-05-16,118.71428571428571,115,4578,1.4285714285714286,0,98
2020-05-17,106.71428571428571,181,4759,1,0,98
2020-05-18,110,54,4813,0.8571428571428571,2,100
2020-05-19,108.42857142857143,110,4923,1,2,102
2020-05-20,109.57142857142857,80,5003,1.4285714285714286,5,107
2020-05-21,156,455,5458,1.7142857142857142,3,110
2020-05-22,164.14285714285714,154,5612,2.142857142857143,3,113
2020-05-23,171,163,5775,2.4285714285714284,2,115
2020-05-24,166.14285714285714,147,5922,2.5714285714285716,1,116
2020-05-25,173.71428571428572,107,6029,2.4285714285714284,1,117
2020-05-26,179.57142857142858,151,6180,2.4285714285714284,2,119
2020-05-27,182,97,6277,1.8571428571428572,1,120
2020-05-28,154.28571428571428,261,6538,2.142857142857143,5,125
2020-05-29,166.42857142857142,239,6777,2.7142857142857144,7,132
2020-05-30,176.85714285714286,236,7013,2.5714285714285716,1,133
2020-05-31,190.14285714285714,240,7253,2.4285714285714284,0,133
2020-06-01,202,190,7443,2.2857142857142856,0,133
2020-06-02,234,375,7818,2.4285714285714284,3,136
2020-06-03,255.71428571428572,249,8067,3.142857142857143,6,142
2020-06-04,269.57142857142856,358,8425,3.7142857142857144,9,151
2020-06-05,267.7142857142857,226,8651,2.857142857142857,1,152
2020-06-06,298.2857142857143,450,9101,3,2,154
2020-06-07,310.42857142857144,325,9426,3,0,154
2020-06-08,328.14285714285717,314,9740,3.142857142857143,1,155
2020-06-09,323.14285714285717,340,10080,3.5714285714285716,6,161
2020-06-10,328.7142857142857,288,10368,3.2857142857142856,4,165
2020-06-11,341.57142857142856,448,10816,2.857142857142857,6,171
2020-06-12,413.7142857142857,731,11547,3.4285714285714284,5,176
2020-06-13,427.7142857142857,548,12095,3.2857142857142856,1,177
2020-06-14,439.2857142857143,406,12501,3.5714285714285716,2,179
2020-06-15,453.85714285714283,416,12917,3.857142857142857,3,182
2020-06-16,444.42857142857144,274,13191,3.857142857142857,6,188
2020-06-17,462.57142857142856,415,13606,4.571428571428571,9,197
2020-06-18,444.57142857142856,322,13928,5.285714285714286,11,208
2020-06-19,440.57142857142856,703,14631,5.428571428571429,6,214
2020-06-20,435.2857142857143,511,15142,6.714285714285714,10,224
2020-06-21,437.14285714285717,419,15561,6.571428571428571,1,225
2020-06-22,452.2857142857143,522,16083,6.428571428571429,2,227
2020-06-23,498.14285714285717,595,16678,7,10,237
2020-06-24,538.4285714285714,697,17375,6.142857142857143,3,240
2020-06-25,590.5714285714286,687,18062,4.571428571428571,0,240
2020-06-26,587,678,18740,5,9,249
2020-06-27,595.4285714285714,570,19310,5,10,259
2020-06-28,608.1428571428571,508,19818,5.571428571428571,5,264
2020-06-29,596.2857142857143,439,20257,5.428571428571429,1,265
2020-06-30,585.5714285714286,520,20777,4.714285714285714,5,270
2020-07-01,546,420,21197,5.285714285714286,7,277
2020-07-02,573.2857142857143,878,22075,5.571428571428571,2,279
2020-07-03,554.5714285714286,547,22622,4.571428571428571,2,281
2020-07-04,557,587,23209,3.857142857142857,5,286
2020-07-05,570.8571428571429,605,23814,3.2857142857142856,1,287
2020-07-06,570.8571428571429,439,24253,3.857142857142857,5,292
2020-07-07,533.5714285714286,259,24512,4.428571428571429,9,301
2020-07-08,578.4285714285714,734,25246,4,4,305
2020-07-09,568.1428571428571,806,26052,4.285714285714286,4,309
2020-07-10,597.2857142857143,751,26803,4.571428571428571,4,313
2020-07-11,665,1061,27864,4.714285714285714,6,319
2020-07-12,650.4285714285714,503,28367,4.857142857142857,2,321
2020-07-13,669.4285714285714,572,28939,4.428571428571429,2,323
2020-07-14,757.1428571428571,873,29812,4.285714285714286,8,331
2020-07-15,721.5714285714286,485,30297,4.285714285714286,4,335
2020-07-16,723.1428571428571,817,31114,4.571428571428571,6,341
2020-07-17,708.4285714285714,648,31762,5.714285714285714,12,353
2020-07-18,667,771,32533,5.428571428571429,4,357
2020-07-19,694.4285714285714,695,33228,5.142857142857143,0,357
2020-07-20,712.5714285714286,699,33927,5.714285714285714,6,363
2020-07-21,691.8571428571429,728,34655,6.142857142857143,11,374
2020-07-22,707,591,35246,6.428571428571429,6,380
2020-07-23,735,1013,36259,6.428571428571429,6,386
2020-07-24,783.8571428571429,990,37249,5.857142857142857,8,394
2020-07-25,778.2857142857143,732,37981,6,5,399
2020-07-26,770.7142857142857,642,38623,6.285714285714286,2,401
2020-07-27,788.5714285714286,824,39447,6.428571428571429,7,408
2020-07-28,789.4285714285714,734,40181,7.714285714285714,20,428
2020-07-29,817.4285714285714,787,40968,7.714285714285714,6,434
2020-07-30,785.7142857142857,791,41759,8,8,442
2020-07-31,751.7142857142857,752,42511,8.428571428571429,11,453
2020-08-01,741.7142857142857,662,43173,8.428571428571429,5,458
2020-08-02,741,637,43810,9,6,464
2020-08-03,735.7142857142857,787,44597,9.571428571428571,11,475
2020-08-04,742.8571428571429,784,45381,8.857142857142858,15,490
2020-08-05,760.7142857142857,912,46293,10.571428571428571,18,508
2020-08-06,752.7142857142857,735,47028,10.428571428571429,7,515
2020-08-07,789.7142857142857,1011,48039,9.714285714285714,6,521
2020-08-08,805.4285714285714,772,48811,11,14,535
2020-08-09,796.1428571428571,572,49383,11.428571428571429,9,544
2020-08-10,775.8571428571429,645,50028,11.428571428571429,11,555
2020-08-11,718.5714285714286,383,50411,10.857142857142858,11,566
2020-08-12,686.1428571428571,685,51096,9.142857142857142,6,572
2020-08-13,676.8571428571429,670,51766,9.571428571428571,10,582
2020-08-14,621.8571428571429,626,52392,9.428571428571429,5,587
2020-08-15,454.42857142857144,-400,51992,9.285714285714286,13,600
2020-08-16,468.85714285714283,673,52665,7.857142857142857,-1,599
2020-08-17,435.57142857142856,412,53077,6.857142857142857,4,603
