,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,2593.1428571428573
2021-01-02,0.0,3344.285714285714
2021-01-03,0.0,7480.142857142857
2021-01-04,18152.0,21460.714285714286
2021-01-05,5258.0,30853.428571428572
2021-01-06,28951.0,42607.28571428572
2021-01-07,97864.0,42607.28571428572
2021-01-08,65749.0,47024.28571428572
2021-01-09,82277.0,51015.57142857143
2021-01-10,0.0,57218.142857142855
2021-01-11,49071.0,55064.28571428572
2021-01-12,33197.0,45671.57142857143
2021-01-13,72369.0,64899.71428571428
2021-01-14,82787.0,81301.85714285714
2021-01-15,0.0,74291.71428571429
2021-01-16,216874.0,69549.28571428571
2021-01-17,114815.0,72026.0
2021-01-18,0.0,60199.28571428572
2021-01-19,0.0,60199.28571428572
2021-01-20,89706.0,29217.285714285714
2021-01-21,0.0,12815.142857142857
2021-01-22,0.0,12815.142857142857
2021-01-23,0.0,12815.142857142857
2021-01-24,0.0,170644.57142857142
2021-01-25,0.0,191005.42857142858
2021-01-26,0.0,214324.14285714287
2021-01-27,1194512.0,240718.0
2021-01-28,142526.0,267670.0
2021-01-29,163231.0,291581.5714285714
2021-01-30,184757.0,304269.5714285714
2021-01-31,188664.0,151672.0
2021-02-01,167381.0,151790.7142857143
2021-02-02,88816.0,155894.14285714287
2021-02-03,126329.0,160196.57142857142
2021-02-04,143357.0,197674.7142857143
2021-02-05,191955.0,173763.14285714287
2021-02-06,214874.0,174775.42857142858
2021-02-07,451011.0,180739.0
2021-02-08,0.0,185240.85714285713
2021-02-09,95902.0,186677.2857142857
2021-02-10,168074.0,187400.42857142858
2021-02-11,174870.0,159721.0
2021-02-12,202010.0,190130.7142857143
2021-02-13,219936.0,200938.57142857142
2021-02-14,257255.0,192595.42857142858
2021-02-15,212868.0,192243.0
2021-02-16,171557.0,201092.0
2021-02-17,109672.0,207596.2857142857
2021-02-18,172403.0,204718.42857142858
2021-02-19,263953.0,210273.7142857143
2021-02-20,265466.0,225001.57142857142
2021-02-21,237110.0,209334.14285714287
2021-02-22,251755.0,205832.42857142858
2021-02-23,274652.0,194997.7142857143
2021-02-24,0.0,192334.57142857142
2021-02-25,147891.0,194965.2857142857
2021-02-26,188110.0,195368.0
2021-02-27,246824.0,196851.0
2021-02-28,255525.0,252715.0
2021-03-01,254574.0,265022.5714285714
2021-03-02,285033.0,256584.0
2021-03-03,391048.0,251504.42857142858
2021-03-04,234044.0,264079.0
2021-03-05,129040.0,283490.0
2021-03-06,211267.0,259929.14285714287
2021-03-07,343547.0,204065.14285714287
2021-03-08,390451.0,190190.85714285713
2021-03-09,120107.0,194328.42857142858
2021-03-10,0.0,193794.0
2021-03-11,136924.0,209764.57142857142
2021-03-12,158003.0,153985.85714285713
2021-03-13,207526.0,197289.57142857142
2021-03-14,455341.0,251552.85714285713
2021-03-15,0.0,299788.85714285716
2021-03-16,423233.0,334655.14285714284
2021-03-17,379843.0,350707.14285714284
2021-03-18,474576.0,341821.4285714286
2021-03-19,402067.0,403542.85714285716
2021-03-20,319890.0,392009.28571428574
2021-03-21,393141.0,380369.71428571426
2021-03-22,432050.0,361551.5714285714
2021-03-23,342498.0,357024.5714285714
2021-03-24,298366.0,377779.4285714286
2021-03-25,342849.0,381255.85714285716
2021-03-26,370378.0,375263.0
2021-03-27,465174.0,378982.4285714286
2021-03-28,417476.0,367578.85714285716
2021-03-29,390100.0,361646.28571428574
2021-03-30,368534.0,363128.28571428574
2021-03-31,218541.0,351208.85714285716
2021-04-01,301321.0,357814.14285714284
2021-04-02,380752.0,375343.4285714286
2021-04-03,381738.0,372228.0
2021-04-04,463713.0,366222.85714285716
2021-04-05,512805.0,377497.14285714284
2021-04-06,346726.0,489534.28571428574
2021-04-07,176505.0,502198.85714285716
2021-04-08,380241.0,475468.28571428574
2021-04-09,1165012.0,438376.4285714286
2021-04-10,470390.0,419178.0
2021-04-11,276599.0,467781.71428571426
2021-04-12,253162.0,482330.4285714286
2021-04-13,212337.0,430968.28571428574
2021-04-14,516731.0,438350.5714285714
2021-04-15,482082.0,473445.0
2021-04-16,805477.0,486321.85714285716
2021-04-17,522066.0,492261.4285714286
2021-04-18,522260.0,464770.4285714286
2021-04-19,343300.0,448968.71428571426
2021-04-20,253914.0,382775.85714285716
2021-04-21,324294.0,390330.5714285714
2021-04-22,371470.0,386662.85714285716
2021-04-23,342127.0,387965.28571428574
2021-04-24,574949.0,383386.14285714284
2021-04-25,496586.0,375225.14285714284
2021-04-26,352417.0,367494.85714285716
2021-04-27,221860.0,356625.4285714286
2021-04-28,267167.0,359824.71428571426
2021-04-29,317358.0,340911.85714285716
2021-04-30,266041.0,318725.0
2021-05-01,597344.0,287030.71428571426
2021-05-02,364196.0,290113.85714285716
2021-05-03,197109.0,291407.5714285714
2021-05-04,0.0,306331.28571428574
2021-05-05,288749.0,277007.14285714284
2021-05-06,326414.0,274949.85714285716
2021-05-07,370507.0,293713.4285714286
2021-05-08,392075.0,321518.4285714286
2021-05-09,349795.0,306628.71428571426
2021-05-10,328454.0,298327.71428571426
2021-05-11,194635.0,278877.14285714284
2021-05-12,184521.0,279346.71428571426
2021-05-13,268307.0,286457.4285714286
2021-05-14,234353.0,271943.4285714286
2021-05-15,395362.0,269323.71428571426
2021-05-16,399570.0,278632.4285714286
2021-05-17,226856.0,281184.4285714286
2021-05-18,176297.0,294001.14285714284
2021-05-19,249682.0,285578.0
2021-05-20,286171.0,276165.71428571426
2021-05-21,324070.0,268071.14285714284
2021-05-22,336400.0,258249.42857142858
2021-05-23,333684.0,244707.57142857142
2021-05-24,170194.0,230733.14285714287
2021-05-25,107545.0,213782.14285714287
2021-05-26,154889.0,193345.83333333334
2021-05-27,188350.0,165278.2
2021-05-28,205413.0,164049.25
