,inpatient_beds_used_covid,7_day_avg
2020-03-11,1.0,1.0
2020-03-12,1.0,1.0
2020-03-13,1.0,0.8333333333333334
2020-03-14,1.0,0.7142857142857143
2020-03-15,1.0,0.5714285714285714
2020-03-17,0.0,0.42857142857142855
2020-03-18,0.0,0.2857142857142857
2020-03-19,0.0,0.2857142857142857
2020-03-20,0.0,0.2857142857142857
2020-03-21,0.0,0.5714285714285714
2020-03-24,1.0,2.5714285714285716
2020-03-25,1.0,5.0
2020-03-26,2.0,13.857142857142858
2020-03-27,14.0,25.857142857142858
2020-03-28,17.0,35.714285714285715
2020-03-29,62.0,52.142857142857146
2020-03-30,84.0,65.71428571428571
2020-03-31,70.0,79.0
2020-04-01,116.0,90.42857142857143
2020-04-02,97.0,96.42857142857143
2020-04-03,107.0,100.42857142857143
2020-04-04,97.0,107.14285714285714
2020-04-05,104.0,110.57142857142857
2020-04-06,112.0,114.0
2020-04-07,117.0,115.57142857142857
2020-04-08,140.0,118.42857142857143
2020-04-09,121.0,121.42857142857143
2020-04-10,118.0,126.42857142857143
2020-04-11,117.0,184.14285714285714
2020-04-12,125.0,233.14285714285714
2020-04-13,147.0,293.0
2020-04-14,521.0,344.7142857142857
2020-04-15,483.0,383.42857142857144
2020-04-16,540.0,422.57142857142856
2020-04-17,480.0,462.7142857142857
2020-04-18,388.0,469.57142857142856
2020-04-19,399.0,483.7142857142857
2020-04-20,428.0,495.42857142857144
2020-04-21,569.0,517.7142857142857
2020-04-22,582.0,545.5714285714286
2020-04-23,622.0,569.1428571428571
2020-04-24,636.0,590.5714285714286
2020-04-25,583.0,596.1428571428571
2020-04-26,564.0,594.2857142857143
2020-04-27,578.0,587.5714285714286
2020-04-28,608.0,577.7142857142857
2020-04-29,569.0,575.5714285714286
2020-04-30,575.0,576.4285714285714
2020-05-01,567.0,577.5714285714286
2020-05-02,568.0,562.1428571428571
2020-05-03,570.0,552.5714285714286
2020-05-04,586.0,541.5714285714286
2020-05-05,500.0,530.2857142857143
2020-05-06,502.0,516.5714285714286
2020-05-07,498.0,500.7142857142857
2020-05-08,488.0,487.85714285714283
2020-05-09,472.0,529.1428571428571
2020-05-10,459.0,569.7142857142857
2020-05-11,496.0,607.7142857142857
2020-05-12,789.0,648.0
