,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0.2857142857142857,2,2,0,0,0
2020-03-06,1.1428571428571428,6,8,0,0,0
2020-03-07,1.1428571428571428,0,8,0,0,0
2020-03-08,1.1428571428571428,0,8,0,0,0
2020-03-09,1.7142857142857142,4,12,0,0,0
2020-03-10,2.4285714285714284,5,17,0,0,0
2020-03-11,4.857142857142857,17,34,0,0,0
2020-03-12,6.714285714285714,15,49,0.14285714285714285,1,1
2020-03-13,10,29,78,0.2857142857142857,1,2
2020-03-14,13.571428571428571,25,103,0.2857142857142857,0,2
2020-03-15,18.285714285714285,33,136,0.2857142857142857,0,2
2020-03-16,21.285714285714285,25,161,0.2857142857142857,0,2
2020-03-17,23.714285714285715,22,183,0.42857142857142855,1,3
2020-03-18,26,33,216,0.42857142857142855,0,3
2020-03-19,32.714285714285715,62,278,0.5714285714285714,2,5
2020-03-20,40.857142857142854,86,364,0.42857142857142855,0,5
2020-03-21,53.142857142857146,111,475,0.5714285714285714,1,6
2020-03-22,65.57142857142857,120,595,0.7142857142857143,1,7
2020-03-23,80.28571428571429,128,723,0.7142857142857143,0,7
2020-03-24,104.14285714285714,189,912,1.1428571428571428,4,11
2020-03-25,124.42857142857143,175,1087,2.4285714285714284,9,20
2020-03-26,164.57142857142858,343,1430,2,-1,19
2020-03-27,196.28571428571428,308,1738,3.7142857142857144,12,31
2020-03-28,226.57142857142858,323,2061,5.428571428571429,13,44
2020-03-29,244.71428571428572,247,2308,5.714285714285714,3,47
2020-03-30,272,319,2627,6.285714285714286,4,51
2020-03-31,293.42857142857144,339,2966,8.285714285714286,18,69
2020-04-01,322.14285714285717,376,3342,8.428571428571429,10,79
2020-04-02,328.2857142857143,386,3728,11.142857142857142,18,97
2020-04-03,347.85714285714283,445,4173,11.428571428571429,14,111
2020-04-04,357.7142857142857,392,4565,11.714285714285714,15,126
2020-04-05,377.42857142857144,385,4950,13.285714285714286,14,140
2020-04-06,365.14285714285717,233,5183,14.142857142857142,10,150
2020-04-07,351.85714285714283,246,5429,15.714285714285714,29,179
2020-04-08,330.42857142857144,226,5655,16.285714285714285,14,193
2020-04-09,353.42857142857144,547,6202,18.428571428571427,33,226
2020-04-10,334.2857142857143,311,6513,19.857142857142858,24,250
2020-04-11,332.57142857142856,380,6893,21.142857142857142,24,274
2020-04-12,336.7142857142857,414,7307,21.285714285714285,15,289
2020-04-13,359,389,7696,22.285714285714285,17,306
2020-04-14,360.14285714285717,254,7950,21.142857142857142,21,327
2020-04-15,375,330,8280,23,27,354
2020-04-16,353.2857142857143,395,8675,20.857142857142858,18,372
2020-04-17,362,372,9047,19.857142857142858,17,389
2020-04-18,363.85714285714283,393,9440,19.571428571428573,22,411
2020-04-19,346.14285714285717,290,9730,18.714285714285715,9,420
2020-04-20,345.14285714285717,382,10112,20.142857142857142,27,447
2020-04-21,360.42857142857144,361,10473,22.285714285714285,36,483
2020-04-22,373,418,10891,21.714285714285715,23,506
2020-04-23,371.85714285714283,387,11278,25.714285714285715,46,552
2020-04-24,458.42857142857144,978,12256,40.714285714285715,122,674
2020-04-25,504,712,12968,39,10,684
2020-04-26,530.1428571428571,473,13441,38.285714285714285,4,688
2020-04-27,538.1428571428571,438,13879,37,18,706
2020-04-28,549,437,14316,36.142857142857146,30,736
2020-04-29,552.4285714285714,442,14758,37.142857142857146,30,766
2020-04-30,572.2857142857143,526,15284,32.142857142857146,11,777
2020-05-01,505.2857142857143,509,15793,21,44,821
2020-05-02,465.2857142857143,432,16225,21.142857142857142,11,832
2020-05-03,456.2857142857143,410,16635,22,10,842
2020-05-04,434.14285714285717,283,16918,20.714285714285715,9,851
2020-05-05,435.85714285714283,449,17367,23.857142857142858,52,903
2020-05-06,439.14285714285717,465,17832,21.857142857142858,16,919
2020-05-07,440.85714285714283,538,18370,23.857142857142858,25,944
2020-05-08,433.42857142857144,457,18827,19.857142857142858,16,960
2020-05-09,450,548,19375,19.285714285714285,7,967
2020-05-10,438.2857142857143,328,19703,18.428571428571427,4,971
2020-05-11,423,176,19879,19.428571428571427,16,987
2020-05-12,398.57142857142856,278,20157,15.285714285714286,23,1010
2020-05-13,377.57142857142856,318,20475,20.428571428571427,52,1062
2020-05-14,352.57142857142856,363,20838,20.285714285714285,24,1086
2020-05-15,343.57142857142856,394,21232,27.142857142857142,64,1150
2020-05-16,322.57142857142856,401,21633,32.142857142857146,42,1192
2020-05-17,319.2857142857143,305,21938,34.857142857142854,23,1215
2020-05-18,331.85714285714283,264,22202,33.857142857142854,9,1224
2020-05-19,332.14285714285717,280,22482,35.285714285714285,33,1257
2020-05-20,331.7142857142857,315,22797,33.857142857142854,42,1299
2020-05-21,336.14285714285717,394,23191,32,11,1310
2020-05-22,322.14285714285717,296,23487,24.857142857142858,14,1324
2020-05-23,333,477,23964,19.285714285714285,3,1327
2020-05-24,319.42857142857144,210,24174,16.714285714285715,5,1332
2020-05-25,295.2857142857143,95,24269,15.571428571428571,1,1333
2020-05-26,297.57142857142856,296,24565,13.571428571428571,19,1352
2020-05-27,281.42857142857144,202,24767,13.285714285714286,40,1392
2020-05-28,275.7142857142857,354,25121,15.857142857142858,29,1421
2020-05-29,303.57142857142856,491,25612,16,15,1436
2020-05-30,304.85714285714283,486,26098,16.571428571428573,7,1443
2020-05-31,314.85714285714283,280,26378,16.142857142857142,2,1445
2020-06-01,329.7142857142857,199,26577,17.857142857142858,13,1458
2020-06-02,317.57142857142856,211,26788,17.428571428571427,16,1474
2020-06-03,327.57142857142856,272,27060,14.571428571428571,20,1494
2020-06-04,319.85714285714283,300,27360,13,18,1512
2020-06-05,286.14285714285717,255,27615,12.571428571428571,12,1524
2020-06-06,250,233,27848,12,3,1527
2020-06-07,231.85714285714286,153,28001,11.714285714285714,0,1527
2020-06-08,229.42857142857142,182,28183,12.142857142857142,16,1543
2020-06-09,222.71428571428572,164,28347,11.285714285714286,10,1553
2020-06-10,205.57142857142858,152,28499,11.142857142857142,19,1572
2020-06-11,183.85714285714286,148,28647,10,10,1582
2020-06-12,172.42857142857142,175,28822,8.285714285714286,0,1582
2020-06-13,167,195,29017,10,15,1597
2020-06-14,161.28571428571428,113,29130,10.142857142857142,1,1598
2020-06-15,159.42857142857142,169,29299,8.857142857142858,7,1605
2020-06-16,156.42857142857142,143,29442,9.142857142857142,12,1617
2020-06-17,167.42857142857142,229,29671,8.428571428571429,14,1631
2020-06-18,179.14285714285714,230,29901,8,7,1638
2020-06-19,195,286,30187,8.714285714285714,5,1643
2020-06-20,190.14285714285714,161,30348,7.142857142857143,4,1647
2020-06-21,201.28571428571428,191,30539,7,0,1647
2020-06-22,200.85714285714286,166,30705,6.571428571428571,4,1651
2020-06-23,207.28571428571428,188,30893,6.857142857142857,14,1665
2020-06-24,212,262,31155,5.142857142857143,2,1667
2020-06-25,225.42857142857142,324,31479,4.428571428571429,2,1669
2020-06-26,229.85714285714286,317,31796,4.285714285714286,4,1673
2020-06-27,239.14285714285714,226,32022,3.857142857142857,1,1674
2020-06-28,252.57142857142858,285,32307,4.142857142857143,2,1676
2020-06-29,258,204,32511,4.285714285714286,5,1681
2020-06-30,260.2857142857143,204,32715,3.5714285714285716,9,1690
2020-07-01,267.7142857142857,314,33029,4.285714285714286,7,1697
2020-07-02,267.57142857142856,323,33352,4.571428571428571,4,1701
2020-07-03,259.42857142857144,260,33612,4,0,1701
2020-07-04,263.42857142857144,254,33866,3.857142857142857,0,1701
2020-07-05,251.14285714285714,199,34065,3.5714285714285716,0,1701
2020-07-06,249.42857142857142,192,34257,1.4285714285714286,-10,1691
2020-07-07,278.42857142857144,407,34664,0.8571428571428571,5,1696
2020-07-08,298.14285714285717,452,35116,1,8,1704
2020-07-09,310.42857142857144,409,35525,0.7142857142857143,2,1706
2020-07-10,368.42857142857144,666,36191,3.2857142857142856,18,1724
2020-07-11,389.2857142857143,400,36591,3.4285714285714284,1,1725
2020-07-12,406.85714285714283,322,36913,3.4285714285714284,0,1725
2020-07-13,425.57142857142856,323,37236,5.142857142857143,2,1727
2020-07-14,431.7142857142857,450,37686,6,11,1738
2020-07-15,434.14285714285717,469,38155,5.714285714285714,6,1744
2020-07-16,457.2857142857143,571,38726,5.571428571428571,1,1745
2020-07-17,450.42857142857144,618,39344,3.857142857142857,6,1751
2020-07-18,456.7142857142857,444,39788,3.857142857142857,1,1752
2020-07-19,461.2857142857143,354,40142,3.857142857142857,0,1752
2020-07-20,475.7142857142857,424,40566,4.428571428571429,6,1758
2020-07-21,481.85714285714283,493,41059,3.5714285714285716,5,1763
2020-07-22,506.14285714285717,639,41698,3.857142857142857,8,1771
2020-07-23,512.4285714285714,615,42313,5.857142857142857,15,1786
2020-07-24,519.4285714285714,667,42980,5.571428571428571,4,1790
2020-07-25,571.5714285714286,809,43789,6,4,1794
2020-07-26,599.1428571428571,547,44336,6,0,1794
2020-07-27,571.2857142857143,229,44565,5.857142857142857,5,1799
2020-07-28,607.8571428571429,749,45314,6.285714285714286,8,1807
2020-07-29,585.4285714285714,482,45796,7.285714285714286,15,1822
2020-07-30,555.8571428571429,408,46204,5.142857142857143,0,1822
2020-07-31,547,605,46809,6.857142857142857,16,1838
2020-08-01,496.85714285714283,458,47267,7.142857142857143,6,1844
2020-08-02,484.42857142857144,460,47727,7.142857142857143,0,1844
2020-08-03,486.14285714285717,241,47968,6.428571428571429,0,1844
2020-08-04,440,426,48394,6,5,1849
2020-08-05,456,594,48988,4.142857142857143,2,1851
2020-08-06,461.7142857142857,448,49436,4.285714285714286,1,1852
2020-08-07,440.57142857142856,457,49893,2.7142857142857144,5,1857
2020-08-08,436.7142857142857,431,50324,1.8571428571428572,0,1857
2020-08-09,419,336,50660,2,1,1858
2020-08-10,438.57142857142856,378,51038,2.5714285714285716,4,1862
2020-08-11,435.2857142857143,403,51441,3.5714285714285716,12,1874
2020-08-12,395.42857142857144,315,51756,3.4285714285714284,1,1875
