,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0.14285714285714285,1,1,0,0,0
2020-03-11,0.42857142857142855,2,3,0,0,0
2020-03-12,0.7142857142857143,2,5,0,0,0
2020-03-13,1.5714285714285714,6,11,0,0,0
2020-03-14,3.2857142857142856,12,23,0,0,0
2020-03-15,3.4285714285714284,1,24,0,0,0
2020-03-16,5.857142857142857,17,41,0,0,0
2020-03-17,9.571428571428571,27,68,0,0,0
2020-03-18,13.285714285714286,28,96,0.14285714285714285,1,1
2020-03-19,22,63,159,0.42857142857142855,2,3
2020-03-20,26.142857142857142,35,194,0.5714285714285714,1,4
2020-03-21,24.428571428571427,0,194,0.5714285714285714,0,4
2020-03-22,43.285714285714285,133,327,1.1428571428571428,4,8
2020-03-23,53.42857142857143,88,415,1.4285714285714286,2,10
2020-03-24,78.57142857142857,203,618,1.7142857142857142,2,12
2020-03-25,111.28571428571429,257,875,2.5714285714285716,7,19
2020-03-26,121.85714285714286,137,1012,2.5714285714285716,2,21
2020-03-27,156.71428571428572,279,1291,3.2857142857142856,6,27
2020-03-28,190,233,1524,4.142857142857143,6,33
2020-03-29,238,469,1993,3.7142857142857144,1,34
2020-03-30,308,578,2571,3.7142857142857144,2,36
2020-03-31,358.57142857142856,557,3128,8.142857142857142,33,69
2020-04-01,383.14285714285717,429,3557,9.428571428571429,16,85
2020-04-02,401.7142857142857,267,3824,13,27,112
2020-04-03,517.5714285714286,1090,4914,14.857142857142858,19,131
2020-04-04,536,362,5276,18.857142857142858,34,165
2020-04-05,526,399,5675,22.142857142857142,24,189
2020-04-06,619.2857142857143,1231,6906,24.285714285714285,17,206
2020-04-07,664.7142857142857,875,7781,29.714285714285715,71,277
2020-04-08,603.4285714285714,0,7781,34.42857142857143,49,326
2020-04-09,851.4285714285714,2003,9784,38.285714285714285,54,380
2020-04-10,803.4285714285714,754,10538,45.285714285714285,68,448
2020-04-11,890.5714285714286,972,11510,47,46,494
2020-04-12,908.5714285714286,525,12035,52.142857142857146,60,554
2020-04-13,925,1346,13381,56.57142857142857,48,602
2020-04-14,886.8571428571429,608,13989,56.285714285714285,69,671
2020-04-15,996.2857142857143,766,14755,77.42857142857143,197,868
2020-04-16,871.4285714285714,1129,15884,84.42857142857143,103,971
2020-04-17,895.8571428571429,925,16809,84,65,1036
2020-04-18,862.8571428571429,741,17550,84.57142857142857,50,1086
2020-04-19,846.7142857142857,412,17962,81.85714285714286,41,1127
2020-04-20,919.1428571428571,1853,19815,104.14285714285714,204,1331
2020-04-21,910.1428571428571,545,20360,107.42857142857143,92,1423
2020-04-22,1102,2109,22469,96.57142857142857,121,1544
2020-04-23,1030.857142857143,631,23100,95.42857142857143,95,1639
2020-04-24,1018.1428571428571,836,23936,104.42857142857143,128,1767
2020-04-25,1004.7142857142857,647,24583,111.28571428571429,98,1865
2020-04-26,1043.857142857143,686,25269,113.85714285714286,59,1924
2020-04-27,883.1428571428571,728,25997,97.28571428571429,88,2012
2020-04-28,850.2857142857143,315,26312,94.85714285714286,75,2087
2020-04-29,614,455,26767,89.28571428571429,82,2169
2020-04-30,657.1428571428571,933,27700,88.28571428571429,88,2257
2020-05-01,689.7142857142857,1064,28764,81.71428571428571,82,2339
2020-05-02,672,523,29287,81.57142857142857,97,2436
2020-05-03,574,0,29287,73.14285714285714,0,2436
2020-05-04,568,686,29973,77.71428571428571,120,2556
2020-05-05,615.5714285714286,648,30621,78,77,2633
2020-05-06,604,374,30995,78.42857142857143,85,2718
2020-05-07,583.4285714285714,789,31784,77.14285714285714,79,2797
2020-05-08,521,627,32411,76.42857142857143,77,2874
2020-05-09,528.1428571428571,573,32984,70.85714285714286,58,2932
2020-05-10,609.5714285714286,570,33554,75.85714285714286,35,2967
2020-05-11,541.7142857142857,211,33765,64.57142857142857,41,3008
2020-05-12,530.2857142857143,568,34333,58.285714285714285,33,3041
2020-05-13,551.4285714285714,522,34855,58.142857142857146,84,3125
2020-05-14,525.7142857142857,609,35464,60.285714285714285,94,3219
2020-05-15,524.8571428571429,621,36085,58.714285714285715,66,3285
2020-05-16,531.2857142857143,618,36703,58.142857142857146,54,3339
2020-05-17,552.1428571428571,716,37419,63,69,3408
2020-05-18,621.5714285714286,697,38116,63.142857142857146,42,3450
2020-05-19,585.2857142857143,314,38430,61.57142857142857,22,3472
2020-05-20,594.5714285714286,587,39017,57.714285714285715,57,3529
2020-05-21,534.8571428571429,191,39208,52,54,3583
2020-05-22,507.85714285714283,432,39640,50.285714285714285,54,3637
2020-05-23,474.14285714285717,382,40022,48,38,3675
2020-05-24,435.57142857142856,446,40468,40.714285714285715,18,3693
2020-05-25,393.85714285714283,405,40873,41.714285714285715,49,3742
2020-05-26,410.42857142857144,430,41303,42.42857142857143,27,3769
2020-05-27,324.42857142857144,-15,41288,39.142857142857146,34,3803
2020-05-28,335.85714285714283,271,41559,34.714285714285715,23,3826
2020-05-29,303.14285714285717,203,41762,33,42,3868
2020-05-30,285.7142857142857,260,42022,33.857142857142854,44,3912
2020-05-31,247.57142857142858,179,42201,35.857142857142854,32,3944
2020-06-01,266.7142857142857,539,42740,32.57142857142857,26,3970
2020-06-02,239.42857142857142,239,42979,29,2,3972
2020-06-03,257.57142857142856,112,43091,26.571428571428573,17,3989
2020-06-04,240,148,43239,25.857142857142858,18,4007
2020-06-05,242.57142857142858,221,43460,24.285714285714285,31,4038
2020-06-06,256.57142857142856,358,43818,20.428571428571427,17,4055
2020-06-07,252.42857142857142,150,43968,18.142857142857142,16,4071
2020-06-08,193.14285714285714,124,44092,16.285714285714285,13,4084
2020-06-09,171.42857142857142,87,44179,17.857142857142858,13,4097
2020-06-10,179.42857142857142,168,44347,18.714285714285715,23,4120
2020-06-11,174.57142857142858,114,44461,19.857142857142858,26,4146
2020-06-12,175.57142857142858,228,44689,17.285714285714285,13,4159
2020-06-13,168,305,44994,18.714285714285715,27,4186
2020-06-14,160,94,45088,18.571428571428573,15,4201
2020-06-15,163.28571428571428,147,45235,17.142857142857142,3,4204
2020-06-16,167.14285714285714,114,45349,16.142857142857142,6,4210
2020-06-17,154.57142857142858,80,45429,14.142857142857142,9,4219
2020-06-18,139.85714285714286,11,45440,11.428571428571429,7,4226
2020-06-19,124,117,45557,11.285714285714286,12,4238
2020-06-20,103,158,45715,9.285714285714286,13,4251
2020-06-21,95.28571428571429,40,45755,8.428571428571429,9,4260
2020-06-22,78.14285714285714,27,45782,8.428571428571429,3,4263
2020-06-23,78.57142857142857,117,45899,9.571428571428571,14,4277
2020-06-24,69.14285714285714,14,45913,9.714285714285714,10,4287
2020-06-25,79.14285714285714,81,45994,10.285714285714286,11,4298
2020-06-26,71.71428571428571,65,46059,9.857142857142858,9,4307
2020-06-27,70.14285714285714,147,46206,8.571428571428571,4,4311
2020-06-28,78.28571428571429,97,46303,8,5,4316
2020-06-29,82.85714285714286,59,46362,8.142857142857142,4,4320
2020-06-30,87.85714285714286,152,46514,6.428571428571429,2,4322
2020-07-01,94.14285714285714,58,46572,5.285714285714286,2,4324
2020-07-02,93.14285714285714,74,46646,4,2,4326
2020-07-03,94,71,46717,4,9,4335
2020-07-04,73,0,46717,3.4285714285714284,0,4335
2020-07-05,59.142857142857146,0,46717,2.7142857142857144,0,4335
2020-07-06,87.71428571428571,259,46976,2.5714285714285716,3,4338
2020-07-07,74.14285714285714,57,47033,2.2857142857142856,0,4338
2020-07-08,76.57142857142857,75,47108,2.7142857142857144,5,4343
2020-07-09,80.42857142857143,101,47209,3.142857142857143,5,4348
2020-07-10,81.42857142857143,78,47287,1.8571428571428572,0,4348
2020-07-11,81.42857142857143,0,47287,1.8571428571428572,0,4348
2020-07-12,81.42857142857143,0,47287,1.8571428571428572,0,4348
2020-07-13,76.28571428571429,223,47510,4.714285714285714,23,4371
2020-07-14,71,20,47530,4.857142857142857,1,4372
2020-07-15,75.42857142857143,106,47636,5.285714285714286,8,4380
2020-07-16,77.28571428571429,114,47750,5.857142857142857,9,4389
2020-07-17,86.57142857142857,143,47893,6.857142857142857,7,4396
2020-07-18,86.57142857142857,0,47893,6.857142857142857,0,4396
2020-07-19,86.57142857142857,0,47893,6.857142857142857,0,4396
2020-07-20,77.85714285714286,162,48055,5,10,4406
2020-07-21,80.85714285714286,41,48096,4.857142857142857,0,4406
2020-07-22,83.85714285714286,127,48223,3.7142857142857144,0,4406
2020-07-23,68.85714285714286,9,48232,3,4,4410
2020-07-24,126.14285714285714,544,48776,2.4285714285714284,3,4413
2020-07-25,126.14285714285714,0,48776,2.4285714285714284,0,4413
2020-07-26,126.14285714285714,0,48776,2.4285714285714284,0,4413
2020-07-27,132.57142857142858,207,48983,1.7142857142857142,5,4418
2020-07-28,140.14285714285714,94,49077,2.4285714285714284,5,4423
2020-07-29,188.14285714285714,463,49540,2.7142857142857144,2,4425
2020-07-30,205.42857142857142,130,49670,3,6,4431
2020-07-31,147.71428571428572,140,49810,2.7142857142857144,1,4432
2020-08-01,147.71428571428572,0,49810,2.7142857142857144,0,4432
2020-08-02,147.71428571428572,0,49810,2.7142857142857144,0,4432
2020-08-03,154.14285714285714,252,50062,2.7142857142857144,5,4437
2020-08-04,147.57142857142858,48,50110,2,0,4437
2020-08-05,97.85714285714286,115,50225,1.7142857142857142,0,4437
2020-08-06,82.14285714285714,20,50245,0.8571428571428571,0,4437
2020-08-07,72.85714285714286,75,50320,1.2857142857142858,4,4441
2020-08-08,72.85714285714286,0,50320,1.2857142857142858,0,4441
2020-08-09,72.85714285714286,0,50320,1.2857142857142858,0,4441
2020-08-10,72.14285714285714,247,50567,1,3,4444
2020-08-11,82,117,50684,1,0,4444
2020-08-12,68.71428571428571,22,50706,1.8571428571428572,6,4450
2020-08-13,76.71428571428571,76,50782,1.8571428571428572,0,4450
