,inpatient_beds_used_covid,7_day_avg
2020-03-27,0.0,8.25
2020-03-28,0.0,16.8
2020-03-29,0.0,23.333333333333332
2020-03-30,33.0,28.428571428571427
2020-03-31,51.0,45.142857142857146
2020-04-01,56.0,57.714285714285715
2020-04-02,59.0,69.57142857142857
2020-04-03,117.0,77.57142857142857
2020-04-04,88.0,84.0
2020-04-05,83.0,91.42857142857143
2020-04-06,89.0,101.42857142857143
2020-04-07,96.0,103.85714285714286
2020-04-08,108.0,108.42857142857143
2020-04-09,129.0,114.28571428571429
2020-04-10,134.0,121.0
2020-04-11,120.0,143.57142857142858
2020-04-12,124.0,162.85714285714286
2020-04-13,136.0,181.0
2020-04-14,254.0,203.14285714285714
2020-04-15,243.0,228.85714285714286
2020-04-16,256.0,254.71428571428572
2020-04-17,289.0,280.42857142857144
2020-04-18,300.0,289.0
2020-04-19,305.0,302.2857142857143
2020-04-20,316.0,311.2857142857143
2020-04-21,314.0,318.42857142857144
2020-04-22,336.0,326.42857142857144
2020-04-23,319.0,332.85714285714283
2020-04-24,339.0,338.0
2020-04-25,356.0,342.2857142857143
2020-04-26,350.0,339.57142857142856
2020-04-27,352.0,338.42857142857144
2020-04-28,344.0,337.2857142857143
2020-04-29,317.0,331.57142857142856
2020-04-30,311.0,325.7142857142857
2020-05-01,331.0,324.0
2020-05-02,316.0,322.14285714285717
2020-05-03,309.0,323.57142857142856
2020-05-04,340.0,329.2857142857143
2020-05-05,331.0,328.42857142857144
2020-05-06,327.0,327.85714285714283
2020-05-07,351.0,326.14285714285717
2020-05-08,325.0,320.7142857142857
2020-05-09,312.0,320.7142857142857
2020-05-10,297.0,321.2857142857143
2020-05-11,302.0,317.85714285714283
2020-05-12,331.0,315.7142857142857
2020-05-13,331.0,314.42857142857144
2020-05-14,327.0,310.7142857142857
2020-05-15,310.0,305.7142857142857
2020-05-16,303.0,296.14285714285717
2020-05-17,271.0,285.14285714285717
2020-05-18,267.0,273.7142857142857
2020-05-19,264.0,263.2857142857143
2020-05-20,254.0,254.85714285714286
2020-05-21,247.0,249.71428571428572
2020-05-22,237.0,245.28571428571428
2020-05-23,244.0,240.85714285714286
2020-05-24,235.0,237.0
2020-05-25,236.0,231.71428571428572
2020-05-26,233.0,229.57142857142858
2020-05-27,227.0,225.14285714285714
2020-05-28,210.0,220.85714285714286
2020-05-29,222.0,216.28571428571428
2020-05-30,213.0,210.14285714285714
2020-05-31,205.0,201.28571428571428
