,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,1383.2857142857142
2021-01-09,0.0,1383.2857142857142
2021-01-10,0.0,1383.2857142857142
2021-01-11,9683.0,1383.2857142857142
2021-01-12,0.0,1383.2857142857142
2021-01-13,0.0,1383.2857142857142
2021-01-14,0.0,1383.2857142857142
2021-01-15,0.0,2054.4285714285716
2021-01-16,0.0,2054.4285714285716
2021-01-17,0.0,2054.4285714285716
2021-01-18,14381.0,2054.4285714285716
2021-01-19,0.0,2054.4285714285716
2021-01-20,0.0,2054.4285714285716
2021-01-21,0.0,2054.4285714285716
2021-01-22,0.0,1481.142857142857
2021-01-23,0.0,1481.142857142857
2021-01-24,0.0,1481.142857142857
2021-01-25,10368.0,1481.142857142857
2021-01-26,0.0,1481.142857142857
2021-01-27,0.0,1481.142857142857
2021-01-28,0.0,1481.142857142857
2021-01-29,0.0,1542.5714285714287
2021-01-30,0.0,1542.5714285714287
2021-01-31,0.0,4590.285714285715
2021-02-01,10798.0,4806.285714285715
2021-02-02,0.0,6096.285714285715
2021-02-03,21334.0,6777.285714285715
2021-02-04,1512.0,7230.0
2021-02-05,9030.0,6228.571428571428
2021-02-06,4767.0,6608.0
2021-02-07,3169.0,3560.285714285714
2021-02-08,3788.0,3344.285714285714
2021-02-09,2656.0,2517.8571428571427
2021-02-10,0.0,2178.285714285714
2021-02-11,0.0,2032.857142857143
2021-02-12,3245.0,2213.4285714285716
2021-02-13,2390.0,1834.0
2021-02-14,2151.0,2575.0
2021-02-15,5052.0,2855.0
2021-02-16,0.0,2673.8571428571427
2021-02-17,5187.0,6143.0
2021-02-18,1960.0,6197.0
2021-02-19,1977.0,5908.714285714285
2021-02-20,26674.0,6487.285714285715
2021-02-21,2529.0,5746.285714285715
2021-02-22,3034.0,5983.285714285715
2021-02-23,4050.0,6084.714285714285
2021-02-24,0.0,2704.714285714286
2021-02-25,3619.0,3586.8571428571427
2021-02-26,2687.0,4581.714285714285
2021-02-27,3014.0,4474.714285714285
2021-02-28,8704.0,4641.142857142857
2021-03-01,9998.0,4535.285714285715
2021-03-02,3301.0,4913.0
2021-03-03,1165.0,5098.857142857143
2021-03-04,2878.0,5126.571428571428
2021-03-05,5331.0,5052.0
2021-03-06,4315.0,4945.571428571428
2021-03-07,8898.0,4779.142857142857
2021-03-08,9476.0,5157.0
2021-03-09,2556.0,5234.142857142857
2021-03-10,0.0,5479.142857142857
2021-03-11,5523.0,6266.428571428572
2021-03-12,5871.0,4912.714285714285
2021-03-13,6030.0,5503.571428571428
2021-03-14,14409.0,5965.428571428572
2021-03-15,0.0,6192.714285714285
2021-03-16,6692.0,5926.571428571428
2021-03-17,3233.0,5847.428571428572
2021-03-18,7114.0,4592.571428571428
2021-03-19,4008.0,5456.142857142857
2021-03-20,5476.0,5115.0
2021-03-21,5625.0,4991.142857142857
2021-03-22,6045.0,4543.285714285715
2021-03-23,4304.0,4946.714285714285
2021-03-24,2366.0,5140.714285714285
2021-03-25,3979.0,5448.0
2021-03-26,6832.0,6037.428571428572
2021-03-27,6834.0,6674.571428571428
2021-03-28,7776.0,7100.428571428572
2021-03-29,10171.0,8708.0
2021-03-30,8764.0,8738.857142857143
2021-03-31,5347.0,8801.42857142857
2021-04-01,15232.0,8871.714285714286
2021-04-02,7048.0,8372.285714285714
2021-04-03,7272.0,7662.0
2021-04-04,8268.0,7617.571428571428
2021-04-05,6675.0,5546.857142857143
2021-04-06,3792.0,7651.714285714285
2021-04-07,5036.0,8096.0
2021-04-08,737.0,8164.142857142857
2021-04-09,21782.0,8427.57142857143
2021-04-10,10382.0,8461.142857142857
2021-04-11,8745.0,8503.285714285714
2021-04-12,8519.0,9826.857142857143
2021-04-13,4027.0,8028.857142857143
2021-04-14,5331.0,7941.428571428572
2021-04-15,10002.0,8237.0
2021-04-16,9196.0,8424.857142857143
2021-04-17,9770.0,8369.285714285714
2021-04-18,10814.0,8615.42857142857
2021-04-19,9834.0,8189.571428571428
2021-04-20,3638.0,8242.714285714286
2021-04-21,7054.0,8201.57142857143
2021-04-22,7021.0,8045.428571428572
2021-04-23,9568.0,7854.285714285715
2021-04-24,9482.0,7978.285714285715
2021-04-25,9721.0,8033.142857142857
2021-04-26,8496.0,8060.714285714285
2021-04-27,4506.0,7568.714285714285
2021-04-28,7438.0,7202.857142857143
2021-04-29,7214.0,6788.428571428572
2021-04-30,6124.0,6239.857142857143
2021-05-01,6921.0,5596.142857142857
2021-05-02,6820.0,5375.857142857143
2021-05-03,4656.0,5092.0
2021-05-04,0.0,5152.142857142857
2021-05-05,5896.0,5559.714285714285
2021-05-06,5227.0,5718.571428571428
2021-05-07,6545.0,6404.0
2021-05-08,9774.0,7396.142857142857
2021-05-09,7932.0,7956.857142857143
2021-05-10,9454.0,7812.428571428572
2021-05-11,6945.0,7773.714285714285
2021-05-12,9821.0,7205.142857142857
2021-05-13,4216.0,8355.57142857143
2021-05-14,6274.0,8508.857142857143
2021-05-15,5794.0,8228.142857142857
2021-05-16,15985.0,7347.428571428572
2021-05-17,10527.0,7650.0
2021-05-18,4980.0,8012.571428571428
2021-05-19,3656.0,8051.857142857143
2021-05-20,6334.0,6948.428571428572
2021-05-21,8812.0,5881.142857142857
2021-05-22,6069.0,5463.857142857143
2021-05-23,8261.0,5377.0
2021-05-24,3056.0,4950.285714285715
2021-05-25,2059.0,4682.0
2021-05-26,3048.0,4450.833333333333
2021-05-27,3347.0,3688.8
2021-05-28,6934.0,3847.0
