,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.14285714285714285
2020-02-29,0.0,0.2857142857142857
2020-03-01,0.0,0.2857142857142857
2020-03-02,1.0,0.42857142857142855
2020-03-03,1.0,0.42857142857142855
2020-03-04,0.0,1.0
2020-03-05,1.0,1.4285714285714286
2020-03-06,0.0,1.7142857142857142
2020-03-07,4.0,1.8571428571428572
2020-03-08,3.0,3.142857142857143
2020-03-09,3.0,3.857142857142857
2020-03-10,2.0,6.714285714285714
2020-03-11,9.0,9.857142857142858
2020-03-12,6.0,12.857142857142858
2020-03-13,20.0,12.571428571428571
2020-03-14,26.0,25.0
2020-03-15,24.0,40.285714285714285
2020-03-16,1.0,57.42857142857143
2020-03-17,89.0,73.42857142857143
2020-03-18,116.0,98.14285714285714
2020-03-19,126.0,129.14285714285714
2020-03-20,132.0,160.85714285714286
2020-03-21,199.0,174.57142857142858
2020-03-22,241.0,196.57142857142858
2020-03-23,223.0,275.0
2020-03-24,185.0,333.7142857142857
2020-03-25,270.0,428.57142857142856
2020-03-26,675.0,463.14285714285717
2020-03-27,543.0,606.5714285714286
