,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.2857142857142857
2020-03-01,0.0,0.2857142857142857
2020-03-02,0.0,0.2857142857142857
2020-03-03,2.0,0.42857142857142855
2020-03-04,0.0,0.7142857142857143
2020-03-05,0.0,0.7142857142857143
2020-03-06,1.0,1.4285714285714286
2020-03-07,2.0,2.142857142857143
2020-03-08,0.0,3.0
2020-03-09,5.0,4.142857142857143
2020-03-10,7.0,5.571428571428571
2020-03-11,6.0,9.714285714285714
2020-03-12,8.0,13.428571428571429
2020-03-13,11.0,15.857142857142858
2020-03-14,31.0,18.428571428571427
2020-03-15,26.0,24.857142857142858
2020-03-16,22.0,36.57142857142857
2020-03-17,25.0,63.285714285714285
2020-03-18,51.0,68.85714285714286
2020-03-19,90.0,74.57142857142857
2020-03-20,198.0,93.0
2020-03-21,70.0,125.71428571428571
2020-03-22,66.0,150.0
2020-03-23,151.0,176.85714285714286
2020-03-24,254.0,216.42857142857142
2020-03-25,221.0,258.7142857142857
2020-03-26,278.0,290.0
2020-03-27,475.0,290.85714285714283
