,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.16666666666666666
2020-03-04,0.0,0.14285714285714285
2020-03-05,0.0,0.2857142857142857
2020-03-06,1.0,0.42857142857142855
2020-03-07,0.0,0.5714285714285714
2020-03-08,1.0,1.1428571428571428
2020-03-09,1.0,2.2857142857142856
2020-03-10,1.0,3.4285714285714284
2020-03-11,4.0,5.285714285714286
2020-03-12,8.0,7.714285714285714
2020-03-13,9.0,10.428571428571429
2020-03-14,13.0,14.571428571428571
2020-03-15,18.0,20.857142857142858
2020-03-16,20.0,28.142857142857142
2020-03-17,30.0,36.57142857142857
2020-03-18,48.0,39.57142857142857
2020-03-19,59.0,42.0
2020-03-20,68.0,50.0
2020-03-21,34.0,52.714285714285715
2020-03-22,35.0,53.857142857142854
2020-03-23,76.0,52.57142857142857
2020-03-24,49.0,51.142857142857146
2020-03-25,56.0,54.0
2020-03-26,50.0,59.42857142857143
2020-03-27,58.0,66.85714285714286
2020-03-28,54.0,128.85714285714286
2020-03-29,73.0,223.42857142857142
2020-03-30,128.0,318.0
2020-03-31,483.0,407.85714285714283
2020-04-01,718.0,504.7142857142857
2020-04-02,712.0,599.7142857142857
2020-04-03,687.0,713.4285714285714
2020-04-04,732.0,766.8571428571429
2020-04-05,738.0,793.8571428571429
2020-04-06,924.0,828.2857142857143
2020-04-07,857.0,896.5714285714286
2020-04-08,907.0,959.8571428571429
2020-04-09,953.0,1010.2857142857143
2020-04-10,1165.0,1031.2857142857142
2020-04-11,1175.0,1098.142857142857
2020-04-12,1091.0,1379.2857142857142
2020-04-13,1071.0,1645.142857142857
2020-04-14,1325.0,1869.0
2020-04-15,2875.0,2081.4285714285716
2020-04-16,2814.0,2313.285714285714
2020-04-17,2732.0,2555.1428571428573
2020-04-18,2662.0,2767.8571428571427
2020-04-19,2714.0,2762.4285714285716
2020-04-20,2764.0,2767.1428571428573
2020-04-21,2814.0,2774.5714285714284
2020-04-22,2837.0,2785.8571428571427
2020-04-23,2847.0,2801.4285714285716
2020-04-24,2784.0,2812.0
2020-04-25,2741.0,2821.4285714285716
2020-04-26,2823.0,2825.1428571428573
2020-04-27,2838.0,2827.1428571428573
2020-04-28,2880.0,2826.0
2020-04-29,2863.0,2836.4285714285716
2020-04-30,2861.0,2831.4285714285716
2020-05-01,2776.0,2844.285714285714
2020-05-02,2814.0,2842.5714285714284
2020-05-03,2788.0,2841.1428571428573
2020-05-04,2928.0,2819.8571428571427
2020-05-05,2868.0,2758.5714285714284
2020-05-06,2853.0,2630.285714285714
2020-05-07,2712.0,2570.1428571428573
2020-05-08,2347.0,2429.8571428571427
2020-05-09,1916.0,2286.1428571428573
2020-05-10,2367.0,2137.4285714285716
2020-05-11,1946.0,2013.4285714285713
2020-05-12,1862.0,1929.857142857143
2020-05-13,1812.0,1898.2857142857142
2020-05-14,1844.0,1801.4285714285713
2020-05-15,1762.0,1782.4285714285713
2020-05-16,1695.0,1769.142857142857
2020-05-17,1689.0,1760.7142857142858
2020-05-18,1813.0,1740.7142857142858
2020-05-19,1769.0,1723.0
2020-05-20,1753.0,1702.2857142857142
2020-05-21,1704.0,1681.142857142857
2020-05-22,1638.0,1646.0
2020-05-23,1550.0,1613.4285714285713
2020-05-24,1541.0,1596.0
2020-05-25,1567.0,1820.142857142857
2020-05-26,1541.0,1803.7142857142858
2020-05-27,1631.0,1794.2857142857142
2020-05-28,3273.0,1783.142857142857
2020-05-29,1523.0,1763.0
2020-05-30,1484.0,1741.7142857142858
2020-05-31,1463.0,1715.7142857142858
2020-06-01,1426.0,1444.0
2020-06-02,1392.0,1415.5714285714287
2020-06-03,1449.0,1398.2857142857142
2020-06-04,1371.0,1390.5714285714287
2020-06-05,1324.0,1394.5714285714287
2020-06-06,1363.0,1400.7142857142858
2020-06-07,1409.0,1380.5714285714287
2020-06-08,1454.0,1376.0
2020-06-09,1435.0,1386.0
2020-06-10,1308.0,1375.857142857143
2020-06-11,1339.0,1347.142857142857
2020-06-12,1394.0,1361.5714285714287
2020-06-13,1292.0,1364.142857142857
2020-06-14,1208.0,1390.0
2020-06-15,1555.0,1419.4285714285713
2020-06-16,1453.0,1456.142857142857
2020-06-17,1489.0,1499.5714285714287
2020-06-18,1545.0,1563.2857142857142
2020-06-19,1651.0,1587.5714285714287
2020-06-20,1596.0,1563.7142857142858
2020-06-21,1654.0,1530.0
2020-06-22,1725.0,1490.857142857143
2020-06-23,1286.0,1458.7142857142858
2020-06-24,1253.0,1431.7142857142858
2020-06-25,1271.0,1406.0
2020-06-26,1426.0,1384.857142857143
2020-06-27,1407.0,1438.142857142857
2020-06-28,1474.0,1504.5714285714287
2020-06-29,1577.0,1604.7142857142858
2020-06-30,1659.0,1682.4285714285713
2020-07-01,1718.0,1768.2857142857142
2020-07-02,1972.0,1845.0
2020-07-03,1970.0,2036.2857142857142
2020-07-04,2008.0,2212.4285714285716
2020-07-05,2011.0,2398.4285714285716
2020-07-06,2916.0,2552.4285714285716
2020-07-07,2892.0,2735.1428571428573
2020-07-08,3020.0,2805.4285714285716
2020-07-09,3050.0,2869.285714285714
2020-07-10,3249.0,2881.714285714286
2020-07-11,2500.0,2928.4285714285716
2020-07-12,2458.0,3092.0
2020-07-13,3003.0,3261.1428571428573
2020-07-14,3219.0,3410.8571428571427
2020-07-15,4165.0,3663.8571428571427
2020-07-16,4234.0,3901.8571428571427
2020-07-17,4297.0,4073.5714285714284
2020-07-18,4271.0,4215.142857142857
2020-07-19,4124.0,4248.714285714285
2020-07-20,4205.0,4261.714285714285
2020-07-21,4210.0,4268.0
2020-07-22,4400.0,4282.0
2020-07-23,4325.0,4313.0
2020-07-24,4341.0,4321.857142857143
2020-07-25,4369.0,4330.571428571428
2020-07-26,4341.0,4333.714285714285
2020-07-27,4267.0,4347.285714285715
2020-07-28,4271.0,4333.857142857143
2020-07-29,4422.0,4327.285714285715
2020-07-30,4420.0,4312.0
2020-07-31,4247.0,4300.571428571428
2020-08-01,4323.0,4298.142857142857
2020-08-02,4234.0,4256.285714285715
2020-08-03,4187.0,4204.714285714285
2020-08-04,4254.0,4166.571428571428
2020-08-05,4129.0,4106.571428571428
2020-08-06,4059.0,4051.714285714286
2020-08-07,3980.0,4008.1428571428573
2020-08-08,3903.0,3985.5714285714284
2020-08-09,3850.0,3947.714285714286
2020-08-10,3882.0,3911.0
2020-08-11,4096.0,3857.4285714285716
2020-08-12,3864.0,3809.0
2020-08-13,3802.0,3773.5714285714284
2020-08-14,3605.0,3731.4285714285716
2020-08-15,3564.0,3662.1428571428573
2020-08-16,3602.0,3614.285714285714
2020-08-17,3587.0,3565.285714285714
2020-08-18,3611.0,3532.285714285714
2020-08-19,3529.0,3494.1428571428573
2020-08-20,3459.0,3456.285714285714
2020-08-21,3374.0,3421.285714285714
2020-08-22,3297.0,3359.285714285714
2020-08-23,3337.0,3289.4285714285716
2020-08-24,3342.0,3215.285714285714
2020-08-25,3177.0,3146.1428571428573
2020-08-26,3040.0,3079.8571428571427
2020-08-27,2940.0,2994.8571428571427
2020-08-28,2890.0,2901.714285714286
2020-08-29,2833.0,2843.1428571428573
2020-08-30,2742.0,2805.5714285714284
2020-08-31,2690.0,2763.0
2020-09-01,2767.0,2719.714285714286
2020-09-02,2777.0,2680.0
2020-09-03,2642.0,2647.5714285714284
2020-09-04,2587.0,2616.4285714285716
2020-09-05,2555.0,2579.714285714286
2020-09-06,2515.0,2550.8571428571427
2020-09-07,2472.0,2541.285714285714
2020-09-08,2510.0,2532.5714285714284
2020-09-09,2575.0,2518.5714285714284
2020-09-10,2575.0,2501.714285714286
