,inpatient_beds_used_covid,7_day_avg
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.2857142857142857
2020-03-09,0.0,0.7142857142857143
2020-03-10,0.0,2.142857142857143
2020-03-11,2.0,3.5714285714285716
2020-03-12,3.0,5.428571428571429
2020-03-13,10.0,7.714285714285714
2020-03-14,10.0,9.857142857142858
2020-03-15,13.0,10.714285714285714
2020-03-16,16.0,11.714285714285714
2020-03-17,15.0,11.571428571428571
2020-03-18,8.0,11.714285714285714
2020-03-19,10.0,11.142857142857142
2020-03-20,9.0,11.142857142857142
2020-03-21,11.0,12.142857142857142
2020-03-22,9.0,16.428571428571427
2020-03-23,16.0,20.142857142857142
2020-03-24,22.0,23.571428571428573
2020-03-25,38.0,26.0
2020-03-26,36.0,30.0
2020-03-27,33.0,32.142857142857146
2020-03-28,28.0,33.142857142857146
2020-03-29,37.0,32.0
2020-03-30,31.0,31.714285714285715
2020-03-31,29.0,31.142857142857142
2020-04-01,30.0,31.285714285714285
2020-04-02,34.0,29.857142857142858
2020-04-03,29.0,28.857142857142858
2020-04-04,29.0,29.0
2020-04-05,27.0,28.0
2020-04-06,24.0,26.571428571428573
2020-04-07,30.0,26.0
2020-04-08,23.0,25.0
2020-04-09,24.0,24.142857142857142
2020-04-10,25.0,23.714285714285715
2020-04-11,22.0,23.571428571428573
2020-04-12,21.0,23.714285714285715
2020-04-13,21.0,23.428571428571427
2020-04-14,29.0,23.142857142857142
2020-04-15,24.0,24.0
2020-04-16,22.0,24.0
2020-04-17,23.0,23.714285714285715
2020-04-18,28.0,24.285714285714285
2020-04-19,21.0,24.285714285714285
2020-04-20,19.0,26.571428571428573
2020-04-21,33.0,27.142857142857142
2020-04-22,24.0,28.0
2020-04-23,38.0,27.714285714285715
2020-04-24,27.0,27.714285714285715
2020-04-25,34.0,25.285714285714285
2020-04-26,19.0,25.428571428571427
2020-04-27,19.0,24.0
2020-04-28,16.0,23.0
2020-04-29,25.0,20.571428571428573
2020-04-30,28.0,22.0
2020-05-01,20.0,21.857142857142858
2020-05-02,17.0,25.714285714285715
2020-05-03,29.0,26.0
2020-05-04,18.0,25.285714285714285
2020-05-05,43.0,25.714285714285715
2020-05-06,27.0,26.714285714285715
2020-05-07,23.0,24.857142857142858
2020-05-08,23.0,25.428571428571427
2020-05-09,24.0,26.142857142857142
2020-05-10,16.0,23.714285714285715
2020-05-11,22.0,22.857142857142858
2020-05-12,48.0,22.0
2020-05-13,10.0,20.571428571428573
2020-05-14,17.0,19.285714285714285
2020-05-15,17.0,17.714285714285715
2020-05-16,14.0,13.857142857142858
2020-05-17,7.0,15.142857142857142
2020-05-18,11.0,15.0
2020-05-19,21.0,15.428571428571429
2020-05-20,19.0,15.285714285714286
2020-05-21,16.0,16.428571428571427
2020-05-22,20.0,16.714285714285715
2020-05-23,13.0,14.714285714285714
2020-05-24,15.0,12.285714285714286
2020-05-25,13.0,10.285714285714286
2020-05-26,7.0,8.428571428571429
2020-05-27,2.0,7.142857142857143
2020-05-28,2.0,5.285714285714286
2020-05-29,7.0,3.857142857142857
2020-05-30,4.0,3.7142857142857144
2020-05-31,2.0,4.428571428571429
2020-06-01,3.0,5.0
2020-06-02,6.0,6.571428571428571
2020-06-03,7.0,6.571428571428571
2020-06-04,6.0,6.714285714285714
2020-06-05,18.0,9.0
2020-06-06,4.0,9.0
2020-06-07,3.0,8.0
2020-06-08,19.0,8.142857142857142
2020-06-09,6.0,18.571428571428573
2020-06-10,0.0,18.714285714285715
2020-06-11,7.0,19.428571428571427
2020-06-12,91.0,18.0
2020-06-13,5.0,19.428571428571427
2020-06-14,8.0,22.285714285714285
2020-06-15,9.0,23.142857142857142
2020-06-16,16.0,12.428571428571429
2020-06-17,20.0,14.428571428571429
2020-06-18,13.0,16.428571428571427
2020-06-19,16.0,18.142857142857142
2020-06-20,19.0,18.714285714285715
2020-06-21,22.0,18.857142857142858
2020-06-22,21.0,19.428571428571427
2020-06-23,20.0,20.0
2020-06-24,21.0,19.857142857142858
2020-06-25,17.0,19.571428571428573
2020-06-26,20.0,18.857142857142858
2020-06-27,18.0,18.571428571428573
2020-06-28,20.0,18.857142857142858
2020-06-29,16.0,18.0
2020-06-30,18.0,18.142857142857142
2020-07-01,23.0,17.714285714285715
2020-07-02,11.0,17.285714285714285
2020-07-03,21.0,19.285714285714285
2020-07-04,15.0,19.428571428571427
2020-07-05,17.0,18.857142857142858
2020-07-06,30.0,20.142857142857142
2020-07-07,19.0,19.714285714285715
2020-07-08,19.0,21.285714285714285
2020-07-09,20.0,22.285714285714285
2020-07-10,18.0,19.714285714285715
2020-07-11,26.0,20.571428571428573
2020-07-12,24.0,24.428571428571427
2020-07-13,12.0,29.142857142857142
2020-07-14,25.0,32.857142857142854
2020-07-15,46.0,36.57142857142857
2020-07-16,53.0,40.285714285714285
2020-07-17,44.0,46.42857142857143
2020-07-18,52.0,50.714285714285715
2020-07-19,50.0,52.57142857142857
2020-07-20,55.0,54.285714285714285
2020-07-21,55.0,55.285714285714285
2020-07-22,59.0,53.42857142857143
2020-07-23,65.0,53.142857142857146
2020-07-24,51.0,54.142857142857146
2020-07-25,39.0,56.142857142857146
2020-07-26,48.0,58.857142857142854
2020-07-27,62.0,60.857142857142854
2020-07-28,69.0,65.14285714285714
2020-07-29,78.0,69.57142857142857
2020-07-30,79.0,73.85714285714286
2020-07-31,81.0,77.85714285714286
2020-08-01,70.0,84.71428571428571
2020-08-02,78.0,91.85714285714286
2020-08-03,90.0,103.28571428571429
2020-08-04,117.0,113.57142857142857
2020-08-05,128.0,123.57142857142857
2020-08-06,159.0,133.71428571428572
2020-08-07,153.0,146.28571428571428
2020-08-08,140.0,153.42857142857142
2020-08-09,149.0,160.71428571428572
2020-08-10,178.0,163.71428571428572
2020-08-11,167.0,166.71428571428572
2020-08-12,179.0,171.42857142857142
2020-08-13,180.0,171.0
2020-08-14,174.0,174.28571428571428
2020-08-15,173.0,181.42857142857142
2020-08-16,146.0,185.0
2020-08-17,201.0,191.0
2020-08-18,217.0,198.85714285714286
2020-08-19,204.0,205.57142857142858
2020-08-20,222.0,218.14285714285714
2020-08-21,229.0,227.57142857142858
2020-08-22,220.0,236.42857142857142
2020-08-23,234.0,248.57142857142858
2020-08-24,267.0,254.42857142857142
2020-08-25,279.0,259.7142857142857
2020-08-26,289.0,260.7142857142857
2020-08-27,263.0,260.42857142857144
2020-08-28,266.0,260.14285714285717
2020-08-29,227.0,258.14285714285717
2020-08-30,232.0,254.42857142857142
2020-08-31,265.0,253.57142857142858
2020-09-01,265.0,251.57142857142858
2020-09-02,263.0,251.0
2020-09-03,257.0,247.85714285714286
2020-09-04,252.0,239.0
2020-09-05,223.0,234.71428571428572
2020-09-06,210.0,228.85714285714286
2020-09-07,203.0,224.28571428571428
2020-09-08,235.0,212.0
2020-09-09,222.0,206.28571428571428
2020-09-10,225.0,201.28571428571428
2020-09-11,166.0,204.28571428571428
2020-09-12,183.0,200.57142857142858
2020-09-13,175.0,198.14285714285714
2020-09-14,224.0,197.57142857142858
2020-09-15,209.0,196.0
2020-09-16,205.0,198.42857142857142
2020-09-17,221.0,197.14285714285714
2020-09-18,155.0,193.0
2020-09-19,200.0,190.28571428571428
2020-09-20,166.0,187.85714285714286
2020-09-21,195.0,182.71428571428572
2020-09-22,190.0,178.28571428571428
2020-09-23,188.0,171.0
2020-09-24,185.0,165.57142857142858
2020-09-25,124.0,155.28571428571428
2020-09-26,149.0,151.85714285714286
2020-09-27,128.0,149.71428571428572
2020-09-28,123.0,144.57142857142858
2020-09-29,166.0,150.0
2020-09-30,173.0,144.42857142857142
2020-10-01,149.0,143.28571428571428
