,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,67.14285714285714
2021-01-05,0.0,67.14285714285714
2021-01-06,0.0,67.14285714285714
2021-01-07,470.0,67.14285714285714
2021-01-08,0.0,67.14285714285714
2021-01-09,0.0,67.14285714285714
2021-01-10,0.0,2198.0
2021-01-11,0.0,2130.8571428571427
2021-01-12,0.0,2130.8571428571427
2021-01-13,14916.0,2130.8571428571427
2021-01-14,0.0,2130.8571428571427
2021-01-15,0.0,2130.8571428571427
2021-01-16,0.0,2130.8571428571427
2021-01-17,0.0,0.0
2021-01-18,0.0,4244.142857142857
2021-01-19,0.0,4244.142857142857
2021-01-20,0.0,7659.571428571428
2021-01-21,29709.0,7659.571428571428
2021-01-22,0.0,7659.571428571428
2021-01-23,23908.0,9466.857142857143
2021-01-24,0.0,9917.42857142857
2021-01-25,0.0,7190.857142857143
2021-01-26,12651.0,8189.142857142857
2021-01-27,3154.0,6156.714285714285
2021-01-28,10623.0,6156.714285714285
2021-01-29,6988.0,6156.714285714285
2021-01-30,9681.0,6414.857142857143
2021-01-31,0.0,7102.571428571428
2021-02-01,0.0,7324.857142857143
2021-02-02,14458.0,7755.0
2021-02-03,7968.0,7478.0
2021-02-04,12179.0,7478.0
2021-02-05,9999.0,7478.0
2021-02-06,7742.0,7234.571428571428
2021-02-07,0.0,7246.285714285715
2021-02-08,0.0,6756.0
2021-02-09,12754.0,6528.142857142857
2021-02-10,8050.0,6743.285714285715
2021-02-11,8747.0,6743.285714285715
2021-02-12,8404.0,6743.285714285715
2021-02-13,9248.0,4921.285714285715
2021-02-14,0.0,7385.714285714285
2021-02-15,0.0,7061.571428571428
2021-02-16,0.0,7028.857142857143
2021-02-17,25301.0,9245.714285714286
2021-02-18,6478.0,10868.714285714286
2021-02-19,8175.0,12331.0
2021-02-20,24766.0,13850.0
2021-02-21,11361.0,10235.57142857143
2021-02-22,10236.0,10191.857142857143
2021-02-23,10633.0,10327.714285714286
2021-02-24,0.0,8248.42857142857
2021-02-25,6172.0,8288.0
2021-02-26,9126.0,8547.42857142857
2021-02-27,10211.0,8006.428571428572
2021-02-28,11638.0,8453.142857142857
2021-03-01,12052.0,8489.142857142857
2021-03-02,6846.0,8909.57142857143
2021-03-03,3127.0,8984.0
2021-03-04,6424.0,9085.285714285714
2021-03-05,12069.0,10027.142857142857
2021-03-06,10732.0,9049.142857142857
2021-03-07,12347.0,10189.857142857143
2021-03-08,18645.0,10952.0
2021-03-09,0.0,11145.57142857143
2021-03-10,11112.0,11640.857142857143
2021-03-11,11759.0,13384.57142857143
2021-03-12,13424.0,10721.0
2021-03-13,14199.0,12178.142857142857
2021-03-14,24553.0,11717.57142857143
2021-03-15,0.0,11894.142857142857
2021-03-16,10200.0,11919.0
2021-03-17,7888.0,11997.57142857143
2021-03-18,12995.0,10229.714285714286
2021-03-19,13598.0,11783.142857142857
2021-03-20,14749.0,10853.285714285714
2021-03-21,12178.0,10799.57142857143
2021-03-22,10874.0,10424.0
2021-03-23,3691.0,9989.42857142857
2021-03-24,7512.0,10305.857142857143
2021-03-25,10366.0,8751.285714285714
2021-03-26,10556.0,7371.142857142857
2021-03-27,16964.0,10179.42857142857
2021-03-28,1296.0,10140.857142857143
2021-03-29,1213.0,10497.42857142857
2021-03-30,23349.0,10735.42857142857
2021-03-31,7242.0,10361.42857142857
2021-04-01,12862.0,11625.0
2021-04-02,12222.0,13645.0
2021-04-03,14346.0,11186.857142857143
2021-04-04,10141.0,11167.57142857143
2021-04-05,15353.0,23718.14285714286
2021-04-06,6142.0,26998.14285714286
2021-04-07,7107.0,24948.714285714286
2021-04-08,100716.0,23500.0
2021-04-09,35182.0,28137.714285714286
2021-04-10,0.0,30003.0
2021-04-11,0.0,31535.0
2021-04-12,47817.0,19481.571428571428
2021-04-13,19199.0,17296.0
2021-04-14,17831.0,17296.0
2021-04-15,16342.0,17296.0
2021-04-16,19883.0,15764.0
2021-04-17,0.0,14674.142857142857
2021-04-18,0.0,13932.57142857143
2021-04-19,37093.0,13955.0
2021-04-20,11570.0,13008.0
2021-04-21,12640.0,15437.142857142857
2021-04-22,16499.0,18278.14285714286
2021-04-23,13254.0,14620.857142857143
2021-04-24,17004.0,14810.57142857143
2021-04-25,19887.0,15122.42857142857
2021-04-26,11492.0,14791.142857142857
2021-04-27,12898.0,15183.142857142857
2021-04-28,14823.0,14844.42857142857
2021-04-29,14180.0,13789.714285714286
2021-04-30,15998.0,12917.57142857143
2021-05-01,14633.0,11075.0
2021-05-02,12504.0,9875.285714285714
2021-05-03,5387.0,8237.142857142857
2021-05-04,0.0,20612.285714285714
2021-05-05,6425.0,19562.285714285714
2021-05-06,2713.0,19110.428571428572
2021-05-07,102624.0,18342.85714285714
2021-05-08,7283.0,19612.0
2021-05-09,9341.0,19337.85714285714
2021-05-10,14.0,20902.428571428572
2021-05-11,8884.0,7403.0
2021-05-12,4506.0,9763.142857142857
2021-05-13,13665.0,8628.42857142857
2021-05-14,8128.0,12966.0
2021-05-15,23804.0,12501.0
2021-05-16,1398.0,13888.285714285714
2021-05-17,30377.0,14078.42857142857
2021-05-18,5629.0,14895.42857142857
2021-05-19,14217.0,13124.42857142857
2021-05-20,14996.0,13117.142857142857
2021-05-21,13847.0,10750.714285714286
2021-05-22,11407.0,11133.285714285714
2021-05-23,1347.0,9805.857142857143
2021-05-24,13812.0,7725.714285714285
2021-05-25,8307.0,6469.0
2021-05-26,4925.0,5646.0
2021-05-27,435.0,6505.8
2021-05-28,5050.0,4679.25
