,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0.14285714285714285,1,1,0,0,0
2020-03-14,0.2857142857142857,1,2,0,0,0
2020-03-15,0.5714285714285714,2,4,0,0,0
2020-03-16,0.5714285714285714,0,4,0,0,0
2020-03-17,1.1428571428571428,4,8,0,0,0
2020-03-18,1.2857142857142858,1,9,0,0,0
2020-03-19,3.2857142857142856,14,23,0,0,0
2020-03-20,5,13,36,0,0,0
2020-03-21,5.714285714285714,6,42,0,0,0
2020-03-22,5.428571428571429,0,42,0,0,0
2020-03-23,9.142857142857142,26,68,0,0,0
2020-03-24,10.428571428571429,13,81,0,0,0
2020-03-25,11.714285714285714,10,91,0,0,0
2020-03-26,17.571428571428573,55,146,0.42857142857142855,3,3
2020-03-27,24.142857142857142,59,205,0.42857142857142855,0,3
2020-03-28,27.428571428571427,29,234,0.5714285714285714,1,4
2020-03-29,34.142857142857146,47,281,0.7142857142857143,1,5
2020-03-30,38.857142857142854,59,340,0.8571428571428571,1,6
2020-03-31,62,175,515,1.1428571428571428,2,8
2020-04-01,67.85714285714286,51,566,1.2857142857142858,1,9
2020-04-02,90,210,776,0.8571428571428571,0,9
2020-04-03,98,115,891,0.8571428571428571,0,9
2020-04-04,112.57142857142857,131,1022,0.8571428571428571,1,10
2020-04-05,113.85714285714286,56,1078,0.7142857142857143,0,10
2020-04-06,108.71428571428571,23,1101,0.5714285714285714,0,10
2020-04-07,93.57142857142857,69,1170,0.7142857142857143,3,13
2020-04-08,92,40,1210,0.8571428571428571,2,15
2020-04-09,65.14285714285714,22,1232,1.2857142857142858,3,18
2020-04-10,66.14285714285714,122,1354,2.142857142857143,6,24
2020-04-11,53.42857142857143,42,1396,2.142857142857143,1,25
2020-04-12,47,11,1407,2.4285714285714284,2,27
2020-04-13,46.42857142857143,19,1426,2.4285714285714284,0,27
2020-04-14,42,38,1464,2.857142857142857,6,33
2020-04-15,37.57142857142857,9,1473,3.4285714285714284,6,39
2020-04-16,50.714285714285715,114,1587,3.2857142857142856,2,41
2020-04-17,36.42857142857143,22,1609,2.4285714285714284,0,41
2020-04-18,37,46,1655,2.5714285714285716,2,43
2020-04-19,37.285714285714285,13,1668,2.4285714285714284,1,44
2020-04-20,35.142857142857146,4,1672,2.5714285714285716,1,45
2020-04-21,38.857142857142854,64,1736,2.142857142857143,3,48
2020-04-22,41.857142857142854,30,1766,1.7142857142857142,3,51
2020-04-23,35.57142857142857,70,1836,1.8571428571428572,3,54
2020-04-24,37.285714285714285,34,1870,1.8571428571428572,0,54
2020-04-25,33.142857142857146,17,1887,1.8571428571428572,2,56
2020-04-26,32.714285714285715,10,1897,1.7142857142857142,0,56
2020-04-27,32.142857142857146,0,1897,1.5714285714285714,0,56
2020-04-28,30.857142857142858,55,1952,1.7142857142857142,4,60
2020-04-29,26.571428571428573,0,1952,1.2857142857142858,0,60
2020-04-30,21.142857142857142,32,1984,0.8571428571428571,0,60
2020-05-01,20.714285714285715,31,2015,1.2857142857142858,3,63
2020-05-02,24.857142857142858,46,2061,1.1428571428571428,1,64
2020-05-03,23.428571428571427,0,2061,1.1428571428571428,0,64
2020-05-04,29.857142857142858,45,2106,1.1428571428571428,0,64
2020-05-05,25,21,2127,0.7142857142857143,1,65
2020-05-06,29.428571428571427,31,2158,0.8571428571428571,1,66
2020-05-07,27.714285714285715,20,2178,1,1,67
2020-05-08,23.285714285714285,0,2178,0.5714285714285714,0,67
2020-05-09,20.571428571428573,27,2205,0.42857142857142855,0,67
2020-05-10,24.142857142857142,25,2230,0.42857142857142855,0,67
2020-05-11,22,30,2260,0.8571428571428571,3,70
2020-05-12,23.714285714285715,33,2293,0.5714285714285714,-1,69
2020-05-13,19.285714285714285,0,2293,0.42857142857142855,0,69
2020-05-14,24.714285714285715,58,2351,0.7142857142857143,3,72
2020-05-15,24.714285714285715,0,2351,0.7142857142857143,0,72
2020-05-16,30.571428571428573,68,2419,0.8571428571428571,1,73
2020-05-17,27,0,2419,0.8571428571428571,0,73
2020-05-18,27.857142857142858,36,2455,0.5714285714285714,1,74
2020-05-19,23.142857142857142,0,2455,0.7142857142857143,0,74
2020-05-20,30.428571428571427,51,2506,1.1428571428571428,3,77
2020-05-21,22.142857142857142,0,2506,0.7142857142857143,0,77
2020-05-22,34.857142857142854,89,2595,1,2,79
2020-05-23,25.142857142857142,0,2595,0.8571428571428571,0,79
2020-05-24,29.571428571428573,31,2626,0.8571428571428571,0,79
2020-05-25,24.428571428571427,0,2626,0.7142857142857143,0,79
2020-05-26,24.428571428571427,0,2626,0.7142857142857143,0,79
2020-05-27,27.571428571428573,73,2699,0.5714285714285714,2,81
2020-05-28,37.714285714285715,71,2770,0.7142857142857143,1,82
2020-05-29,25,0,2770,0.42857142857142855,0,82
2020-05-30,29.714285714285715,33,2803,0.42857142857142855,0,82
2020-05-31,30.428571428571427,36,2839,0.42857142857142855,0,82
2020-06-01,30.428571428571427,0,2839,0.42857142857142855,0,82
2020-06-02,43.857142857142854,94,2933,0.5714285714285714,1,83
2020-06-03,33.42857142857143,0,2933,0.2857142857142857,0,83
2020-06-04,31.428571428571427,57,2990,0.14285714285714285,0,83
2020-06-05,48.714285714285715,121,3111,0.14285714285714285,0,83
2020-06-06,48,28,3139,0.14285714285714285,0,83
2020-06-07,42.857142857142854,0,3139,0.14285714285714285,0,83
2020-06-08,50,50,3189,0.14285714285714285,0,83
2020-06-09,41.142857142857146,32,3221,0.2857142857142857,2,85
2020-06-10,46.714285714285715,39,3260,0.2857142857142857,0,85
2020-06-11,38.57142857142857,0,3260,0.2857142857142857,0,85
2020-06-12,34.57142857142857,93,3353,0.5714285714285714,2,87
2020-06-13,30.571428571428573,0,3353,0.5714285714285714,0,87
2020-06-14,37.142857142857146,46,3399,0.5714285714285714,0,87
2020-06-15,30,0,3399,0.5714285714285714,0,87
2020-06-16,34.42857142857143,63,3462,0.42857142857142855,1,88
2020-06-17,53.142857142857146,170,3632,0.42857142857142855,0,88
2020-06-18,69,111,3743,0.5714285714285714,1,89
2020-06-19,74,128,3871,0.2857142857142857,0,89
2020-06-20,93,133,4004,0.2857142857142857,0,89
2020-06-21,86.71428571428571,2,4006,0.2857142857142857,0,89
2020-06-22,122.42857142857143,250,4256,0.2857142857142857,0,89
2020-06-23,113.14285714285714,-2,4254,0.14285714285714285,0,89
2020-06-24,110,148,4402,0.14285714285714285,0,89
2020-06-25,160.28571428571428,463,4865,0.14285714285714285,1,90
2020-06-26,142,0,4865,0.14285714285714285,0,90
2020-06-27,188.28571428571428,457,5322,0.2857142857142857,1,91
2020-06-28,188,0,5322,0.2857142857142857,0,91
2020-06-29,213.71428571428572,430,5752,0.2857142857142857,0,91
2020-06-30,266.14285714285717,365,6117,0.42857142857142855,1,92
2020-07-01,281.14285714285717,253,6370,0.42857142857142855,0,92
2020-07-02,246.85714285714286,223,6593,0.2857142857142857,0,92
2020-07-03,304.14285714285717,401,6994,0.42857142857142855,1,93
2020-07-04,292.57142857142856,376,7370,0.2857142857142857,0,93
2020-07-05,344.42857142857144,363,7733,0.2857142857142857,0,93
2020-07-06,328.57142857142856,319,8052,0.42857142857142855,1,94
2020-07-07,346,487,8539,0.2857142857142857,0,94
2020-07-08,371.2857142857143,430,8969,0.8571428571428571,4,98
2020-07-09,405.14285714285717,460,9429,1.1428571428571428,2,100
2020-07-10,419.2857142857143,500,9929,1.1428571428571428,1,101
2020-07-11,448,577,10506,1.2857142857142858,1,102
2020-07-12,452.85714285714283,397,10903,1.2857142857142858,0,102
2020-07-13,478.85714285714283,501,11404,1.1428571428571428,0,102
2020-07-14,454.42857142857144,316,11720,1.2857142857142858,1,103
2020-07-15,497.14285714285717,729,12449,1.7142857142857142,7,110
2020-07-16,529.2857142857143,685,13134,2,4,114
2020-07-17,546.2857142857143,619,13753,2.4285714285714284,4,118
2020-07-18,542.4285714285714,550,14303,2.4285714285714284,1,119
2020-07-19,567.2857142857143,571,14874,2.4285714285714284,0,119
2020-07-20,552,394,15268,2.857142857142857,3,122
2020-07-21,586.1428571428571,555,15823,3.2857142857142856,4,126
2020-07-22,553.2857142857143,499,16322,3.5714285714285716,9,135
2020-07-23,514.7142857142857,415,16737,3.4285714285714284,3,138
2020-07-24,501.7142857142857,528,17265,3.7142857142857144,6,144
2020-07-25,503.2857142857143,561,17826,3.857142857142857,2,146
2020-07-26,472,352,18178,3.857142857142857,0,146
2020-07-27,489.14285714285717,514,18692,4.285714285714286,6,152
2020-07-28,485.2857142857143,528,19220,4.857142857142857,8,160
2020-07-29,478.85714285714283,454,19674,5.428571428571429,13,173
2020-07-30,500.7142857142857,568,20242,5.571428571428571,4,177
2020-07-31,493,474,20716,6.285714285714286,11,188
2020-08-01,469.14285714285717,394,21110,7.285714285714286,9,197
2020-08-02,418.85714285714283,0,21110,7.285714285714286,0,197
2020-08-03,425.42857142857144,560,21670,6.857142857142857,3,200
2020-08-04,430.85714285714283,566,22236,7.142857142857143,10,210
2020-08-05,433.42857142857144,472,22708,6.285714285714286,7,217
2020-08-06,451.2857142857143,693,23401,6.571428571428571,6,223
2020-08-07,458.42857142857144,524,23925,5.857142857142857,6,229
2020-08-08,483.85714285714283,572,24497,5.428571428571429,6,235
2020-08-09,509.2857142857143,178,24675,5.714285714285714,2,237
2020-08-10,490.57142857142856,429,25104,5.571428571428571,2,239
2020-08-11,480.2857142857143,494,25598,5.142857142857143,7,246
2020-08-12,489.42857142857144,536,26134,4.142857142857143,0,246
2020-08-13,461.14285714285717,495,26629,4,5,251
2020-08-14,463.7142857142857,542,27171,5.142857142857143,14,265
2020-08-15,425.42857142857144,304,27475,4.857142857142857,4,269
