,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,89.0
2020-12-16,0.0,283.57142857142856
2020-12-17,0.0,465.85714285714283
2020-12-18,623.0,575.2857142857143
2020-12-19,1362.0,763.4285714285714
2020-12-20,1276.0,888.1428571428571
2020-12-21,766.0,1167.0
2020-12-22,1317.0,1078.0
2020-12-23,873.0,1052.4285714285713
2020-12-24,1952.0,931.0
2020-12-25,0.0,873.0
2020-12-26,1183.0,866.2857142857143
2020-12-27,426.0,1021.1428571428571
2020-12-28,360.0,1041.4285714285713
2020-12-29,1270.0,1041.4285714285713
2020-12-30,1957.0,1264.857142857143
2020-12-31,2094.0,1288.5714285714287
2021-01-01,0.0,1301.4285714285713
2021-01-02,2747.0,1302.0
2021-01-03,592.0,1305.142857142857
2021-01-04,450.0,1376.5714285714287
2021-01-05,1274.0,1773.4285714285713
2021-01-06,1979.0,1939.0
2021-01-07,2594.0,2233.714285714286
2021-01-08,2778.0,2324.714285714286
2021-01-09,3906.0,2578.285714285714
2021-01-10,2655.0,2826.4285714285716
2021-01-11,1087.0,3041.0
2021-01-12,3049.0,3291.285714285714
2021-01-13,3716.0,3724.285714285714
2021-01-14,4096.0,3721.4285714285716
2021-01-15,4530.0,3566.1428571428573
2021-01-16,6937.0,3130.5714285714284
2021-01-17,2635.0,3827.285714285714
2021-01-18,0.0,3786.5714285714284
2021-01-19,0.0,3792.5714285714284
2021-01-20,8593.0,3472.1428571428573
2021-01-21,3811.0,3729.5714285714284
2021-01-22,4572.0,4323.0
2021-01-23,4694.0,4682.428571428572
2021-01-24,4437.0,3928.285714285714
2021-01-25,4154.0,4214.857142857143
2021-01-26,2516.0,4369.0
2021-01-27,3314.0,4556.714285714285
2021-01-28,5817.0,4782.714285714285
2021-01-29,5651.0,4690.142857142857
2021-01-30,6008.0,4656.571428571428
2021-01-31,6019.0,5001.857142857143
2021-02-01,3506.0,5283.142857142857
2021-02-02,2281.0,5890.714285714285
2021-02-03,5731.0,7442.0
2021-02-04,7786.0,7975.571428571428
2021-02-05,9904.0,8841.857142857143
2021-02-06,16867.0,9916.142857142857
2021-02-07,9754.0,9559.57142857143
2021-02-08,9570.0,9383.42857142857
2021-02-09,9801.0,9209.142857142857
2021-02-10,3235.0,8207.857142857143
2021-02-11,6553.0,9335.57142857143
2021-02-12,8684.0,8072.142857142857
2021-02-13,9858.0,6672.0
2021-02-14,17648.0,9257.0
2021-02-15,726.0,9255.714285714286
2021-02-16,0.0,9201.57142857143
2021-02-17,21330.0,11532.285714285714
2021-02-18,6544.0,10271.0
2021-02-19,8305.0,12005.857142857143
2021-02-20,26173.0,14021.285714285714
2021-02-21,8819.0,10974.142857142857
2021-02-22,12870.0,10909.285714285714
2021-02-23,14108.0,11216.142857142857
2021-02-24,0.0,8923.714285714286
2021-02-25,6090.0,9276.42857142857
2021-02-26,10453.0,9433.42857142857
2021-02-27,10126.0,9115.142857142857
2021-02-28,11288.0,9885.285714285714
2021-03-01,13969.0,10346.0
2021-03-02,11880.0,10172.714285714286
2021-03-03,5391.0,10768.285714285714
2021-03-04,9315.0,11290.42857142857
2021-03-05,9240.0,12843.285714285714
2021-03-06,14295.0,12138.57142857143
2021-03-07,14943.0,11368.42857142857
2021-03-08,24839.0,11225.42857142857
2021-03-09,6947.0,11395.57142857143
2021-03-10,0.0,11430.57142857143
2021-03-11,8314.0,13248.57142857143
2021-03-12,10431.0,9700.142857142857
2021-03-13,14540.0,10062.714285714286
2021-03-14,27669.0,10979.857142857143
2021-03-15,0.0,9891.857142857143
2021-03-16,9485.0,11218.857142857143
2021-03-17,6420.0,11505.42857142857
2021-03-18,698.0,10309.57142857143
2021-03-19,19720.0,12776.0
2021-03-20,16546.0,12968.285714285714
2021-03-21,19298.0,12979.0
2021-03-22,17265.0,14230.285714285714
2021-03-23,10831.0,13178.57142857143
2021-03-24,6495.0,13120.57142857143
2021-03-25,9457.0,12647.857142857143
2021-03-26,12358.0,12633.714285714286
2021-03-27,16140.0,12357.714285714286
2021-03-28,15989.0,12001.57142857143
2021-03-29,17166.0,12282.142857142857
2021-03-30,8899.0,12565.142857142857
2021-03-31,4002.0,12527.0
2021-04-01,11421.0,12715.857142857143
2021-04-02,14339.0,12739.857142857143
2021-04-03,15873.0,12816.0
2021-04-04,17311.0,12553.285714285714
2021-04-05,17334.0,12809.42857142857
2021-04-06,9432.0,15217.0
2021-04-07,2163.0,15326.57142857143
2021-04-08,13214.0,15727.714285714286
2021-04-09,31192.0,14736.142857142857
2021-04-10,16640.0,14049.285714285714
2021-04-11,20119.0,12634.285714285714
2021-04-12,10393.0,12448.857142857143
2021-04-13,4624.0,10162.714285714286
2021-04-14,-7742.0,9893.714285714286
2021-04-15,11916.0,9230.0
2021-04-16,15189.0,8699.857142857143
2021-04-17,14757.0,8552.857142857143
2021-04-18,15473.0,10991.285714285714
2021-04-19,6682.0,10711.857142857143
2021-04-20,3595.0,10436.0
2021-04-21,9327.0,10070.42857142857
2021-04-22,9960.0,9814.857142857143
2021-04-23,13258.0,9644.57142857143
2021-04-24,12198.0,9453.714285714286
2021-04-25,13684.0,9252.857142857143
2021-04-26,5490.0,8969.57142857143
2021-04-27,2259.0,8449.714285714286
2021-04-28,7921.0,8225.57142857143
2021-04-29,7977.0,7948.0
2021-04-30,9619.0,7516.571428571428
2021-05-01,10629.0,7193.857142857143
2021-05-02,11741.0,7094.285714285715
2021-05-03,2470.0,7105.571428571428
2021-05-04,0.0,6936.571428571428
2021-05-05,7224.0,6436.0
2021-05-06,8056.0,4778.857142857143
2021-05-07,8436.0,4431.142857142857
2021-05-08,7125.0,6968.714285714285
2021-05-09,141.0,6603.571428571428
2021-05-10,36.0,6194.571428571428
2021-05-11,17763.0,5958.571428571428
2021-05-12,4668.0,5741.571428571428
2021-05-13,5193.0,6713.571428571428
2021-05-14,6784.0,7071.0
2021-05-15,5606.0,4720.857142857143
2021-05-16,6945.0,4764.142857142857
2021-05-17,2538.0,4796.285714285715
2021-05-18,1312.0,4530.0
2021-05-19,4971.0,4789.142857142857
2021-05-20,5418.0,4650.571428571428
2021-05-21,4920.0,4706.571428571428
2021-05-22,7420.0,4738.714285714285
2021-05-23,5975.0,4535.142857142857
2021-05-24,2930.0,4325.428571428572
2021-05-25,1537.0,4230.714285714285
2021-05-26,3546.0,3699.1666666666665
2021-05-27,3950.0,3244.0
2021-05-28,4257.0,3322.5
