,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,4409.571428571428
2021-01-11,0.0,8643.57142857143
2021-01-12,0.0,13365.285714285714
2021-01-13,30867.0,16766.571428571428
2021-01-14,29638.0,19035.571428571428
2021-01-15,33052.0,20253.14285714286
2021-01-16,23809.0,20253.14285714286
2021-01-17,15883.0,17724.85714285714
2021-01-18,8523.0,17634.85714285714
2021-01-19,0.0,17863.0
2021-01-20,13169.0,20788.571428571428
2021-01-21,29008.0,24397.14285714286
2021-01-22,34649.0,26558.571428571428
2021-01-23,44288.0,28171.428571428572
2021-01-24,41143.0,30180.428571428572
2021-01-25,23653.0,33697.57142857143
2021-01-26,11290.0,36728.42857142857
2021-01-27,27232.0,38738.28571428572
2021-01-28,53628.0,41045.28571428572
2021-01-29,55865.0,42930.71428571428
2021-01-30,58357.0,43378.142857142855
2021-01-31,57292.0,50440.142857142855
2021-02-01,36851.0,47849.71428571428
2021-02-02,14422.0,49840.142857142855
2021-02-03,76666.0,51382.28571428572
2021-02-04,35495.0,54975.142857142855
2021-02-05,69798.0,59942.42857142857
2021-02-06,69152.0,65897.57142857143
2021-02-07,82442.0,57814.857142857145
2021-02-08,71622.0,61601.42857142857
2021-02-09,56108.0,60923.0
2021-02-10,20087.0,89825.14285714286
2021-02-11,62001.0,90328.42857142857
2021-02-12,65049.0,89494.14285714286
2021-02-13,271467.0,87777.14285714286
2021-02-14,85965.0,91022.14285714286
2021-02-15,65782.0,65188.28571428572
2021-02-16,44089.0,61794.0
2021-02-17,42802.0,42606.0
2021-02-18,-118836.0,42745.71428571428
2021-02-19,41289.0,44500.28571428572
2021-02-20,137151.0,49128.71428571428
2021-02-21,86943.0,43014.142857142855
2021-02-22,78064.0,66469.42857142857
2021-02-23,76488.0,68865.57142857143
2021-02-24,0.0,66469.57142857143
2021-02-25,45351.0,67681.14285714286
2021-02-26,58062.0,69237.57142857143
2021-02-27,120379.0,70074.42857142857
2021-02-28,95424.0,77559.0
2021-03-01,88959.0,80142.85714285714
2021-03-02,82346.0,84036.0
2021-03-03,52392.0,80655.42857142857
2021-03-04,63438.0,86538.71428571429
2021-03-05,85314.0,106799.85714285714
2021-03-06,96715.0,99215.71428571429
2021-03-07,136607.0,91731.14285714286
2021-03-08,230787.0,92887.28571428571
2021-03-09,29257.0,95718.85714285714
2021-03-10,0.0,102979.57142857143
2021-03-11,71531.0,122349.85714285714
2021-03-12,105135.0,89380.28571428571
2021-03-13,147540.0,99551.14285714286
2021-03-14,272199.0,111141.42857142857
2021-03-15,0.0,113885.57142857143
2021-03-16,100453.0,115254.14285714286
2021-03-17,81132.0,108298.57142857143
2021-03-18,90740.0,89827.14285714286
2021-03-19,114715.0,109046.0
2021-03-20,98851.0,107637.0
2021-03-21,142899.0,102519.85714285714
2021-03-22,134532.0,101096.71428571429
2021-03-23,90590.0,100477.42857142857
2021-03-24,45312.0,104130.14285714286
2021-03-25,80778.0,102278.71428571429
2021-03-26,110380.0,103031.28571428571
2021-03-27,124420.0,106066.28571428571
2021-03-28,129939.0,106713.42857142857
2021-03-29,139800.0,107915.71428571429
2021-03-30,111835.0,112223.85714285714
2021-03-31,49842.0,111421.0
2021-04-01,89194.0,114094.14285714286
2021-04-02,140537.0,115209.42857142857
2021-04-03,118800.0,114150.28571428571
2021-04-04,148651.0,112035.85714285714
2021-04-05,147607.0,113276.42857142857
2021-04-06,104421.0,134918.7142857143
2021-04-07,35041.0,141827.14285714287
2021-04-08,97878.0,146058.57142857142
2021-04-09,292033.0,143910.2857142857
2021-04-10,167159.0,147681.42857142858
2021-04-11,178271.0,136313.42857142858
2021-04-12,132569.0,142555.0
2021-04-13,130819.0,119724.85714285714
2021-04-14,-44535.0,120371.71428571429
2021-04-15,141569.0,118067.85714285714
2021-04-16,132222.0,115773.85714285714
2021-04-17,171687.0,106473.0
2021-04-18,162144.0,124764.28571428571
2021-04-19,116511.0,126091.85714285714
2021-04-20,65713.0,126570.57142857143
2021-04-21,83504.0,121803.57142857143
2021-04-22,150862.0,117426.14285714286
2021-04-23,135573.0,112395.42857142857
2021-04-24,138318.0,110284.57142857143
2021-04-25,131502.0,110229.42857142857
2021-04-26,81296.0,104186.28571428571
2021-04-27,50937.0,100500.28571428571
2021-04-28,83118.0,95861.85714285714
2021-04-29,108560.0,90071.14285714286
2021-04-30,109771.0,84991.57142857143
2021-05-01,105849.0,77714.85714285714
2021-05-02,90967.0,74547.0
2021-05-03,45739.0,74900.85714285714
2021-05-04,0.0,73768.42857142857
2021-05-05,60943.0,69359.28571428571
2021-05-06,111037.0,72070.71428571429
2021-05-07,101844.0,77187.0
2021-05-08,74985.0,87279.14285714286
2021-05-09,109947.0,87173.57142857143
2021-05-10,81553.0,82029.14285714286
2021-05-11,70645.0,77445.85714285714
2021-05-12,60204.0,78054.57142857143
2021-05-13,75026.0,79709.85714285714
2021-05-14,69761.0,78070.28571428571
2021-05-15,79246.0,72646.85714285714
2021-05-16,121534.0,70278.0
2021-05-17,70076.0,73399.42857142857
2021-05-18,32681.0,76539.42857142857
2021-05-19,43622.0,83436.14285714286
2021-05-20,96876.0,77221.85714285714
2021-05-21,91741.0,75986.57142857143
2021-05-22,127523.0,76530.71428571429
2021-05-23,78034.0,77497.85714285714
2021-05-24,61429.0,72369.71428571429
2021-05-25,36490.0,59431.28571428572
2021-05-26,50392.0,48082.666666666664
2021-05-27,60979.0,42092.4
2021-05-28,1172.0,37258.25
