,inpatient_beds_used_covid,7_day_avg
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.14285714285714285
2020-03-08,0.0,0.2857142857142857
2020-03-09,0.0,0.42857142857142855
2020-03-10,1.0,1.1428571428571428
2020-03-11,1.0,1.8571428571428572
2020-03-12,1.0,2.5714285714285716
2020-03-13,5.0,3.5714285714285716
2020-03-14,5.0,4.571428571428571
2020-03-15,5.0,6.142857142857143
2020-03-16,7.0,7.857142857142857
2020-03-17,8.0,9.142857142857142
2020-03-18,12.0,10.857142857142858
2020-03-19,13.0,12.428571428571429
2020-03-20,14.0,14.142857142857142
2020-03-21,17.0,15.857142857142858
2020-03-22,16.0,17.142857142857142
2020-03-23,19.0,18.857142857142858
2020-03-24,20.0,29.285714285714285
2020-03-25,21.0,53.42857142857143
2020-03-26,25.0,81.57142857142857
2020-03-27,87.0,117.85714285714286
2020-03-28,186.0,172.57142857142858
2020-03-29,213.0,268.57142857142856
2020-03-30,273.0,364.85714285714283
2020-03-31,403.0,467.42857142857144
2020-04-01,693.0,572.7142857142857
2020-04-02,699.0,669.5714285714286
2020-04-03,805.0,757.7142857142857
2020-04-04,923.0,844.2857142857143
2020-04-05,891.0,904.1428571428571
2020-04-06,890.0,951.5714285714286
2020-04-07,1009.0,969.5714285714286
2020-04-08,1112.0,956.2857142857143
2020-04-09,1031.0,943.1428571428571
2020-04-10,931.0,986.5714285714286
2020-04-11,830.0,1022.7142857142857
2020-04-12,799.0,1037.5714285714287
2020-04-13,1194.0,1055.0
2020-04-14,1262.0,1074.2857142857142
2020-04-15,1216.0,1091.2857142857142
2020-04-16,1153.0,1110.142857142857
2020-04-17,1066.0,1080.2857142857142
2020-04-18,949.0,1039.0
2020-04-19,931.0,991.5714285714286
2020-04-20,985.0,957.5714285714286
2020-04-21,973.0,937.1428571428571
2020-04-22,884.0,932.7142857142857
2020-04-23,915.0,919.7142857142857
2020-04-24,923.0,902.1428571428571
2020-04-25,918.0,875.4285714285714
2020-04-26,840.0,950.0
2020-04-27,862.0,1022.2857142857143
2020-04-28,786.0,1091.142857142857
2020-04-29,1406.0,1143.7142857142858
2020-04-30,1421.0,1204.2857142857142
2020-05-01,1405.0,1286.0
2020-05-02,1286.0,1384.7142857142858
2020-05-03,1264.0,1390.142857142857
2020-05-04,1434.0,1377.4285714285713
2020-05-05,1477.0,1348.0
2020-05-06,1444.0,1339.2857142857142
2020-05-07,1332.0,1328.857142857143
2020-05-08,1199.0,1307.7142857142858
2020-05-09,1225.0,1285.857142857143
2020-05-10,1191.0,1271.2857142857142
2020-05-11,1286.0,1266.4285714285713
2020-05-12,1324.0,1272.0
2020-05-13,1342.0,1258.2857142857142
2020-05-14,1298.0,1253.7142857142858
2020-05-15,1238.0,1237.142857142857
2020-05-16,1129.0,1218.0
2020-05-17,1159.0,1188.4285714285713
2020-05-18,1170.0,1160.5714285714287
2020-05-19,1190.0,1138.857142857143
2020-05-20,1135.0,1125.2857142857142
2020-05-21,1103.0,1102.5714285714287
2020-05-22,1086.0,1078.7142857142858
2020-05-23,1034.0,1063.4285714285713
2020-05-24,1000.0,1050.142857142857
2020-05-25,1003.0,1040.4285714285713
2020-05-26,1083.0,1022.4285714285714
2020-05-27,1042.0,1006.0
2020-05-28,1035.0,992.8571428571429
2020-05-29,960.0,980.7142857142857
2020-05-30,919.0,959.7142857142857
2020-05-31,908.0,939.5714285714286
2020-06-01,918.0,917.7142857142857
2020-06-02,936.0,900.0
2020-06-03,901.0,884.5714285714286
2020-06-04,882.0,863.2857142857143
2020-06-05,836.0,845.2857142857143
2020-06-06,811.0,828.8571428571429
2020-06-07,759.0,823.8571428571429
2020-06-08,792.0,818.1428571428571
2020-06-09,821.0,817.5714285714286
2020-06-10,866.0,813.0
2020-06-11,842.0,801.7142857142857
2020-06-12,832.0,806.4285714285714
2020-06-13,779.0,794.1428571428571
2020-06-14,680.0,777.5714285714286
2020-06-15,825.0,758.0
2020-06-16,735.0,736.1428571428571
2020-06-17,750.0,729.2857142857143
2020-06-18,705.0,726.2857142857143
2020-06-19,679.0,704.2857142857143
2020-06-20,731.0,696.0
2020-06-21,659.0,690.1428571428571
2020-06-22,671.0,687.7142857142857
2020-06-23,677.0,677.0
2020-06-24,709.0,654.4285714285714
2020-06-25,688.0,642.4285714285714
2020-06-26,604.0,642.0
2020-06-27,573.0,638.1428571428571
2020-06-28,575.0,625.0
2020-06-29,668.0,616.8571428571429
2020-06-30,650.0,617.7142857142857
2020-07-01,617.0,622.2857142857143
2020-07-02,631.0,619.8571428571429
2020-07-03,610.0,612.4285714285714
2020-07-04,605.0,612.5714285714286
2020-07-05,558.0,617.7142857142857
2020-07-06,616.0,626.1428571428571
2020-07-07,651.0,640.0
2020-07-08,653.0,649.5714285714286
2020-07-09,690.0,666.8571428571429
2020-07-10,707.0,689.8571428571429
2020-07-11,672.0,708.8571428571429
2020-07-12,679.0,762.4285714285714
2020-07-13,777.0,836.8571428571429
2020-07-14,784.0,912.4285714285714
2020-07-15,1028.0,950.2857142857143
2020-07-16,1211.0,980.7142857142857
2020-07-17,1236.0,980.5714285714286
2020-07-18,937.0,1017.1428571428571
2020-07-19,892.0,969.7142857142857
2020-07-20,776.0,909.5714285714286
2020-07-21,1040.0,842.0
2020-07-22,696.0,828.7142857142857
2020-07-23,790.0,824.5714285714286
2020-07-24,763.0,830.0
2020-07-25,844.0,798.1428571428571
2020-07-26,863.0,812.2857142857143
2020-07-27,814.0,817.0
2020-07-28,817.0,847.8571428571429
2020-07-29,795.0,864.7142857142857
2020-07-30,823.0,878.7142857142857
2020-07-31,979.0,899.5714285714286
2020-08-01,962.0,913.4285714285714
2020-08-02,961.0,940.0
2020-08-03,960.0,956.2857142857143
2020-08-04,914.0,950.7142857142857
2020-08-05,981.0,948.2857142857143
2020-08-06,937.0,940.0
2020-08-07,940.0,937.4285714285714
2020-08-08,945.0,939.1428571428571
2020-08-09,903.0,937.0
2020-08-10,942.0,930.8571428571429
2020-08-11,926.0,928.0
2020-08-12,966.0,928.5714285714286
2020-08-13,894.0,934.1428571428571
2020-08-14,920.0,923.4285714285714
2020-08-15,949.0,911.2857142857143
2020-08-16,942.0,904.4285714285714
2020-08-17,867.0,899.7142857142857
2020-08-18,841.0,894.8571428571429
2020-08-19,918.0,885.8571428571429
2020-08-20,861.0,880.0
2020-08-21,886.0,896.2857142857143
2020-08-22,886.0,910.4285714285714
2020-08-23,901.0,904.5714285714286
2020-08-24,981.0,904.1428571428571
2020-08-25,940.0,899.8571428571429
2020-08-26,877.0,888.5714285714286
2020-08-27,858.0,882.7142857142857
2020-08-28,856.0,860.4285714285714
2020-08-29,807.0,853.1428571428571
2020-08-30,860.0,850.2857142857143
2020-08-31,825.0,850.7142857142857
2020-09-01,889.0,839.0
2020-09-02,857.0,830.7142857142857
2020-09-03,861.0,818.1428571428571
2020-09-04,774.0,822.1428571428571
2020-09-05,749.0,807.4285714285714
2020-09-06,772.0,803.2857142857143
2020-09-07,853.0,795.8571428571429
2020-09-08,786.0,801.0
2020-09-09,828.0,799.8571428571429
2020-09-10,809.0,812.4285714285714
2020-09-11,810.0,806.5714285714286
2020-09-12,741.0,808.1428571428571
2020-09-13,860.0,801.8571428571429
2020-09-14,812.0,798.8571428571429
2020-09-15,797.0,793.4285714285714
2020-09-16,784.0,793.1428571428571
2020-09-17,788.0,781.7142857142857
2020-09-18,772.0,774.5714285714286
2020-09-19,739.0,778.7142857142857
2020-09-20,780.0,787.4285714285714
2020-09-21,762.0,798.5714285714286
2020-09-22,826.0,820.4285714285714
2020-09-23,845.0,847.7142857142857
2020-09-24,866.0,875.5714285714286
2020-09-25,925.0,904.5714285714286
