,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0.14285714285714285,1,1,0,0,0
2020-03-07,0.14285714285714285,0,1,0,0,0
2020-03-08,0.2857142857142857,1,2,0,0,0
2020-03-09,0.42857142857142855,1,3,0,0,0
2020-03-10,0.8571428571428571,3,6,0,0,0
2020-03-11,1.5714285714285714,5,11,0,0,0
2020-03-12,1.8571428571428572,2,13,0,0,0
2020-03-13,1.7142857142857142,0,13,0,0,0
2020-03-14,2.142857142857143,3,16,0,0,0
2020-03-15,2.5714285714285716,4,20,0,0,0
2020-03-16,3.142857142857143,5,25,0.14285714285714285,1,1
2020-03-17,3.4285714285714284,5,30,0.42857142857142855,2,3
2020-03-18,3.857142857142857,8,38,0.5714285714285714,1,4
2020-03-19,6.714285714285714,22,60,0.5714285714285714,0,4
2020-03-20,10.428571428571429,26,86,1.1428571428571428,4,8
2020-03-21,16,42,128,1.8571428571428572,5,13
2020-03-22,26.285714285714285,76,204,2.5714285714285716,5,18
2020-03-23,35,66,270,3.142857142857143,5,23
2020-03-24,48.285714285714285,98,368,3.5714285714285716,5,28
2020-03-25,62.714285714285715,109,477,4.285714285714286,6,34
2020-03-26,83.57142857142857,168,645,5.571428571428571,9,43
2020-03-27,127.57142857142857,334,979,5.428571428571429,3,46
2020-03-28,157.85714285714286,254,1233,6.428571428571429,12,58
2020-03-29,187,280,1513,8.285714285714286,18,76
2020-03-30,216.57142857142858,273,1786,9.714285714285714,15,91
2020-03-31,255.71428571428572,372,2158,12,21,112
2020-04-01,298.14285714285717,406,2564,14.285714285714286,22,134
2020-04-02,341.85714285714283,474,3038,16.142857142857142,22,156
2020-04-03,351.14285714285717,399,3437,20.285714285714285,32,188
2020-04-04,388.57142857142856,516,3953,22.142857142857142,25,213
2020-04-05,414,458,4411,24.428571428571427,34,247
2020-04-06,452.85714285714283,545,4956,25.857142857142858,25,272
2020-04-07,478.85714285714283,554,5510,28.142857142857142,37,309
2020-04-08,482.7142857142857,433,5943,29.142857142857142,29,338
2020-04-09,473.2857142857143,408,6351,31.142857142857142,36,374
2020-04-10,495.7142857142857,556,6907,30.142857142857142,25,399
2020-04-11,497.42857142857144,528,7435,29.428571428571427,20,419
2020-04-12,502.42857142857144,493,7928,28.714285714285715,29,448
2020-04-13,486.14285714285717,431,8359,30.142857142857142,35,483
2020-04-14,431,168,8527,31.428571428571427,46,529
2020-04-15,431,433,8960,32.714285714285715,38,567
2020-04-16,455.85714285714283,582,9542,32.42857142857143,34,601
2020-04-17,463.85714285714283,612,10154,34,36,637
2020-04-18,458,487,10641,35.142857142857146,28,665
2020-04-19,469,570,11211,36.285714285714285,37,702
2020-04-20,475.57142857142856,477,11688,36.714285714285715,38,740
2020-04-21,510,409,12097,37.285714285714285,50,790
2020-04-22,496.85714285714283,341,12438,39.142857142857146,51,841
2020-04-23,499.57142857142856,601,13039,39.714285714285715,38,879
2020-04-24,503.85714285714283,642,13681,39.857142857142854,37,916
2020-04-25,536.8571428571429,718,14399,41.857142857142854,42,958
2020-04-26,543,613,15012,41.57142857142857,35,993
2020-04-27,610.4285714285714,949,15961,42.285714285714285,43,1036
2020-04-28,641.5714285714286,627,16588,40.285714285714285,36,1072
2020-04-29,677.7142857142857,594,17182,39.285714285714285,44,1116
2020-04-30,685.1428571428571,653,17835,40.285714285714285,45,1161
2020-05-01,707,795,18630,40.285714285714285,37,1198
2020-05-02,699.4285714285714,665,19295,40.57142857142857,44,1242
2020-05-03,703,638,19933,40.714285714285715,36,1278
2020-05-04,649.4285714285714,574,20507,40.142857142857146,39,1317
2020-05-05,635,526,21033,40.57142857142857,39,1356
2020-05-06,669.7142857142857,837,21870,40.57142857142857,44,1400
2020-05-07,666.8571428571429,633,22503,39,34,1434
2020-05-08,645.1428571428571,643,23146,37.714285714285715,28,1462
2020-05-09,633.8571428571429,586,23732,36.142857142857146,33,1495
2020-05-10,599,394,24126,35.857142857142854,34,1529
2020-05-11,588.5714285714286,501,24627,36.285714285714285,42,1571
2020-05-12,584.8571428571429,500,25127,36.285714285714285,39,1610
2020-05-13,514.7142857142857,346,25473,34,28,1638
2020-05-14,507.14285714285717,580,26053,35.42857142857143,44,1682
2020-05-15,501.42857142857144,603,26656,36.142857142857146,33,1715
2020-05-16,506.85714285714283,624,27280,35.714285714285715,30,1745
2020-05-17,521.7142857142857,498,27778,35.142857142857146,30,1775
2020-05-18,518.2857142857143,477,28255,35,41,1816
2020-05-19,511.14285714285717,450,28705,33.714285714285715,30,1846
2020-05-20,543,569,29274,34.285714285714285,32,1878
2020-05-21,554.7142857142857,662,29936,33.57142857142857,39,1917
2020-05-22,536.1428571428571,473,30409,31.428571428571427,18,1935
2020-05-23,517.2857142857143,492,30901,30.714285714285715,25,1960
2020-05-24,514,475,31376,28.571428571428573,15,1975
2020-05-25,494.2857142857143,339,31715,25.857142857142858,22,1997
2020-05-26,481.85714285714283,363,32078,24.428571428571427,20,2017
2020-05-27,451.85714285714283,359,32437,22,15,2032
2020-05-28,447.42857142857144,631,33068,19.142857142857142,19,2051
2020-05-29,449.85714285714283,490,33558,19.714285714285715,22,2073
2020-05-30,472.85714285714283,653,34211,19.428571428571427,23,2096
2020-05-31,456.85714285714283,363,34574,19.714285714285715,17,2113
2020-06-01,445,256,34830,19.428571428571427,20,2133
2020-06-02,451.2857142857143,407,35237,19.428571428571427,20,2153
2020-06-03,467.85714285714283,475,35712,21,26,2179
2020-06-04,432.57142857142856,384,36096,21.571428571428573,23,2202
2020-06-05,431.42857142857144,482,36578,21.428571428571427,21,2223
2020-06-06,398,419,36997,19.571428571428573,10,2233
2020-06-07,403.2857142857143,400,37397,19.285714285714285,15,2248
2020-06-08,399,226,37623,18.857142857142858,17,2265
2020-06-09,399.42857142857144,410,38033,19.571428571428573,25,2290
2020-06-10,375,304,38337,18.285714285714285,17,2307
2020-06-11,378.85714285714283,411,38748,17.142857142857142,15,2322
2020-06-12,366.85714285714283,398,39146,16.428571428571427,16,2338
2020-06-13,363.7142857142857,397,39543,16.857142857142858,13,2351
2020-06-14,358.85714285714283,366,39909,17.714285714285715,21,2372
2020-06-15,401,521,40430,17.285714285714285,14,2386
2020-06-16,393.2857142857143,356,40786,15.857142857142858,15,2401
2020-06-17,382.2857142857143,227,41013,15.857142857142858,17,2418
2020-06-18,384.2857142857143,425,41438,17.285714285714285,25,2443
2020-06-19,371.42857142857144,308,41746,16.714285714285715,12,2455
2020-06-20,359.7142857142857,315,42061,16.285714285714285,10,2465
2020-06-21,359.14285714285717,362,42423,14.857142857142858,11,2476
2020-06-22,314.7142857142857,210,42633,15,15,2491
2020-06-23,297.85714285714283,238,42871,13.428571428571429,4,2495
2020-06-24,303.85714285714283,269,43140,12.428571428571429,10,2505
2020-06-25,316.7142857142857,515,43655,10.714285714285714,13,2518
2020-06-26,342,485,44140,10.714285714285714,12,2530
2020-06-27,359.14285714285717,435,44575,10.857142857142858,11,2541
2020-06-28,358.14285714285717,355,44930,10.571428571428571,9,2550
2020-06-29,370.7142857142857,298,45228,9.714285714285714,9,2559
2020-06-30,389,366,45594,10.571428571428571,10,2569
2020-07-01,401.7142857142857,358,45952,10.857142857142858,12,2581
2020-07-02,390.2857142857143,435,46387,10.142857142857142,8,2589
2020-07-03,396.42857142857144,528,46915,10,11,2600
2020-07-04,408.14285714285717,517,47432,9.428571428571429,7,2607
2020-07-05,467.2857142857143,769,48201,9.857142857142858,12,2619
2020-07-06,470.85714285714283,323,48524,10.857142857142858,16,2635
2020-07-07,433.14285714285717,102,48626,10.714285714285714,9,2644
2020-07-08,444.42857142857144,437,49063,10.142857142857142,8,2652
2020-07-09,455.42857142857144,512,49575,10.571428571428571,11,2663
2020-07-10,483.57142857142856,725,50300,10,7,2670
2020-07-11,521,779,51079,10.571428571428571,11,2681
2020-07-12,487.2857142857143,533,51612,10.714285714285714,13,2694
2020-07-13,501.85714285714283,425,52037,9.714285714285714,9,2703
2020-07-14,579.8571428571429,648,52685,9.285714285714286,6,2709
2020-07-15,615.2857142857143,685,53370,9.714285714285714,11,2720
2020-07-16,643.5714285714286,710,54080,9.571428571428571,10,2730
2020-07-17,644.7142857142857,733,54813,9.857142857142858,9,2739
2020-07-18,653.5714285714286,841,55654,9.571428571428571,9,2748
2020-07-19,708.4285714285714,917,56571,9,9,2757
2020-07-20,738.4285714285714,635,57206,9.714285714285714,14,2771
2020-07-21,747.2857142857143,710,57916,10.142857142857142,9,2780
2020-07-22,757.5714285714286,757,58673,10.428571428571429,13,2793
2020-07-23,788.8571428571429,929,59602,10.428571428571429,10,2803
2020-07-24,826.4285714285714,996,60598,10.714285714285714,11,2814
2020-07-25,838,922,61520,11,11,2825
2020-07-26,828.7142857142857,852,62372,11.142857142857142,10,2835
2020-07-27,814.4285714285714,535,62907,9.714285714285714,4,2839
2020-07-28,823.1428571428571,771,63678,9.285714285714286,6,2845
2020-07-29,803.7142857142857,621,64299,10.428571428571429,21,2866
2020-07-30,807.2857142857143,954,65253,10.285714285714286,9,2875
2020-07-31,793.7142857142857,901,66154,10.285714285714286,11,2886
2020-08-01,800.2857142857143,968,67122,10.571428571428571,13,2899
2020-08-02,783.5714285714286,735,67857,10.428571428571429,9,2908
2020-08-03,789.4285714285714,576,68433,11.142857142857142,9,2917
2020-08-04,796.7142857142857,822,69255,11.857142857142858,11,2928
2020-08-05,810.8571428571429,720,69975,9.571428571428571,5,2933
2020-08-06,823.1428571428571,1040,71015,10.428571428571429,15,2948
2020-08-07,871.4285714285714,1239,72254,10.857142857142858,14,2962
2020-08-08,880.7142857142857,1033,73287,10.714285714285714,12,2974
2020-08-09,924.4285714285714,1041,74328,10.428571428571429,7,2981
2020-08-10,937,664,74992,11.428571428571429,16,2997
2020-08-11,943.8571428571429,870,75862,11.714285714285714,13,3010
2020-08-12,935.2857142857143,660,76522,13.142857142857142,15,3025
