,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,7538.428571428572
2021-01-04,0.0,7538.428571428572
2021-01-05,0.0,7538.428571428572
2021-01-06,52769.0,7538.428571428572
2021-01-07,0.0,7538.428571428572
2021-01-08,0.0,20202.428571428572
2021-01-09,0.0,22845.14285714286
2021-01-10,0.0,18793.571428571428
2021-01-11,88648.0,22661.14285714286
2021-01-12,18499.0,26226.0
2021-01-13,24408.0,30042.0
2021-01-14,27073.0,32717.428571428572
2021-01-15,24954.0,21265.0
2021-01-16,26712.0,18622.285714285714
2021-01-17,18728.0,18455.14285714286
2021-01-18,8481.0,18747.571428571428
2021-01-19,0.0,19680.714285714286
2021-01-20,23238.0,20204.714285714286
2021-01-21,29120.0,22245.714285714286
2021-01-22,31486.0,23812.85714285714
2021-01-23,30380.0,24961.0
2021-01-24,33015.0,25317.571428571428
2021-01-25,19451.0,24529.85714285714
2021-01-26,8037.0,25058.85714285714
2021-01-27,25734.0,23740.0
2021-01-28,23606.0,25142.428571428572
2021-01-29,35189.0,24702.571428571428
2021-01-30,21148.0,23554.428571428572
2021-01-31,42832.0,25103.428571428572
2021-02-01,16372.0,26768.428571428572
2021-02-02,0.0,27299.428571428572
2021-02-03,36577.0,29394.571428571428
2021-02-04,35261.0,28332.428571428572
2021-02-05,38906.0,29373.14285714286
2021-02-06,35814.0,31089.0
2021-02-07,35397.0,30968.571428571428
2021-02-08,23657.0,31022.428571428572
2021-02-09,12011.0,31931.571428571428
2021-02-10,35734.0,32528.85714285714
2021-02-11,35638.0,33219.57142857143
2021-02-12,45270.0,33073.857142857145
2021-02-13,39995.0,32891.42857142857
2021-02-14,40232.0,30929.571428571428
2021-02-15,22637.0,27995.0
2021-02-16,10734.0,26952.14285714286
2021-02-17,22001.0,27070.0
2021-02-18,15096.0,26396.85714285714
2021-02-19,37970.0,26229.285714285714
2021-02-20,40820.0,25669.85714285714
2021-02-21,35520.0,27036.14285714286
2021-02-22,21464.0,30401.714285714286
2021-02-23,6818.0,32949.142857142855
2021-02-24,31565.0,33652.57142857143
2021-02-25,38655.0,35279.0
2021-02-26,55802.0,37698.28571428572
2021-02-27,45744.0,40267.857142857145
2021-02-28,46905.0,37105.42857142857
2021-03-01,38399.0,36310.0
2021-03-02,24805.0,34034.28571428572
2021-03-03,9428.0,34797.57142857143
2021-03-04,33087.0,35551.0
2021-03-05,39872.0,41329.28571428572
2021-03-06,51087.0,37785.71428571428
2021-03-07,52179.0,38324.0
2021-03-08,78847.0,39535.42857142857
2021-03-09,0.0,40219.857142857145
2021-03-10,13196.0,40240.42857142857
2021-03-11,41567.0,46632.42857142857
2021-03-12,44663.0,35368.57142857143
2021-03-13,51231.0,40094.71428571428
2021-03-14,96923.0,39685.57142857143
2021-03-15,0.0,38939.42857142857
2021-03-16,33083.0,39052.57142857143
2021-03-17,10332.0,39203.0
2021-03-18,36344.0,33387.57142857143
2021-03-19,45455.0,39948.142857142855
2021-03-20,52284.0,39601.0
2021-03-21,56215.0,39527.42857142857
2021-03-22,45924.0,40361.142857142855
2021-03-23,30653.0,42354.42857142857
2021-03-24,9817.0,42820.857142857145
2021-03-25,42180.0,42027.142857142855
2021-03-26,59408.0,41932.28571428572
2021-03-27,55549.0,42470.57142857143
2021-03-28,50659.0,42403.857142857145
2021-03-29,45260.0,43356.857142857145
2021-03-30,34421.0,41655.28571428572
2021-03-31,9350.0,42781.57142857143
2021-04-01,48851.0,45326.142857142855
2021-04-02,47497.0,45201.28571428572
2021-04-03,63433.0,44824.28571428572
2021-04-04,68471.0,45272.28571428572
2021-04-05,44386.0,46553.142857142855
2021-04-06,31782.0,61179.0
2021-04-07,12486.0,61432.142857142855
2021-04-08,57817.0,58563.142857142855
2021-04-09,149878.0,56482.57142857143
2021-04-10,65205.0,57616.0
2021-04-11,48388.0,65513.857142857145
2021-04-12,29822.0,67131.71428571429
2021-04-13,39716.0,54016.57142857143
2021-04-14,67771.0,52271.857142857145
2021-04-15,69142.0,49377.71428571428
2021-04-16,58072.0,47950.142857142855
2021-04-17,52992.0,47611.0
2021-04-18,28129.0,44994.71428571428
2021-04-19,19829.0,42600.57142857143
2021-04-20,37342.0,41703.71428571428
2021-04-21,49457.0,40194.0
2021-04-22,52383.0,40970.28571428572
2021-04-23,51794.0,40199.142857142855
2021-04-24,42424.0,40421.0
2021-04-25,33563.0,39971.0
2021-04-26,14431.0,40679.0
2021-04-27,38895.0,41471.142857142855
2021-04-28,46307.0,42418.142857142855
2021-04-29,57339.0,40367.857142857145
2021-04-30,57339.0,39744.142857142855
2021-05-01,49053.0,34187.71428571428
2021-05-02,19211.0,40097.142857142855
2021-05-03,10065.0,40179.0
2021-05-04,0.0,38214.57142857143
2021-05-05,87673.0,37787.142857142855
2021-05-06,57912.0,39739.42857142857
2021-05-07,43588.0,39939.0
2021-05-08,46061.0,44501.857142857145
2021-05-09,32877.0,37462.42857142857
2021-05-10,11462.0,34833.42857142857
2021-05-11,31940.0,34846.857142857145
2021-05-12,38397.0,33589.57142857143
2021-05-13,39509.0,33212.28571428572
2021-05-14,43682.0,32974.142857142855
2021-05-15,37260.0,33669.857142857145
2021-05-16,30236.0,32727.714285714286
2021-05-17,9795.0,33151.28571428572
2021-05-18,36810.0,32195.85714285714
2021-05-19,31802.0,31379.0
2021-05-20,42474.0,29350.285714285714
2021-05-21,36994.0,29121.0
2021-05-22,31542.0,27654.428571428572
2021-05-23,16035.0,26825.0
2021-05-24,8190.0,24664.285714285714
2021-05-25,26544.0,22849.428571428572
2021-05-26,25996.0,21400.666666666668
2021-05-27,27349.0,22473.8
2021-05-28,24290.0,26044.75
