,inpatient_beds_used_covid,7_day_avg
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.14285714285714285
2020-02-13,0.0,0.2857142857142857
2020-02-14,0.0,0.42857142857142855
2020-02-15,1.0,0.5714285714285714
2020-02-16,1.0,0.7142857142857143
2020-02-17,1.0,0.7142857142857143
2020-02-18,1.0,0.7142857142857143
2020-02-19,1.0,0.5714285714285714
2020-02-20,0.0,0.42857142857142855
2020-02-21,0.0,0.2857142857142857
2020-02-22,0.0,0.14285714285714285
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.14285714285714285
2020-03-11,0.0,0.2857142857142857
2020-03-12,0.0,0.5714285714285714
2020-03-13,1.0,0.8571428571428571
2020-03-14,1.0,1.1428571428571428
2020-03-15,2.0,2.2857142857142856
2020-03-16,2.0,3.2857142857142856
2020-03-17,2.0,4.285714285714286
2020-03-18,8.0,5.285714285714286
2020-03-19,7.0,6.142857142857143
2020-03-20,8.0,7.0
2020-03-21,8.0,7.285714285714286
2020-03-22,8.0,6.857142857142857
2020-03-23,8.0,6.428571428571429
2020-03-24,4.0,6.428571428571429
2020-03-25,5.0,6.571428571428571
2020-03-26,4.0,6.714285714285714
2020-03-27,8.0,8.714285714285714
2020-03-28,9.0,12.142857142857142
2020-03-29,9.0,18.142857142857142
2020-03-30,22.0,25.142857142857142
2020-03-31,28.0,32.0
2020-04-01,47.0,37.0
2020-04-02,53.0,42.285714285714285
2020-04-03,56.0,48.714285714285715
2020-04-04,44.0,54.714285714285715
2020-04-05,46.0,58.857142857142854
2020-04-06,67.0,60.285714285714285
2020-04-07,70.0,60.714285714285715
2020-04-08,76.0,62.0
2020-04-09,63.0,63.57142857142857
2020-04-10,59.0,64.71428571428571
2020-04-11,53.0,69.85714285714286
2020-04-12,57.0,73.42857142857143
2020-04-13,75.0,83.14285714285714
2020-04-14,106.0,93.85714285714286
2020-04-15,101.0,104.28571428571429
2020-04-16,131.0,113.71428571428571
2020-04-17,134.0,121.85714285714286
2020-04-18,126.0,127.14285714285714
2020-04-19,123.0,135.42857142857142
2020-04-20,132.0,142.42857142857142
2020-04-21,143.0,149.57142857142858
2020-04-22,159.0,158.57142857142858
2020-04-23,180.0,167.85714285714286
2020-04-24,184.0,176.28571428571428
2020-04-25,189.0,186.14285714285714
2020-04-26,188.0,191.42857142857142
2020-04-27,191.0,193.28571428571428
2020-04-28,212.0,196.28571428571428
2020-04-29,196.0,195.71428571428572
2020-04-30,193.0,198.42857142857142
2020-05-01,205.0,202.28571428571428
2020-05-02,185.0,213.85714285714286
2020-05-03,207.0,222.71428571428572
2020-05-04,218.0,230.85714285714286
2020-05-05,293.0,233.57142857142858
2020-05-06,258.0,236.57142857142858
2020-05-07,250.0,235.57142857142858
2020-05-08,224.0,238.14285714285714
2020-05-09,206.0,240.0
2020-05-10,200.0,251.42857142857142
2020-05-11,236.0,244.42857142857142
2020-05-12,306.0,244.14285714285714
2020-05-13,338.0,246.57142857142858
2020-05-14,201.0,246.0
2020-05-15,222.0,241.57142857142858
2020-05-16,223.0,229.71428571428572
2020-05-17,196.0,217.14285714285714
2020-05-18,205.0,220.28571428571428
2020-05-19,223.0,217.85714285714286
2020-05-20,250.0,205.14285714285714
2020-05-21,223.0,195.85714285714286
2020-05-22,205.0,193.0
2020-05-23,134.0,188.85714285714286
2020-05-24,131.0,180.57142857142858
2020-05-25,185.0,173.57142857142858
2020-05-26,194.0,175.14285714285714
2020-05-27,192.0,181.0
2020-05-28,174.0,185.0
2020-05-29,216.0,181.42857142857142
2020-05-30,175.0,182.42857142857142
2020-05-31,159.0,177.85714285714286
2020-06-01,160.0,174.57142857142858
2020-06-02,201.0,169.85714285714286
2020-06-03,160.0,170.28571428571428
2020-06-04,151.0,169.0
2020-06-05,183.0,175.0
2020-06-06,178.0,168.14285714285714
