,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0.14285714285714285,1,1,0,0,0
2020-03-09,0.14285714285714285,0,1,0,0,0
2020-03-10,0.14285714285714285,0,1,0,0,0
2020-03-11,0.14285714285714285,0,1,0,0,0
2020-03-12,0.5714285714285714,3,4,0,0,0
2020-03-13,0.8571428571428571,2,6,0.14285714285714285,1,1
2020-03-14,1.1428571428571428,2,8,0.14285714285714285,0,1
2020-03-15,1,0,8,0.14285714285714285,0,1
2020-03-16,1.4285714285714286,3,11,0.14285714285714285,0,1
2020-03-17,2.4285714285714284,7,18,0.14285714285714285,0,1
2020-03-18,3,4,22,0.14285714285714285,0,1
2020-03-19,4.428571428571429,13,35,0.14285714285714285,0,1
2020-03-20,6,13,48,0,0,1
2020-03-21,7,9,57,0.14285714285714285,1,2
2020-03-22,8.142857142857142,8,65,0.14285714285714285,0,2
2020-03-23,10.428571428571429,19,84,0.14285714285714285,0,2
2020-03-24,11.714285714285714,16,100,0.14285714285714285,0,2
2020-03-25,16,34,134,0.2857142857142857,1,3
2020-03-26,19.571428571428573,38,172,0.2857142857142857,0,3
2020-03-27,22.571428571428573,34,206,0.42857142857142855,1,4
2020-03-28,29.857142857142858,60,266,0.42857142857142855,1,5
2020-03-29,37.857142857142854,64,330,0.7142857142857143,2,7
2020-03-30,41.142857142857146,42,372,0.8571428571428571,1,8
2020-03-31,47.714285714285715,62,434,1,1,9
2020-04-01,50.142857142857146,51,485,1,1,10
2020-04-02,54.42857142857143,68,553,1.4285714285714286,3,13
2020-04-03,60.42857142857143,76,629,2,5,18
2020-04-04,61.714285714285715,69,698,1.8571428571428572,0,18
2020-04-05,60.142857142857146,53,751,2,3,21
2020-04-06,68.14285714285714,98,849,2.2857142857142856,3,24
2020-04-07,68.28571428571429,63,912,3.5714285714285716,10,34
2020-04-08,80.14285714285714,134,1046,4,4,38
2020-04-09,80.42857142857143,70,1116,3,-4,34
2020-04-10,69.71428571428571,1,1117,4.571428571428571,16,50
2020-04-11,82.42857142857143,158,1275,4.857142857142857,2,52
2020-04-12,84.71428571428571,69,1344,6,11,63
2020-04-13,77.28571428571429,46,1390,5.285714285714286,-2,61
2020-04-14,75.57142857142857,51,1441,6.142857142857143,16,77
2020-04-15,65.42857142857143,63,1504,5,-4,73
2020-04-16,71.28571428571429,111,1615,6.571428571428571,7,80
2020-04-17,87.57142857142857,115,1730,4.857142857142857,4,84
2020-04-18,78,91,1821,4.857142857142857,2,86
2020-04-19,80.14285714285714,84,1905,4.285714285714286,7,93
2020-04-20,94,143,2048,5.857142857142857,9,102
2020-04-21,103.28571428571429,116,2164,4.571428571428571,7,109
2020-04-22,118.14285714285714,167,2331,5.571428571428571,3,112
2020-04-23,158,390,2721,4.714285714285714,1,113
2020-04-24,175.57142857142858,238,2959,4.857142857142857,5,118
2020-04-25,187.71428571428572,176,3135,4.857142857142857,2,120
2020-04-26,196,142,3277,4,1,121
2020-04-27,203.57142857142858,196,3473,3.4285714285714284,5,126
2020-04-28,212.57142857142858,179,3652,2.5714285714285716,1,127
2020-04-29,215.42857142857142,187,3839,3.142857142857143,7,134
2020-04-30,241.71428571428572,574,4413,3,0,134
2020-05-01,239.28571428571428,221,4634,3.142857142857143,6,140
2020-05-02,250,251,4885,3.142857142857143,2,142
2020-05-03,268.42857142857144,271,5156,3.2857142857142856,2,144
2020-05-04,272.85714285714283,227,5383,4.285714285714286,12,156
2020-05-05,285.14285714285717,265,5648,4.857142857142857,5,161
2020-05-06,307.7142857142857,345,5993,4.285714285714286,3,164
2020-05-07,274.14285714285717,339,6332,4.428571428571429,1,165
2020-05-08,290.42857142857144,335,6667,4,3,168
2020-05-09,277.7142857142857,162,6829,4.571428571428571,6,174
2020-05-10,256.42857142857144,122,6951,4.285714285714286,0,174
2020-05-11,253.71428571428572,208,7159,3.4285714285714284,6,180
2020-05-12,227.42857142857142,81,7240,3.2857142857142856,4,184
2020-05-13,217.85714285714286,278,7518,3.4285714285714284,4,188
2020-05-14,196.14285714285714,187,7705,3.4285714285714284,1,189
2020-05-15,174.14285714285714,181,7886,3.5714285714285716,4,193
2020-05-16,158.57142857142858,53,7939,3,2,195
2020-05-17,143.14285714285714,14,7953,3,0,195
2020-05-18,163.42857142857142,350,8303,2.5714285714285716,3,198
2020-05-19,159,50,8353,2.142857142857143,1,199
2020-05-20,141.28571428571428,154,8507,2,3,202
2020-05-21,131.42857142857142,118,8625,2.142857142857143,2,204
2020-05-22,146.14285714285714,284,8909,1.7142857142857142,1,205
2020-05-23,143.85714285714286,37,8946,1.4285714285714286,0,205
2020-05-24,150.14285714285714,58,9004,1.4285714285714286,0,205
2020-05-25,117.42857142857143,121,9125,1.2857142857142858,2,207
2020-05-26,120.85714285714286,74,9199,1.5714285714285714,3,210
2020-05-27,112,92,9291,1.5714285714285714,3,213
2020-05-28,106.57142857142857,80,9371,1.4285714285714286,1,214
2020-05-29,107.57142857142857,291,9662,1.4285714285714286,1,215
2020-05-30,106.28571428571429,28,9690,1.4285714285714286,0,215
2020-05-31,99.42857142857143,10,9700,1.4285714285714286,0,215
2020-06-01,113.57142857142857,220,9920,1.4285714285714286,2,217
2020-06-02,109.42857142857143,45,9965,1.7142857142857142,5,222
2020-06-03,114.42857142857143,127,10092,1.8571428571428572,4,226
2020-06-04,113.71428571428571,75,10167,1.8571428571428572,1,227
2020-06-05,92,139,10306,2.4285714285714284,5,232
2020-06-06,95.85714285714286,55,10361,2.5714285714285716,1,233
2020-06-07,100.85714285714286,45,10406,2.5714285714285716,0,233
2020-06-08,89.14285714285714,138,10544,2.7142857142857144,3,236
2020-06-09,92,65,10609,2.142857142857143,1,237
2020-06-10,94,141,10750,2,3,240
2020-06-11,93.71428571428571,73,10823,2.2857142857142856,3,243
2020-06-12,95.28571428571429,150,10973,1.5714285714285714,0,243
2020-06-13,94.14285714285714,47,11020,1.7142857142857142,2,245
2020-06-14,99.28571428571429,81,11101,1.7142857142857142,0,245
2020-06-15,110.71428571428571,218,11319,1.4285714285714286,1,246
2020-06-16,114.57142857142857,92,11411,1.2857142857142858,0,246
2020-06-17,127.71428571428571,233,11644,1,1,247
2020-06-18,132.85714285714286,109,11753,1.1428571428571428,4,251
2020-06-19,149.71428571428572,268,12021,1.5714285714285714,3,254
2020-06-20,153.85714285714286,76,12097,1.5714285714285714,2,256
2020-06-21,147.85714285714286,39,12136,1.7142857142857142,1,257
2020-06-22,158.42857142857142,292,12428,1.7142857142857142,1,258
2020-06-23,160.85714285714286,109,12537,2,2,260
2020-06-24,183.71428571428572,393,12930,2,1,261
2020-06-25,193.42857142857142,177,13107,1.5714285714285714,1,262
2020-06-26,205.85714285714286,355,13462,1.5714285714285714,3,265
2020-06-27,217.14285714285714,155,13617,1.7142857142857142,3,268
2020-06-28,244.42857142857142,230,13847,1.7142857142857142,1,269
2020-06-29,254.42857142857142,362,14209,2.142857142857143,4,273
2020-06-30,261.85714285714283,161,14370,1.8571428571428572,0,273
2020-07-01,271.42857142857144,460,14830,2.2857142857142856,4,277
2020-07-02,270.7142857142857,172,15002,2.5714285714285716,3,280
2020-07-03,313.85714285714283,657,15659,2.4285714285714284,2,282
2020-07-04,327.7142857142857,252,15911,2.142857142857143,1,283
2020-07-05,319.14285714285717,170,16081,2.142857142857143,1,284
2020-07-06,347,557,16638,1.7142857142857142,1,285
2020-07-07,355.7142857142857,222,16860,2.2857142857142856,4,289
2020-07-08,357.42857142857144,472,17332,1.7142857142857142,0,289
2020-07-09,397.57142857142856,453,17785,1.8571428571428572,4,293
2020-07-10,377.7142857142857,518,18303,1.5714285714285714,0,293
2020-07-11,396.57142857142856,384,18687,1.7142857142857142,2,295
2020-07-12,414.2857142857143,294,18981,1.8571428571428572,2,297
2020-07-13,429.57142857142856,664,19645,1.8571428571428572,1,298
2020-07-14,432.42857142857144,242,19887,1.4285714285714286,1,299
2020-07-15,431,462,20349,2.142857142857143,5,304
2020-07-16,433.14285714285717,468,20817,1.7142857142857142,1,305
2020-07-17,440.7142857142857,571,21388,1.8571428571428572,1,306
2020-07-18,429.42857142857144,305,21693,1.8571428571428572,2,308
2020-07-19,430.7142857142857,303,21996,1.7142857142857142,1,309
2020-07-20,430.14285714285717,660,22656,2,3,312
2020-07-21,434.57142857142856,273,22929,2.4285714285714284,4,316
2020-07-22,447.2857142857143,551,23480,2.4285714285714284,5,321
2020-07-23,448.2857142857143,475,23955,2.4285714285714284,1,322
2020-07-24,452.14285714285717,598,24553,3.4285714285714284,8,330
2020-07-25,473.57142857142856,455,25008,3,-1,329
2020-07-26,470.42857142857144,281,25289,3.142857142857143,2,331
2020-07-27,449.85714285714283,516,25805,3.2857142857142856,4,335
2020-07-28,446.57142857142856,250,26055,3.4285714285714284,5,340
2020-07-29,444,533,26588,4,9,349
2020-07-30,418,293,26881,5,8,357
2020-07-31,401.2857142857143,481,27362,4,1,358
2020-08-01,368.85714285714283,228,27590,4.142857142857143,0,358
2020-08-02,368.57142857142856,279,27869,4.285714285714286,3,361
2020-08-03,375.2857142857143,563,28432,4.571428571428571,6,367
2020-08-04,389.57142857142856,350,28782,4,1,368
2020-08-05,380.42857142857144,469,29251,3.2857142857142856,4,372
2020-08-06,390.14285714285717,361,29612,3,6,378
2020-08-07,395.7142857142857,520,30132,3.142857142857143,2,380
2020-08-08,407.85714285714283,313,30445,3.142857142857143,0,380
2020-08-09,396.42857142857144,199,30644,2.7142857142857144,0,380
2020-08-10,391,525,31169,2.857142857142857,7,387
2020-08-11,381.7142857142857,285,31454,3.5714285714285716,6,393
2020-08-12,405,632,32086,3.5714285714285716,4,397
2020-08-13,407.14285714285717,376,32462,3.5714285714285716,6,403
2020-08-14,411.85714285714283,553,33015,3.4285714285714284,1,404
2020-08-15,491.42857142857144,870,33885,3.7142857142857144,2,406
