,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0.14285714285714285,1,1,0,0,0
2020-03-07,0.14285714285714285,0,1,0,0,0
2020-03-08,0.14285714285714285,0,1,0,0,0
2020-03-09,0.5714285714285714,3,4,0,0,0
2020-03-10,0.7142857142857143,1,5,0,0,0
2020-03-11,1.1428571428571428,3,8,0,0,0
2020-03-12,1.4285714285714286,2,10,0,0,0
2020-03-13,1.8571428571428572,4,14,0,0,0
2020-03-14,2.142857142857143,2,16,0,0,0
2020-03-15,2.4285714285714284,2,18,0,0,0
2020-03-16,2.4285714285714284,3,21,0.14285714285714285,1,1
2020-03-17,3,5,26,0.14285714285714285,0,1
2020-03-18,2.857142857142857,2,28,0.14285714285714285,0,1
2020-03-19,5.714285714285714,22,50,0.2857142857142857,1,2
2020-03-20,7.142857142857143,14,64,0.2857142857142857,0,2
2020-03-21,10.142857142857142,23,87,0.42857142857142855,1,3
2020-03-22,12.142857142857142,16,103,0.42857142857142855,0,3
2020-03-23,14.571428571428571,20,123,0.42857142857142855,1,4
2020-03-24,19.428571428571427,39,162,0.42857142857142855,0,4
2020-03-25,24.142857142857142,35,197,0.5714285714285714,1,5
2020-03-26,28.142857142857142,50,247,0.42857142857142855,0,5
2020-03-27,33.857142857142854,54,301,0.7142857142857143,2,7
2020-03-28,41.857142857142854,79,380,0.8571428571428571,2,9
2020-03-29,47.857142857142854,58,438,0.8571428571428571,0,9
2020-03-30,50.857142857142854,41,479,1,2,11
2020-03-31,66.57142857142857,149,628,1,0,11
2020-04-01,62.142857142857146,4,632,1.8571428571428572,7,18
2020-04-02,74.71428571428571,138,770,3.7142857142857144,13,31
2020-04-03,67,0,770,3.857142857142857,3,34
2020-04-04,76.71428571428571,147,917,4.428571428571429,6,40
2020-04-05,73.85714285714286,38,955,5.142857142857143,5,45
2020-04-06,68,0,955,4.857142857142857,0,45
2020-04-07,74.42857142857143,194,1149,7.714285714285714,20,65
2020-04-08,73.85714285714286,0,1149,6.714285714285714,0,65
2020-04-09,81.57142857142857,192,1341,6,8,73
2020-04-10,131.85714285714286,352,1693,8,17,90
2020-04-11,110.85714285714286,0,1693,7.142857142857143,0,90
2020-04-12,144,270,1963,7.428571428571429,7,97
2020-04-13,151.85714285714286,55,2018,9.714285714285714,16,113
2020-04-14,128.42857142857142,30,2048,5.857142857142857,-7,106
2020-04-15,151.57142857142858,162,2210,7.142857142857143,9,115
2020-04-16,156.28571428571428,225,2435,8,14,129
2020-04-17,118.42857142857143,87,2522,6.714285714285714,8,137
2020-04-18,144.85714285714286,185,2707,7.714285714285714,7,144
2020-04-19,142.42857142857142,253,2960,7,2,146
2020-04-20,147.42857142857142,90,3050,5.857142857142857,8,154
2020-04-21,165.14285714285714,154,3204,9.285714285714286,17,171
2020-04-22,166.85714285714286,174,3378,10,14,185
2020-04-23,149.14285714285714,101,3479,8.857142857142858,6,191
2020-04-24,179.57142857142858,300,3779,9,9,200
2020-04-25,172.57142857142858,136,3915,8.714285714285714,5,205
2020-04-26,160.71428571428572,170,4085,8.857142857142858,3,208
2020-04-27,158,71,4156,8.428571428571429,5,213
2020-04-28,167.28571428571428,219,4375,7.714285714285714,12,225
2020-04-29,165.57142857142858,162,4537,7,9,234
2020-04-30,175.57142857142858,171,4708,7,6,240
2020-05-01,157.57142857142858,174,4882,6.571428571428571,6,246
2020-05-02,137.71428571428572,-3,4879,6.142857142857143,2,248
2020-05-03,149.28571428571428,251,5130,6.428571428571429,5,253
2020-05-04,155.57142857142858,115,5245,6.857142857142857,8,261
2020-05-05,206.71428571428572,577,5822,7.142857142857143,14,275
2020-05-06,199.57142857142858,112,5934,7,8,283
2020-05-07,203,195,6129,7.714285714285714,11,294
2020-05-08,200.85714285714286,159,6288,7.428571428571429,4,298
2020-05-09,223,152,6440,8,6,304
2020-05-10,187.14285714285714,0,6440,7.285714285714286,0,304
2020-05-11,204.57142857142858,237,6677,7.142857142857143,7,311
2020-05-12,147.28571428571428,176,6853,6.571428571428571,10,321
2020-05-13,131.28571428571428,0,6853,5.428571428571429,0,321
2020-05-14,156.57142857142858,372,7225,4.857142857142857,7,328
2020-05-15,165.14285714285714,219,7444,4.857142857142857,4,332
2020-05-16,178.28571428571428,244,7688,4.285714285714286,2,334
2020-05-17,178.28571428571428,0,7688,4.285714285714286,0,334
2020-05-18,179.71428571428572,247,7935,5,12,346
2020-05-19,173.71428571428572,134,8069,6.428571428571429,20,366
2020-05-20,187.71428571428572,98,8167,7.857142857142857,10,376
2020-05-21,151.57142857142858,119,8286,8.285714285714286,10,386
2020-05-22,140.28571428571428,140,8426,8.428571428571429,5,391
2020-05-23,126.14285714285714,145,8571,8.142857142857142,0,391
2020-05-24,126.14285714285714,0,8571,8.142857142857142,0,391
2020-05-25,90.85714285714286,0,8571,6.428571428571429,0,391
2020-05-26,126,380,8951,4,3,394
2020-05-27,130,126,9077,3.4285714285714284,6,400
2020-05-28,128.42857142857142,108,9185,3.2857142857142856,9,409
2020-05-29,148.28571428571428,279,9464,3.857142857142857,9,418
2020-05-30,161.85714285714286,240,9704,5.714285714285714,13,431
2020-05-31,161.85714285714286,0,9704,5.714285714285714,0,431
2020-06-01,210.71428571428572,342,10046,6.857142857142857,8,439
2020-06-02,176.28571428571428,139,10185,6.857142857142857,3,442
2020-06-03,190.42857142857142,225,10410,7.142857142857143,8,450
2020-06-04,217.14285714285714,295,10705,7,8,458
2020-06-05,216.14285714285714,272,10977,6.857142857142857,8,466
2020-06-06,226.14285714285714,310,11287,5.571428571428571,4,470
2020-06-07,226.14285714285714,0,11287,5.571428571428571,0,470
2020-06-08,204.28571428571428,189,11476,4.714285714285714,2,472
2020-06-09,217.42857142857142,231,11707,5,5,477
2020-06-10,210.42857142857142,176,11883,4.857142857142857,7,484
2020-06-11,177.14285714285714,62,11945,5,9,493
2020-06-12,169.85714285714286,221,12166,4.428571428571429,4,497
2020-06-13,165.42857142857142,279,12445,4.142857142857143,2,499
2020-06-14,165.42857142857142,0,12445,4.142857142857143,0,499
2020-06-15,167.28571428571428,202,12647,4.714285714285714,6,505
2020-06-16,134.28571428571428,0,12647,4,0,505
2020-06-17,158.85714285714286,348,12995,4.857142857142857,13,518
2020-06-18,178.85714285714286,202,13197,3.857142857142857,2,520
2020-06-19,184,257,13454,3.5714285714285716,2,522
2020-06-20,169.28571428571428,176,13630,3.5714285714285716,2,524
2020-06-21,186.42857142857142,120,13750,3.857142857142857,2,526
2020-06-22,170.28571428571428,89,13839,3,0,526
2020-06-23,213.42857142857142,302,14141,4.571428571428571,11,537
2020-06-24,195.42857142857142,222,14363,2.857142857142857,1,538
2020-06-25,202.85714285714286,254,14617,3.7142857142857144,8,546
2020-06-26,200.71428571428572,242,14859,4.428571428571429,7,553
2020-06-27,219.57142857142858,308,15167,4.285714285714286,1,554
2020-06-28,211.71428571428572,65,15232,4.571428571428571,4,558
2020-06-29,215.42857142857142,115,15347,4.857142857142857,2,560
2020-06-30,211.85714285714286,277,15624,4,5,565
2020-07-01,211.28571428571428,218,15842,4.857142857142857,7,572
2020-07-02,208.85714285714286,237,16079,5,9,581
2020-07-03,216.71428571428572,297,16376,4.571428571428571,4,585
2020-07-04,172.71428571428572,0,16376,4.428571428571429,0,585
2020-07-05,163.42857142857142,0,16376,3.857142857142857,0,585
2020-07-06,257.85714285714283,776,17152,4.714285714285714,8,593
2020-07-07,270.7142857142857,367,17519,5.285714285714286,9,602
2020-07-08,296.7142857142857,400,17919,5.142857142857143,6,608
2020-07-09,309.42857142857144,326,18245,4.428571428571429,4,612
2020-07-10,328,427,18672,5,8,620
2020-07-11,392.14285714285717,449,19121,5.285714285714286,2,622
2020-07-12,430.42857142857144,268,19389,5.714285714285714,3,625
2020-07-13,357.2857142857143,264,19653,5.142857142857143,4,629
2020-07-14,386.2857142857143,570,20223,4.714285714285714,6,635
2020-07-15,394,454,20677,5.285714285714286,10,645
2020-07-16,405.42857142857144,406,21083,5.428571428571429,5,650
2020-07-17,419,522,21605,5.428571428571429,8,658
2020-07-18,437.57142857142856,579,22184,6.428571428571429,9,667
2020-07-19,538.8571428571429,977,23161,6.428571428571429,3,670
2020-07-20,537.2857142857143,253,23414,6,1,671
2020-07-21,548.1428571428571,646,24060,5.571428571428571,3,674
2020-07-22,551.8571428571429,480,24540,4.571428571428571,3,677
2020-07-23,580.5714285714286,607,25147,4.857142857142857,7,684
2020-07-24,618.1428571428571,785,25932,4.714285714285714,7,691
2020-07-25,654.2857142857143,832,26764,4.142857142857143,5,696
2020-07-26,560.1428571428571,318,27082,4.285714285714286,4,700
2020-07-27,596,504,27586,5.428571428571429,9,709
2020-07-28,578.7142857142857,525,28111,6.428571428571429,10,719
2020-07-29,598.1428571428571,616,28727,6.714285714285714,5,724
2020-07-30,605.5714285714286,659,29386,6.714285714285714,7,731
2020-07-31,602.7142857142857,765,30151,6.285714285714286,4,735
2020-08-01,565.5714285714286,572,30723,6.285714285714286,5,740
2020-08-02,586.1428571428571,462,31185,6,2,742
2020-08-03,560.2857142857143,323,31508,5,2,744
2020-08-04,583.7142857142857,689,32197,4.571428571428571,7,751
2020-08-05,573.4285714285714,544,32741,4,1,752
2020-08-06,552.5714285714286,513,33254,4.142857142857143,8,760
2020-08-07,520.7142857142857,542,33796,4.142857142857143,4,764
2020-08-08,550.7142857142857,782,34578,4.571428571428571,8,772
2020-08-09,542.4285714285714,404,34982,4.428571428571429,1,773
2020-08-10,535.1428571428571,272,35254,4.428571428571429,2,775
2020-08-11,513.7142857142857,539,35793,4.571428571428571,8,783
2020-08-12,600.5714285714286,1152,36945,5.428571428571429,7,790
2020-08-13,633.1428571428571,741,37686,5.142857142857143,6,796
2020-08-14,643.1428571428571,612,38298,5.714285714285714,8,804
2020-08-15,621.7142857142857,632,38930,5.428571428571429,6,810
2020-08-16,564,0,38930,5.285714285714286,0,810
