,inpatient_beds_used_covid,7_day_avg
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-04,,
2020-01-05,,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.14285714285714285
2020-03-07,0.0,0.42857142857142855
2020-03-08,0.0,2.0
2020-03-09,1.0,4.0
2020-03-10,2.0,7.0
2020-03-11,11.0,10.857142857142858
2020-03-12,14.0,15.142857142857142
2020-03-13,21.0,19.428571428571427
2020-03-14,27.0,24.571428571428573
2020-03-15,30.0,28.285714285714285
2020-03-16,31.0,42.714285714285715
2020-03-17,38.0,56.714285714285715
2020-03-18,37.0,71.57142857142857
2020-03-19,115.0,86.0
2020-03-20,119.0,112.28571428571429
2020-03-21,131.0,141.57142857142858
2020-03-22,131.0,171.85714285714286
2020-03-23,215.0,191.85714285714286
2020-03-24,243.0,212.42857142857142
2020-03-25,249.0,238.28571428571428
2020-03-26,255.0,268.14285714285717
2020-03-27,263.0,309.2857142857143
2020-03-28,312.0,385.42857142857144
2020-03-29,340.0,471.0
2020-03-30,503.0,568.8571428571429
2020-03-31,776.0,773.4285714285714
2020-04-01,848.0,965.4285714285714
2020-04-02,940.0,1155.142857142857
2020-04-03,1695.0,1497.0
2020-04-04,1656.0,1787.2857142857142
2020-04-05,1668.0,2086.8571428571427
2020-04-06,2896.0,2359.0
2020-04-07,2808.0,2505.8571428571427
2020-04-08,2945.0,2642.4285714285716
2020-04-09,2845.0,2763.1428571428573
2020-04-10,2723.0,2714.4285714285716
2020-04-11,2612.0,2668.714285714286
2020-04-12,2513.0,2595.8571428571427
2020-04-13,2555.0,2510.714285714286
2020-04-14,2488.0,2441.1428571428573
2020-04-15,2435.0,2372.5714285714284
2020-04-16,2249.0,2309.285714285714
2020-04-17,2236.0,2247.0
2020-04-18,2132.0,2186.8571428571427
2020-04-19,2070.0,2011.142857142857
2020-04-20,2119.0,1953.4285714285713
2020-04-21,2067.0,1888.5714285714287
2020-04-22,1205.0,1837.0
2020-04-23,1845.0,1788.5714285714287
2020-04-24,1782.0,1733.142857142857
