,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0.14285714285714285,1,1,0,0,0
2020-03-13,0.42857142857142855,2,3,0,0,0
2020-03-14,0.42857142857142855,0,3,0,0,0
2020-03-15,0.2857142857142857,-1,2,0,0,0
2020-03-16,2.4285714285714284,15,17,0,0,0
2020-03-17,3.7142857142857144,9,26,0,0,0
2020-03-18,5,9,35,0,0,0
2020-03-19,7.285714285714286,17,52,0,0,0
2020-03-20,7.571428571428571,4,56,0,0,0
2020-03-21,9.571428571428571,14,70,0,0,0
2020-03-22,12.428571428571429,19,89,0,0,0
2020-03-23,12.857142857142858,18,107,0,0,0
2020-03-24,13.142857142857142,11,118,0,0,0
2020-03-25,15.285714285714286,24,142,0,0,0
2020-03-26,14.714285714285714,13,155,0,0,0
2020-03-27,16,13,168,0.14285714285714285,1,1
2020-03-28,20.142857142857142,43,211,0.14285714285714285,0,1
2020-03-29,23.428571428571427,42,253,0.42857142857142855,2,3
2020-03-30,24,22,275,0.42857142857142855,0,3
2020-03-31,26.428571428571427,28,303,0.7142857142857143,2,5
2020-04-01,23,0,303,0.7142857142857143,0,5
2020-04-02,31.571428571428573,73,376,1,2,7
2020-04-03,37.714285714285715,56,432,1.1428571428571428,2,9
2020-04-04,35,24,456,1.2857142857142858,1,10
2020-04-05,31,14,470,1,0,10
2020-04-06,32,29,499,1,0,10
2020-04-07,30.857142857142858,20,519,1,2,12
2020-04-08,33.42857142857143,18,537,1.2857142857142858,2,14
2020-04-09,26.285714285714285,23,560,1.2857142857142858,2,16
2020-04-10,22,26,586,1.1428571428571428,1,17
2020-04-11,22.857142857142858,30,616,1.2857142857142858,2,19
2020-04-12,23.285714285714285,17,633,1.2857142857142858,0,19
2020-04-13,28.428571428571427,65,698,1.2857142857142858,0,19
2020-04-14,30.857142857142858,37,735,1.1428571428571428,1,20
2020-04-15,33.285714285714285,35,770,1.4285714285714286,4,24
2020-04-16,33.714285714285715,26,796,1.5714285714285714,3,27
2020-04-17,34.42857142857143,31,827,1.7142857142857142,2,29
2020-04-18,33,20,847,1.8571428571428572,3,32
2020-04-19,33.42857142857143,20,867,2.142857142857143,2,34
2020-04-20,25.285714285714285,8,875,2.2857142857142856,1,35
2020-04-21,21.857142857142858,13,888,2.2857142857142856,1,36
2020-04-22,19.571428571428573,19,907,2.142857142857143,3,39
2020-04-23,20.142857142857142,30,937,2.4285714285714284,5,44
2020-04-24,19.714285714285715,28,965,2.5714285714285716,3,47
2020-04-25,16.857142857142858,0,965,2.142857142857143,0,47
2020-04-26,21.142857142857142,50,1015,2.2857142857142856,3,50
2020-04-27,21.142857142857142,8,1023,2.2857142857142856,1,51
2020-04-28,21.714285714285715,17,1040,2.142857142857143,0,51
2020-04-29,21.285714285714285,16,1056,1.8571428571428572,1,52
2020-04-30,22.571428571428573,39,1095,1.2857142857142858,1,53
2020-05-01,22.571428571428573,28,1123,1.1428571428571428,2,55
2020-05-02,26.857142857142858,30,1153,1.2857142857142858,1,56
2020-05-03,24.285714285714285,32,1185,1,1,57
2020-05-04,26,20,1205,0.8571428571428571,0,57
2020-05-05,26.571428571428573,21,1226,1.4285714285714286,4,61
2020-05-06,28.285714285714285,28,1254,1.4285714285714286,1,62
2020-05-07,33.57142857142857,76,1330,1.2857142857142858,0,62
2020-05-08,35.857142857142854,44,1374,1.1428571428571428,1,63
2020-05-09,36.42857142857143,34,1408,1.1428571428571428,1,64
2020-05-10,35.857142857142854,28,1436,1,0,64
2020-05-11,36.714285714285715,26,1462,1.1428571428571428,1,65
2020-05-12,35.857142857142854,15,1477,0.5714285714285714,0,65
2020-05-13,37.285714285714285,38,1515,0.5714285714285714,1,66
2020-05-14,33.57142857142857,50,1565,1,3,69
2020-05-15,32.714285714285715,38,1603,0.8571428571428571,0,69
2020-05-16,34.285714285714285,45,1648,0.8571428571428571,1,70
2020-05-17,35.857142857142854,39,1687,0.8571428571428571,0,70
2020-05-18,35.857142857142854,26,1713,0.8571428571428571,1,71
2020-05-19,37.714285714285715,28,1741,1.1428571428571428,2,73
2020-05-20,43.42857142857143,78,1819,1,0,73
2020-05-21,44.57142857142857,58,1877,0.5714285714285714,0,73
2020-05-22,49.285714285714285,71,1948,0.8571428571428571,2,75
2020-05-23,52.142857142857146,65,2013,1,2,77
2020-05-24,52.57142857142857,42,2055,1.1428571428571428,1,78
2020-05-25,51.57142857142857,19,2074,1,0,78
2020-05-26,52.57142857142857,35,2109,0.8571428571428571,1,79
2020-05-27,45.42857142857143,28,2137,1.1428571428571428,2,81
2020-05-28,44.57142857142857,52,2189,1.5714285714285714,3,84
2020-05-29,39.714285714285715,37,2226,1.4285714285714286,1,85
2020-05-30,38.42857142857143,56,2282,1.7142857142857142,4,89
2020-05-31,38.57142857142857,43,2325,1.5714285714285714,0,89
2020-06-01,39.285714285714285,24,2349,1.5714285714285714,0,89
2020-06-02,38.285714285714285,28,2377,2.142857142857143,5,94
2020-06-03,40.142857142857146,41,2418,2,1,95
2020-06-04,36.714285714285715,28,2446,1.5714285714285714,0,95
2020-06-05,36.57142857142857,36,2482,1.8571428571428572,3,98
2020-06-06,34.57142857142857,42,2524,1.2857142857142858,0,98
2020-06-07,35,46,2570,1.4285714285714286,1,99
2020-06-08,34.142857142857146,18,2588,1.4285714285714286,0,99
2020-06-09,32.714285714285715,18,2606,0.8571428571428571,1,100
2020-06-10,31.285714285714285,31,2637,0.7142857142857143,0,100
2020-06-11,31.571428571428573,30,2667,0.7142857142857143,0,100
2020-06-12,34.142857142857146,54,2721,0.2857142857142857,0,100
2020-06-13,33.285714285714285,36,2757,0.2857142857142857,0,100
2020-06-14,31.857142857142858,36,2793,0.14285714285714285,0,100
2020-06-15,31.714285714285715,17,2810,0.2857142857142857,1,101
2020-06-16,30.428571428571427,9,2819,0.14285714285714285,0,101
2020-06-17,28.428571428571427,17,2836,0.2857142857142857,1,102
2020-06-18,30.142857142857142,42,2878,0.2857142857142857,0,102
2020-06-19,27.428571428571427,35,2913,0.2857142857142857,0,102
2020-06-20,25.857142857142858,25,2938,0.2857142857142857,0,102
2020-06-21,23.428571428571427,19,2957,0.2857142857142857,0,102
2020-06-22,23,14,2971,0.14285714285714285,0,102
2020-06-23,25.285714285714285,25,2996,0.14285714285714285,0,102
2020-06-24,25.857142857142858,21,3017,0.14285714285714285,1,103
2020-06-25,27.428571428571427,53,3070,0.14285714285714285,0,103
2020-06-26,27,32,3102,0.14285714285714285,0,103
2020-06-27,30.857142857142858,52,3154,0.2857142857142857,1,104
2020-06-28,33.42857142857143,37,3191,0.2857142857142857,0,104
2020-06-29,35.42857142857143,28,3219,0.42857142857142855,1,105
2020-06-30,36.714285714285715,34,3253,0.42857142857142855,0,105
2020-07-01,39.57142857142857,41,3294,0.2857142857142857,0,105
2020-07-02,36.857142857142854,34,3328,0.2857142857142857,0,105
2020-07-03,38.714285714285715,45,3373,0.2857142857142857,0,105
2020-07-04,34.714285714285715,24,3397,0.42857142857142855,2,107
2020-07-05,32,18,3415,0.7142857142857143,2,109
2020-07-06,29.142857142857142,8,3423,0.5714285714285714,0,109
2020-07-07,26.714285714285715,17,3440,0.7142857142857143,1,110
2020-07-08,23.714285714285715,20,3460,0.7142857142857143,0,110
2020-07-09,22.571428571428573,26,3486,0.8571428571428571,1,111
2020-07-10,18,13,3499,0.8571428571428571,0,111
2020-07-11,17.571428571428573,21,3520,0.7142857142857143,1,112
2020-07-12,17.714285714285715,19,3539,0.7142857142857143,2,114
2020-07-13,19.285714285714285,19,3558,0.7142857142857143,0,114
2020-07-14,18,8,3566,0.5714285714285714,0,114
2020-07-15,16.857142857142858,12,3578,0.5714285714285714,0,114
2020-07-16,16,20,3598,0.42857142857142855,0,114
2020-07-17,19.571428571428573,38,3636,0.5714285714285714,1,115
2020-07-18,17.857142857142858,9,3645,0.7142857142857143,2,117
2020-07-19,21.142857142857142,42,3687,0.42857142857142855,0,117
2020-07-20,21.857142857142858,24,3711,0.42857142857142855,0,117
2020-07-21,22.428571428571427,12,3723,0.5714285714285714,1,118
2020-07-22,20.571428571428573,-1,3722,0.5714285714285714,0,118
2020-07-23,19.857142857142858,15,3737,0.5714285714285714,0,118
2020-07-24,17.285714285714285,20,3757,0.42857142857142855,0,118
2020-07-25,20.714285714285715,33,3790,0.2857142857142857,1,119
2020-07-26,18.142857142857142,24,3814,0.2857142857142857,0,119
2020-07-27,17.285714285714285,18,3832,0.2857142857142857,0,119
2020-07-28,16.428571428571427,6,3838,0.42857142857142855,2,121
2020-07-29,20.571428571428573,28,3866,0.42857142857142855,0,121
2020-07-30,21.571428571428573,22,3888,0.5714285714285714,1,122
2020-07-31,22.142857142857142,24,3912,0.7142857142857143,1,123
2020-08-01,21,25,3937,0.5714285714285714,0,123
2020-08-02,20.571428571428573,21,3958,0.5714285714285714,0,123
2020-08-03,19.714285714285715,12,3970,0.7142857142857143,1,124
2020-08-04,19.857142857142858,7,3977,0.2857142857142857,-1,123
2020-08-05,18.285714285714285,17,3994,0.42857142857142855,1,124
2020-08-06,15.857142857142858,5,3999,0.2857142857142857,0,124
2020-08-07,14.857142857142858,17,4016,0.14285714285714285,0,124
2020-08-08,13,12,4028,0.2857142857142857,1,125
2020-08-09,12.285714285714286,16,4044,0.2857142857142857,0,125
2020-08-10,11.571428571428571,7,4051,0.14285714285714285,0,125
2020-08-11,10.714285714285714,1,4052,0.42857142857142855,1,126
2020-08-12,10.857142857142858,18,4070,0.2857142857142857,0,126
2020-08-13,12.857142857142858,19,4089,0.2857142857142857,0,126
2020-08-14,14.285714285714286,27,4116,0.2857142857142857,0,126
2020-08-15,16.571428571428573,28,4144,0.2857142857142857,1,127
