,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.42857142857142855
2020-03-04,0.0,0.42857142857142855
2020-03-05,0.0,0.7142857142857143
2020-03-06,3.0,0.7142857142857143
2020-03-07,0.0,1.1428571428571428
2020-03-08,2.0,1.2857142857142858
2020-03-09,0.0,1.7142857142857142
2020-03-10,3.0,2.142857142857143
2020-03-11,1.0,3.4285714285714284
2020-03-12,3.0,2.7142857142857144
2020-03-13,6.0,5.285714285714286
2020-03-14,9.0,7.428571428571429
2020-03-15,-3.0,10.857142857142858
2020-03-16,18.0,13.571428571428571
2020-03-17,18.0,18.714285714285715
2020-03-18,25.0,23.714285714285715
2020-03-19,22.0,31.428571428571427
2020-03-20,42.0,35.42857142857143
2020-03-21,44.0,41.285714285714285
2020-03-22,51.0,48.57142857142857
2020-03-23,46.0,68.0
2020-03-24,59.0,89.42857142857143
2020-03-25,76.0,114.57142857142857
2020-03-26,158.0,142.14285714285714
2020-03-27,192.0,160.42857142857142
