,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,0.0,0.0
2020-03-18,0.0,0.0
2020-03-19,0.0,0.0
2020-03-20,0.0,0.0
2020-03-21,0.0,0.0
2020-03-22,0.0,0.0
2020-03-23,0.0,0.0
2020-03-24,0.0,19.142857142857142
2020-03-25,0.0,45.42857142857143
2020-03-26,0.0,73.28571428571429
2020-03-27,134.0,113.71428571428571
2020-03-28,184.0,156.57142857142858
2020-03-29,195.0,211.71428571428572
2020-03-30,283.0,270.14285714285717
2020-03-31,300.0,302.0
2020-04-01,386.0,331.7142857142857
2020-04-02,409.0,360.57142857142856
2020-04-03,357.0,378.14285714285717
2020-04-04,392.0,396.57142857142856
2020-04-05,397.0,406.42857142857144
2020-04-06,406.0,414.14285714285717
2020-04-07,429.0,429.42857142857144
2020-04-08,455.0,441.0
2020-04-09,463.0,459.2857142857143
2020-04-10,464.0,475.85714285714283
2020-04-11,473.0,491.57142857142856
2020-04-12,525.0,511.2857142857143
2020-04-13,522.0,526.7142857142857
2020-04-14,539.0,534.4285714285714
2020-04-15,593.0,549.4285714285714
2020-04-16,571.0,556.5714285714286
2020-04-17,518.0,737.2857142857143
2020-04-18,578.0,909.4285714285714
2020-04-19,575.0,895.8571428571429
2020-04-20,1787.0,1069.4285714285713
2020-04-21,1744.0,1056.7142857142858
2020-04-22,498.0,1247.0
2020-04-23,1786.0,1441.0
2020-04-24,429.0,1464.0
2020-04-25,1910.0,1523.0
2020-04-26,1933.0,1761.142857142857
2020-04-27,1948.0,1792.5714285714287
2020-04-28,2157.0,2027.7142857142858
2020-04-29,2165.0,2048.714285714286
2020-04-30,2006.0,2065.8571428571427
2020-05-01,2075.0,2091.714285714286
2020-05-02,2057.0,2089.714285714286
2020-05-03,2053.0,2088.5714285714284
2020-05-04,2129.0,2106.5714285714284
2020-05-05,2143.0,2110.4285714285716
2020-05-06,2157.0,2113.5714285714284
2020-05-07,2132.0,2107.714285714286
2020-05-08,2102.0,2094.4285714285716
2020-05-09,2079.0,2085.1428571428573
2020-05-10,2012.0,2064.5714285714284
2020-05-11,2036.0,2046.7142857142858
2020-05-12,2078.0,2020.5714285714287
2020-05-13,2013.0,2009.0
2020-05-14,2007.0,2007.4285714285713
2020-05-15,1919.0,2004.2857142857142
2020-05-16,1998.0,1954.7142857142858
2020-05-17,2001.0,1936.857142857143
2020-05-18,2014.0,1905.142857142857
2020-05-19,1731.0,1885.7142857142858
2020-05-20,1888.0,1852.0
2020-05-21,1785.0,1788.0
2020-05-22,1783.0,1753.5714285714287
2020-05-23,1762.0,1757.4285714285713
2020-05-24,1553.0,1742.7142857142858
2020-05-25,1773.0,1731.2857142857142
2020-05-26,1758.0,1719.7142857142858
2020-05-27,1785.0,1680.857142857143
2020-05-28,1705.0,1672.142857142857
2020-05-29,1702.0,1632.4285714285713
2020-05-30,1490.0,1600.5714285714287
2020-05-31,1492.0,1559.7142857142858
2020-06-01,1495.0,1529.2857142857142
2020-06-02,1535.0,1496.5714285714287
2020-06-03,1499.0,1491.5714285714287
2020-06-04,1492.0,1480.7142857142858
2020-06-05,1473.0,1457.857142857143
2020-06-06,1455.0,1435.142857142857
2020-06-07,1416.0,1403.4285714285713
2020-06-08,1335.0,1361.7142857142858
2020-06-09,1376.0,1319.7142857142858
2020-06-10,1277.0,1271.0
2020-06-11,1200.0,1227.5714285714287
2020-06-12,1179.0,1198.142857142857
2020-06-13,1114.0,1164.0
2020-06-14,1112.0,1134.0
2020-06-15,1129.0,1109.4285714285713
2020-06-16,1137.0,1089.857142857143
2020-06-17,1067.0,1056.142857142857
2020-06-18,1028.0,1023.5714285714286
2020-06-19,1042.0,987.4285714285714
2020-06-20,878.0,950.1428571428571
2020-06-21,884.0,913.1428571428571
2020-06-22,876.0,882.2857142857143
2020-06-23,876.0,854.5714285714286
2020-06-24,808.0,848.0
2020-06-25,812.0,837.2857142857143
2020-06-26,848.0,827.8571428571429
2020-06-27,832.0,825.8571428571429
2020-06-28,809.0,830.5714285714286
2020-06-29,810.0,816.7142857142857
2020-06-30,862.0,797.8571428571429
2020-07-01,841.0,781.1428571428571
2020-07-02,715.0,766.1428571428571
2020-07-03,716.0,760.8571428571429
2020-07-04,715.0,748.5714285714286
2020-07-05,704.0,736.8571428571429
2020-07-06,773.0,737.5714285714286
2020-07-07,776.0,744.5714285714286
2020-07-08,759.0,749.7142857142857
2020-07-09,720.0,756.7142857142857
2020-07-10,765.0,673.5714285714286
2020-07-11,751.0,591.0
2020-07-12,753.0,612.4285714285714
2020-07-13,191.0,633.0
2020-07-14,198.0,650.4285714285714
2020-07-15,909.0,668.8571428571429
2020-07-16,864.0,686.7142857142857
2020-07-17,887.0,773.8571428571429
2020-07-18,880.0,865.5714285714286
2020-07-19,878.0,896.1428571428571
2020-07-20,801.0,921.0
2020-07-21,840.0,945.0
2020-07-22,1123.0,975.2857142857143
2020-07-23,1038.0,1008.5714285714286
2020-07-24,1055.0,1047.5714285714287
2020-07-25,1092.0,1092.5714285714287
2020-07-26,1111.0,1094.5714285714287
2020-07-27,1074.0,1107.7142857142858
2020-07-28,1155.0,1124.142857142857
2020-07-29,1137.0,1134.0
2020-07-30,1130.0,1137.5714285714287
2020-07-31,1170.0,1142.7142857142858
2020-08-01,1161.0,1134.7142857142858
2020-08-02,1136.0,1116.142857142857
2020-08-03,1110.0,1100.5714285714287
2020-08-04,1099.0,1077.5714285714287
2020-08-05,1007.0,1050.0
2020-08-06,1021.0,1020.0
2020-08-07,1009.0,994.2857142857143
2020-08-08,968.0,971.8571428571429
2020-08-09,926.0,964.2857142857143
2020-08-10,930.0,948.4285714285714
2020-08-11,942.0,923.2857142857143
2020-08-12,954.0,909.4285714285714
2020-08-13,910.0,901.8571428571429
2020-08-14,833.0,891.4285714285714
2020-08-15,871.0,878.0
2020-08-16,873.0,865.2857142857143
2020-08-17,857.0,859.2857142857143
2020-08-18,848.0,854.0
2020-08-19,865.0,842.4285714285714
2020-08-20,868.0,818.2857142857143
2020-08-21,796.0,803.1428571428571
2020-08-22,790.0,800.5714285714286
2020-08-23,704.0,791.1428571428571
2020-08-24,751.0,777.4285714285714
2020-08-25,830.0,775.5714285714286
2020-08-26,799.0,767.8571428571429
2020-08-27,772.0,775.2857142857143
2020-08-28,783.0,773.4285714285714
2020-08-29,736.0,772.7142857142857
2020-08-30,756.0,773.4285714285714
2020-08-31,738.0,779.4285714285714
2020-09-01,825.0,775.4285714285714
2020-09-02,804.0,773.5714285714286
2020-09-03,814.0,767.2857142857143
2020-09-04,755.0,771.2857142857143
2020-09-05,723.0,767.5714285714286
2020-09-06,712.0,765.5714285714286
2020-09-07,766.0,761.5714285714286
2020-09-08,799.0,760.5714285714286
2020-09-09,790.0,768.8571428571429
2020-09-10,786.0,773.0
2020-09-11,748.0,770.1428571428571
2020-09-12,781.0,789.8571428571429
2020-09-13,741.0,785.1428571428571
2020-09-14,746.0,781.7142857142857
2020-09-15,937.0,777.2857142857143
2020-09-16,757.0,755.2857142857143
2020-09-17,762.0,743.5714285714286
2020-09-18,717.0,729.2857142857143
2020-09-19,627.0,692.5714285714286
2020-09-20,659.0,681.1428571428571
2020-09-21,646.0,669.8571428571429
