,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0.14285714285714285,1,1,0,0,0
2020-01-30,0.14285714285714285,0,1,0,0,0
2020-01-31,0.14285714285714285,0,1,0,0,0
2020-02-01,0.14285714285714285,0,1,0,0,0
2020-02-02,0.14285714285714285,0,1,0,0,0
2020-02-03,0.14285714285714285,0,1,0,0,0
2020-02-04,0.14285714285714285,0,1,0,0,0
2020-02-05,0,0,1,0,0,0
2020-02-06,0.14285714285714285,1,2,0,0,0
2020-02-07,0.14285714285714285,0,2,0,0,0
2020-02-08,0.14285714285714285,0,2,0,0,0
2020-02-09,0.14285714285714285,0,2,0,0,0
2020-02-10,0.14285714285714285,0,2,0,0,0
2020-02-11,0.14285714285714285,0,2,0,0,0
2020-02-12,0.14285714285714285,0,2,0,0,0
2020-02-13,0,0,2,0,0,0
2020-02-14,0,0,2,0,0,0
2020-02-15,0,0,2,0,0,0
2020-02-16,0,0,2,0,0,0
2020-02-17,0,0,2,0,0,0
2020-02-18,0,0,2,0,0,0
2020-02-19,0,0,2,0,0,0
2020-02-20,0,0,2,0,0,0
2020-02-21,0,0,2,0,0,0
2020-02-22,0,0,2,0,0,0
2020-02-23,0,0,2,0,0,0
2020-02-24,0,0,2,0,0,0
2020-02-25,0,0,2,0,0,0
2020-02-26,0,0,2,0,0,0
2020-02-27,0,0,2,0,0,0
2020-02-28,0,0,2,0,0,0
2020-02-29,0,0,2,0,0,0
2020-03-01,0.14285714285714285,1,3,0,0,0
2020-03-02,0.14285714285714285,0,3,0,0,0
2020-03-03,0.2857142857142857,1,4,0,0,0
2020-03-04,0.5714285714285714,2,6,0,0,0
2020-03-05,1.7142857142857142,8,14,0,0,0
2020-03-06,3.7142857142857144,14,28,0,0,0
2020-03-07,10,44,72,0,0,0
2020-03-08,12.571428571428571,19,91,0,0,0
2020-03-09,13.285714285714286,5,96,0,0,0
2020-03-10,15.142857142857142,14,110,0,0,0
2020-03-11,18,22,132,0,0,0
2020-03-12,21,29,161,0,0,0
2020-03-13,27.714285714285715,61,222,0,0,0
2020-03-14,31.857142857142858,73,295,0,0,0
2020-03-15,38.857142857142854,68,363,0,0,0
2020-03-16,59.42857142857143,149,512,0,0,0
2020-03-17,92.85714285714286,248,760,0,0,0
2020-03-18,126.71428571428571,259,1019,0,0,0
2020-03-19,162.28571428571428,278,1297,0,0,0
2020-03-20,208.85714285714286,387,1684,0.14285714285714285,1,1
2020-03-21,244.42857142857142,322,2006,0.14285714285714285,0,1
2020-03-22,275.57142857142856,286,2292,0.7142857142857143,4,5
2020-03-23,341.14285714285717,608,2900,1.2857142857142858,4,9
2020-03-24,408.2857142857143,718,3618,1.5714285714285714,2,11
2020-03-25,478.14285714285717,748,4366,2.142857142857143,4,15
2020-03-26,572,935,5301,3.5714285714285716,10,25
2020-03-27,651.1428571428571,941,6242,4.857142857142857,10,35
2020-03-28,699,657,6899,6.142857142857143,9,44
2020-03-29,732.8571428571429,523,7422,6.142857142857143,4,48
2020-03-30,822.8571428571429,1238,8660,6.714285714285714,8,56
2020-03-31,900.8571428571429,1264,9924,11.142857142857142,33,89
2020-04-01,985.2857142857143,1339,11263,15.285714285714286,33,122
2020-04-02,1034.4285714285713,1279,12542,18.428571428571427,32,154
2020-04-03,1112.2857142857142,1486,14028,22.428571428571427,38,192
2020-04-04,1184.5714285714287,1163,15191,24.571428571428573,24,216
2020-04-05,1250,981,16172,26.142857142857142,15,231
2020-04-06,1349,1931,18103,29.142857142857142,29,260
2020-04-07,1457.5714285714287,2024,20127,38.142857142857146,96,356
2020-04-08,1532.4285714285713,1863,21990,44.42857142857143,77,433
2020-04-09,1633.5714285714287,1987,23977,49.857142857142854,70,503
2020-04-10,1715.5714285714287,2060,26037,58.142857142857146,96,599
2020-04-11,1735.2857142857142,1301,27338,67.14285714285714,87,686
2020-04-12,1728.4285714285713,933,28271,75,70,756
2020-04-13,1741.5714285714287,2023,30294,83.42857142857143,88,844
2020-04-14,1863.7142857142858,2879,33173,69.71428571428571,0,844
2020-04-15,1969.7142857142858,2605,35778,96.42857142857143,264,1108
2020-04-16,2027.5714285714287,2392,38170,86.42857142857143,0,1108
2020-04-17,2161.5714285714284,2998,41168,92.28571428571429,137,1245
2020-04-18,2188.4285714285716,1489,42657,102.57142857142857,159,1404
2020-04-19,2211.285714285714,1093,43750,135.71428571428572,302,1706
2020-04-20,2306.8571428571427,2692,46442,123.14285714285714,0,1706
2020-04-21,2209.1428571428573,2195,48637,159.57142857142858,255,1961
2020-04-22,2224.285714285714,2711,51348,153.42857142857142,221,2182
2020-04-23,2226.4285714285716,2407,53755,178.85714285714286,178,2360
2020-04-24,2124.4285714285716,2284,56039,187.28571428571428,196,2556
2020-04-25,2125.714285714286,1498,57537,189.42857142857142,174,2730
2020-04-26,2090.5714285714284,847,58384,170.42857142857142,169,2899
2020-04-27,2010.5714285714287,2132,60516,185.28571428571428,104,3003
2020-04-28,1998.2857142857142,2109,62625,170.28571428571428,150,3153
2020-04-29,1924,2191,64816,174.71428571428572,252,3405
2020-04-30,1873.142857142857,2051,66867,171.71428571428572,157,3562
2020-05-01,1844.857142857143,2086,68953,165.71428571428572,154,3716
2020-05-02,1778.142857142857,1031,69984,159.42857142857142,130,3846
2020-05-03,1762.7142857142858,739,70723,157.85714285714286,158,4004
2020-05-04,1727,1882,72605,155.28571428571428,86,4090
2020-05-05,1674,1738,74343,151.28571428571428,122,4212
2020-05-06,1604.5714285714287,1705,76048,145,208,4420
2020-05-07,1552.2857142857142,1685,77733,141.42857142857142,132,4552
2020-05-08,1462.4285714285713,1457,79190,140.85714285714286,150,4702
2020-05-09,1414,692,79882,142,138,4840
2020-05-10,1364.857142857143,395,80277,139.28571428571428,139,4979
2020-05-11,1283.2857142857142,1311,81588,145.42857142857142,129,5108
2020-05-12,1242.5714285714287,1453,83041,132.71428571428572,33,5141
2020-05-13,1187.142857142857,1317,84358,127.85714285714286,174,5315
2020-05-14,1134.4285714285713,1316,85674,132.85714285714286,167,5482
2020-05-15,1084.5714285714287,1108,86782,127.14285714285714,110,5592
2020-05-16,1078.7142857142858,651,87433,123.57142857142857,113,5705
2020-05-17,1075.4285714285713,372,87805,116.85714285714286,92,5797
2020-05-18,1076.7142857142858,1320,89125,107.71428571428571,65,5862
2020-05-19,1023,1077,90202,113.85714285714286,76,5938
2020-05-20,981.8571428571429,1029,91231,107.28571428571429,128,6066
2020-05-21,933.5714285714286,978,92209,95.14285714285714,82,6148
2020-05-22,901.4285714285714,883,93092,90.85714285714286,80,6228
2020-05-23,865.5714285714286,400,93492,85.57142857142857,76,6304
2020-05-24,857.5714285714286,316,93808,82.14285714285714,68,6372
2020-05-25,699.7142857142857,215,94023,79.14285714285714,44,6416
2020-05-26,672.1428571428571,884,94907,76.42857142857143,57,6473
2020-05-27,626.5714285714286,710,95617,68.71428571428571,74,6547
2020-05-28,579.8571428571429,651,96268,70.28571428571429,93,6640
2020-05-29,530.4285714285714,537,96805,70,78,6718
2020-05-30,514,285,97090,66.28571428571429,50,6768
2020-05-31,493.14285714285717,170,97260,67.71428571428571,78,6846
2020-06-01,535.8571428571429,514,97774,88.42857142857143,189,7035
2020-06-02,474.42857142857144,454,98228,87.42857142857143,50,7085
2020-06-03,440,469,98697,86.42857142857143,67,7152
2020-06-04,401.57142857142856,382,99079,80.14285714285714,49,7201
2020-06-05,373.42857142857144,340,99419,73.85714285714286,34,7235
2020-06-06,354.42857142857144,152,99571,74.42857142857143,54,7289
2020-06-07,352.14285714285717,154,99725,67.14285714285714,27,7316
2020-06-08,330.85714285714283,365,100090,45.42857142857143,37,7353
2020-06-09,316.14285714285717,351,100441,46.142857142857146,55,7408
2020-06-10,287.14285714285717,266,100707,43.142857142857146,46,7454
2020-06-11,266.7142857142857,239,100946,41.57142857142857,38,7492
2020-06-12,255.71428571428572,263,101209,43.285714285714285,46,7538
2020-06-13,249,105,101314,41,38,7576
2020-06-14,239,84,101398,44,48,7624
2020-06-15,221,239,101637,42,23,7647
2020-06-16,200.85714285714286,210,101847,36.714285714285715,18,7665
2020-06-17,199.85714285714286,259,102106,40,69,7734
2020-06-18,203,261,102367,39.714285714285715,36,7770
2020-06-19,191.14285714285714,180,102547,37.42857142857143,30,7800
2020-06-20,190,97,102644,36,28,7828
2020-06-21,189.85714285714286,83,102727,33.42857142857143,30,7858
2020-06-22,188.57142857142858,230,102957,32.42857142857143,16,7874
2020-06-23,186.57142857142858,196,103153,32.142857142857146,16,7890
2020-06-24,180.28571428571428,215,103368,29.142857142857142,48,7938
2020-06-25,173.57142857142858,214,103582,27.571428571428573,25,7963
2020-06-26,177.57142857142858,208,103790,30.428571428571427,50,8013
2020-06-27,184,142,103932,30.428571428571427,28,8041
2020-06-28,182.57142857142858,73,104005,28.857142857142858,19,8060
2020-06-29,179.42857142857142,208,104213,31.571428571428573,35,8095
2020-06-30,183.85714285714286,227,104440,23.428571428571427,-41,8054
2020-07-01,185.57142857142858,227,104667,20.428571428571427,27,8081
2020-07-02,188.42857142857142,234,104901,24.142857142857142,51,8132
2020-07-03,174.28571428571428,109,105010,19.428571428571427,17,8149
2020-07-04,163.57142857142858,67,105077,18.714285714285715,23,8172
2020-07-05,169.57142857142858,115,105192,17.571428571428573,11,8183
2020-07-06,175.57142857142858,250,105442,14.714285714285714,15,8198
2020-07-07,179.28571428571428,253,105695,22.714285714285715,15,8213
2020-07-08,179.85714285714286,231,105926,23.142857142857142,30,8243
2020-07-09,185.71428571428572,275,106201,19.428571428571427,25,8268
2020-07-10,205.28571428571428,246,106447,21,28,8296
2020-07-11,213.71428571428572,126,106573,19.714285714285715,14,8310
2020-07-12,211.85714285714286,102,106675,20.285714285714285,15,8325
2020-07-13,219.28571428571428,302,106977,18.857142857142858,5,8330
2020-07-14,217,237,107214,18.142857142857142,10,8340
2020-07-15,229.42857142857142,318,107532,17.857142857142858,28,8368
2020-07-16,225.28571428571428,246,107778,16,12,8380
2020-07-17,225.14285714285714,245,108023,15.142857142857142,22,8402
2020-07-18,226.42857142857142,135,108158,15.571428571428571,17,8419
2020-07-19,225.28571428571428,94,108252,15.142857142857142,12,8431
2020-07-20,224,293,108545,14.714285714285714,2,8433
2020-07-21,231.71428571428572,291,108836,15.714285714285714,17,8450
2020-07-22,227.71428571428572,290,109126,14.285714285714286,18,8468
2020-07-23,235.71428571428572,302,109428,14.857142857142858,16,8484
2020-07-24,241,282,109710,13.714285714285714,14,8498
2020-07-25,248,184,109894,13,12,8510
2020-07-26,255,143,110037,14,19,8529
2020-07-27,268.14285714285717,385,110422,14.714285714285714,7,8536
2020-07-28,277.42857142857144,356,110778,14.428571428571429,15,8551
2020-07-29,286.14285714285717,351,111129,16,29,8580
2020-07-30,293.57142857142856,354,111483,13.714285714285714,0,8580
2020-07-31,303.7142857142857,353,111836,15.857142857142858,29,8609
2020-08-01,299.14285714285717,152,111988,16.571428571428573,17,8626
2020-08-02,296,121,112109,15.571428571428571,12,8638
2020-08-03,295.42857142857144,381,112490,16,10,8648
2020-08-04,290.85714285714283,324,112814,15.142857142857142,9,8657
2020-08-05,290.2857142857143,347,113161,11.285714285714286,2,8659
2020-08-06,294.2857142857143,382,113543,15.857142857142858,32,8691
2020-08-07,290.2857142857143,325,113868,14.285714285714286,18,8709
