,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0.2857142857142857,2,2,0,0,0
2020-03-12,0.42857142857142855,1,3,0.14285714285714285,1,1
2020-03-13,3.4285714285714284,21,24,0.14285714285714285,0,1
2020-03-14,5.142857142857143,12,36,0.14285714285714285,0,1
2020-03-15,6.428571428571429,9,45,0.14285714285714285,0,1
2020-03-16,10.857142857142858,31,76,0.14285714285714285,0,1
2020-03-17,12.857142857142858,14,90,0.14285714285714285,0,1
2020-03-18,22.428571428571427,69,159,0.2857142857142857,1,2
2020-03-19,44.42857142857143,155,314,0.14285714285714285,0,2
2020-03-20,63.857142857142854,157,471,0.2857142857142857,1,3
2020-03-21,84.14285714285714,154,625,0.7142857142857143,3,6
2020-03-22,155.14285714285714,506,1131,1.5714285714285714,6,12
2020-03-23,196.85714285714286,323,1454,2.4285714285714284,6,18
2020-03-24,264.57142857142856,488,1942,4.285714285714286,13,31
2020-03-25,329.85714285714283,526,2468,7,20,51
2020-03-26,388.2857142857143,564,3032,9.857142857142858,20,71
2020-03-27,482.42857142857144,816,3848,14.857142857142858,36,107
2020-03-28,609.2857142857143,1042,4890,17.714285714285715,23,130
2020-03-29,660.2857142857143,863,5753,20.714285714285715,27,157
2020-03-30,764.1428571428571,1050,6803,27.857142857142858,56,213
2020-03-31,858.4285714285714,1148,7951,37.285714285714285,79,292
2020-04-01,1035.5714285714287,1766,9717,45.57142857142857,78,370
2020-04-02,1171.142857142857,1513,11230,54.57142857142857,83,453
2020-04-03,1339,1991,13221,58.714285714285715,65,518
2020-04-04,1406.4285714285713,1514,14735,65,67,585
2020-04-05,1502.142857142857,1533,16268,74,90,675
2020-04-06,1573.857142857143,1552,17820,82.85714285714286,118,793
2020-04-07,1670.4285714285713,1824,19644,89.28571428571429,124,917
2020-04-08,1622.7142857142858,1432,21076,95.28571428571429,120,1037
2020-04-09,1581,1221,22297,101.57142857142857,127,1164
2020-04-10,1436.857142857143,982,23279,121.85714285714286,207,1371
2020-04-11,1395,1221,24500,128.85714285714286,116,1487
2020-04-12,1273.5714285714287,683,25183,131,105,1592
2020-04-13,1257.4285714285713,1439,26622,133,132,1724
2020-04-14,1199.7142857142858,1420,28042,140.28571428571428,175,1899
2020-04-15,1152.5714285714287,1102,29144,145.57142857142858,157,2056
2020-04-16,1095.5714285714287,822,29966,138.85714285714286,80,2136
2020-04-17,1135.142857142857,1259,31225,143.42857142857142,239,2375
2020-04-18,1075.857142857143,806,32031,139,85,2460
2020-04-19,1072.142857142857,657,32688,137,91,2551
2020-04-20,957.4285714285714,636,33324,130.42857142857142,86,2637
2020-04-21,858,724,34048,121,109,2746
2020-04-22,894.2857142857143,1356,35404,133,241,2987
2020-04-23,982.7142857142857,1441,36845,145.85714285714286,170,3157
2020-04-24,1015,1485,38330,127.42857142857143,110,3267
2020-04-25,965.4285714285714,459,38789,125.57142857142857,72,3339
2020-04-26,978.8571428571429,751,39540,136.28571428571428,166,3505
2020-04-27,958.5714285714286,494,40034,137.28571428571428,93,3598
2020-04-28,1016.8571428571429,1132,41166,145.71428571428572,168,3766
2020-04-29,996.4285714285714,1213,42379,126,103,3869
2020-04-30,947.5714285714286,1099,43478,119.14285714285714,122,3991
2020-05-01,884.8571428571429,1046,44524,114.57142857142857,78,4069
2020-05-02,947.8571428571429,900,45424,126.42857142857143,155,4224
2020-05-03,929.5714285714286,623,46047,107.57142857142857,34,4258
2020-05-04,902,301,46348,106.71428571428571,87,4345
2020-05-05,821.1428571428571,566,46914,89.28571428571429,46,4391
2020-05-06,765.5714285714286,824,47738,85.14285714285714,74,4465
2020-05-07,704.8571428571429,674,48412,80.71428571428571,91,4556
2020-05-08,663.7142857142857,758,49170,77.85714285714286,58,4614
2020-05-09,607.4285714285714,506,49676,76.14285714285714,143,4757
2020-05-10,577,410,50086,75,26,4783
2020-05-11,611.8571428571429,545,50631,66.71428571428571,29,4812
2020-05-12,621.2857142857143,632,51263,73.28571428571429,92,4904
2020-05-13,583,556,51819,68.57142857142857,41,4945
2020-05-14,679.2857142857143,1348,53167,66.14285714285714,74,5019
2020-05-15,662.8571428571429,643,53810,63.42857142857143,39,5058
2020-05-16,662.7142857142857,505,54315,51,56,5114
2020-05-17,696.7142857142857,648,54963,48.714285714285715,10,5124
2020-05-18,746.2857142857143,892,55855,48,24,5148
2020-05-19,743.1428571428571,610,56465,49.42857142857143,102,5250
2020-05-20,786.1428571428571,857,57322,50.142857142857146,46,5296
2020-05-21,688.7142857142857,666,57988,49.57142857142857,70,5366
2020-05-22,676.1428571428571,555,58543,48.142857142857146,29,5395
2020-05-23,675.8571428571429,503,59046,49.42857142857143,65,5460
2020-05-24,633.1428571428571,349,59395,48.857142857142854,6,5466
2020-05-25,538,226,59621,47.285714285714285,13,5479
2020-05-26,501.2857142857143,353,59974,36.57142857142857,27,5506
2020-05-27,467.14285714285717,618,60592,39.714285714285715,68,5574
2020-05-28,446.85714285714283,524,61116,35.142857142857146,38,5612
2020-05-29,470,717,61833,35.857142857142854,34,5646
2020-05-30,454.14285714285717,392,62225,34.857142857142854,58,5704
2020-05-31,473.7142857142857,486,62711,37.857142857142854,27,5731
2020-06-01,472.42857142857144,217,62928,39.857142857142854,27,5758
2020-06-02,466.57142857142856,312,63240,41.285714285714285,37,5795
2020-06-03,437.85714285714283,417,63657,34.142857142857146,18,5813
2020-06-04,409,322,63979,32.42857142857143,26,5839
2020-06-05,426.85714285714283,842,64821,37.57142857142857,70,5909
2020-06-06,384.14285714285717,93,64914,30.285714285714285,7,5916
2020-06-07,322.57142857142856,55,64969,28,11,5927
2020-06-08,310.85714285714283,135,65104,26.285714285714285,15,5942
2020-06-09,275.2857142857143,63,65167,22.285714285714285,9,5951
2020-06-10,217.85714285714286,15,65182,19.857142857142858,1,5952
2020-06-11,210,267,65449,20.857142857142858,33,5985
2020-06-12,121.57142857142857,223,65672,11.571428571428571,5,5990
2020-06-13,131.71428571428572,164,65836,13.857142857142858,23,6013
2020-06-14,155,218,66054,12.714285714285714,3,6016
2020-06-15,140.14285714285714,31,66085,10.857142857142858,2,6018
2020-06-16,157.42857142857142,184,66269,11.857142857142858,16,6034
2020-06-17,187.85714285714286,228,66497,12,2,6036
2020-06-18,192.71428571428572,301,66798,10.857142857142858,25,6061
2020-06-19,203.57142857142858,299,67097,11,6,6067
2020-06-20,244.14285714285714,448,67545,10.571428571428571,20,6087
2020-06-21,236.71428571428572,166,67711,10.571428571428571,3,6090
2020-06-22,267.42857142857144,246,67957,11.285714285714286,7,6097
2020-06-23,275.42857142857144,240,68197,10.714285714285714,12,6109
2020-06-24,294,358,68555,11.142857142857142,5,6114
2020-06-25,313,434,68989,10.285714285714286,19,6133
2020-06-26,318.85714285714283,340,69329,9.571428571428571,1,6134
2020-06-27,304.85714285714283,350,69679,9.428571428571429,19,6153
2020-06-28,319.2857142857143,267,69946,9.571428571428571,4,6157
2020-06-29,323.7142857142857,277,70223,9.142857142857142,4,6161
2020-06-30,361.57142857142856,505,70728,12,32,6193
2020-07-01,362,361,71089,12,5,6198
2020-07-02,384.14285714285717,589,71678,11.285714285714286,14,6212
2020-07-03,406.57142857142856,497,72175,11.571428571428571,3,6215
2020-07-04,414.57142857142856,406,72581,9.285714285714286,3,6218
2020-07-05,427.85714285714283,360,72941,8.714285714285714,0,6218
2020-07-06,434.85714285714283,326,73267,8.571428571428571,3,6221
2020-07-07,453.14285714285717,633,73900,8.285714285714286,30,6251
2020-07-08,494.57142857142856,651,74551,9.142857142857142,11,6262
2020-07-09,483.57142857142856,512,75063,8.428571428571429,9,6271
2020-07-10,501.42857142857144,622,75685,10,14,6285
2020-07-11,541.2857142857143,685,76370,13.571428571428571,28,6313
2020-07-12,547.8571428571429,406,76776,13.714285714285714,1,6314
2020-07-13,561.5714285714286,422,77198,14.285714285714286,7,6321
2020-07-14,566.2857142857143,666,77864,10.714285714285714,5,6326
2020-07-15,623.1428571428571,1049,78913,9.714285714285714,4,6330
2020-07-16,682.2857142857143,926,79839,11,18,6348
2020-07-17,701.1428571428571,754,80593,10,7,6355
2020-07-18,709.7142857142857,745,81338,7.285714285714286,9,6364
2020-07-19,727.4285714285714,530,81868,7.428571428571429,2,6366
2020-07-20,742.4285714285714,527,82395,7.428571428571429,7,6373
2020-07-21,742.1428571428571,664,83059,8,9,6382
2020-07-22,688.1428571428571,671,83730,8.285714285714286,6,6388
2020-07-23,656,701,84431,6.714285714285714,7,6395
2020-07-24,639.8571428571429,641,85072,6.428571428571429,5,6400
2020-07-25,612,550,85622,5.142857142857143,0,6400
2020-07-26,684.7142857142857,1039,86661,4.857142857142857,0,6400
2020-07-27,682.5714285714286,512,87173,4.571428571428571,5,6405
2020-07-28,699.8571428571429,785,87958,5.571428571428571,16,6421
2020-07-29,749.1428571428571,1016,88974,4.857142857142857,1,6422
2020-07-30,764.2857142857143,807,89781,6.857142857142857,21,6443
2020-07-31,786,793,90574,7.142857142857143,7,6450
2020-08-01,815.7142857142857,758,91332,8.142857142857142,7,6457
2020-08-02,728.1428571428571,426,91758,8.142857142857142,0,6457
2020-08-03,743,616,92374,8.857142857142858,10,6467
2020-08-04,745.2857142857143,801,93175,7.142857142857143,4,6471
2020-08-05,702.7142857142857,718,93893,8,7,6478
2020-08-06,696.4285714285714,763,94656,9,28,6506
2020-08-07,699.4285714285714,814,95470,10.571428571428571,18,6524
2020-08-08,694.1428571428571,721,96191,9,-4,6520
2020-08-09,709.7142857142857,535,96726,8.857142857142858,-1,6519
2020-08-10,704.5714285714286,580,97306,8.428571428571429,7,6526
2020-08-11,719.7142857142857,907,98213,8.857142857142858,7,6533
2020-08-12,685.1428571428571,476,98689,8.714285714285714,6,6539
