,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,48.857142857142854
2020-12-14,0.0,155.28571428571428
2020-12-15,0.0,405.2857142857143
2020-12-16,342.0,1395.857142857143
2020-12-17,745.0,1774.2857142857142
2020-12-18,1750.0,1901.5714285714287
2020-12-19,6934.0,3818.1428571428573
2020-12-20,2649.0,5329.714285714285
2020-12-21,891.0,7316.0
2020-12-22,13416.0,7313.285714285715
2020-12-23,10923.0,6340.142857142857
2020-12-24,14649.0,6399.571428571428
2020-12-25,1731.0,6525.142857142857
2020-12-26,122.0,6771.857142857143
2020-12-27,3065.0,6995.142857142857
2020-12-28,1770.0,7776.428571428572
2020-12-29,15143.0,8446.714285714286
2020-12-30,12486.0,8573.714285714286
2020-12-31,20118.0,8785.57142857143
2021-01-01,6423.0,9913.285714285714
2021-01-02,1011.0,9443.57142857143
2021-01-03,4548.0,9412.142857142857
2021-01-04,9664.0,9715.0
2021-01-05,11855.0,11724.714285714286
2021-01-06,12266.0,11580.285714285714
2021-01-07,22238.0,10930.57142857143
2021-01-08,20491.0,14956.42857142857
2021-01-09,0.0,22334.714285714286
2021-01-10,0.0,25661.14285714286
2021-01-11,37845.0,27727.85714285714
2021-01-12,63503.0,30107.428571428572
2021-01-13,35551.0,30107.428571428572
2021-01-14,36705.0,30107.428571428572
2021-01-15,37148.0,36410.57142857143
2021-01-16,0.0,27338.714285714286
2021-01-17,0.0,25823.85714285714
2021-01-18,81967.0,26267.0
2021-01-19,0.0,27447.85714285714
2021-01-20,24947.0,33731.28571428572
2021-01-21,39807.0,33731.28571428572
2021-01-22,45414.0,22021.714285714286
2021-01-23,43984.0,34642.0
2021-01-24,0.0,35308.57142857143
2021-01-25,0.0,35627.57142857143
2021-01-26,88342.0,36565.28571428572
2021-01-27,29613.0,38132.42857142857
2021-01-28,42040.0,38132.42857142857
2021-01-29,51978.0,38132.42857142857
2021-01-30,54954.0,38774.28571428572
2021-01-31,0.0,38317.142857142855
2021-02-01,0.0,39205.57142857143
2021-02-02,92835.0,39100.42857142857
2021-02-03,26413.0,39656.0
2021-02-04,48259.0,40591.857142857145
2021-02-05,51242.0,48986.0
2021-02-06,58843.0,41528.42857142857
2021-02-07,6551.0,44406.142857142855
2021-02-08,58759.0,44944.857142857145
2021-02-09,40632.0,45505.0
2021-02-10,46557.0,47332.71428571428
2021-02-11,52030.0,49239.28571428572
2021-02-12,55163.0,50433.28571428572
2021-02-13,71637.0,48862.42857142857
2021-02-14,19897.0,45440.857142857145
2021-02-15,67117.0,44049.28571428572
2021-02-16,29636.0,42040.857142857145
2021-02-17,22606.0,45132.42857142857
2021-02-18,42289.0,49454.57142857143
2021-02-19,41104.0,46953.57142857143
2021-02-20,93278.0,50128.857142857145
2021-02-21,50152.0,46899.42857142857
2021-02-22,49610.0,49284.57142857143
2021-02-23,51863.0,51786.57142857143
2021-02-24,0.0,47437.71428571428
2021-02-25,58985.0,51665.42857142857
2021-02-26,58618.0,54966.71428571428
2021-02-27,62836.0,53106.857142857145
2021-02-28,79746.0,57717.57142857143
2021-03-01,72719.0,54200.42857142857
2021-03-02,38844.0,53383.142857142855
2021-03-03,32275.0,55594.57142857143
2021-03-04,34365.0,55951.0
2021-03-05,52897.0,63880.28571428572
2021-03-06,78316.0,58331.142857142855
2021-03-07,82241.0,56822.142857142855
2021-03-08,128224.0,58202.857142857145
2021-03-09,0.0,60359.0
2021-03-10,21712.0,61128.142857142855
2021-03-11,44030.0,75534.42857142857
2021-03-12,67990.0,57216.71428571428
2021-03-13,83700.0,57786.857142857145
2021-03-14,183085.0,65472.71428571428
2021-03-15,0.0,68484.42857142857
2021-03-16,3991.0,71002.71428571429
2021-03-17,75513.0,71629.85714285714
2021-03-18,65112.0,60451.57142857143
2021-03-19,85618.0,73612.0
2021-03-20,88090.0,82529.0
2021-03-21,104837.0,75891.42857142857
2021-03-22,92123.0,75776.28571428571
2021-03-23,66410.0,74059.14285714286
2021-03-24,29050.0,74640.28571428571
2021-03-25,64306.0,75024.42857142857
2021-03-26,73598.0,76201.28571428571
2021-03-27,92158.0,78313.0
2021-03-28,107526.0,78888.42857142857
2021-03-29,100361.0,82664.14285714286
2021-03-30,81192.0,85618.57142857143
2021-03-31,33078.0,87492.14285714286
2021-04-01,90736.0,90770.28571428571
2021-04-02,94279.0,90494.71428571429
2021-04-03,105273.0,88014.28571428571
2021-04-04,130473.0,86928.57142857143
2021-04-05,98432.0,84793.28571428571
2021-04-06,63829.0,101331.14285714286
2021-04-07,25478.0,107659.28571428571
2021-04-08,75789.0,106601.71428571429
2021-04-09,210044.0,105287.0
2021-04-10,149570.0,101168.57142857143
2021-04-11,123070.0,108631.42857142857
2021-04-12,89229.0,113205.14285714286
2021-04-13,35000.0,99707.71428571429
2021-04-14,77718.0,96127.57142857143
2021-04-15,107805.0,94626.28571428571
2021-04-16,115562.0,88150.42857142857
2021-04-17,124509.0,87691.0
2021-04-18,112561.0,90328.42857142857
2021-04-19,43898.0,90723.28571428571
2021-04-20,31784.0,90407.14285714286
2021-04-21,96180.0,88097.85714285714
2021-04-22,110569.0,87340.57142857143
2021-04-23,113349.0,90071.0
2021-04-24,108344.0,89352.28571428571
2021-04-25,107260.0,88267.14285714286
2021-04-26,63011.0,83293.57142857143
2021-04-27,26753.0,80577.85714285714
2021-04-28,88584.0,79093.0
2021-04-29,75754.0,73108.14285714286
2021-04-30,94339.0,68587.71428571429
2021-05-01,97950.0,64765.857142857145
2021-05-02,65366.0,60827.71428571428
2021-05-03,31368.0,60841.42857142857
2021-05-04,0.0,59760.0
2021-05-05,61017.0,56554.0
2021-05-06,75850.0,58089.142857142855
2021-05-07,86769.0,60383.0
2021-05-08,75508.0,65831.42857142857
2021-05-09,76112.0,63396.42857142857
2021-05-10,47425.0,60856.42857142857
2021-05-11,38139.0,56750.0
2021-05-12,43972.0,56169.857142857145
2021-05-13,58070.0,55003.857142857145
2021-05-14,58024.0,53966.28571428572
2021-05-15,71447.0,51988.71428571428
2021-05-16,67950.0,52318.42857142857
2021-05-17,40162.0,52941.71428571428
2021-05-18,24296.0,53159.42857142857
2021-05-19,46280.0,54114.71428571428
2021-05-20,62433.0,52306.857142857145
2021-05-21,59548.0,51631.0
2021-05-22,78134.0,50225.142857142855
2021-05-23,55295.0,43650.142857142855
2021-05-24,35431.0,46269.42857142857
2021-05-25,14455.0,43671.142857142855
2021-05-26,255.0,37927.333333333336
2021-05-27,80768.0,34453.8
2021-05-28,41360.0,34209.5
