,inpatient_beds_used_covid,7_day_avg
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.14285714285714285
2020-03-09,0.0,0.2857142857142857
2020-03-10,0.0,0.42857142857142855
2020-03-11,1.0,0.42857142857142855
2020-03-12,1.0,0.42857142857142855
2020-03-13,1.0,0.42857142857142855
2020-03-14,0.0,0.42857142857142855
2020-03-15,0.0,0.5714285714285714
2020-03-16,0.0,0.7142857142857143
2020-03-17,0.0,0.7142857142857143
2020-03-18,2.0,0.8571428571428571
2020-03-19,2.0,1.0
2020-03-20,1.0,1.0
2020-03-21,1.0,1.1428571428571428
2020-03-22,1.0,1.0
2020-03-23,0.0,0.8571428571428571
2020-03-24,1.0,1.5714285714285714
2020-03-25,1.0,2.0
2020-03-26,1.0,2.5714285714285716
2020-03-27,6.0,4.428571428571429
2020-03-28,4.0,7.571428571428571
2020-03-29,5.0,31.285714285714285
2020-03-30,13.0,53.57142857142857
2020-03-31,23.0,77.85714285714286
2020-04-01,167.0,98.85714285714286
2020-04-02,157.0,116.85714285714286
2020-04-03,176.0,137.28571428571428
2020-04-04,151.0,158.71428571428572
2020-04-05,131.0,153.0
2020-04-06,156.0,149.71428571428572
2020-04-07,173.0,156.57142857142858
2020-04-08,127.0,163.85714285714286
2020-04-09,134.0,171.42857142857142
2020-04-10,224.0,186.28571428571428
2020-04-11,202.0,194.28571428571428
2020-04-12,184.0,209.14285714285714
2020-04-13,260.0,224.14285714285714
2020-04-14,229.0,233.57142857142858
2020-04-15,231.0,246.14285714285714
2020-04-16,239.0,262.7142857142857
2020-04-17,290.0,274.2857142857143
2020-04-18,290.0,290.2857142857143
2020-04-19,300.0,304.2857142857143
2020-04-20,341.0,318.14285714285717
2020-04-21,341.0,331.2857142857143
2020-04-22,329.0,340.42857142857144
2020-04-23,336.0,355.57142857142856
2020-04-24,382.0,367.2857142857143
2020-04-25,354.0,381.42857142857144
2020-04-26,406.0,404.57142857142856
2020-04-27,423.0,430.0
2020-04-28,440.0,445.14285714285717
2020-04-29,491.0,471.57142857142856
2020-04-30,514.0,477.57142857142856
2020-05-01,488.0,473.14285714285717
2020-05-02,539.0,506.14285714285717
2020-05-03,448.0,529.1428571428571
2020-05-04,392.0,550.0
2020-05-05,671.0,570.7142857142857
2020-05-06,652.0,581.0
2020-05-07,660.0,606.5714285714286
2020-05-08,633.0,642.8571428571429
2020-05-09,611.0,642.8571428571429
2020-05-10,627.0,656.7142857142857
2020-05-11,646.0,661.8571428571429
2020-05-12,671.0,672.5714285714286
2020-05-13,749.0,682.0
2020-05-14,696.0,681.7142857142857
2020-05-15,708.0,697.2857142857143
2020-05-16,677.0,714.5714285714286
2020-05-17,625.0,722.1428571428571
2020-05-18,755.0,729.4285714285714
2020-05-19,792.0,727.8571428571429
2020-05-20,802.0,737.1428571428571
2020-05-21,747.0,749.2857142857143
2020-05-22,697.0,748.8571428571429
2020-05-23,742.0,759.4285714285714
2020-05-24,710.0,770.4285714285714
2020-05-25,752.0,778.0
2020-05-26,866.0,795.4285714285714
2020-05-27,879.0,799.5714285714286
2020-05-28,800.0,804.5714285714286
2020-05-29,819.0,804.1428571428571
2020-05-30,771.0,792.7142857142857
2020-05-31,745.0,776.8571428571429
2020-06-01,749.0,763.1428571428571
2020-06-02,786.0,734.5714285714286
2020-06-03,768.0,712.5714285714286
2020-06-04,704.0,688.8571428571429
2020-06-05,619.0,672.7142857142857
2020-06-06,617.0,658.0
2020-06-07,579.0,639.7142857142857
2020-06-08,636.0,628.1428571428571
2020-06-09,683.0,624.7142857142857
2020-06-10,640.0,615.5714285714286
2020-06-11,623.0,613.4285714285714
2020-06-12,595.0,593.2857142857143
2020-06-13,553.0,574.0
2020-06-14,564.0,560.5714285714286
2020-06-15,495.0,546.7142857142857
2020-06-16,548.0,543.4285714285714
2020-06-17,546.0,542.0
2020-06-18,526.0,536.5714285714286
2020-06-19,572.0,545.4285714285714
2020-06-20,543.0,546.7142857142857
2020-06-21,526.0,542.5714285714286
2020-06-22,557.0,537.7142857142857
2020-06-23,557.0,521.2857142857143
2020-06-24,517.0,505.7142857142857
2020-06-25,492.0,489.7142857142857
2020-06-26,457.0,474.57142857142856
2020-06-27,434.0,456.0
2020-06-28,414.0,442.2857142857143
2020-06-29,451.0,434.57142857142856
2020-06-30,427.0,427.7142857142857
2020-07-01,421.0,420.2857142857143
2020-07-02,438.0,416.57142857142856
2020-07-03,409.0,411.85714285714283
2020-07-04,382.0,414.14285714285717
2020-07-05,388.0,416.2857142857143
2020-07-06,418.0,418.85714285714283
2020-07-07,443.0,422.0
2020-07-08,436.0,423.2857142857143
2020-07-09,456.0,425.7142857142857
2020-07-10,431.0,429.7142857142857
2020-07-11,391.0,437.85714285714283
2020-07-12,405.0,439.0
2020-07-13,446.0,452.2857142857143
2020-07-14,500.0,469.85714285714283
2020-07-15,444.0,492.85714285714283
2020-07-16,549.0,507.0
2020-07-17,554.0,507.85714285714283
2020-07-18,552.0,520.0
2020-07-19,504.0,516.8571428571429
2020-07-20,452.0,499.85714285714283
2020-07-21,585.0,482.85714285714283
2020-07-22,422.0,460.7142857142857
2020-07-23,430.0,447.42857142857144
2020-07-24,435.0,442.85714285714283
2020-07-25,397.0,418.7142857142857
2020-07-26,411.0,414.57142857142856
2020-07-27,420.0,411.57142857142856
2020-07-28,416.0,408.14285714285717
2020-07-29,393.0,407.42857142857144
2020-07-30,409.0,416.42857142857144
2020-07-31,411.0,427.7142857142857
2020-08-01,392.0,438.14285714285717
2020-08-02,474.0,460.42857142857144
2020-08-03,499.0,484.42857142857144
2020-08-04,489.0,508.0
2020-08-05,549.0,528.8571428571429
2020-08-06,577.0,531.4285714285714
2020-08-07,576.0,530.8571428571429
2020-08-08,538.0,530.1428571428571
2020-08-09,492.0,517.5714285714286
2020-08-10,495.0,500.57142857142856
2020-08-11,484.0,483.85714285714283
2020-08-12,461.0,472.42857142857144
2020-08-13,458.0,468.57142857142856
2020-08-14,459.0,470.0
2020-08-15,458.0,477.0
2020-08-16,465.0,481.2857142857143
2020-08-17,505.0,484.42857142857144
2020-08-18,533.0,487.85714285714283
2020-08-19,491.0,490.0
2020-08-20,480.0,490.0
2020-08-21,483.0,488.85714285714283
2020-08-22,473.0,481.57142857142856
2020-08-23,465.0,482.7142857142857
2020-08-24,497.0,485.0
2020-08-25,482.0,486.42857142857144
2020-08-26,499.0,489.0
2020-08-27,496.0,487.14285714285717
2020-08-28,493.0,483.0
2020-08-29,491.0,476.85714285714283
2020-08-30,452.0,472.2857142857143
2020-08-31,468.0,463.2857142857143
2020-09-01,439.0,457.57142857142856
2020-09-02,467.0,449.14285714285717
2020-09-03,433.0,443.14285714285717
2020-09-04,453.0,436.14285714285717
2020-09-05,432.0,434.57142857142856
2020-09-06,410.0,425.42857142857144
2020-09-07,419.0,424.0
2020-09-08,428.0,413.85714285714283
2020-09-09,403.0,405.14285714285717
2020-09-10,423.0,401.57142857142856
2020-09-11,382.0,399.14285714285717
2020-09-12,371.0,398.57142857142856
2020-09-13,385.0,396.42857142857144
2020-09-14,402.0,390.14285714285717
2020-09-15,424.0,399.42857142857144
2020-09-16,388.0,411.2857142857143
2020-09-17,379.0,408.85714285714283
2020-09-18,447.0,408.57142857142856
2020-09-19,454.0,413.7142857142857
2020-09-20,368.0,426.14285714285717
2020-09-21,400.0,444.42857142857144
2020-09-22,460.0,456.57142857142856
2020-09-23,475.0,465.85714285714283
2020-09-24,507.0,489.57142857142856
2020-09-25,532.0,509.85714285714283
2020-09-26,519.0,524.2857142857143
2020-09-27,534.0,533.0
2020-09-28,542.0,535.8571428571429
2020-09-29,561.0,532.0
2020-09-30,536.0,529.0
