,inpatient_beds_used_covid,7_day_avg
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.14285714285714285
2020-03-07,0.0,0.2857142857142857
2020-03-08,0.0,0.42857142857142855
2020-03-09,1.0,0.5714285714285714
2020-03-10,1.0,0.7142857142857143
2020-03-11,1.0,0.7142857142857143
2020-03-12,1.0,0.7142857142857143
2020-03-13,1.0,0.5714285714285714
2020-03-14,0.0,0.7142857142857143
2020-03-15,0.0,0.8571428571428571
2020-03-16,0.0,1.2857142857142858
2020-03-17,2.0,1.7142857142857142
2020-03-18,2.0,2.4285714285714284
2020-03-19,4.0,3.142857142857143
2020-03-20,4.0,3.857142857142857
2020-03-21,5.0,4.428571428571429
2020-03-22,5.0,5.285714285714286
2020-03-23,5.0,5.714285714285714
2020-03-24,6.0,7.142857142857143
2020-03-25,8.0,8.571428571428571
2020-03-26,7.0,10.428571428571429
2020-03-27,14.0,25.428571428571427
2020-03-28,15.0,43.285714285714285
2020-03-29,18.0,71.42857142857143
2020-03-30,110.0,105.0
2020-03-31,131.0,136.14285714285714
2020-04-01,205.0,171.57142857142858
2020-04-02,242.0,209.71428571428572
2020-04-03,232.0,235.42857142857142
2020-04-04,263.0,257.0
2020-04-05,285.0,273.7142857142857
2020-04-06,290.0,285.57142857142856
2020-04-07,282.0,295.7142857142857
2020-04-08,322.0,299.7142857142857
2020-04-09,325.0,302.2857142857143
2020-04-10,303.0,305.42857142857144
2020-04-11,291.0,315.42857142857144
2020-04-12,303.0,321.7142857142857
2020-04-13,312.0,332.57142857142856
2020-04-14,352.0,348.57142857142856
2020-04-15,366.0,361.0
2020-04-16,401.0,372.14285714285717
2020-04-17,415.0,393.2857142857143
2020-04-18,378.0,413.0
2020-04-19,381.0,428.85714285714283
2020-04-20,460.0,454.14285714285717
2020-04-21,490.0,481.85714285714283
2020-04-22,477.0,510.85714285714283
2020-04-23,578.0,544.4285714285714
2020-04-24,609.0,566.1428571428571
2020-04-25,581.0,590.7142857142857
2020-04-26,616.0,608.4285714285714
2020-04-27,612.0,606.1428571428571
2020-04-28,662.0,606.7142857142857
2020-04-29,601.0,601.0
