,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0.14285714285714285,1,1,0,0,0
2020-03-13,0.8571428571428571,5,6,0,0,0
2020-03-14,0.8571428571428571,0,6,0,0,0
2020-03-15,0.8571428571428571,0,6,0,0,0
2020-03-16,1.7142857142857142,6,12,0,0,0
2020-03-17,3,9,21,0,0,0
2020-03-18,4.857142857142857,13,34,0,0,0
2020-03-19,7,16,50,0.14285714285714285,1,1
2020-03-20,10.571428571428571,30,80,0.14285714285714285,0,1
2020-03-21,19.142857142857142,60,140,0.14285714285714285,0,1
2020-03-22,28.714285714285715,67,207,0.14285714285714285,0,1
2020-03-23,33.857142857142854,42,249,0.14285714285714285,0,1
2020-03-24,42.714285714285715,71,320,0.14285714285714285,0,1
2020-03-25,49,57,377,0.42857142857142855,2,3
2020-03-26,62.142857142857146,108,485,0.7142857142857143,3,6
2020-03-27,71.28571428571429,94,579,1,2,8
2020-03-28,74.71428571428571,84,663,1.7142857142857142,5,13
2020-03-29,78.85714285714286,96,759,1.8571428571428572,1,14
2020-03-30,85.42857142857143,88,847,2.142857142857143,2,16
2020-03-31,88.14285714285714,90,937,2.7142857142857144,4,20
2020-04-01,99.42857142857143,136,1073,2.7142857142857144,2,22
2020-04-02,98.85714285714286,104,1177,2.857142857142857,4,26
2020-04-03,111.28571428571429,181,1358,3,3,29
2020-04-04,113.14285714285714,97,1455,3.142857142857143,6,35
2020-04-05,125.57142857142857,183,1638,4.142857142857143,8,43
2020-04-06,127.28571428571429,100,1738,5,8,51
2020-04-07,139.71428571428572,177,1915,5.714285714285714,9,60
2020-04-08,132.85714285714286,88,2003,6.428571428571429,7,67
2020-04-09,154.71428571428572,257,2260,7.142857142857143,9,76
2020-04-10,158.71428571428572,209,2469,7.571428571428571,6,82
2020-04-11,169.57142857142858,173,2642,8.285714285714286,11,93
2020-04-12,163.28571428571428,139,2781,7.571428571428571,3,96
2020-04-13,172,161,2942,6.714285714285714,2,98
2020-04-14,167.42857142857142,145,3087,7.285714285714286,13,111
2020-04-15,193.85714285714286,273,3360,7.857142857142857,11,122
2020-04-16,194.85714285714286,264,3624,7.571428571428571,7,129
2020-04-17,189.14285714285714,169,3793,8.285714285714286,11,140
2020-04-18,190.28571428571428,181,3974,8.428571428571429,12,152
2020-04-19,213.28571428571428,300,4274,9,7,159
2020-04-20,224.28571428571428,238,4512,10.142857142857142,10,169
2020-04-21,232.71428571428572,204,4716,10.285714285714286,14,183
2020-04-22,219.14285714285714,178,4894,10.142857142857142,10,193
2020-04-23,218.42857142857142,259,5153,10.285714285714286,8,201
2020-04-24,234.42857142857142,281,5434,9.857142857142858,8,209
2020-04-25,249.14285714285714,284,5718,9.857142857142858,12,221
2020-04-26,233.85714285714286,193,5911,9.714285714285714,6,227
2020-04-27,226,183,6094,8.571428571428571,2,229
2020-04-28,232.28571428571428,248,6342,8,10,239
2020-04-29,239.28571428571428,227,6569,8.142857142857142,11,250
2020-04-30,237.42857142857142,246,6815,8.571428571428571,11,261
2020-05-01,254,397,7212,10.285714285714286,20,281
2020-05-02,246.14285714285714,229,7441,10,10,291
2020-05-03,234.14285714285714,109,7550,10.857142857142858,12,303
2020-05-04,254.71428571428572,327,7877,11.571428571428571,7,310
2020-05-05,266.42857142857144,330,8207,14.714285714285714,32,342
2020-05-06,265,217,8424,17.714285714285715,32,374
2020-05-07,267.2857142857143,262,8686,19.285714285714285,22,396
2020-05-08,268.2857142857143,404,9090,18.285714285714285,13,409
2020-05-09,276.7142857142857,288,9378,18.571428571428573,12,421
2020-05-10,278.7142857142857,123,9501,18.142857142857142,9,430
2020-05-11,256.7142857142857,173,9674,17.857142857142858,5,435
2020-05-12,243,234,9908,16.428571428571427,22,457
2020-05-13,238,182,10090,13,8,465
2020-05-14,256.7142857142857,393,10483,12,15,480
2020-05-15,244.42857142857142,318,10801,12,13,493
2020-05-16,249.28571428571428,322,11123,12.714285714285714,17,510
2020-05-17,256.42857142857144,173,11296,13,11,521
2020-05-18,251.14285714285714,136,11432,13.142857142857142,6,527
2020-05-19,256.57142857142856,272,11704,13.857142857142858,27,554
2020-05-20,268.14285714285717,263,11967,15,16,570
2020-05-21,248.42857142857142,255,12222,14.285714285714286,10,580
2020-05-22,260.57142857142856,403,12625,14.571428571428571,15,595
2020-05-23,268.85714285714283,380,13005,15.142857142857142,21,616
2020-05-24,280.57142857142856,255,13260,14.857142857142858,9,625
2020-05-25,289.42857142857144,198,13458,15.428571428571429,10,635
2020-05-26,289.57142857142856,273,13731,14,17,652
2020-05-27,296.7142857142857,313,14044,14.285714285714286,18,670
2020-05-28,307.14285714285717,328,14372,16.142857142857142,23,693
2020-05-29,309.7142857142857,421,14793,16.428571428571427,17,710
2020-05-30,317.7142857142857,436,15229,15.285714285714286,13,723
2020-05-31,323.2857142857143,294,15523,15.571428571428571,11,734
2020-06-01,327.7142857142857,229,15752,14.857142857142858,5,739
2020-06-02,330,289,16041,16.428571428571427,28,767
2020-06-03,325.42857142857144,281,16322,16,15,782
2020-06-04,312.57142857142856,238,16560,14.428571428571429,12,794
2020-06-05,282.2857142857143,209,16769,13.285714285714286,9,803
2020-06-06,258.57142857142856,270,17039,12.571428571428571,8,811
2020-06-07,249.57142857142858,231,17270,11.857142857142858,6,817
2020-06-08,288,498,17768,14,20,837
2020-06-09,297.42857142857144,355,18123,11.428571428571429,10,847
2020-06-10,308.7142857142857,360,18483,12.285714285714286,21,868
2020-06-11,274.7142857142857,0,18483,10.571428571428571,0,868
2020-06-12,331.7142857142857,608,19091,11.142857142857142,13,881
2020-06-13,329.85714285714283,257,19348,11.142857142857142,8,889
2020-06-14,320.85714285714283,168,19516,10.571428571428571,2,891
2020-06-15,290.14285714285717,283,19799,8.285714285714286,4,895
2020-06-16,289.85714285714283,353,20152,9.714285714285714,20,915
2020-06-17,308.2857142857143,489,20641,10,23,938
2020-06-18,308.2857142857143,0,20641,10,0,938
2020-06-19,221.42857142857142,0,20641,8.142857142857142,0,938
2020-06-20,184.71428571428572,0,20641,7,0,938
2020-06-21,160.71428571428572,0,20641,6.714285714285714,0,938
2020-06-22,361.42857142857144,1688,22329,11.857142857142858,40,978
2020-06-23,392.2857142857143,569,22898,10.571428571428571,11,989
2020-06-24,397.57142857142856,526,23424,10.428571428571429,22,1011
2020-06-25,553.5714285714286,1092,24516,11.142857142857142,5,1016
2020-06-26,632.1428571428571,550,25066,12,6,1022
2020-06-27,698.5714285714286,465,25531,13.857142857142858,13,1035
2020-06-28,750.1428571428571,361,25892,14.428571428571429,4,1039
2020-06-29,605.4285714285714,675,26567,11.571428571428571,20,1059
2020-06-30,621.2857142857143,680,27247,12,14,1073
2020-07-01,639.4285714285714,653,27900,10.142857142857142,9,1082
2020-07-02,607.7142857142857,870,28770,10.857142857142858,10,1092
2020-07-03,659.7142857142857,914,29684,11.571428571428571,11,1103
2020-07-04,734.7142857142857,990,30674,10.285714285714286,4,1107
2020-07-05,715.4285714285714,226,30900,10.285714285714286,4,1111
2020-07-06,670,357,31257,7.857142857142857,3,1114
2020-07-07,709.5714285714286,957,32214,12.142857142857142,44,1158
2020-07-08,712.5714285714286,674,32888,15.142857142857142,30,1188
2020-07-09,688.7142857142857,703,33591,16,16,1204
2020-07-10,705.4285714285714,1031,34622,16,11,1215
2020-07-11,677.8571428571429,797,35419,17.571428571428573,15,1230
2020-07-12,769.5714285714286,868,36287,19.714285714285715,19,1249
2020-07-13,774.7142857142857,393,36680,19.428571428571427,1,1250
2020-07-14,761.1428571428571,862,37542,16.285714285714285,22,1272
2020-07-15,811.2857142857143,1025,38567,14.571428571428571,18,1290
2020-07-16,886.5714285714286,1230,39797,14.857142857142858,18,1308
2020-07-17,886.7142857142857,1032,40829,16.714285714285715,24,1332
2020-07-18,918.1428571428571,1017,41846,16.571428571428573,14,1346
2020-07-19,907.2857142857143,792,42638,15.142857142857142,9,1355
2020-07-20,1029.857142857143,1251,43889,15.428571428571429,3,1358
2020-07-21,1140.2857142857142,1635,45524,16.714285714285715,31,1389
2020-07-22,1214.857142857143,1547,47071,19,34,1423
2020-07-23,1179.4285714285713,982,48053,18.285714285714285,13,1436
2020-07-24,1250.857142857143,1532,49585,18.714285714285715,27,1463
2020-07-25,1305,1396,50981,18.857142857142858,15,1478
2020-07-26,1359.4285714285713,1173,52154,19.714285714285715,15,1493
2020-07-27,1270.2857142857142,627,52781,20,5,1498
2020-07-28,1223,1304,54085,21.571428571428573,42,1540
2020-07-29,1247.5714285714287,1719,55804,20,23,1563
2020-07-30,1360.857142857143,1775,57579,25,48,1611
2020-07-31,1308.857142857143,1168,58747,28.571428571428573,52,1663
2020-08-01,1271.4285714285713,1134,59881,30.714285714285715,30,1693
2020-08-02,1199.857142857143,672,60553,30,10,1703
2020-08-03,1192,572,61125,30.428571428571427,8,1711
2020-08-04,1159.142857142857,1074,62199,30.428571428571427,42,1753
2020-08-05,1091.4285714285713,1245,63444,34.42857142857143,51,1804
2020-08-06,974.4285714285714,956,64400,30.571428571428573,21,1825
2020-08-07,955.5714285714286,1036,65436,26.428571428571427,23,1848
2020-08-08,966.4285714285714,1210,66646,25.857142857142858,26,1874
2020-08-09,945.7142857142857,527,67173,27.571428571428573,22,1896
2020-08-10,932,476,67649,28.714285714285715,16,1912
2020-08-11,870.5714285714286,644,68293,27.285714285714285,32,1944
2020-08-12,847.1428571428571,1081,69374,26.428571428571427,45,1989
2020-08-13,798,612,69986,26.571428571428573,22,2011
2020-08-14,784.8571428571429,944,70930,27.857142857142858,32,2043
2020-08-15,729.8571428571429,825,71755,29.428571428571427,37,2080
2020-08-16,709,381,72136,26.857142857142858,4,2084
