,raw_positives,7-day_avg
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.14285714285714285
2020-03-01,0.0,0.14285714285714285
2020-03-02,0.0,0.14285714285714285
2020-03-03,1.0,0.14285714285714285
2020-03-04,0.0,0.14285714285714285
2020-03-05,0.0,0.2857142857142857
2020-03-06,0.0,0.2857142857142857
2020-03-07,0.0,0.14285714285714285
2020-03-08,1.0,0.14285714285714285
2020-03-09,0.0,0.14285714285714285
2020-03-10,0.0,0.7142857142857143
2020-03-11,0.0,0.8571428571428571
2020-03-12,0.0,0.8571428571428571
2020-03-13,4.0,1.5714285714285714
2020-03-14,1.0,2.857142857142857
2020-03-15,1.0,4.714285714285714
2020-03-16,5.0,8.0
2020-03-17,9.0,13.857142857142858
2020-03-18,13.0,15.857142857142858
2020-03-19,23.0,22.428571428571427
2020-03-20,45.0,37.42857142857143
2020-03-21,15.0,46.57142857142857
2020-03-22,47.0,58.714285714285715
2020-03-23,110.0,85.57142857142857
2020-03-24,73.0,104.42857142857143
2020-03-25,98.0,122.71428571428571
2020-03-26,211.0,128.85714285714286
