,inpatient_beds_used_covid,7_day_avg
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.14285714285714285
2020-03-12,0.0,0.42857142857142855
2020-03-13,0.0,0.8571428571428571
2020-03-14,1.0,1.2857142857142858
2020-03-15,2.0,2.0
2020-03-16,3.0,4.571428571428571
2020-03-17,3.0,6.428571428571429
2020-03-18,5.0,8.714285714285714
2020-03-19,18.0,12.285714285714286
2020-03-20,13.0,15.428571428571429
2020-03-21,17.0,19.0
2020-03-22,27.0,23.142857142857142
2020-03-23,25.0,26.142857142857142
2020-03-24,28.0,33.714285714285715
2020-03-25,34.0,38.714285714285715
2020-03-26,39.0,44.285714285714285
2020-03-27,66.0,52.142857142857146
2020-03-28,52.0,57.57142857142857
2020-03-29,66.0,66.85714285714286
2020-03-30,80.0,76.42857142857143
2020-03-31,66.0,84.57142857142857
2020-04-01,99.0,92.71428571428571
2020-04-02,106.0,110.28571428571429
2020-04-03,123.0,155.0
2020-04-04,109.0,208.57142857142858
2020-04-05,189.0,262.85714285714283
2020-04-06,393.0,308.85714285714283
2020-04-07,441.0,326.0
2020-04-08,479.0,342.0
2020-04-09,428.0,348.42857142857144
2020-04-10,243.0,362.14285714285717
2020-04-11,221.0,374.2857142857143
2020-04-12,234.0,391.7142857142857
2020-04-13,489.0,410.14285714285717
2020-04-14,526.0,460.42857142857144
2020-04-15,601.0,478.85714285714283
2020-04-16,557.0,496.57142857142856
2020-04-17,595.0,513.8571428571429
2020-04-18,350.0,565.7142857142857
2020-04-19,358.0,612.8571428571429
2020-04-20,610.0,645.2857142857143
2020-04-21,889.0,694.1428571428571
2020-04-22,931.0,744.7142857142857
2020-04-23,784.0,796.2857142857143
2020-04-24,937.0,841.8571428571429
2020-04-25,704.0,847.0
2020-04-26,719.0,851.8571428571429
2020-04-27,929.0,877.8571428571429
2020-04-28,925.0,884.0
2020-04-29,965.0,914.7142857142857
2020-04-30,966.0,943.7142857142857
2020-05-01,980.0,948.8571428571429
2020-05-02,919.0,960.8571428571429
2020-05-03,922.0,955.2857142857143
2020-05-04,965.0,946.0
2020-05-05,1009.0,923.2857142857143
2020-05-06,926.0,908.7142857142857
2020-05-07,901.0,889.5714285714286
2020-05-08,821.0,868.8571428571429
2020-05-09,817.0,846.5714285714286
2020-05-10,788.0,832.2857142857143
2020-05-11,820.0,824.1428571428571
2020-05-12,853.0,823.4285714285714
2020-05-13,826.0,818.4285714285714
2020-05-14,844.0,815.4285714285714
2020-05-15,816.0,817.7142857142857
2020-05-16,782.0,807.2857142857143
2020-05-17,767.0,798.5714285714286
2020-05-18,836.0,785.8571428571429
2020-05-19,780.0,770.0
2020-05-20,765.0,755.5714285714286
2020-05-21,755.0,742.4285714285714
2020-05-22,705.0,719.7142857142857
2020-05-23,681.0,708.5714285714286
2020-05-24,675.0,707.4285714285714
