,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,6142.857142857143
2020-12-27,0.0,6142.857142857143
2020-12-28,0.0,6142.857142857143
2020-12-29,43000.0,6142.857142857143
2020-12-30,0.0,6142.857142857143
2020-12-31,0.0,6142.857142857143
2021-01-01,0.0,6142.857142857143
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,16571.428571428572
2021-01-12,0.0,16571.428571428572
2021-01-13,0.0,16571.428571428572
2021-01-14,116000.0,16571.428571428572
2021-01-15,0.0,16571.428571428572
2021-01-16,0.0,16571.428571428572
2021-01-17,0.0,24322.0
2021-01-18,0.0,8925.142857142857
2021-01-19,0.0,11911.714285714286
2021-01-20,54254.0,14813.857142857143
2021-01-21,8222.0,15674.714285714286
2021-01-22,20906.0,19391.0
2021-01-23,20315.0,21956.428571428572
2021-01-24,6026.0,14859.857142857143
2021-01-25,26014.0,22280.0
2021-01-26,17958.0,22636.714285714286
2021-01-27,4578.0,29617.714285714286
2021-01-28,60163.0,28756.85714285714
2021-01-29,23403.0,27702.85714285714
2021-01-30,69182.0,25736.428571428572
2021-01-31,0.0,30403.14285714286
2021-02-01,18636.0,26260.571428571428
2021-02-02,4193.0,22917.285714285714
2021-02-03,37245.0,19884.571428571428
2021-02-04,31165.0,27146.85714285714
2021-02-05,0.0,25487.85714285714
2021-02-06,47953.0,25374.0
2021-02-07,50836.0,23277.571428571428
2021-02-08,7023.0,22406.85714285714
2021-02-09,3396.0,25731.14285714286
2021-02-10,22570.0,24177.571428571428
2021-02-11,25070.0,22955.85714285714
2021-02-12,23270.0,25257.571428571428
2021-02-13,37078.0,25745.428571428572
2021-02-14,42284.0,24394.571428571428
2021-02-15,23135.0,24175.714285714286
2021-02-16,6811.0,25061.714285714286
2021-02-17,13114.0,30398.85714285714
2021-02-18,23538.0,28447.428571428572
2021-02-19,29472.0,30978.0
2021-02-20,74438.0,33889.57142857143
2021-02-21,28624.0,32016.14285714286
2021-02-22,40849.0,32413.571428571428
2021-02-23,27192.0,32568.14285714286
2021-02-24,0.0,28457.285714285714
2021-02-25,26320.0,33602.142857142855
2021-02-26,30554.0,27954.714285714286
2021-02-27,45662.0,37730.57142857143
2021-02-28,64638.0,39022.0
2021-03-01,1317.0,39796.142857142855
2021-03-02,95623.0,41521.71428571428
2021-03-03,9040.0,41541.0
2021-03-04,31739.0,39152.857142857145
2021-03-05,42633.0,50637.142857142855
2021-03-06,45797.0,36976.71428571428
2021-03-07,47921.0,37575.57142857143
2021-03-08,81707.0,38508.0
2021-03-09,0.0,38020.142857142855
2021-03-10,13232.0,36507.57142857143
2021-03-11,38266.0,45010.57142857143
2021-03-12,39218.0,33338.142857142855
2021-03-13,35209.0,37602.71428571428
2021-03-14,107442.0,37251.857142857145
2021-03-15,0.0,36342.857142857145
2021-03-16,29852.0,37813.42857142857
2021-03-17,10776.0,39154.857142857145
2021-03-18,31903.0,31512.14285714286
2021-03-19,49512.0,39499.42857142857
2021-03-20,44599.0,39637.57142857143
2021-03-21,53943.0,40707.42857142857
2021-03-22,55911.0,41417.71428571428
2021-03-23,30819.0,41006.28571428572
2021-03-24,18265.0,42863.71428571428
2021-03-25,36875.0,40532.142857142855
2021-03-26,46632.0,40996.71428571428
2021-03-27,57601.0,41480.57142857143
2021-03-28,37622.0,41236.57142857143
2021-03-29,59163.0,49794.42857142857
2021-03-30,34206.0,43132.71428571428
2021-03-31,16557.0,54867.71428571428
2021-04-01,96780.0,56054.42857142857
2021-04-02,0.0,53787.142857142855
2021-04-03,139746.0,55514.42857142857
2021-04-04,45929.0,54223.57142857143
2021-04-05,43292.0,46578.28571428572
2021-04-06,46297.0,63200.142857142855
2021-04-07,7521.0,52201.71428571428
2021-04-08,43263.0,54706.57142857143
2021-04-09,116353.0,55554.0
2021-04-10,62757.0,55542.71428571428
2021-04-11,63463.0,57456.0
2021-04-12,49224.0,58055.57142857143
2021-04-13,46218.0,49432.28571428572
2021-04-14,20914.0,50478.71428571428
2021-04-15,47460.0,51699.857142857145
2021-04-16,55990.0,48563.28571428572
2021-04-17,70082.0,43252.857142857145
2021-04-18,72011.0,46508.42857142857
2021-04-19,27268.0,46991.57142857143
2021-04-20,9045.0,46238.857142857145
2021-04-21,43703.0,41857.57142857143
2021-04-22,50842.0,42341.28571428572
2021-04-23,50721.0,46130.0
2021-04-24,39413.0,47071.142857142855
2021-04-25,75397.0,45424.142857142855
2021-04-26,53789.0,43943.0
2021-04-27,15633.0,42153.0
2021-04-28,32174.0,41423.42857142857
2021-04-29,40474.0,36720.57142857143
2021-04-30,38191.0,32376.714285714286
2021-05-01,34306.0,30143.428571428572
2021-05-02,42477.0,30274.571428571428
2021-05-03,23382.0,29289.14285714286
2021-05-04,0.0,28024.428571428572
2021-05-05,33092.0,27947.285714285714
2021-05-06,33576.0,25934.571428571428
2021-05-07,29338.0,28743.428571428572
2021-05-08,33766.0,30764.285714285714
2021-05-09,28388.0,29636.14285714286
2021-05-10,43044.0,28029.428571428572
2021-05-11,14146.0,26374.571428571428
2021-05-12,25195.0,24140.14285714286
2021-05-13,22329.0,25452.428571428572
2021-05-14,17754.0,23611.571428571428
2021-05-15,18125.0,22807.428571428572
2021-05-16,37574.0,21824.14285714286
2021-05-17,30158.0,21920.428571428572
2021-05-18,8517.0,22853.285714285714
2021-05-19,18312.0,24623.428571428572
2021-05-20,23003.0,21539.285714285714
2021-05-21,24284.0,20002.285714285714
2021-05-22,30516.0,19707.14285714286
2021-05-23,15985.0,18651.85714285714
2021-05-24,19399.0,17786.714285714286
2021-05-25,6451.0,16557.85714285714
2021-05-26,10925.0,14231.5
2021-05-27,16947.0,13880.8
2021-05-28,15682.0,12501.25
