,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0.14285714285714285,1,1,0,0,0
2020-03-14,0.7142857142857143,4,5,0,0,0
2020-03-15,0.8571428571428571,1,6,0,0,0
2020-03-16,0.8571428571428571,0,6,0,0,0
2020-03-17,1.1428571428571428,2,8,0,0,0
2020-03-18,1.4285714285714286,2,10,0,0,0
2020-03-19,1.5714285714285714,1,11,0,0,0
2020-03-20,2.7142857142857144,9,20,0,0,0
2020-03-21,3.142857142857143,7,27,0,0,0
2020-03-22,4,7,34,0,0,0
2020-03-23,4,0,34,0,0,0
2020-03-24,6.142857142857143,17,51,0,0,0
2020-03-25,7.857142857142857,14,65,0,0,0
2020-03-26,11.285714285714286,25,90,0,0,0
2020-03-27,12.714285714285714,19,109,0.14285714285714285,1,1
2020-03-28,14.571428571428571,20,129,0.14285714285714285,0,1
2020-03-29,17.142857142857142,25,154,0.14285714285714285,0,1
2020-03-30,19.571428571428573,17,171,0.7142857142857143,4,5
2020-03-31,21,27,198,0.7142857142857143,0,5
2020-04-01,20.428571428571427,10,208,0.8571428571428571,1,6
2020-04-02,21.571428571428573,33,241,0.8571428571428571,0,6
2020-04-03,19.142857142857142,2,243,0.5714285714285714,-1,5
2020-04-04,19.428571428571427,22,265,0.7142857142857143,1,6
2020-04-05,18.857142857142858,21,286,0.7142857142857143,0,6
2020-04-06,18.285714285714285,13,299,0.14285714285714285,0,6
2020-04-07,17.285714285714285,20,319,0.14285714285714285,0,6
2020-04-08,17.714285714285715,13,332,0,0,6
2020-04-09,16.142857142857142,22,354,0,0,6
2020-04-10,17.428571428571427,11,365,0.14285714285714285,0,6
2020-04-11,16,12,377,0,0,6
2020-04-12,14.428571428571429,10,387,0,0,6
2020-04-13,13.571428571428571,7,394,0.14285714285714285,1,7
2020-04-14,11.428571428571429,5,399,0.14285714285714285,0,7
2020-04-15,10.285714285714286,5,404,0.14285714285714285,0,7
2020-04-16,8.714285714285714,11,415,0.14285714285714285,0,7
2020-04-17,8.142857142857142,7,422,0.2857142857142857,1,8
2020-04-18,7,4,426,0.5714285714285714,2,10
2020-04-19,6.571428571428571,7,433,0.5714285714285714,0,10
2020-04-20,5.571428571428571,0,433,0.42857142857142855,0,10
2020-04-21,5.428571428571429,4,437,0.7142857142857143,2,12
2020-04-22,5,2,439,1,2,14
2020-04-23,3.857142857142857,3,442,1,0,14
2020-04-24,3.142857142857143,2,444,0.8571428571428571,0,14
2020-04-25,2.7142857142857144,1,445,0.5714285714285714,0,14
2020-04-26,2.142857142857143,3,448,0.5714285714285714,0,14
2020-04-27,2.2857142857142856,1,449,0.5714285714285714,0,14
2020-04-28,2,2,451,0.42857142857142855,1,15
2020-04-29,1.7142857142857142,0,451,0.2857142857142857,1,16
2020-04-30,1.5714285714285714,2,453,0.2857142857142857,0,16
2020-05-01,1.2857142857142858,0,453,0.2857142857142857,0,16
2020-05-02,1.4285714285714286,2,455,0.2857142857142857,0,16
2020-05-03,1,0,455,0.2857142857142857,0,16
2020-05-04,1.1428571428571428,2,457,0.2857142857142857,0,16
2020-05-05,0.7142857142857143,-1,456,0.14285714285714285,0,16
2020-05-06,0.7142857142857143,0,456,0,0,16
2020-05-07,0.42857142857142855,0,456,0,0,16
2020-05-08,0.7142857142857143,2,458,0,0,16
2020-05-09,0.42857142857142855,0,458,0,0,16
2020-05-10,0.42857142857142855,0,458,0,0,16
2020-05-11,0.2857142857142857,1,459,0,0,16
2020-05-12,0.7142857142857143,2,461,0,0,16
2020-05-13,0.8571428571428571,1,462,0,0,16
2020-05-14,0.8571428571428571,0,462,0,0,16
2020-05-15,1.1428571428571428,4,466,0,0,16
2020-05-16,1.4285714285714286,2,468,0,0,16
2020-05-17,1.4285714285714286,0,468,0,0,16
2020-05-18,1.5714285714285714,2,470,0,0,16
2020-05-19,1.4285714285714286,1,471,0,0,16
2020-05-20,2.2857142857142856,7,478,0,0,16
2020-05-21,2.4285714285714284,1,479,0,0,16
2020-05-22,1.8571428571428572,0,479,0,0,16
2020-05-23,1.5714285714285714,0,479,0,0,16
2020-05-24,1.5714285714285714,0,479,0,0,16
2020-05-25,1.2857142857142858,0,479,0,0,16
2020-05-26,1.1428571428571428,0,479,0.14285714285714285,1,17
2020-05-27,0.42857142857142855,2,481,0.14285714285714285,0,17
2020-05-28,0.8571428571428571,4,485,0.14285714285714285,0,17
2020-05-29,2,8,493,0.14285714285714285,0,17
2020-05-30,3.7142857142857144,12,505,0.14285714285714285,0,17
2020-05-31,5.142857142857143,10,515,0.14285714285714285,0,17
2020-06-01,5.714285714285714,4,519,0.14285714285714285,0,17
2020-06-02,6.285714285714286,4,523,0,0,17
2020-06-03,6.285714285714286,2,525,0,0,17
2020-06-04,7.714285714285714,14,539,0,0,17
2020-06-05,6.857142857142857,2,541,0.14285714285714285,1,18
2020-06-06,5,-1,540,0.14285714285714285,0,18
2020-06-07,4.285714285714286,5,545,0.14285714285714285,0,18
2020-06-08,4.142857142857143,3,548,0.14285714285714285,0,18
2020-06-09,4.428571428571429,6,554,0.14285714285714285,0,18
2020-06-10,5.142857142857143,7,561,0.14285714285714285,0,18
2020-06-11,3.4285714285714284,2,563,0.14285714285714285,0,18
2020-06-12,4.571428571428571,10,573,0,0,18
2020-06-13,6.857142857142857,15,588,0,0,18
2020-06-14,8,13,601,0.14285714285714285,1,19
2020-06-15,8.714285714285714,8,609,0.14285714285714285,0,19
2020-06-16,8.571428571428571,5,614,0.14285714285714285,0,19
2020-06-17,9.857142857142858,16,630,0.2857142857142857,1,20
2020-06-18,13.142857142857142,25,655,0.2857142857142857,0,20
2020-06-19,13.285714285714286,11,666,0.2857142857142857,0,20
2020-06-20,15.714285714285714,32,698,0.2857142857142857,0,20
2020-06-21,16.571428571428573,19,717,0.14285714285714285,0,20
2020-06-22,17.857142857142858,17,734,0.2857142857142857,1,21
2020-06-23,18.428571428571427,9,743,0.2857142857142857,0,21
2020-06-24,19.428571428571427,23,766,0.14285714285714285,0,21
2020-06-25,21.142857142857142,37,803,0.14285714285714285,0,21
2020-06-26,23.285714285714285,26,829,0.2857142857142857,1,22
2020-06-27,22,23,852,0.2857142857142857,0,22
2020-06-28,20.857142857142858,11,863,0.2857142857142857,0,22
2020-06-29,26.428571428571427,56,919,0.14285714285714285,0,22
2020-06-30,32,48,967,0.14285714285714285,0,22
2020-07-01,35.714285714285715,49,1016,0.14285714285714285,0,22
2020-07-02,40,67,1083,0.14285714285714285,0,22
2020-07-03,42.714285714285715,45,1128,0.14285714285714285,1,23
2020-07-04,45,39,1167,0.14285714285714285,0,23
2020-07-05,49.857142857142854,45,1212,0.14285714285714285,0,23
2020-07-06,47.142857142857146,37,1249,0.14285714285714285,0,23
2020-07-07,51.42857142857143,78,1327,0.14285714285714285,0,23
2020-07-08,50.714285714285715,44,1371,0.14285714285714285,0,23
2020-07-09,54.714285714285715,95,1466,0.42857142857142855,2,25
2020-07-10,66.42857142857143,127,1593,0.7142857142857143,3,28
2020-07-11,72.85714285714286,84,1677,0.8571428571428571,1,29
2020-07-12,78,81,1758,0.8571428571428571,0,29
2020-07-13,84.85714285714286,85,1843,1.2857142857142858,3,32
2020-07-14,89.28571428571429,109,1952,1.5714285714285714,2,34
2020-07-15,103.57142857142857,144,2096,1.5714285714285714,0,34
2020-07-16,109.28571428571429,135,2231,1.4285714285714286,1,35
2020-07-17,110.42857142857143,135,2366,1.2857142857142858,2,37
2020-07-18,113.42857142857143,105,2471,1.1428571428571428,0,37
2020-07-19,110.71428571428571,62,2533,1.1428571428571428,0,37
2020-07-20,111,87,2620,1,2,39
2020-07-21,108.42857142857143,91,2711,0.8571428571428571,1,40
2020-07-22,102.28571428571429,101,2812,1.1428571428571428,2,42
2020-07-23,96.85714285714286,97,2909,1.1428571428571428,1,43
2020-07-24,96,129,3038,1.2857142857142858,3,46
2020-07-25,112.57142857142857,221,3259,1.2857142857142858,0,46
2020-07-26,115.42857142857143,82,3341,1.2857142857142858,0,46
2020-07-27,108.57142857142857,39,3380,1.1428571428571428,1,47
2020-07-28,109,94,3474,1.5714285714285714,4,51
2020-07-29,123.42857142857143,202,3676,1.7142857142857142,3,54
2020-07-30,129.28571428571428,138,3814,1.7142857142857142,1,55
2020-07-31,132.42857142857142,151,3965,2,5,60
2020-08-01,117.42857142857143,116,4081,2.142857142857143,1,61
2020-08-02,121.71428571428571,112,4193,2.142857142857143,0,61
2020-08-03,121.85714285714286,40,4233,2.4285714285714284,3,64
2020-08-04,120,81,4314,1.8571428571428572,0,64
2020-08-05,107.57142857142857,115,4429,1.5714285714285714,1,65
2020-08-06,112.57142857142857,173,4602,1.4285714285714286,0,65
2020-08-07,113.14285714285714,155,4757,1.4285714285714286,5,70
2020-08-08,115.42857142857143,132,4889,2,5,75
2020-08-09,108.42857142857143,63,4952,2,0,75
2020-08-10,112,65,5017,1.5714285714285714,0,75
2020-08-11,112.85714285714286,87,5104,1.8571428571428572,2,77
2020-08-12,119.85714285714286,164,5268,2.142857142857143,3,80
2020-08-13,115,139,5407,2.2857142857142856,1,81
2020-08-14,112,134,5541,1.5714285714285714,0,81
2020-08-15,110,118,5659,1,1,82
2020-08-16,114,91,5750,1,0,82
2020-08-17,110.71428571428571,42,5792,1,0,82
2020-08-18,106,54,5846,1,2,84
2020-08-19,98.28571428571429,110,5956,0.5714285714285714,0,84
2020-08-20,95,116,6072,1.1428571428571428,5,89
2020-08-21,96.42857142857143,144,6216,1.1428571428571428,0,89
2020-08-22,102.42857142857143,160,6376,1.1428571428571428,1,90
2020-08-23,97,53,6429,1.1428571428571428,0,90
2020-08-24,99.57142857142857,60,6489,1.2857142857142858,1,91
