,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,1998.5714285714287
2020-12-28,0.0,1998.5714285714287
2020-12-29,0.0,1998.5714285714287
2020-12-30,13990.0,1998.5714285714287
2020-12-31,0.0,1998.5714285714287
2021-01-01,0.0,1998.5714285714287
2021-01-02,0.0,1998.5714285714287
2021-01-03,0.0,0.0
2021-01-04,0.0,858.5714285714286
2021-01-05,0.0,858.5714285714286
2021-01-06,0.0,858.5714285714286
2021-01-07,6010.0,858.5714285714286
2021-01-08,0.0,2287.1428571428573
2021-01-09,0.0,2287.1428571428573
2021-01-10,0.0,2287.1428571428573
2021-01-11,10000.0,2714.285714285714
2021-01-12,0.0,2714.285714285714
2021-01-13,0.0,2714.285714285714
2021-01-14,9000.0,2714.285714285714
2021-01-15,0.0,1285.7142857142858
2021-01-16,0.0,3142.8571428571427
2021-01-17,0.0,3270.4285714285716
2021-01-18,0.0,2174.285714285714
2021-01-19,13000.0,2627.0
2021-01-20,893.0,3478.285714285714
2021-01-21,1327.0,4363.428571428572
2021-01-22,3169.0,4941.428571428572
2021-01-23,5959.0,3248.4285714285716
2021-01-24,6196.0,3609.1428571428573
2021-01-25,4046.0,4139.571428571428
2021-01-26,1149.0,4596.857142857143
2021-01-27,3418.0,4700.0
2021-01-28,5040.0,4565.285714285715
2021-01-29,6370.0,4218.714285714285
2021-01-30,6681.0,4223.0
2021-01-31,5253.0,4170.571428571428
2021-02-01,1620.0,4274.571428571428
2021-02-02,1179.0,4276.571428571428
2021-02-03,3051.0,4513.0
2021-02-04,5768.0,4745.142857142857
2021-02-05,6384.0,4728.571428571428
2021-02-06,8336.0,4681.428571428572
2021-02-07,6878.0,4845.714285714285
2021-02-08,1504.0,4734.857142857143
2021-02-09,849.0,5016.428571428572
2021-02-10,4201.0,5205.285714285715
2021-02-11,4992.0,5571.714285714285
2021-02-12,8355.0,5853.142857142857
2021-02-13,9658.0,5928.857142857143
2021-02-14,9443.0,5744.571428571428
2021-02-15,3474.0,5815.428571428572
2021-02-16,1379.0,5752.571428571428
2021-02-17,2911.0,7707.0
2021-02-18,5488.0,7453.0
2021-02-19,7915.0,8129.428571428572
2021-02-20,23339.0,8777.57142857143
2021-02-21,7665.0,8361.714285714286
2021-02-22,8209.0,8093.571428571428
2021-02-23,5916.0,7772.714285714285
2021-02-24,0.0,5680.714285714285
2021-02-25,3611.0,6026.428571428572
2021-02-26,5669.0,6331.857142857143
2021-02-27,8695.0,5952.0
2021-02-28,10085.0,6164.0
2021-03-01,10347.0,6420.857142857143
2021-03-02,3257.0,6958.857142857143
2021-03-03,1484.0,7329.428571428572
2021-03-04,5409.0,7575.285714285715
2021-03-05,9435.0,8590.285714285714
2021-03-06,11289.0,8125.0
2021-03-07,11806.0,8204.857142857143
2021-03-08,17452.0,8294.142857142857
2021-03-09,0.0,8348.42857142857
2021-03-10,2043.0,8309.57142857143
2021-03-11,6034.0,10238.285714285714
2021-03-12,9815.0,7745.142857142857
2021-03-13,11017.0,8186.285714285715
2021-03-14,25307.0,8302.714285714286
2021-03-15,0.0,8176.571428571428
2021-03-16,3088.0,7830.285714285715
2021-03-17,2858.0,7497.571428571428
2021-03-18,5151.0,5363.571428571428
2021-03-19,7391.0,6751.428571428572
2021-03-20,8688.0,6973.857142857143
2021-03-21,10369.0,6568.142857142857
2021-03-22,9715.0,6876.571428571428
2021-03-23,4645.0,7085.571428571428
2021-03-24,18.0,7444.571428571428
2021-03-25,7310.0,7700.857142857143
2021-03-26,8854.0,7999.857142857143
2021-03-27,11201.0,7816.428571428572
2021-03-28,12163.0,8175.142857142857
2021-03-29,11808.0,9699.142857142857
2021-03-30,3361.0,10059.42857142857
2021-03-31,2529.0,10018.285714285714
2021-04-01,17978.0,10014.42857142857
2021-04-02,11376.0,10105.285714285714
2021-04-03,10913.0,10155.714285714286
2021-04-04,12136.0,10053.42857142857
2021-04-05,12444.0,8784.142857142857
2021-04-06,3714.0,10815.857142857143
2021-04-07,1813.0,11053.42857142857
2021-04-08,9093.0,11117.857142857143
2021-04-09,25598.0,9905.42857142857
2021-04-10,12576.0,9776.57142857143
2021-04-11,12587.0,9713.57142857143
2021-04-12,3957.0,10151.42857142857
2021-04-13,2812.0,8048.571428571428
2021-04-14,1372.0,7869.142857142857
2021-04-15,12158.0,6164.142857142857
2021-04-16,10878.0,7418.714285714285
2021-04-17,11320.0,7274.714285714285
2021-04-18,652.0,7810.857142857143
2021-04-19,12739.0,7176.714285714285
2021-04-20,1804.0,6851.857142857143
2021-04-21,5125.0,6653.857142857143
2021-04-22,7719.0,7712.285714285715
2021-04-23,8604.0,6240.285714285715
2021-04-24,9934.0,6164.0
2021-04-25,8061.0,6228.571428571428
2021-04-26,2435.0,6385.857142857143
2021-04-27,1270.0,6260.571428571428
2021-04-28,5577.0,6066.714285714285
2021-04-29,8820.0,5792.857142857143
2021-04-30,7727.0,5625.428571428572
2021-05-01,8577.0,5444.0
2021-05-02,6144.0,5197.142857142857
2021-05-03,1263.0,4747.285714285715
2021-05-04,0.0,4375.571428571428
2021-05-05,3849.0,3873.5714285714284
2021-05-06,5671.0,3808.1428571428573
2021-05-07,5125.0,3948.285714285714
2021-05-08,5063.0,4144.857142857143
2021-05-09,5686.0,3942.0
2021-05-10,2244.0,3763.4285714285716
2021-05-11,1376.0,3701.714285714286
2021-05-12,2429.0,3803.8571428571427
2021-05-13,4421.0,3690.4285714285716
2021-05-14,4693.0,3369.8571428571427
2021-05-15,5778.0,3605.0
2021-05-16,4892.0,3687.714285714286
2021-05-17,0.0,3732.1428571428573
2021-05-18,3022.0,3786.714285714286
2021-05-19,3008.0,3683.8571428571427
2021-05-20,4732.0,3020.0
2021-05-21,5075.0,3811.8571428571427
2021-05-22,5058.0,3469.4285714285716
2021-05-23,245.0,3364.714285714286
2021-05-24,5543.0,3232.4285714285716
2021-05-25,625.0,2992.285714285714
2021-05-26,2275.0,2648.0
2021-05-27,3806.0,3128.6
2021-05-28,3394.0,2525.0
