,inpatient_beds_used_covid,7_day_avg
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-14,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,0.0,0.0
2020-03-18,0.0,1.7142857142857142
2020-03-19,0.0,3.5714285714285716
2020-03-20,0.0,5.142857142857143
2020-03-21,12.0,6.0
2020-03-22,13.0,7.714285714285714
2020-03-23,11.0,9.428571428571429
2020-03-24,6.0,10.428571428571429
2020-03-25,12.0,10.428571428571429
2020-03-26,12.0,11.285714285714286
2020-03-27,7.0,18.142857142857142
2020-03-28,12.0,27.142857142857142
2020-03-29,19.0,43.285714285714285
2020-03-30,59.0,60.57142857142857
2020-03-31,69.0,79.71428571428571
2020-04-01,125.0,98.28571428571429
2020-04-02,133.0,115.57142857142857
2020-04-03,141.0,132.57142857142858
2020-04-04,142.0,150.14285714285714
2020-04-05,140.0,162.28571428571428
2020-04-06,178.0,171.71428571428572
2020-04-07,192.0,176.57142857142858
2020-04-08,210.0,182.42857142857142
2020-04-09,199.0,188.57142857142858
2020-04-10,175.0,193.0
2020-04-11,183.0,194.14285714285714
2020-04-12,183.0,190.71428571428572
2020-04-13,209.0,195.0
2020-04-14,200.0,202.71428571428572
2020-04-15,186.0,209.71428571428572
2020-04-16,229.0,215.0
2020-04-17,229.0,219.42857142857142
2020-04-18,232.0,229.42857142857142
2020-04-19,220.0,246.85714285714286
2020-04-20,240.0,257.85714285714283
2020-04-21,270.0,265.85714285714283
2020-04-22,308.0,273.0
2020-04-23,306.0,284.2857142857143
2020-04-24,285.0,295.14285714285717
2020-04-25,282.0,299.2857142857143
2020-04-26,299.0,299.57142857142856
2020-04-27,316.0,293.85714285714283
2020-04-28,299.0,295.0
2020-04-29,310.0,296.7142857142857
2020-04-30,266.0,296.14285714285717
2020-05-01,293.0,291.85714285714283
2020-05-02,294.0,289.85714285714283
2020-05-03,295.0,284.57142857142856
2020-05-04,286.0,285.85714285714283
2020-05-05,285.0,284.14285714285717
2020-05-06,273.0,283.14285714285717
2020-05-07,275.0,281.57142857142856
2020-05-08,281.0,282.57142857142856
2020-05-09,287.0,286.14285714285717
2020-05-10,284.0,287.42857142857144
2020-05-11,293.0,289.14285714285717
2020-05-12,310.0,296.85714285714283
2020-05-13,282.0,296.2857142857143
2020-05-14,287.0,297.2857142857143
2020-05-15,335.0,296.7142857142857
2020-05-16,283.0,296.0
2020-05-17,291.0,295.2857142857143
2020-05-18,289.0,296.7142857142857
2020-05-19,305.0,292.85714285714283
2020-05-20,277.0,294.85714285714283
2020-05-21,297.0,293.14285714285717
2020-05-22,308.0,288.2857142857143
2020-05-23,297.0,284.7142857142857
2020-05-24,279.0,285.42857142857144
2020-05-25,255.0,285.2857142857143
2020-05-26,280.0,282.0
2020-05-27,282.0,279.2857142857143
2020-05-28,296.0,276.14285714285717
2020-05-29,285.0,277.42857142857144
2020-05-30,278.0,273.57142857142856
2020-05-31,257.0,272.57142857142856
2020-06-01,264.0,265.57142857142856
2020-06-02,253.0,256.57142857142856
2020-06-03,275.0,247.85714285714286
2020-06-04,247.0,242.85714285714286
2020-06-05,222.0,235.14285714285714
2020-06-06,217.0,235.28571428571428
2020-06-07,222.0,346.42857142857144
2020-06-08,210.0,461.14285714285717
2020-06-09,254.0,460.7142857142857
2020-06-10,1053.0,459.42857142857144
2020-06-11,1050.0,458.7142857142857
2020-06-12,219.0,470.2857142857143
2020-06-13,208.0,461.7142857142857
2020-06-14,217.0,340.14285714285717
2020-06-15,291.0,216.71428571428572
2020-06-16,194.0,212.42857142857142
2020-06-17,202.0,208.28571428571428
2020-06-18,186.0,200.85714285714286
2020-06-19,189.0,181.85714285714286
2020-06-20,179.0,178.14285714285714
2020-06-21,165.0,173.0
2020-06-22,158.0,170.14285714285714
2020-06-23,168.0,165.28571428571428
2020-06-24,166.0,163.14285714285714
2020-06-25,166.0,163.57142857142858
2020-06-26,155.0,163.42857142857142
2020-06-27,164.0,162.14285714285714
2020-06-28,168.0,160.42857142857142
2020-06-29,157.0,159.85714285714286
2020-06-30,159.0,159.57142857142858
2020-07-01,154.0,156.42857142857142
2020-07-02,162.0,152.14285714285714
2020-07-03,153.0,156.0
2020-07-04,142.0,159.28571428571428
2020-07-05,138.0,161.57142857142858
2020-07-06,184.0,161.28571428571428
2020-07-07,182.0,161.28571428571428
2020-07-08,170.0,161.71428571428572
2020-07-09,160.0,161.28571428571428
2020-07-10,153.0,155.71428571428572
2020-07-11,145.0,153.57142857142858
2020-07-12,135.0,153.85714285714286
2020-07-13,145.0,153.71428571428572
2020-07-14,167.0,155.71428571428572
2020-07-15,172.0,162.42857142857142
2020-07-16,159.0,172.85714285714286
2020-07-17,167.0,181.85714285714286
2020-07-18,192.0,190.57142857142858
2020-07-19,208.0,197.28571428571428
2020-07-20,208.0,208.14285714285714
2020-07-21,228.0,215.57142857142858
2020-07-22,219.0,213.0
2020-07-23,235.0,208.14285714285714
2020-07-24,219.0,204.14285714285714
2020-07-25,174.0,199.71428571428572
2020-07-26,174.0,195.85714285714286
2020-07-27,180.0,201.71428571428572
2020-07-28,197.0,187.0
2020-07-29,192.0,178.28571428571428
2020-07-30,276.0,170.71428571428572
2020-07-31,116.0,163.57142857142858
2020-08-01,113.0,152.42857142857142
2020-08-02,121.0,141.0
2020-08-03,130.0,118.14285714285714
2020-08-04,119.0,128.71428571428572
2020-08-05,112.0,139.85714285714286
2020-08-06,116.0,152.57142857142858
2020-08-07,190.0,166.0
2020-08-08,191.0,180.42857142857142
2020-08-09,210.0,196.14285714285714
2020-08-10,224.0,208.42857142857142
2020-08-11,220.0,209.57142857142858
2020-08-12,222.0,208.57142857142858
2020-08-13,202.0,206.42857142857142
2020-08-14,198.0,201.42857142857142
2020-08-15,184.0,197.14285714285714
2020-08-16,195.0,193.0
2020-08-17,189.0,189.71428571428572
2020-08-18,190.0,184.28571428571428
2020-08-19,193.0,182.14285714285714
2020-08-20,179.0,181.14285714285714
2020-08-21,160.0,181.28571428571428
2020-08-22,169.0,184.42857142857142
2020-08-23,188.0,187.0
2020-08-24,190.0,192.71428571428572
2020-08-25,212.0,202.71428571428572
2020-08-26,211.0,209.85714285714286
2020-08-27,219.0,213.85714285714286
2020-08-28,230.0,215.14285714285714
2020-08-29,219.0,215.57142857142858
2020-08-30,216.0,218.57142857142858
2020-08-31,199.0,215.28571428571428
2020-09-01,215.0,212.14285714285714
2020-09-02,232.0,212.42857142857142
2020-09-03,196.0,213.14285714285714
2020-09-04,208.0,215.0
2020-09-05,221.0,216.57142857142858
2020-09-06,221.0,216.14285714285714
2020-09-07,212.0,218.71428571428572
2020-09-08,226.0,217.42857142857142
2020-09-09,229.0,216.57142857142858
2020-09-10,214.0,214.42857142857142
2020-09-11,199.0,214.71428571428572
2020-09-12,215.0,211.71428571428572
2020-09-13,206.0,211.14285714285714
2020-09-14,214.0,213.28571428571428
2020-09-15,205.0,217.14285714285714
2020-09-16,225.0,217.42857142857142
2020-09-17,229.0,220.14285714285714
2020-09-18,226.0,220.28571428571428
2020-09-19,217.0,224.71428571428572
2020-09-20,225.0,228.57142857142858
2020-09-21,215.0,232.28571428571428
2020-09-22,236.0,235.14285714285714
2020-09-23,252.0,242.57142857142858
2020-09-24,255.0,247.28571428571428
2020-09-25,246.0,253.42857142857142
