,inpatient_beds_used_covid,7_day_avg
2020-01-02,1877.0,1877.0
2020-01-03,1877.0,1877.0
2020-01-04,1877.0,1564.1666666666667
2020-01-05,1877.0,1340.7142857142858
2020-01-06,1877.0,1072.5714285714287
2020-01-24,0.0,804.4285714285714
2020-01-25,0.0,536.2857142857143
2020-01-26,0.0,268.14285714285717
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.14285714285714285
2020-03-10,0.0,0.2857142857142857
2020-03-11,0.0,0.2857142857142857
2020-03-12,1.0,0.2857142857142857
2020-03-13,1.0,0.5714285714285714
2020-03-14,0.0,0.8571428571428571
2020-03-15,0.0,1.1428571428571428
2020-03-16,2.0,1.1428571428571428
2020-03-17,2.0,1.0
2020-03-18,2.0,1.0
2020-03-19,1.0,1.0
2020-03-20,0.0,1.1428571428571428
2020-03-21,0.0,1.4285714285714286
2020-03-22,0.0,1.4285714285714286
2020-03-23,3.0,2.0
2020-03-24,4.0,2.7142857142857144
2020-03-25,2.0,3.2857142857142856
2020-03-26,5.0,3.857142857142857
2020-03-27,5.0,90.57142857142857
2020-03-28,4.0,185.28571428571428
2020-03-29,4.0,291.85714285714283
2020-03-30,610.0,407.0
2020-03-31,667.0,524.0
2020-04-01,748.0,641.5714285714286
2020-04-02,811.0,755.7142857142857
2020-04-03,824.0,780.4285714285714
2020-04-04,827.0,839.4285714285714
2020-04-05,803.0,898.1428571428571
2020-04-06,783.0,929.4285714285714
2020-04-07,1080.0,941.8571428571429
2020-04-08,1159.0,952.4285714285714
2020-04-09,1030.0,971.5714285714286
2020-04-10,911.0,975.8571428571429
2020-04-11,901.0,923.5714285714286
2020-04-12,937.0,878.4285714285714
2020-04-13,813.0,849.7142857142857
2020-04-14,714.0,833.1428571428571
2020-04-15,843.0,808.2857142857143
2020-04-16,829.0,765.8571428571429
2020-04-17,795.0,740.0
2020-04-18,727.0,734.4285714285714
2020-04-19,640.0,703.1428571428571
2020-04-20,632.0,669.4285714285714
2020-04-21,675.0,643.5714285714286
2020-04-22,624.0,626.0
2020-04-23,593.0,615.1428571428571
2020-04-24,614.0,615.7142857142857
2020-04-25,604.0,611.1428571428571
2020-04-26,564.0,613.4285714285714
2020-04-27,636.0,614.7142857142857
2020-04-28,643.0,612.4285714285714
2020-04-29,640.0,604.0
2020-04-30,602.0,598.2857142857143
2020-05-01,598.0,586.2857142857143
2020-05-02,545.0,583.2857142857143
2020-05-03,524.0,570.7142857142857
2020-05-04,552.0,557.8571428571429
