,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0.14285714285714285,1,1,0,0,0
2020-03-06,0.2857142857142857,1,2,0,0,0
2020-03-07,0.2857142857142857,0,2,0,0,0
2020-03-08,0.5714285714285714,2,4,0,0,0
2020-03-09,0.5714285714285714,0,4,0,0,0
2020-03-10,0.5714285714285714,0,4,0,0,0
2020-03-11,1,3,7,0,0,0
2020-03-12,1.2857142857142858,3,10,0,0,0
2020-03-13,2.2857142857142856,8,18,0,0,0
2020-03-14,2.5714285714285716,2,20,0,0,0
2020-03-15,2.2857142857142856,0,20,0,0,0
2020-03-16,5.857142857142857,25,45,0.14285714285714285,1,1
2020-03-17,7.285714285714286,10,55,0.14285714285714285,0,1
2020-03-18,6.857142857142857,0,55,0.14285714285714285,0,1
2020-03-19,12.142857142857142,40,95,0.14285714285714285,0,1
2020-03-20,20.428571428571427,66,161,0.2857142857142857,1,2
2020-03-21,20.142857142857142,0,161,0.2857142857142857,0,2
2020-03-22,24.285714285714285,29,190,0.2857142857142857,0,2
2020-03-23,28.571428571428573,55,245,0.42857142857142855,2,4
2020-03-24,31.857142857142858,33,278,0.42857142857142855,0,4
2020-03-25,38.285714285714285,45,323,0.7142857142857143,2,6
2020-03-26,46.42857142857143,97,420,1.2857142857142858,4,10
2020-03-27,53.57142857142857,116,536,1.1428571428571428,0,10
2020-03-28,66.42857142857143,90,626,1.1428571428571428,0,10
2020-03-29,104.28571428571429,294,920,1.8571428571428572,5,15
2020-03-30,109.57142857142857,92,1012,1.5714285714285714,0,15
2020-03-31,119.42857142857143,102,1114,3.142857142857143,11,26
2020-04-01,136.57142857142858,165,1279,3.5714285714285716,5,31
2020-04-02,149,184,1463,4,7,38
2020-04-03,139.71428571428572,51,1514,4.714285714285714,5,43
2020-04-04,159.42857142857142,228,1742,5.142857142857143,3,46
2020-04-05,133.57142857142858,113,1855,4.428571428571429,0,46
2020-04-06,134.42857142857142,98,1953,4.428571428571429,0,46
2020-04-07,144.28571428571428,171,2124,6.571428571428571,26,72
2020-04-08,140,135,2259,5.857142857142857,0,72
2020-04-09,141.85714285714286,197,2456,6.142857142857143,9,81
2020-04-10,172.57142857142858,266,2722,6.714285714285714,9,90
2020-04-11,137.14285714285714,-20,2702,8,12,102
2020-04-12,140.14285714285714,134,2836,9.428571428571429,10,112
2020-04-13,148.14285714285714,154,2990,9.714285714285714,2,114
2020-04-14,144.28571428571428,144,3134,7.714285714285714,12,126
2020-04-15,136,77,3211,8.428571428571429,5,131
2020-04-16,108.28571428571429,3,3214,8,6,137
2020-04-17,114.57142857142857,310,3524,7.428571428571429,5,142
2020-04-18,132,102,3626,7,9,151
2020-04-19,127.42857142857143,102,3728,6.571428571428571,7,158
2020-04-20,120,102,3830,6.428571428571429,1,159
2020-04-21,114.71428571428571,107,3937,5.285714285714286,4,163
2020-04-22,124.28571428571429,144,4081,5.857142857142857,9,172
2020-04-23,142,127,4208,8.285714285714286,23,195
2020-04-24,124.85714285714286,190,4398,7.857142857142857,2,197
2020-04-25,130.42857142857142,141,4539,7.714285714285714,8,205
2020-04-26,143.71428571428572,195,4734,6.857142857142857,1,206
2020-04-27,124.28571428571429,-34,4700,6.714285714285714,0,206
2020-04-28,126.28571428571429,121,4821,8,13,219
2020-04-29,121.85714285714286,113,4934,8.285714285714286,11,230
2020-04-30,120.71428571428571,119,5053,6.857142857142857,13,243
2020-05-01,121.42857142857143,195,5248,7,3,246
2020-05-02,121.42857142857143,141,5389,7.142857142857143,9,255
2020-05-03,105.42857142857143,83,5472,7.428571428571429,3,258
2020-05-04,132.85714285714286,158,5630,8.428571428571429,7,265
2020-05-05,119.85714285714286,30,5660,7.285714285714286,5,270
2020-05-06,115.28571428571429,81,5741,8.428571428571429,19,289
2020-05-07,114.57142857142857,114,5855,7.714285714285714,8,297
2020-05-08,96,65,5920,6.857142857142857,-3,294
2020-05-09,111.71428571428571,251,6171,8.285714285714286,19,313
2020-05-10,92.57142857142857,-51,6120,7.428571428571429,-3,310
2020-05-11,74.57142857142857,32,6152,6.714285714285714,2,312
2020-05-12,93.28571428571429,161,6313,7.285714285714286,9,321
2020-05-13,105,163,6476,6,10,331
2020-05-14,92.71428571428571,28,6504,5.142857142857143,2,333
2020-05-15,116.14285714285714,229,6733,7,10,343
2020-05-16,91.71428571428571,80,6813,4.857142857142857,4,347
2020-05-17,118.42857142857143,136,6949,5.714285714285714,3,350
2020-05-18,129.85714285714286,112,7061,6.571428571428571,8,358
2020-05-19,111.85714285714286,35,7096,5.285714285714286,0,358
2020-05-20,130.28571428571428,292,7388,6.571428571428571,19,377
2020-05-21,128,12,7400,7.142857142857143,6,383
2020-05-22,113.14285714285714,125,7525,6.142857142857143,3,386
2020-05-23,101.85714285714286,1,7526,5.714285714285714,1,387
2020-05-24,133.14285714285714,355,7881,4.285714285714286,-7,380
2020-05-25,127.85714285714286,75,7956,5.142857142857143,14,394
2020-05-26,137.28571428571428,101,8057,5.142857142857143,0,394
2020-05-27,108.85714285714286,93,8150,3.5714285714285716,8,402
2020-05-28,121.14285714285714,98,8248,3.2857142857142856,4,406
2020-05-29,121.57142857142857,128,8376,2.857142857142857,0,406
2020-05-30,141.57142857142858,141,8517,4.285714285714286,11,417
2020-05-31,106.71428571428571,111,8628,5.285714285714286,0,417
2020-06-01,106.57142857142857,74,8702,3.2857142857142856,0,417
2020-06-02,114.42857142857143,156,8858,3.2857142857142856,0,417
2020-06-03,114.42857142857143,93,8951,4.142857142857143,14,431
2020-06-04,125.85714285714286,178,9129,3.4285714285714284,-1,430
2020-06-05,133.28571428571428,180,9309,4.285714285714286,6,436
2020-06-06,139.14285714285714,182,9491,2.857142857142857,1,437
2020-06-07,148.71428571428572,178,9669,3,1,438
2020-06-08,159.14285714285714,147,9816,3.5714285714285716,4,442
2020-06-09,169.57142857142858,229,10045,4.142857142857143,4,446
2020-06-10,181,173,10218,2.5714285714285716,3,449
2020-06-11,192,255,10473,4.142857142857143,10,459
2020-06-12,199.28571428571428,231,10704,3.5714285714285716,2,461
2020-06-13,215.14285714285714,293,10997,3.5714285714285716,1,462
2020-06-14,218.85714285714286,204,11201,3.5714285714285716,1,463
2020-06-15,214.14285714285714,114,11315,3.2857142857142856,2,465
2020-06-16,234,368,11683,3,2,467
2020-06-17,233.71428571428572,171,11854,3.4285714285714284,6,473
2020-06-18,242.28571428571428,315,12169,2.2857142857142856,2,475
2020-06-19,260,355,12524,2.5714285714285716,4,479
2020-06-20,282.7142857142857,452,12976,3.4285714285714284,7,486
2020-06-21,291.2857142857143,264,13240,3.4285714285714284,1,487
2020-06-22,316.14285714285717,288,13528,3.4285714285714284,2,489
2020-06-23,330.57142857142856,469,13997,3.5714285714285716,3,492
2020-06-24,358.2857142857143,365,14362,3,2,494
2020-06-25,384.2857142857143,497,14859,2.857142857142857,1,495
2020-06-26,388,381,15240,2.7142857142857144,3,498
2020-06-27,480.42857142857144,1099,16339,2,2,500
2020-06-28,560,821,17160,1.8571428571428572,0,500
2020-06-29,623.7142857142857,734,17894,2.142857142857143,4,504
2020-06-30,637,562,18456,2.142857142857143,3,507
2020-07-01,677,645,19101,2.4285714285714284,4,511
2020-07-02,696.2857142857143,632,19733,4.285714285714286,14,525
2020-07-03,782.5714285714286,985,20718,4.285714285714286,3,528
2020-07-04,748,857,21575,4.285714285714286,2,530
2020-07-05,751.1428571428571,843,22418,4.857142857142857,4,534
2020-07-06,716.4285714285714,491,22909,4.714285714285714,3,537
2020-07-07,761.2857142857143,876,23785,5.857142857142857,11,548
2020-07-08,742.8571428571429,516,24301,6,5,553
2020-07-09,738.7142857142857,603,24904,6.571428571428571,18,571
2020-07-10,741.4285714285714,1004,25908,7.285714285714286,8,579
2020-07-11,751.8571428571429,930,26838,8.857142857142858,13,592
2020-07-12,752.1428571428571,845,27683,8.428571428571429,1,593
2020-07-13,800.8571428571429,832,28515,8,0,593
2020-07-14,833.4285714285714,1104,29619,9.142857142857142,19,612
2020-07-15,881,849,30468,9.285714285714286,6,618
2020-07-16,1001.5714285714286,1447,31915,7.857142857142857,8,626
2020-07-17,1055.2857142857142,1380,33295,8.285714285714286,11,637
2020-07-18,1091.2857142857142,1182,34477,7.714285714285714,9,646
2020-07-19,1154.5714285714287,1288,35765,7.714285714285714,1,647
2020-07-20,1171.142857142857,948,36713,7.857142857142857,1,648
2020-07-21,1129.857142857143,815,37528,9.142857142857142,28,676
2020-07-22,1169.857142857143,1129,38657,12.285714285714286,28,704
2020-07-23,1143.4285714285713,1262,39919,11.857142857142858,5,709
2020-07-24,1084.2857142857142,966,40885,12.142857142857142,13,722
2020-07-25,1048.4285714285713,931,41816,12.285714285714286,10,732
2020-07-26,1011.1428571428571,1027,42843,12.428571428571429,2,734
2020-07-27,1016.8571428571429,988,43831,13,5,739
2020-07-28,1058.2857142857142,1105,44936,11.857142857142858,20,759
2020-07-29,1021.2857142857143,870,45806,10.857142857142858,21,780
2020-07-30,986.4285714285714,1018,46824,13.142857142857142,21,801
2020-07-31,1029,1264,48088,15.428571428571429,29,830
2020-08-01,1036.857142857143,986,49074,14.285714285714286,2,832
2020-08-02,1051.7142857142858,1131,50205,14,0,832
2020-08-03,1052.5714285714287,994,51199,15.428571428571429,15,847
2020-08-04,1034.7142857142858,980,52179,14.714285714285714,15,862
2020-08-05,1003.1428571428571,649,52828,15.714285714285714,28,890
2020-08-06,961.8571428571429,729,53557,14.142857142857142,10,900
2020-08-07,920.7142857142857,976,54533,12.857142857142858,20,920
2020-08-08,906.4285714285714,886,55419,16.714285714285715,29,949
2020-08-09,860.7142857142857,811,56230,17.857142857142858,8,957
2020-08-10,824.7142857142857,742,56972,16.571428571428573,6,963
2020-08-11,763,548,57520,17,18,981
2020-08-12,745.7142857142857,528,58048,15.142857142857142,15,996
2020-08-13,727.5714285714286,602,58650,18.571428571428573,34,1030
2020-08-14,745.1428571428571,1099,59749,17.857142857142858,15,1045
