,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,0.0,0.0
2020-12-15,0.0,0.0
2020-12-16,0.0,0.0
2020-12-17,0.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,0.0
2020-12-22,0.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,0.0,0.0
2021-01-13,0.0,0.0
2021-01-14,0.0,0.0
2021-01-15,0.0,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,0.0
2021-01-18,0.0,613.2857142857143
2021-01-19,0.0,1878.7142857142858
2021-01-20,0.0,3374.0
2021-01-21,4293.0,4884.428571428572
2021-01-22,8858.0,7051.857142857143
2021-01-23,10467.0,8147.0
2021-01-24,10573.0,8788.857142857143
2021-01-25,15172.0,9604.857142857143
2021-01-26,7666.0,11278.714285714286
2021-01-27,4493.0,11961.0
2021-01-28,10005.0,12451.57142857143
2021-01-29,20575.0,12696.42857142857
2021-01-30,15243.0,12697.857142857143
2021-01-31,14007.0,12687.42857142857
2021-02-01,16886.0,16309.142857142857
2021-02-02,7676.0,13808.42857142857
2021-02-03,4420.0,13448.285714285714
2021-02-04,35357.0,14008.57142857143
2021-02-05,3070.0,13285.0
2021-02-06,12722.0,13990.142857142857
2021-02-07,17929.0,14051.0
2021-02-08,11821.0,12410.142857142857
2021-02-09,12612.0,12496.57142857143
2021-02-10,4846.0,12835.57142857143
2021-02-11,23871.0,12686.42857142857
2021-02-12,3675.0,13478.57142857143
2021-02-13,15095.0,11676.857142857143
2021-02-14,16885.0,13609.857142857143
2021-02-15,17366.0,12662.142857142857
2021-02-16,0.0,12557.714285714286
2021-02-17,18377.0,18308.571428571428
2021-02-18,17237.0,20669.285714285714
2021-02-19,2944.0,20198.14285714286
2021-02-20,55351.0,24285.714285714286
2021-02-21,33410.0,21660.428571428572
2021-02-22,14068.0,20397.714285714286
2021-02-23,28613.0,22172.571428571428
2021-02-24,0.0,17175.714285714286
2021-02-25,8398.0,15690.714285714286
2021-02-26,15368.0,16554.571428571428
2021-02-27,20373.0,16671.14285714286
2021-02-28,23015.0,17822.714285714286
2021-03-01,20115.0,18161.714285714286
2021-03-02,29429.0,18281.571428571428
2021-03-03,8061.0,18674.714285714286
2021-03-04,10771.0,19207.571428571428
2021-03-05,16207.0,24314.0
2021-03-06,23125.0,20109.85714285714
2021-03-07,26745.0,20255.0
2021-03-08,55860.0,20670.285714285714
2021-03-09,0.0,22049.14285714286
2021-03-10,9077.0,22495.571428571428
2021-03-11,13678.0,27044.571428571428
2021-03-12,25859.0,19064.571428571428
2021-03-13,26250.0,22559.285714285714
2021-03-14,58588.0,22167.14285714286
2021-03-15,0.0,22243.14285714286
2021-03-16,24463.0,22540.428571428572
2021-03-17,6332.0,22257.85714285714
2021-03-18,14210.0,18125.571428571428
2021-03-19,27940.0,22287.428571428572
2021-03-20,24272.0,21590.571428571428
2021-03-21,29662.0,21471.0
2021-03-22,29133.0,21649.85714285714
2021-03-23,19585.0,21747.285714285714
2021-03-24,5495.0,22486.571428571428
2021-03-25,15462.0,22590.85714285714
2021-03-26,28622.0,22521.714285714286
2021-03-27,29447.0,23297.0
2021-03-28,30392.0,23509.714285714286
2021-03-29,28649.0,23232.85714285714
2021-03-30,25012.0,22811.285714285714
2021-03-31,6984.0,22167.14285714286
2021-04-01,13524.0,22494.285714285714
2021-04-02,25671.0,22729.714285714286
2021-04-03,24938.0,22059.285714285714
2021-04-04,32682.0,21739.14285714286
2021-04-05,30297.0,22373.85714285714
2021-04-06,20319.0,28856.0
2021-04-07,4743.0,30916.714285714286
2021-04-08,17967.0,31592.285714285714
2021-04-09,71046.0,31703.0
2021-04-10,39363.0,29957.428571428572
2021-04-11,37411.0,31777.714285714286
2021-04-12,31072.0,34250.42857142857
2021-04-13,8100.0,28270.14285714286
2021-04-14,17485.0,26822.285714285714
2021-04-15,35276.0,25933.428571428572
2021-04-16,29184.0,24618.14285714286
2021-04-17,29228.0,24463.14285714286
2021-04-18,31189.0,24261.571428571428
2021-04-19,21865.0,22378.85714285714
2021-04-20,7015.0,21167.14285714286
2021-04-21,16074.0,19977.428571428572
2021-04-22,22097.0,18864.0
2021-04-23,20702.0,18422.0
2021-04-24,20900.0,18342.571428571428
2021-04-25,23395.0,17950.14285714286
2021-04-26,18771.0,17921.285714285714
2021-04-27,6459.0,18407.85714285714
2021-04-28,13327.0,18913.14285714286
2021-04-29,21895.0,18689.714285714286
2021-04-30,24108.0,17638.714285714286
2021-05-01,24437.0,16716.0
2021-05-02,21831.0,16787.571428571428
2021-05-03,11414.0,17085.428571428572
2021-05-04,0.0,16619.14285714286
2021-05-05,13828.0,15871.0
2021-05-06,23980.0,16043.142857142857
2021-05-07,20844.0,17005.428571428572
2021-05-08,19200.0,18306.85714285714
2021-05-09,23036.0,18022.14285714286
2021-05-10,18150.0,16881.571428571428
2021-05-11,9110.0,15719.42857142857
2021-05-12,11835.0,18255.0
2021-05-13,15996.0,17706.571428571428
2021-05-14,12709.0,16496.0
2021-05-15,36949.0,16140.0
2021-05-16,19197.0,15865.714285714286
2021-05-17,9676.0,15610.714285714286
2021-05-18,6618.0,16499.0
2021-05-19,9915.0,14164.142857142857
2021-05-20,14211.0,13431.857142857143
2021-05-21,18927.0,13654.285714285714
2021-05-22,20605.0,13401.285714285714
2021-05-23,14071.0,13179.142857142857
2021-05-24,11233.0,13039.142857142857
2021-05-25,4847.0,12185.857142857143
2021-05-26,8360.0,10782.666666666666
2021-05-27,13231.0,10125.0
2021-05-28,12954.0,9848.0
